"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.290171875,-4.07964453125,-4.706515625,-13.2667890625,-3.9516953125,-3.11281640625,-6.5380390625,-1.2971484375,-12.97136328125,-9.60796875,-1.77063671875,-4.68025,-2.25051953125,-17.565078125,-5.73076953125,-2.5884921875,-5.90907421875,-6.95575390625,-11.91220703125,-4.9786640625,-2.4117578125,-7.70567578125,-20.44949609375,-13.26126953125,-6.109296875,0.52361328125,-9.60454296875,0.6145703125,-1.66503125,-8.6623046875
-7.918171875,-5.69264453125,-2.760515625,-15.0887890625,-7.6976953125,-4.83781640625,-9.2770390625,-1.7171484375,-15.08936328125,-12.87696875,-5.40363671875,-7.50325,-5.53851953125,-20.738078125,-8.95176953125,-6.8054921875,-7.20307421875,-10.44775390625,-17.18220703125,-10.4426640625,-5.8947578125,-10.51167578125,-26.10949609375,-20.64526953125,-11.936296875,-1.23238671875,-17.14654296875,-3.9584296875,-4.56403125,-10.0043046875
-10.074171875,-6.60764453125,-3.731515625,-16.6227890625,-10.8306953125,-6.45181640625,-10.7290390625,-3.2201484375,-17.17136328125,-15.53596875,-7.87763671875,-8.84325,-7.88351953125,-22.721078125,-11.25576953125,-9.6464921875,-7.97307421875,-12.81875390625,-20.25920703125,-14.0886640625,-8.1807578125,-11.91067578125,-29.29049609375,-25.23826953125,-15.872296875,-1.78038671875,-21.81354296875,-6.3634296875,-5.79903125,-10.4533046875
-8.933171875,-6.88364453125,-7.070515625,-17.7267890625,-12.8806953125,-7.68081640625,-10.8020390625,-5.4781484375,-18.87136328125,-17.28396875,-9.02463671875,-8.78325,-9.07451953125,-23.290078125,-12.38976953125,-10.9634921875,-8.26907421875,-13.74975390625,-20.88220703125,-15.6536640625,-9.1007578125,-11.69967578125,-29.66349609375,-26.75126953125,-17.725296875,-1.10338671875,-23.36954296875,-6.3734296875,-5.24003125,-9.9953046875
-5.901171875,-6.84264453125,-11.033515625,-18.3207890625,-13.4816953125,-8.24481640625,-9.8670390625,-7.7351484375,-19.79236328125,-17.92596875,-9.02863671875,-7.93225,-9.18451953125,-22.599078125,-12.35876953125,-11.0404921875,-8.33307421875,-13.24675390625,-19.49920703125,-15.4276640625,-8.8717578125,-10.20067578125,-27.70849609375,-25.79326953125,-17.927296875,0.37061328125,-22.57254296875,-4.5484296875,-3.36803125,-8.9683046875
-2.838171875,-6.89564453125,-13.645515625,-18.4097890625,-12.5816953125,-8.04581640625,-8.5900390625,-9.2541484375,-19.70936328125,-17.45396875,-8.33763671875,-7.12225,-8.55051953125,-21.117078125,-11.44576953125,-10.4624921875,-8.48707421875,-11.66575390625,-17.07120703125,-14.1276640625,-8.0177578125,-8.20067578125,-24.52049609375,-23.61126953125,-17.371296875,1.94261328125,-20.88954296875,-2.0804296875,-1.13903125,-7.9833046875
-1.138171875,-7.32564453125,-13.734515625,-18.0447890625,-10.5266953125,-7.24281640625,-7.6300390625,-9.6921484375,-18.64636328125,-16.04596875,-7.48063671875,-7.02725,-7.59151953125,-19.399078125,-10.08076953125,-9.8674921875,-8.97007421875,-9.56975390625,-14.67320703125,-12.6016640625,-7.1597578125,-6.64767578125,-21.36449609375,-21.57426953125,-17.038296875,2.92261328125,-19.92754296875,-0.3384296875,0.35096875,-7.7303046875
-1.170171875,-8.09664453125,-11.435515625,-17.2577890625,-7.9676953125,-6.14681640625,-7.3340390625,-9.1951484375,-16.80936328125,-13.97596875,-6.82563671875,-7.87025,-6.57551953125,-17.805078125,-8.63476953125,-9.6704921875,-9.79607421875,-7.46575390625,-13.04220703125,-11.4796640625,-6.7477578125,-6.22167578125,-19.15949609375,-20.62026953125,-17.582296875,2.91661328125,-20.77554296875,-0.2774296875,0.32496875,-8.7083046875
-2.337171875,-8.81164453125,-7.870515625,-16.0397890625,-5.6176953125,-5.00181640625,-7.5870390625,-8.1611484375,-14.45136328125,-11.48696875,-6.39463671875,-9.30825,-5.48451953125,-16.327078125,-7.21376953125,-9.8514921875,-10.68407421875,-5.58375390625,-12.28120703125,-10.9116640625,-6.8407578125,-6.98467578125,-18.12749609375,-20.89226953125,-19.021296875,1.99661328125,-23.53654296875,-1.9864296875,-1.31203125,-10.9583046875
-3.587171875,-8.85564453125,-4.324515625,-14.3617890625,-3.9386953125,-3.79381640625,-7.8700390625,-6.8471484375,-11.74236328125,-8.68496875,-5.83763671875,-10.53225,-4.06151953125,-14.629078125,-5.61476953125,-9.9514921875,-11.10807421875,-3.79975390625,-11.86020703125,-10.5226640625,-7.0487578125,-8.30667578125,-17.76049609375,-21.71526953125,-20.719296875,0.66861328125,-27.26254296875,-4.6134296875,-3.86803125,-13.9213046875
