"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-27.2414375,-32.2400546875,-32.9174375,-1.319765625,2.53828515625,-18.26659765625,22.9076015625,-33.3081953125,-2.643546875,-7.462765625,1.98385546875,-18.38709765625,52.55770703125,-13.27371875,-13.53449609375,-6.29948828125,26.09182421875,4.2103359375,-12.2386015625,-21.32833203125,30.15138671875,23.44595703125,-20.497125,-17.81228515625,-29.704515625,-31.04375,-15.1643671875,-41.8038125,-14.324046875,-89.96208984375
-26.6154375,-30.8120546875,-31.8994375,-0.0547656249999999,3.44428515625,-15.68759765625,27.4216015625,-30.3371953125,-0.113546875,-6.289765625,2.86385546875,-19.66009765625,54.71070703125,-13.18571875,-11.22549609375,-5.00748828125,28.89782421875,2.0243359375,-10.2926015625,-19.62833203125,28.35738671875,23.85895703125,-19.087125,-16.10128515625,-29.209515625,-32.39975,-14.6183671875,-41.6718125,-14.842046875,-90.81008984375
-26.2754375,-29.8910546875,-31.3364375,0.929234375,4.23828515625,-14.21559765625,29.9296015625,-28.6701953125,1.559453125,-5.540765625,3.44485546875,-20.93009765625,56.04070703125,-13.94271875,-9.92049609375,-4.05448828125,29.91482421875,-0.7416640625,-9.8746015625,-18.79933203125,26.95338671875,23.73795703125,-19.042125,-15.50528515625,-28.891515625,-33.02775,-14.6183671875,-41.9528125,-15.702046875,-91.27608984375
-26.1044375,-29.3590546875,-31.0854375,1.624234375,4.95128515625,-13.68459765625,30.5826015625,-28.1141953125,2.199453125,-5.078765625,3.86585546875,-21.89009765625,56.37070703125,-15.25271875,-9.48649609375,-3.31048828125,29.24982421875,-3.6036640625,-10.7436015625,-18.74233203125,26.09738671875,23.11095703125,-20.116125,-15.76428515625,-28.565515625,-32.84975,-14.8523671875,-42.3708125,-16.564046875,-90.97608984375
-25.8974375,-28.9480546875,-30.8594375,2.071234375,5.59928515625,-13.62959765625,30.1226015625,-28.1111953125,1.832453125,-4.674765625,4.29085546875,-22.17809765625,55.79170703125,-16.54271875,-9.50549609375,-2.60348828125,27.52682421875,-5.9136640625,-12.1566015625,-19.08333203125,25.85538671875,22.19795703125,-21.593125,-16.21928515625,-27.947515625,-31.96475,-14.7293671875,-42.4308125,-16.838046875,-89.51908984375
-25.4974375,-28.4270546875,-30.4064375,2.302234375,6.12528515625,-13.63059765625,29.3296015625,-28.1631953125,0.629453125,-4.174765625,4.73585546875,-21.60109765625,54.63670703125,-17.29671875,-9.56849609375,-1.88648828125,25.47882421875,-7.2616640625,-13.2996015625,-19.38533203125,26.16538671875,21.30695703125,-22.691125,-16.18928515625,-26.796515625,-30.56275,-13.6853671875,-41.6598125,-15.948046875,-86.68608984375
-24.8684375,-27.6980546875,-29.6274375,2.334234375,6.40128515625,-13.53559765625,28.5646015625,-28.1051953125,-1.133546875,-3.598765625,5.03985546875,-20.33209765625,53.35270703125,-17.30471875,-9.50349609375,-1.26648828125,23.61282421875,-7.6416640625,-13.6816015625,-19.36133203125,26.85038671875,20.70395703125,-22.908125,-15.29628515625,-25.039515625,-28.83775,-11.4603671875,-39.8338125,-13.578046875,-82.54608984375
-24.0714375,-26.7810546875,-28.5834375,2.203234375,6.31928515625,-13.41959765625,27.8456015625,-28.0591953125,-3.053546875,-3.105765625,4.99885546875,-18.91709765625,52.36170703125,-16.71371875,-9.37749609375,-0.87948828125,22.10182421875,-7.3456640625,-13.2906015625,-18.95033203125,27.68138671875,20.50695703125,-22.158125,-13.57928515625,-22.811515625,-26.94575,-8.1973671875,-37.0588125,-9.800046875,-77.45308984375
-23.1964375,-25.7520546875,-27.4354375,1.993234375,5.87528515625,-13.42859765625,27.1706015625,-28.2051953125,-4.617546875,-2.904765625,4.50785546875,-18.06109765625,51.92170703125,-15.90971875,-9.36149609375,-0.77448828125,20.87282421875,-6.7566640625,-12.4996015625,-18.30033203125,28.44838671875,20.64795703125,-20.705125,-11.40928515625,-20.426515625,-25.03675,-4.3473671875,-33.7088125,-5.048046875,-71.96208984375
-22.3244375,-24.7110546875,-26.3774375,1.786234375,5.17228515625,-13.68059765625,26.5806015625,-28.6231953125,-5.346546875,-3.158765625,3.59085546875,-18.30009765625,52.03770703125,-15.33271875,-9.61349609375,-0.90648828125,19.74782421875,-6.1536640625,-11.8166015625,-17.69433203125,28.99038671875,20.94695703125,-18.955125,-9.28728515625,-18.283515625,-23.28975,-0.478367187500001,-30.2748125,0.0129531249999992,-66.70608984375
-21.5304375,-23.7780546875,-25.5814375,1.612234375,4.36228515625,-14.25159765625,26.0016015625,-29.2441953125,-5.038546875,-3.908765625,2.35185546875,-19.71509765625,52.42470703125,-15.27371875,-10.21949609375,-1.22048828125,18.56982421875,-5.6056640625,-11.6056015625,-17.43833203125,29.21638671875,21.29195703125,-17.232125,-7.61228515625,-16.716515625,-21.91375,2.9386328125,-27.1758125,4.705953125,-62.25208984375
-20.9154375,-23.1000546875,-25.1704375,1.435234375,3.61628515625,-15.13659765625,25.2976015625,-29.8651953125,-3.883546875,-5.009765625,0.93085546875,-21.84509765625,52.57970703125,-15.71771875,-11.16749609375,-1.70448828125,17.29082421875,-4.9716640625,-11.9076015625,-17.72633203125,29.11238671875,21.76695703125,-15.629125,-6.53028515625,-15.863515625,-21.08475,5.6636328125,-24.6378125,8.526953125,-58.94208984375
-20.5954375,-22.8080546875,-25.1824375,1.212234375,3.11228515625,-16.21959765625,24.5016015625,-30.1931953125,-2.380546875,-6.156765625,-0.50514453125,-23.85209765625,51.98670703125,-16.34071875,-12.33749609375,-2.36948828125,16.00582421875,-4.0406640625,-12.4526015625,-18.56133203125,28.73938671875,22.57695703125,-14.055125,-5.93528515625,-15.629515625,-20.88475,7.6876328125,-22.6918125,11.237953125,-56.83108984375
-20.6584375,-22.9550546875,-25.5704375,0.950234375,2.94428515625,-17.31859765625,23.8086015625,-29.9681953125,-1.103546875,-7.048765625,-1.81014453125,-24.90709765625,50.36870703125,-16.74471875,-13.57449609375,-3.21848828125,14.92782421875,-2.7716640625,-12.8756015625,-19.79533203125,28.17938671875,23.82295703125,-12.426125,-5.62528515625,-15.793515625,-21.29375,9.1116328125,-21.2758125,12.831953125,-55.75008984375
-21.1004375,-23.4590546875,-26.2124375,0.696234375,3.01728515625,-18.28759765625,23.2996015625,-29.1341953125,-0.471546875,-7.578765625,-2.92614453125,-24.58609765625,47.86270703125,-16.77771875,-14.78649609375,-4.22848828125,14.28082421875,-1.4416640625,-12.9956015625,-21.24833203125,27.47638671875,25.30395703125,-10.883125,-5.50628515625,-16.171515625,-22.23375,9.9756328125,-20.3658125,13.410953125,-55.46908984375
-21.8084375,-24.1280546875,-26.9534375,0.498234375,3.05028515625,-19.06959765625,22.8356015625,-27.8721953125,-0.600546875,-7.897765625,-3.88614453125,-23.06409765625,44.97870703125,-16.66671875,-15.95649609375,-5.32648828125,14.19382421875,-0.5716640625,-12.9636015625,-22.78833203125,26.63238671875,26.54195703125,-9.832125,-5.70328515625,-16.735515625,-23.61775,10.1756328125,-20.0268125,13.074953125,-55.83108984375
-22.5974375,-24.7290546875,-27.6324375,0.363234375,2.74328515625,-19.64459765625,22.2876015625,-26.4971953125,-1.278546875,-8.270765625,-4.72814453125,-20.96309765625,42.38070703125,-16.82971875,-17.04549609375,-6.36748828125,14.60982421875,-0.6156640625,-13.1546015625,-24.33433203125,25.65538671875,27.00595703125,-9.773125,-6.50528515625,-17.581515625,-25.34975,9.5086328125,-20.3578125,11.884953125,-56.78108984375
-23.2714375,-25.0730546875,-28.1004375,0.246234375,1.97928515625,-19.99159765625,21.7126015625,-25.3141953125,-2.108546875,-8.876765625,-5.41514453125,-18.98709765625,40.60470703125,-17.54871875,-17.91249609375,-7.15848828125,15.28682421875,-1.6606640625,-13.9186015625,-25.80733203125,24.62238671875,26.37195703125,-11.028125,-8.19628515625,-18.798515625,-27.30275,7.8036328125,-21.3948125,9.898953125,-58.29608984375
-23.7104375,-25.0970546875,-28.2764375,0.0562343750000001,0.88028515625,-20.12359765625,21.2076015625,-24.5461953125,-2.783546875,-9.693765625,-5.85414453125,-17.60909765625,39.87570703125,-18.77571875,-18.37249609375,-7.53548828125,15.87382421875,-3.3726640625,-15.3536015625,-27.11333203125,23.67538671875,24.67795703125,-13.557125,-10.87728515625,-20.343515625,-29.30375,5.0276328125,-23.0508125,7.232953125,-60.31608984375
-23.9414375,-24.8980546875,-28.2204375,-0.337765625,-0.29271484375,-20.15259765625,20.7246015625,-24.3241953125,-3.311546875,-10.563765625,-5.99314453125,-17.00509765625,40.06970703125,-20.21371875,-18.34149609375,-7.46748828125,16.04782421875,-5.2606640625,-17.2736015625,-28.19233203125,22.95938671875,22.25595703125,-16.984125,-14.39928515625,-22.044515625,-31.18175,1.3076328125,-25.1588125,4.052953125,-62.71208984375
-24.1704375,-24.7240546875,-28.1734375,-1.079765625,-1.31171484375,-20.29659765625,20.1466015625,-24.6741953125,-3.990546875,-11.361765625,-5.92714453125,-17.19809765625,40.83470703125,-21.57471875,-17.96949609375,-7.11848828125,15.63482421875,-7.0566640625,-19.3666015625,-29.07433203125,22.53238671875,19.51595703125,-20.810125,-18.42928515625,-23.728515625,-32.83975,-3.1453671875,-27.5938125,0.500953125,-65.32808984375
-24.6884375,-24.8840546875,-28.4824375,-2.264765625,-2.13171484375,-20.81359765625,19.4206015625,-25.5371953125,-5.146546875,-12.123765625,-5.91014453125,-18.20009765625,41.76770703125,-22.78871875,-17.62549609375,-6.81848828125,14.66382421875,-8.8666640625,-21.3936015625,-29.89633203125,22.29738671875,16.73095703125,-24.625125,-22.57328515625,-25.369515625,-34.29975,-8.1113671875,-30.3428125,-3.365046875,-68.03908984375
-25.6854375,-25.5930546875,-29.3884375,-3.857765625,-2.92471484375,-21.89859765625,18.5036015625,-26.8101953125,-6.818546875,-13.041765625,-6.27414453125,-20.00109765625,42.55370703125,-23.99571875,-17.74149609375,-6.93448828125,13.36382421875,-10.9546640625,-23.2606015625,-30.83633203125,22.02438671875,14.01395703125,-28.171125,-26.47328515625,-27.097515625,-35.66675,-13.3473671875,-33.4368125,-7.516046875,-70.75708984375
-27.0924375,-26.8440546875,-30.8414375,-5.625765625,-3.94771484375,-23.55159765625,17.2926015625,-28.3441953125,-8.607546875,-14.301765625,-7.24914453125,-22.38809765625,43.00070703125,-25.32671875,-18.56149609375,-7.67548828125,12.11582421875,-13.3336640625,-24.9316015625,-31.98033203125,21.46538671875,11.47895703125,-31.236125,-29.82528515625,-29.061515625,-37.01075,-18.5153671875,-36.7678125,-11.812046875,-73.36008984375
-28.5794375,-28.3770546875,-32.4604375,-7.156765625,-5.30771484375,-25.48859765625,15.7926015625,-29.8671953125,-9.790546875,-15.896765625,-8.82114453125,-24.79909765625,42.99070703125,-26.68071875,-19.95549609375,-8.96048828125,11.35382421875,-15.5326640625,-26.3046015625,-33.22933203125,20.48938671875,9.39995703125,-33.554125,-32.38728515625,-31.264515625,-38.26675,-23.1323671875,-39.9738125,-15.909046875,-75.62808984375
-29.7254375,-29.7830546875,-33.7214375,-7.991765625,-6.80371484375,-27.20659765625,14.2916015625,-30.9641953125,-9.714546875,-17.569765625,-10.71214453125,-26.40009765625,42.48570703125,-27.71071875,-21.45449609375,-10.43948828125,11.38282421875,-16.7736640625,-27.2056015625,-34.33133203125,19.16838671875,8.17295703125,-34.834125,-34.01128515625,-33.509515625,-39.23175,-26.6803671875,-42.5178125,-19.326046875,-77.25808984375
-30.2394375,-30.7010546875,-34.2474375,-7.844765625,-8.00871484375,-28.21559765625,13.2046015625,-31.2301953125,-8.256546875,-18.917765625,-12.50814453125,-26.46509765625,41.58370703125,-28.03971875,-22.50849609375,-11.67848828125,12.21082421875,-16.4486640625,-27.4946015625,-35.01633203125,17.74738671875,8.10395703125,-34.910125,-34.69728515625,-35.476515625,-39.65475,-28.8013671875,-43.9448125,-21.647046875,-78.00308984375
