"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
2.05084375,7.9909765625,8.77070703125,10.658390625,1.47394140625,5.3717265625,9.0799609375,13.4781484375,1.77834375,-0.296097656249998,7.66505078125,8.51590234375,3.81438671875,2.01715234375,4.70521875,12.161296875,9.62952734375,-1.2288828125,2.2771484375,6.27208984375,8.11297265625,1.29435546875,-3.53517578125,2.82608203125,7.3773046875,4.64630859375,-5.7309609375,-3.4544296875,-1.65683203125,0.756722656250001
1.82384375,7.7939765625,7.43070703125,9.659390625,1.25994140625,3.9567265625,7.6009609375,12.0591484375,1.47634375,-0.0400976562499977,8.15505078125,7.93490234375,3.56238671875,1.88815234375,4.99821875,10.316296875,11.16052734375,-1.5388828125,2.5881484375,5.88608984375,7.46597265625,0.28735546875,-4.02317578125,1.64008203125,6.5363046875,3.83430859375,-6.6349609375,-3.9594296875,-2.07883203125,-0.578277343749999
0.94584375,6.8559765625,5.75870703125,8.429390625,0.15394140625,2.2367265625,5.7329609375,10.3251484375,0.199343750000001,-1.06009765625,7.35305078125,6.44390234375,2.46738671875,0.49215234375,4.01821875,8.058296875,11.11652734375,-2.4458828125,1.5281484375,4.28608984375,5.89697265625,-0.39864453125,-5.13517578125,-0.22691796875,4.6743046875,2.67530859375,-7.8139609375,-4.0234296875,-2.46183203125,-1.89327734375
-0.57015625,5.2779765625,3.81170703125,6.968390625,-1.86205859375,0.1307265625,3.4769609375,8.3671484375,-1.99965625,-3.43009765625,5.09205078125,4.23690234375,0.70738671875,-2.18284765625,1.60721875,5.542296875,9.66552734375,-4.0038828125,-0.927851562499999,1.54208984375,3.60997265625,-0.83864453125,-6.88817578125,-2.64091796875,1.9883046875,1.24330859375,-9.1419609375,-3.7474296875,-2.80683203125,-3.08727734375
-2.48415625,3.4219765625,1.78570703125,5.424390625,-4.51305859375,-2.3432734375,0.953960937500001,6.4791484375,-4.67165625,-6.80809765625,1.53605078125,1.84090234375,-1.21761328125,-5.70284765625,-1.99778125,3.042296875,7.50552734375,-6.0718828125,-4.3448515625,-1.89991015625,1.12797265625,-1.29264453125,-9.11117578125,-5.24291796875,-0.9886953125,-0.25169140625,-10.4209609375,-3.4394296875,-3.17883203125,-4.06527734375
-4.45815625,1.7029765625,-0.0792929687500004,4.052390625,-7.37405859375,-5.0462734375,-1.6640390625,5.0441484375,-7.17765625,-10.60509765625,-2.93094921875,-0.20209765625,-2.77661328125,-9.39184765625,-6.26978125,0.732296874999999,5.47652734375,-8.3828828125,-8.0588515625,-5.51091015625,-1.04302734375,-2.12564453125,-11.55417578125,-7.69391796875,-3.7446953125,-1.60869140625,-11.5399609375,-3.4884296875,-3.73583203125,-4.82227734375
-6.18615625,0.3989765625,-1.59729296875,3.087390625,-10.01105859375,-7.7162734375,-4.2000390625,4.3391484375,-8.96465625,-14.15409765625,-7.77994921875,-1.61809765625,-3.67361328125,-12.57984765625,-10.53478125,-1.452703125,4.17252734375,-10.6388828125,-11.4128515625,-8.90091015625,-2.69802734375,-3.63464453125,-13.96617578125,-9.84291796875,-6.0596953125,-2.76369140625,-12.5539609375,-4.1824296875,-4.64583203125,-5.48627734375
-7.45415625,-0.3940234375,-2.68229296875,2.636390625,-12.02705859375,-9.9592734375,-6.4530390625,4.3691484375,-9.74465625,-16.81809765625,-12.34294921875,-2.48909765625,-3.92661328125,-14.74984765625,-14.07678125,-3.747703125,3.74152734375,-12.5438828125,-13.9108515625,-11.86891015625,-3.98202734375,-5.84664453125,-16.09617578125,-11.71691796875,-8.0326953125,-3.81069140625,-13.5919609375,-5.5184296875,-5.92983203125,-6.22927734375
-8.14115625,-0.7030234375,-3.31329296875,2.664390625,-13.07005859375,-11.2962734375,-8.1630390625,4.8731484375,-9.50365625,-18.04409765625,-15.86394921875,-3.12509765625,-3.77761328125,-15.57284765625,-16.23778125,-6.326703125,3.92752734375,-13.8128828125,-15.2528515625,-14.30691015625,-5.20202734375,-8.40464453125,-17.65317578125,-13.37291796875,-9.8856953125,-4.86969140625,-14.6889609375,-7.1064296875,-7.33183203125,-7.12427734375
-8.20215625,-0.5830234375,-3.48529296875,3.062390625,-12.87105859375,-11.3002734375,-9.0480390625,5.4671484375,-8.40465625,-17.46909765625,-17.66994921875,-3.84709765625,-3.55361328125,-14.91284765625,-16.57578125,-9.107703125,4.24252734375,-14.1828828125,-15.3458515625,-16.12291015625,-6.58602734375,-10.65464453125,-18.33317578125,-14.77591796875,-11.7436953125,-5.95069140625,-15.6949609375,-8.2974296875,-8.38583203125,-8.05827734375
