"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-7.57554296875,-9.51688671875,-10.46941796875,-1.352546875,-9.8691171875,-15.69990234375,-11.48548046875,-8.01787109375,-8.141453125,-23.4933984375,-26.9244453125,-11.9953984375,-8.18169140625,-23.8514375,-23.67526171875,-18.096765625,-6.2295625,-16.13524609375,-21.1969765625,-19.06440234375,-12.8448203125,-6.09442578125,-12.9428984375,-15.43361328125,-19.11077734375,-8.0361015625,-14.58484765625,-15.43609375,-14.81741796875,-2.23874609375
-6.07754296875,-9.16988671875,-9.90841796875,-0.234546875,-7.8341171875,-13.47390234375,-12.75948046875,-12.41787109375,-6.400453125,-21.5063984375,-26.7314453125,-13.1963984375,-6.34569140625,-22.0634375,-23.53926171875,-18.801765625,-12.4005625,-14.67824609375,-20.6609765625,-20.21140234375,-16.4508203125,-5.13242578125,-11.9388984375,-16.74961328125,-22.84877734375,-11.4181015625,-14.91084765625,-13.61409375,-13.29841796875,-4.50074609375
-5.56354296875,-8.83488671875,-10.10741796875,0.387453125,-6.7811171875,-12.58790234375,-14.11348046875,-15.03587109375,-5.139453125,-20.3533984375,-26.0084453125,-13.9383984375,-5.51369140625,-20.7404375,-22.87126171875,-18.679765625,-15.4825625,-13.45324609375,-19.9659765625,-20.46540234375,-18.2088203125,-4.55942578125,-11.1138984375,-17.12061328125,-25.00277734375,-13.3721015625,-14.55884765625,-12.06709375,-12.00441796875,-5.85174609375
-5.75654296875,-8.30388671875,-10.60141796875,0.722453125,-6.5061171875,-12.76090234375,-15.24748046875,-15.55387109375,-4.164453125,-19.8403984375,-24.6754453125,-13.9373984375,-5.52869140625,-19.6474375,-21.57526171875,-17.594765625,-15.1995625,-12.29924609375,-18.9129765625,-19.69440234375,-17.8948203125,-4.17542578125,-10.3428984375,-16.34361328125,-25.28577734375,-13.6861015625,-13.34584765625,-10.66209375,-10.78741796875,-6.11774609375
-6.11654296875,-7.38288671875,-10.71741796875,1.123453125,-6.4961171875,-13.32090234375,-15.84548046875,-14.21587109375,-3.176453125,-19.5283984375,-22.8924453125,-13.0743984375,-5.84769140625,-18.4224375,-19.77226171875,-15.720765625,-12.2435625,-11.00124609375,-17.3719765625,-18.09540234375,-15.8788203125,-3.62742578125,-9.4498984375,-14.52561328125,-23.88477734375,-12.5191015625,-11.32984765625,-9.17309375,-9.42641796875,-5.36674609375
-6.23454296875,-6.06488671875,-10.07841796875,1.803453125,-6.2811171875,-13.65390234375,-15.77748046875,-11.73787109375,-2.041453125,-19.0333984375,-21.0384453125,-11.5243984375,-5.81169140625,-16.8704375,-17.79226171875,-13.506765625,-7.9645625,-9.50424609375,-15.4259765625,-16.13140234375,-12.9518203125,-2.67242578125,-8.3578984375,-12.09761328125,-21.38777734375,-10.2831015625,-8.84984765625,-7.45709375,-7.80941796875,-3.86974609375
-6.01854296875,-4.57588671875,-8.82041796875,2.684453125,-5.6901171875,-13.47090234375,-15.14348046875,-9.02287109375,-0.914453125,-18.2103984375,-19.5474453125,-9.7103984375,-4.96369140625,-15.1064375,-16.03126171875,-11.493765625,-3.8355625,-8.01624609375,-13.3899765625,-14.34240234375,-10.0068203125,-1.36642578125,-7.1638984375,-9.69461328125,-18.58877734375,-7.5051015625,-6.47384765625,-5.57909375,-6.05541796875,-2.05374609375
-5.57754296875,-3.27388671875,-7.40441796875,3.478453125,-4.8661171875,-12.80990234375,-14.14748046875,-6.80887109375,-0.122453125,-17.1413984375,-18.6904453125,-8.1093984375,-3.27869140625,-13.4784375,-14.77026171875,-10.095765625,-0.9425625,-6.92024609375,-11.6889765625,-13.12340234375,-7.7368203125,-0.0684257812499998,-6.0888984375,-7.96661328125,-16.23877734375,-4.7271015625,-4.84284765625,-3.82209375,-4.51641796875,-0.44474609375
-5.01854296875,-2.48188671875,-6.26741796875,3.907453125,-4.1071171875,-11.88890234375,-12.96748046875,-5.43387109375,0.0665468749999998,-16.0233984375,-18.4734453125,-7.0693984375,-1.19969140625,-12.3434375,-14.07926171875,-9.482765625,0.2974375,-6.53724609375,-10.6809765625,-12.62340234375,-6.5018203125,0.76857421875,-5.3608984375,-7.39761328125,-14.87677734375,-2.4621015625,-4.48584765625,-2.58709375,-3.63941796875,0.38525390625
-4.34954296875,-2.35988671875,-5.57541796875,3.902453125,-3.6851171875,-10.97890234375,-11.75148046875,-4.82987109375,-0.340453125,-15.0523984375,-18.6964453125,-6.7423984375,0.56230859375,-11.8704375,-13.85126171875,-9.622765625,0.0854375000000003,-6.90524609375,-10.5159765625,-12.79040234375,-6.3808203125,0.87957421875,-5.1038984375,-8.18561328125,-14.76677734375,-1.1471015625,-5.66084765625,-2.21609375,-3.78641796875,-0.0627460937500004
