"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-48.38076953125,-52.0283828125,-43.38159765625,-41.087453125,-37.30773046875,-39.85810546875,-18.02397265625,-29.37453125,-43.63719140625,-37.40201171875,-33.15110546875,-34.38112890625,-56.53106640625,-44.615078125,-41.658859375,-22.94998046875,-17.5900234375,-30.0152890625,-39.98301953125,-27.53667578125,-27.6444375,-18.82178125,-29.4311484375,-35.66691015625,-26.10493359375,-23.187546875,-28.7050859375,-20.3229453125,-19.743609375,-13.08601171875
-46.25876953125,-46.4513828125,-39.48259765625,-39.862453125,-37.16173046875,-35.73710546875,-30.13397265625,-31.98653125,-41.25019140625,-40.08701171875,-32.34410546875,-31.97012890625,-57.66906640625,-49.349078125,-40.596859375,-27.43298046875,-20.4720234375,-24.7952890625,-37.28101953125,-26.18867578125,-27.2004375,-14.59578125,-24.1781484375,-31.78791015625,-24.66693359375,-23.667546875,-25.2650859375,-14.4679453125,-16.169609375,-12.58801171875
-42.17276953125,-40.6963828125,-34.97359765625,-36.685453125,-34.14073046875,-30.79610546875,-35.08197265625,-31.81153125,-36.86019140625,-38.51701171875,-30.11710546875,-29.23712890625,-55.71606640625,-48.335078125,-37.706859375,-28.40298046875,-21.6550234375,-20.2212890625,-33.46801953125,-24.29267578125,-26.6804375,-10.84878125,-19.8571484375,-28.44691015625,-24.19693359375,-25.132546875,-23.0160859375,-10.9369453125,-14.749609375,-13.83601171875
-36.10276953125,-34.7433828125,-29.85859765625,-31.625453125,-28.24073046875,-24.86910546875,-33.11797265625,-29.24853125,-30.66319140625,-32.65801171875,-26.09610546875,-26.11712890625,-51.26306640625,-42.155078125,-32.812859375,-25.90298046875,-21.2980234375,-16.9052890625,-28.93301953125,-21.72967578125,-26.0334375,-8.44278125,-16.9861484375,-25.83891015625,-24.61393359375,-27.477546875,-22.1880859375,-10.2999453125,-15.736609375,-16.89501171875
-29.02076953125,-28.9933828125,-24.65259765625,-25.674453125,-20.72473046875,-18.36910546875,-26.69897265625,-25.64553125,-23.90719140625,-24.17301171875,-20.57910546875,-22.84812890625,-46.16706640625,-33.552078125,-26.630859375,-21.24998046875,-20.1680234375,-15.5472890625,-24.74901953125,-18.77567578125,-25.3724375,-8.30378125,-16.0491484375,-24.18891015625,-25.60993359375,-30.255546875,-22.7430859375,-12.5009453125,-18.712609375,-21.16601171875
-22.70076953125,-24.3813828125,-20.37159765625,-20.451453125,-13.76973046875,-12.42610546875,-19.13497265625,-22.55053125,-18.53219140625,-15.87101171875,-14.71610546875,-20.04012890625,-42.61206640625,-26.134078125,-20.743859375,-16.50298046875,-19.1980234375,-16.6622890625,-22.30701953125,-16.19667578125,-25.0254375,-10.89278125,-17.3141484375,-23.76491015625,-26.90693359375,-32.920546875,-24.4390859375,-16.8259453125,-22.735609375,-25.59201171875
-19.07776953125,-22.0463828125,-18.16759765625,-17.557453125,-9.66373046875,-8.57610546875,-13.43597265625,-21.04953125,-16.37919140625,-10.72301171875,-10.26410546875,-18.46612890625,-42.11306640625,-22.920078125,-17.131859375,-13.77898046875,-19.0330234375,-20.2342890625,-22.67901953125,-15.04367578125,-25.3954375,-15.78878125,-20.5601484375,-24.72891015625,-28.37093359375,-35.021546875,-26.8200859375,-21.9709453125,-26.587609375,-29.00801171875
-19.41676953125,-22.7493828125,-18.77459765625,-17.884453125,-9.87873046875,-8.12810546875,-11.53797265625,-21.43353125,-18.34719140625,-10.74901171875,-8.95810546875,-18.67812890625,-44.91806640625,-25.247078125,-17.381859375,-14.55298046875,-19.7870234375,-25.4962890625,-26.02801953125,-16.19167578125,-26.6954375,-21.67278125,-24.9091484375,-26.91091015625,-29.96593359375,-36.306546875,-29.2300859375,-26.2929453125,-29.064609375,-30.52901171875
-23.72076953125,-26.4133828125,-22.09959765625,-21.233453125,-14.44773046875,-11.52610546875,-13.84497265625,-23.17553125,-23.93819140625,-16.20901171875,-11.73510546875,-20.69012890625,-50.02006640625,-32.327078125,-21.939859375,-19.11298046875,-21.1180234375,-31.0352890625,-31.39901953125,-19.87067578125,-28.7824375,-26.75378125,-28.9801484375,-29.74391015625,-31.66493359375,-36.718546875,-30.9400859375,-28.2919453125,-29.337609375,-29.84501171875
-30.65376953125,-32.0093828125,-27.15359765625,-26.378453125,-21.90073046875,-17.99110546875,-19.21797265625,-25.20253125,-31.38219140625,-25.41101171875,-18.18410546875,-23.89512890625,-55.65206640625,-41.588078125,-29.772859375,-26.40398046875,-22.5070234375,-35.2202890625,-37.03201953125,-25.46867578125,-31.1834375,-29.44678125,-31.3841484375,-32.43291015625,-33.39593359375,-36.365546875,-31.4020859375,-27.1619453125,-27.248609375,-27.31801171875
