"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-9.815453125,-13.74913671875,-10.73513671875,1.81024609375,-8.95312109375,-14.25231640625,-16.7454765625,-0.35221484375,5.20471875,-16.9811484375,-18.98055859375,-15.34394921875,-2.78171484375,-11.45160546875,-23.0123515625,-13.46050390625,-7.1048125,-8.63598046875,-12.1873125,-14.70398828125,-7.87723046875,-0.193203125,-12.86546484375,-14.4106953125,-21.26487890625,-1.8189375,-8.76630859375,-7.7030390625,-3.01082421875,0.64682421875
-9.446453125,-11.57413671875,-9.22913671875,1.47024609375,-9.24512109375,-15.84831640625,-16.4504765625,-1.54521484375,4.26871875,-15.5461484375,-19.74055859375,-14.92494921875,-1.96171484375,-9.69160546875,-22.9433515625,-12.63850390625,-6.9958125,-6.72598046875,-13.5073125,-12.81898828125,-6.66823046875,1.299796875,-10.35446484375,-13.5186953125,-20.47287890625,-0.494937500000001,-12.33130859375,-5.5630390625,-1.88682421875,0.18182421875
-9.288453125,-10.01313671875,-8.41313671875,1.37524609375,-7.81312109375,-15.49531640625,-15.4244765625,-2.21421484375,4.69271875,-13.4041484375,-19.26055859375,-14.56594921875,-1.83671484375,-7.52560546875,-21.8883515625,-12.40650390625,-7.0238125,-4.91998046875,-13.4263125,-11.45198828125,-5.84223046875,3.012796875,-8.04646484375,-12.3416953125,-19.81687890625,0.883062499999999,-13.78130859375,-2.8970390625,-0.23782421875,0.64682421875
-9.300453125,-9.17613671875,-8.31813671875,1.33924609375,-4.94912109375,-13.37231640625,-13.6474765625,-2.39121484375,6.20971875,-10.6391484375,-17.55755859375,-14.28794921875,-2.63971484375,-5.10660546875,-19.9023515625,-12.72150390625,-7.2018125,-3.37698046875,-12.1703125,-10.66098828125,-5.59223046875,4.871796875,-6.09446484375,-10.9436953125,-19.37987890625,2.1220625,-13.28730859375,0.1289609375,1.71917578125,1.88582421875
-9.383453125,-9.10513671875,-8.77613671875,1.12424609375,-1.64112109375,-10.33231640625,-11.3544765625,-2.23921484375,8.03371875,-7.6561484375,-15.05655859375,-14.05494921875,-4.47071484375,-2.83160546875,-17.4083515625,-13.33150390625,-7.4608125,-2.29598046875,-10.4543125,-10.37198828125,-6.00923046875,6.609796875,-4.69646484375,-9.5606953125,-19.24087890625,2.9690625,-11.65530859375,3.0259609375,3.46017578125,3.35582421875
-9.450453125,-9.79313671875,-9.50813671875,0.63624609375,0.908878906250001,-7.42431640625,-8.9154765625,-1.90421484375,9.27071875,-5.0121484375,-12.35855859375,-13.75994921875,-7.22371484375,-1.20060546875,-15.0063515625,-13.89750390625,-7.6258125,-1.83198046875,-9.0663125,-10.43598828125,-6.98523046875,7.822796875,-4.05146484375,-8.5196953125,-19.44687890625,3.2870625,-9.79030859375,5.1449609375,4.38617578125,4.40282421875
-9.457453125,-11.13213671875,-10.23413671875,-0.0627539062499998,1.77787890625,-5.44731640625,-6.6964765625,-1.42321484375,9.26171875,-3.2031484375,-10.03255859375,-13.26694921875,-10.53471484375,-0.626605468749999,-13.2533515625,-14.15350390625,-7.4918125,-2.02298046875,-8.5203125,-10.72498828125,-8.21123046875,8.102796875,-4.27946484375,-8.1206953125,-20.00787890625,3.1440625,-8.31830859375,5.9069609375,4.10417578125,4.56282421875
-9.421453125,-12.83113671875,-10.75413671875,-0.89875390625,0.628878906250001,-4.72831640625,-4.9814765625,-0.76521484375,7.75671875,-2.5011484375,-8.47955859375,-12.50394921875,-13.83171484375,-1.28760546875,-12.5053515625,-14.02050390625,-6.9658125,-2.79698046875,-8.9243125,-11.19098828125,-9.27423046875,7.196796875,-5.35946484375,-8.5236953125,-20.90587890625,2.7700625,-7.52430859375,5.0079609375,2.60617578125,3.71982421875
-9.398453125,-14.44513671875,-10.99813671875,-1.90175390625,-2.20812109375,-5.12731640625,-3.9544765625,0.0707851562500001,4.94771875,-2.8851484375,-7.88655859375,-11.52794921875,-16.50471484375,-3.04760546875,-12.8413515625,-13.62450390625,-6.1918125,-4.02598046875,-10.0153125,-11.85298828125,-9.81723046875,5.125796875,-7.10546484375,-9.6756953125,-22.08187890625,2.3920625,-7.44730859375,2.5349609375,0.25417578125,2.07982421875
-9.440453125,-15.49213671875,-11.00613671875,-3.16275390625,-5.86012109375,-6.19731640625,-3.6984765625,0.96678515625,1.42071875,-4.0621484375,-8.19455859375,-10.50794921875,-18.09971484375,-5.47060546875,-14.0603515625,-13.20050390625,-5.5268125,-5.56798046875,-11.2903125,-12.70698828125,-9.65823046875,2.228796875,-9.19446484375,-11.3146953125,-23.39587890625,2.1080625,-7.97730859375,-1.0130390625,-2.35782421875,0.0268242187499996
