"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.5444765625,1.0785703125,-4.02162109375,-4.54840625,-2.56089453125,-4.99416796875,-5.4268359375,-3.74324609375,-4.66440234375,2.01653515625,-5.37115625,-3.9936640625,0.34280859375,-3.08026171875,1.81032421875,-6.96898046875,-8.321375,1.33890625,-1.32425390625,-4.12612890625,-6.68464453125,1.079,-0.86039453125,1.40648046875,-5.62316796875,-5.9647890625,-0.24883984375,-1.6038984375,-3.70827734375,-0.63109375
-1.7794765625,1.6925703125,-4.01762109375,-4.83340625,-3.02789453125,-5.45816796875,-6.1448359375,-4.49024609375,-4.91540234375,1.02253515625,-7.33315625,-5.6346640625,0.41180859375,-3.87226171875,-0.27367578125,-9.26998046875,-10.402375,0.82390625,-2.87525390625,-6.58212890625,-10.26664453125,-0.0120000000000002,-1.59139453125,-0.54251953125,-8.57016796875,-9.0217890625,-1.69083984375,-2.0938984375,-6.39627734375,-3.85909375
-1.2554765625,2.0025703125,-4.03462109375,-4.76340625,-3.20289453125,-5.56916796875,-6.6708359375,-5.66224609375,-5.07340234375,0.62653515625,-8.44815625,-7.1156640625,0.64380859375,-4.32726171875,-1.55367578125,-10.98498046875,-12.065375,0.72190625,-3.63325390625,-8.34312890625,-13.01364453125,-0.669,-1.87039453125,-1.72151953125,-10.62116796875,-11.2847890625,-2.69683984375,-2.2848984375,-8.31027734375,-5.89409375
-1.0994765625,1.8435703125,-4.17862109375,-4.43440625,-3.14089453125,-5.34916796875,-7.0368359375,-7.26024609375,-5.14540234375,0.85853515625,-8.67015625,-8.3696640625,1.02580859375,-4.31326171875,-1.85167578125,-11.89398046875,-13.172375,1.03190625,-3.41425390625,-9.12912890625,-14.60764453125,-0.846,-1.60439453125,-1.94951953125,-11.44016796875,-12.5007890625,-3.01083984375,-2.0618984375,-9.20527734375,-6.45209375
-1.3274765625,1.1775703125,-4.52062109375,-4.05640625,-2.94489453125,-4.90816796875,-7.2938359375,-9.06924609375,-5.10940234375,1.59853515625,-8.17815625,-9.2876640625,1.52080859375,-3.74426171875,-1.19567578125,-11.88798046875,-13.620375,1.63590625,-2.22925390625,-8.78212890625,-14.86764453125,-0.614,-0.79039453125,-1.20451953125,-10.87516796875,-12.5587890625,-2.44283984375,-1.3528984375,-8.98927734375,-5.53709375
-1.8194765625,0.1375703125,-5.02462109375,-3.83440625,-2.68889453125,-4.38316796875,-7.4768359375,-10.74824609375,-4.92940234375,2.65053515625,-7.26615625,-9.7406640625,2.07480859375,-2.63626171875,0.16032421875,-11.03198046875,-13.364375,2.35790625,-0.29625390625,-7.35512890625,-13.82764453125,-0.139,0.47060546875,0.36148046875,-9.06216796875,-11.5197890625,-1.00583984375,-0.1818984375,-7.76427734375,-3.44609375
-2.4074765625,-1.0464296875,-5.57962109375,-3.89740625,-2.43289453125,-3.92516796875,-7.6458359375,-12.01224609375,-4.62040234375,3.76253515625,-6.28915625,-9.6866640625,2.57280859375,-1.18726171875,1.74632421875,-9.63698046875,-12.484375,2.99290625,1.94474609375,-5.21412890625,-11.82564453125,0.346,1.93460546875,2.38648046875,-6.48216796875,-9.6687890625,0.97016015625,1.2681015625,-5.87727734375,-0.74309375
-3.0014765625,-2.2024296875,-6.12062109375,-4.31740625,-2.29289453125,-3.74416796875,-7.9558359375,-12.79024609375,-4.31240234375,4.61853515625,-5.64615625,-9.2956640625,2.80080859375,0.193738281249999,2.94932421875,-8.24798046875,-11.265375,3.31590625,3.87274609375,-3.04712890625,-9.51164453125,0.588,3.19360546875,4.28648046875,-3.89816796875,-7.5187890625,2.86516015625,2.6391015625,-3.88427734375,1.83790625
-3.6584765625,-3.3044296875,-6.71562109375,-5.12340625,-2.46389453125,-4.09716796875,-8.6338359375,-13.24024609375,-4.21140234375,4.86853515625,-5.73415625,-8.9306640625,2.50680859375,1.00073828125,3.18532421875,-7.49698046875,-10.172375,3.13090625,4.84874609375,-1.67612890625,-7.68964453125,0.398,3.77560546875,5.38648046875,-2.12616796875,-5.7077890625,3.97816015625,3.4961015625,-2.40627734375,3.58490625
-4.5054765625,-4.4114296875,-7.50462109375,-6.26040625,-3.10889453125,-5.16716796875,-9.8458359375,-13.62624609375,-4.46740234375,4.28453515625,-6.77915625,-8.9636640625,1.54980859375,0.871738281249999,2.15732421875,-7.81198046875,-9.666375,2.38690625,4.48974609375,-1.69712890625,-7.00264453125,-0.241,3.38160546875,5.20348046875,-1.70816796875,-4.7677890625,3.86816015625,3.5251015625,-1.86527734375,4.07590625
-5.6064765625,-5.5244296875,-8.53562109375,-7.51840625,-4.20089453125,-6.89416796875,-11.5238359375,-14.13524609375,-5.04340234375,2.93853515625,-8.63915625,-9.5126640625,0.0508085937499998,-0.16626171875,0.0583242187500001,-9.13398046875,-9.942375,1.28290625,2.91474609375,-3.12812890625,-7.60364453125,-1.109,2.11060546875,3.74448046875,-2.62816796875,-4.8847890625,2.62216015625,2.7371015625,-2.26527734375,3.36790625
-6.8314765625,-6.4874296875,-9.63362109375,-8.55240625,-5.46589453125,-8.89716796875,-13.2908359375,-14.72524609375,-5.69640234375,1.24753515625,-10.76215625,-10.3136640625,-1.60019140625,-1.66626171875,-2.43267578125,-10.84898046875,-10.766375,0.23590625,0.77174609375,-5.31912890625,-9.03064453125,-1.807,0.50060546875,1.59748046875,-4.28416796875,-5.8117890625,0.86916015625,1.5211015625,-3.15727734375,1.97890625
-7.8854765625,-7.0524296875,-10.43262109375,-9.05540625,-6.51789453125,-10.60616796875,-14.5928359375,-15.12824609375,-6.13240234375,-0.20346484375,-12.39815625,-10.8526640625,-2.92619140625,-2.97626171875,-4.42867578125,-12.06198046875,-11.560375,-0.32109375,-1.04425390625,-7.23012890625,-10.40664453125,-1.956,-0.71339453125,-0.30251953125,-5.77116796875,-6.9967890625,-0.51483984375,0.4891015625,-3.85127734375,0.63790625
-8.4604765625,-7.0414296875,-10.57762109375,-8.96340625,-7.09089453125,-11.51616796875,-14.9698359375,-15.01824609375,-6.23640234375,-0.95546484375,-12.96615625,-10.6846640625,-3.62419140625,-3.60926171875,-5.23767578125,-12.05298046875,-11.718375,-0.20709375,-1.81925390625,-7.95212890625,-10.87764453125,-1.422,-0.97839453125,-1.12851953125,-6.33116796875,-7.8617890625,-0.85083984375,0.1561015625,-3.78027734375,-0.0620937499999998
-8.4244765625,-6.4804296875,-9.92562109375,-8.54140625,-7.20289453125,-11.41816796875,-14.3078359375,-14.24424609375,-6.20140234375,-0.88346484375,-12.33715625,-9.7216640625,-3.73319140625,-3.49926171875,-4.67367578125,-10.67398046875,-10.947375,0.37190625,-1.35325390625,-7.15612890625,-10.03664453125,-0.425,-0.21239453125,-0.56351953125,-5.69616796875,-8.0487890625,0.0131601562499999,0.6731015625,-2.79027734375,0.0879062500000003
-7.8774765625,-5.6054296875,-8.64762109375,-8.24640625,-7.11489453125,-10.45516796875,-12.8828359375,-12.92524609375,-6.42340234375,-0.21546484375,-10.87615625,-8.2976640625,-3.59119140625,-3.00226171875,-3.09467578125,-8.42998046875,-9.415375,0.92390625,-0.0132539062500001,-5.22412890625,-8.08464453125,0.546,1.16760546875,1.06848046875,-4.16916796875,-7.5167890625,1.66016015625,1.7601015625,-1.20427734375,0.90190625
-7.0684765625,-4.7554296875,-7.13862109375,-8.48040625,-7.15389453125,-9.01816796875,-11.2028359375,-11.36024609375,-7.21340234375,0.62553515625,-9.23615625,-6.9686640625,-3.62819140625,-2.64826171875,-1.19367578125,-6.22998046875,-7.627375,0.94790625,1.49874609375,-3.00812890625,-5.68464453125,0.968,2.47360546875,3.01148046875,-2.40816796875,-6.4767890625,3.35916015625,2.8771015625,0.36172265625,1.97490625
-6.2564765625,-4.2144296875,-5.84462109375,-9.36440625,-7.50389453125,-7.55516796875,-9.7758359375,-9.87624609375,-8.56740234375,1.24153515625,-8.02715625,-6.2166640625,-4.13219140625,-2.81026171875,0.34432421875,-4.93398046875,-6.140375,0.21890625,2.51174609375,-1.37112890625,-3.61964453125,0.533,3.10060546875,4.48248046875,-1.06116796875,-5.2277890625,4.45816015625,3.5331015625,1.31972265625,2.93190625
-5.6274765625,-4.1174296875,-5.07462109375,-10.68340625,-8.12189453125,-6.39816796875,-8.9268359375,-8.72124609375,-10.12940234375,1.43053515625,-7.54615625,-6.2126640625,-5.12219140625,-3.49826171875,1.12632421875,-4.94798046875,-5.293375,-1.08009375,2.70674609375,-0.76612890625,-2.43264453125,-0.699,2.81960546875,5.05348046875,-0.45216796875,-3.9847890625,4.68516015625,3.5381015625,1.38472265625,3.59890625
-5.2784765625,-4.4354296875,-4.91962109375,-12.00140625,-8.78089453125,-5.68416796875,-8.7338359375,-8.02524609375,-11.38140234375,1.22953515625,-7.69215625,-6.7736640625,-6.36319140625,-4.36526171875,1.15832421875,-6.04798046875,-5.082375,-2.45209375,2.23174609375,-1.05412890625,-2.22164453125,-2.331,1.85960546875,4.80248046875,-0.44816796875,-2.8057890625,4.23816015625,3.0831015625,0.68672265625,4.03890625
-5.2224765625,-5.0274296875,-5.26262109375,-12.90040625,-9.20889453125,-5.37916796875,-9.0548359375,-7.77424609375,-11.89040234375,0.83253515625,-8.09315625,-7.4696640625,-7.49419140625,-4.91526171875,0.77032421875,-7.51498046875,-5.235375,-3.35609375,1.56074609375,-1.65212890625,-2.65064453125,-3.825,0.76360546875,4.20648046875,-0.591167968749999,-1.6387890625,3.62416015625,2.5901015625,-0.32927734375,4.46590625
-5.4034765625,-5.6934296875,-5.86462109375,-13.17140625,-9.21089453125,-5.33116796875,-9.5998359375,-7.81824609375,-11.48540234375,0.47353515625,-8.31915625,-7.8216640625,-8.19819140625,-4.76326171875,0.41632421875,-8.48298046875,-5.388375,-3.47909375,1.22474609375,-1.86212890625,-3.13264453125,-4.755,0.10660546875,3.85748046875,-0.376167968749999,-0.441789062499999,3.38516015625,2.4781015625,-1.13627734375,5.10090625
-5.6994765625,-6.1954296875,-6.44462109375,-12.86040625,-8.70889453125,-5.32116796875,-10.0308359375,-7.93224609375,-10.29640234375,0.37053515625,-8.05115625,-7.4896640625,-8.34519140625,-3.79826171875,0.48232421875,-8.30698046875,-5.267375,-2.85209375,1.56774609375,-1.20912890625,-3.10164453125,-4.969,0.22860546875,4.17248046875,0.48883203125,0.7292109375,3.85116015625,2.9711015625,-1.34827734375,6.04890625
-5.9254765625,-6.2814296875,-6.73062109375,-12.15740625,-7.72289453125,-5.09316796875,-10.0448359375,-7.88924609375,-8.64140234375,0.70753515625,-7.14215625,-6.3756640625,-8.02719140625,-2.18926171875,1.17332421875,-6.79698046875,-4.767375,-1.78009375,2.63174609375,0.37587109375,-2.22964453125,-4.603,1.12660546875,5.23248046875,1.95383203125,1.7132109375,5.02916015625,4.0381015625,-0.84927734375,7.25290625
