"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-16.91634375,-18.1380625,-14.7914453125,-6.24816015625,-18.007625,-19.0876171875,-15.4462421875,-12.590171875,-8.80724609375,-22.63170703125,-23.47126953125,-17.52384375,5.2308515625,-9.8226171875,-26.095328125,-19.98374609375,1.93042578125,-4.39349609375,-18.836625,-25.25403515625,-14.44855859375,5.0654921875,-8.41229296875,-20.040578125,-16.60987109375,1.531875,2.4710078125,7.75644140625,7.73481640625,7.05044921875
-17.26434375,-17.5240625,-14.1454453125,-6.71416015625,-18.301625,-17.7106171875,-23.8892421875,-12.766171875,-8.19624609375,-21.54270703125,-23.35826953125,-16.17284375,7.3388515625,-8.4476171875,-24.641328125,-19.79974609375,7.88242578125,-2.36849609375,-17.183625,-23.95403515625,-11.11755859375,8.7524921875,-6.13829296875,-19.109578125,-14.24387109375,5.938875,5.7390078125,14.00544140625,11.20481640625,9.02244921875
-18.01734375,-17.4960625,-14.1254453125,-6.93216015625,-18.494625,-17.2766171875,-28.8612421875,-11.991171875,-7.87424609375,-20.60070703125,-23.11026953125,-14.14584375,9.8698515625,-8.3206171875,-22.755328125,-19.03674609375,12.35142578125,-1.69349609375,-16.000625,-22.09503515625,-8.96655859375,10.1574921875,-5.16829296875,-17.285578125,-12.27387109375,7.766875,8.1070078125,17.46444140625,12.88481640625,9.38944921875
-19.09234375,-17.8490625,-14.4814453125,-6.73716015625,-18.588625,-17.7176171875,-30.3352421875,-10.170171875,-7.69524609375,-20.09570703125,-22.82626953125,-11.55484375,12.4798515625,-9.5686171875,-20.950328125,-17.86874609375,14.99342578125,-2.50149609375,-15.508625,-20.11003515625,-8.21855859375,8.9624921875,-5.71629296875,-14.972578125,-11.07987109375,6.707875,9.1900078125,17.51344140625,12.34981640625,7.90044921875
-20.12434375,-18.0450625,-14.6454453125,-5.94116015625,-18.551625,-18.5886171875,-29.2812421875,-7.535171875,-7.35724609375,-20.26870703125,-22.64426953125,-8.82484375,14.4698515625,-11.8876171875,-19.961328125,-16.69174609375,15.82842578125,-4.43749609375,-15.796625,-18.70103515625,-8.74255859375,5.5624921875,-7.54429296875,-12.948578125,-10.96687109375,3.336875,8.8630078125,14.31944140625,9.74681640625,4.89244921875
-20.59934375,-17.5230625,-14.0794453125,-4.44416015625,-18.348625,-19.3476171875,-27.0652421875,-4.590171875,-6.62524609375,-21.16370703125,-22.71426953125,-6.59284375,15.0458515625,-14.6866171875,-20.330328125,-15.96774609375,15.16542578125,-6.83249609375,-16.785625,-18.46803515625,-10.14955859375,0.8774921875,-10.06129296875,-11.969578125,-12.00787109375,-1.116125,7.3350078125,8.74844140625,5.76681640625,1.17744921875
-20.16734375,-16.1210625,-12.7084453125,-2.45716015625,-18.078625,-19.7236171875,-24.9462421875,-2.026171875,-5.61924609375,-22.65470703125,-23.21926953125,-5.56984375,13.6488515625,-17.3876171875,-22.152328125,-16.10074609375,13.45742578125,-9.04649609375,-18.301625,-19.65003515625,-12.02355859375,-4.0015078125,-12.62529296875,-12.461578125,-14.03287109375,-5.282125,5.0380078125,2.06444140625,1.37581640625,-2.31855078125
-18.90134375,-14.2560625,-11.0714453125,-0.59616015625,-18.054625,-19.8836171875,-23.8932421875,-0.610171875000001,-4.89724609375,-24.56170703125,-24.33126953125,-6.31684375,10.2438515625,-19.7266171875,-25.033328125,-17.33574609375,11.17542578125,-10.74949609375,-20.181625,-22.02703515625,-14.07555859375,-8.1495078125,-14.78829296875,-14.361578125,-16.67187109375,-8.172125,2.4590078125,-4.36055859375,-2.49718359375,-4.93455078125
-17.29634375,-12.7230625,-10.0634453125,0.31783984375,-18.672625,-20.2556171875,-24.4912421875,-0.990171875000001,-5.18824609375,-26.68870703125,-26.04626953125,-8.97184375,5.3958515625,-21.7986171875,-28.217328125,-19.61174609375,8.75142578125,-11.96849609375,-22.272625,-24.98003515625,-16.14155859375,-11.0065078125,-16.37829296875,-17.120578125,-19.41687109375,-9.460125,0.0490078125000011,-9.26155859375,-5.17418359375,-6.44055078125
-16.02834375,-12.2610625,-10.4304453125,-0.32716015625,-20.126625,-21.1966171875,-26.7052421875,-3.355171875,-6.95824609375,-28.77570703125,-28.06326953125,-13.08584375,0.1358515625,-23.7866171875,-30.828328125,-22.44774609375,6.57142578125,-12.95549609375,-24.377625,-27.66003515625,-18.08155859375,-12.4175078125,-17.41229296875,-19.880578125,-21.71387109375,-9.428125,-1.8179921875,-11.67255859375,-6.31218359375,-6.96455078125
