"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-15.1050078125,-15.75883984375,-11.5569921875,-2.17327734375,-1.56362109375,1.39873828125,8.07958203125,-3.0617890625,-2.12570703125,-5.926984375,-9.620734375,-2.8006796875,-7.49628125,-6.92680859375,-9.94659375,-9.18828515625,-0.57278515625,-6.8154375,-7.5197734375,-11.004125,-8.40328515625,-7.56591015625,-2.3418671875,-9.26663671875,-4.41527734375,-1.6721796875,-5.08223046875,-1.8941484375,-4.9015390625,-3.3058359375
-12.4980078125,-10.53683984375,-5.1089921875,-2.56527734375,-1.73862109375,-1.40426171875,7.10958203125,-2.7467890625,-5.21570703125,-5.525984375,-7.294734375,-1.2486796875,-6.60428125,-5.91780859375,-7.91759375,-7.64728515625,-0.37478515625,-6.3254375,-7.3727734375,-9.560125,-5.97628515625,-8.51591015625,-2.5068671875,-7.86363671875,-3.13827734375,0.1648203125,-4.68423046875,-2.2741484375,-3.9525390625,-2.5978359375
-10.6410078125,-7.33183984375,-1.2029921875,-2.91027734375,-1.80062109375,-3.02826171875,6.74958203125,-2.6697890625,-7.11570703125,-5.573984375,-6.089734375,-0.462679687500001,-6.82528125,-5.28280859375,-6.77859375,-6.46928515625,-0.70878515625,-6.1274375,-7.2567734375,-8.548125,-4.52328515625,-9.06291015625,-2.5208671875,-6.89263671875,-2.04527734375,1.2738203125,-4.37323046875,-2.6181484375,-3.4315390625,-2.2398359375
-10.0050078125,-6.48883984375,-0.369992187499996,-3.28527734375,-1.91962109375,-3.74226171875,6.58558203125,-3.0297890625,-7.93370703125,-6.153984375,-6.187734375,-0.6566796875,-7.93628125,-5.09380859375,-6.63659375,-5.90928515625,-1.60378515625,-6.2404375,-7.2537734375,-8.196125,-4.14528515625,-9.21491015625,-2.4658671875,-6.44063671875,-1.35627734375,1.5748203125,-4.21523046875,-2.9561484375,-3.3835390625,-2.3168359375
-10.8780078125,-7.81683984375,-2.4739921875,-3.73527734375,-2.25762109375,-4.10326171875,6.03458203125,-3.9227890625,-8.06270703125,-7.145984375,-7.402734375,-1.8106796875,-9.21128125,-5.28680859375,-7.29359375,-6.15628515625,-2.81278515625,-6.5534375,-7.4097734375,-8.605125,-4.65228515625,-9.07091015625,-2.4188671875,-6.45563671875,-1.27227734375,1.1948203125,-4.23823046875,-3.2771484375,-3.6995390625,-2.7808359375
-13.1640078125,-10.70683984375,-6.8059921875,-4.20327734375,-2.81262109375,-4.51726171875,4.76758203125,-5.2357890625,-7.85770703125,-8.213984375,-9.214734375,-3.6306796875,-9.77628125,-5.65080859375,-8.31459375,-7.20928515625,-3.85578515625,-6.8284375,-7.6667734375,-9.652125,-5.66628515625,-8.72791015625,-2.3468671875,-6.73863671875,-1.84627734375,0.3888203125,-4.38723046875,-3.4701484375,-4.1465390625,-3.4308359375
-16.3730078125,-14.33383984375,-12.3229921875,-4.55127734375,-3.39362109375,-5.04626171875,2.90958203125,-6.6787890625,-7.47970703125,-8.917984375,-10.940734375,-5.6296796875,-9.06128125,-5.89480859375,-9.18159375,-8.83128515625,-4.25578515625,-6.7984375,-7.8767734375,-11.006125,-6.78628515625,-8.23091015625,-2.1218671875,-7.01863671875,-2.93127734375,-0.5641796875,-4.53423046875,-3.3501484375,-4.4515390625,-3.9738359375
-19.8080078125,-17.88283984375,-17.9379921875,-4.65827734375,-3.73862109375,-5.50226171875,0.93158203125,-7.9437890625,-6.92370703125,-8.903984375,-11.970734375,-7.2846796875,-7.06628125,-5.76780859375,-9.48659375,-10.61028515625,-3.83178515625,-6.2944375,-7.9037734375,-12.233125,-7.73028515625,-7.59691015625,-1.6258671875,-7.07563671875,-4.23827734375,-1.4511796875,-4.54823046875,-2.7651484375,-4.4235390625,-4.1568359375
-22.8060078125,-20.75783984375,-22.7829921875,-4.49627734375,-3.66362109375,-5.64226171875,-0.60341796875,-8.8407890625,-6.13570703125,-8.074984375,-11.989734375,-8.2196796875,-4.32228125,-5.17080859375,-9.06459375,-12.09528515625,-2.83978515625,-5.3394375,-7.7067734375,-12.949125,-8.39128515625,-6.85591015625,-0.859867187500001,-6.84563671875,-5.45627734375,-2.1741796875,-4.37823046875,-1.7221484375,-4.0495390625,-3.8948359375
-24.9320078125,-22.70183984375,-26.3549921875,-4.13327734375,-3.14362109375,-5.32126171875,-1.27441796875,-9.3477890625,-5.12170703125,-6.643984375,-11.065734375,-8.2976796875,-1.62328125,-4.20280859375,-8.02659375,-12.91728515625,-1.82078515625,-4.1284375,-7.3537734375,-12.931125,-8.78428515625,-6.07291015625,0.0551328124999992,-6.43063671875,-6.35227734375,-2.7161796875,-4.06923046875,-0.4241484375,-3.4745390625,-3.3038359375
-26.0770078125,-23.80183984375,-28.5629921875,-3.68527734375,-2.31262109375,-4.57526171875,-0.97241796875,-9.5697890625,-4.00970703125,-5.029984375,-9.556734375,-7.6306796875,0.29771875,-3.08980859375,-6.64759375,-12.87528515625,-1.26878515625,-2.9114375,-6.9397734375,-12.142125,-8.91828515625,-5.32791015625,0.978132812499999,-5.99963671875,-6.78627734375,-3.0561796875,-3.71023046875,0.8218515625,-2.8885390625,-2.6188359375
-26.4290078125,-24.36883984375,-29.6469921875,-3.25227734375,-1.38362109375,-3.61526171875,0.0685820312499998,-9.6647890625,-3.04970703125,-3.661984375,-7.919734375,-6.4896796875,1.01471875,-2.04680859375,-5.22059375,-11.95328515625,-1.35978515625,-1.8524375,-6.5037734375,-10.707125,-8.71928515625,-4.67491015625,1.8371328125,-5.64963671875,-6.69627734375,-3.1201796875,-3.34523046875,1.7558515625,-2.3845390625,-2.0498359375
-26.3480078125,-24.76083984375,-30.0449921875,-2.89327734375,-0.56262109375,-2.72526171875,1.37758203125,-9.7657890625,-2.52570703125,-2.809984375,-6.525734375,-5.2006796875,0.484718750000001,-1.19580859375,-3.94959375,-10.32228515625,-1.89878515625,-0.9704375,-5.9917734375,-8.862125,-8.07028515625,-4.11691015625,2.6451328125,-5.33463671875,-6.08327734375,-2.8211796875,-2.96323046875,2.2688515625,-1.9335390625,-1.6848359375
-26.2190078125,-25.24683984375,-30.2459921875,-2.66527734375,0.0123789062499999,-2.12226171875,2.44358203125,-9.9587890625,-2.61370703125,-2.524984375,-5.590734375,-4.0706796875,-1.03328125,-0.56780859375,-2.94759375,-8.31428515625,-2.48278515625,-0.2164375,-5.3357734375,-6.920125,-6.96028515625,-3.63691015625,3.4001328125,-4.92963671875,-5.04627734375,-2.1981796875,-2.55223046875,2.4008515625,-1.4825390625,-1.5058359375
-26.3770078125,-25.96183984375,-30.6749921875,-2.68427734375,0.26937890625,-1.90626171875,2.86358203125,-10.3207890625,-3.32570703125,-2.701984375,-5.207734375,-3.3616796875,-3.13928125,-0.17680859375,-2.28959375,-6.37928515625,-2.74078515625,0.3985625,-4.5617734375,-5.235125,-5.60828515625,-3.25091015625,3.9831328125,-4.36063671875,-3.81427734375,-1.4891796875,-2.18223046875,2.2408515625,-1.0725390625,-1.4788359375
