"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.96989453125,-4.6891328125,-6.331296875,-1.72801953125,-9.53236328125,-11.465125,-11.35881640625,-0.7883046875,2.71283203125,-25.35329296875,-12.71421875,-7.12413671875,-15.47701171875,-10.09796875,-12.9829296875,-9.45911328125,-4.6622890625,-11.11685546875,-15.08621484375,-12.7785625,-2.77483984375,-0.00179687500000036,-12.37968359375,-12.93491015625,-8.988828125,1.12177734375,-13.44904296875,-15.2772265625,-10.9928515625,-8.17651953125
-4.47189453125,-3.4741328125,-6.404296875,-4.41301953125,-7.89336328125,-11.040125,-10.19181640625,0.354695312500001,1.74983203125,-25.10229296875,-10.77821875,-2.32913671875,-16.65201171875,-9.16796875,-11.7299296875,-7.73811328125,-2.2182890625,-10.48485546875,-13.29121484375,-11.9815625,-3.80883984375,0.846203125,-10.47068359375,-12.45791015625,-8.836828125,-0.21622265625,-12.46704296875,-13.9962265625,-10.7668515625,-8.53651953125
-4.51389453125,-2.8061328125,-6.513296875,-5.92601953125,-6.67536328125,-10.461125,-9.17781640625,-0.7373046875,1.67183203125,-24.59029296875,-9.33121875,1.31086328125,-17.28901171875,-8.36996875,-10.8919296875,-6.57711328125,-1.5342890625,-9.82285546875,-11.93821484375,-11.5335625,-4.75983984375,1.912203125,-8.86668359375,-12.06891015625,-8.989828125,-1.34522265625,-11.73604296875,-12.5492265625,-10.4518515625,-8.51751953125
-4.09089453125,-2.7031328125,-6.687296875,-6.29301953125,-5.94036328125,-9.874125,-8.46681640625,-3.7993046875,2.49183203125,-23.90229296875,-8.48821875,3.41186328125,-17.29901171875,-7.71396875,-10.5229296875,-6.09911328125,-2.5742890625,-9.13885546875,-11.05821484375,-11.4115625,-5.50083984375,3.170203125,-7.60568359375,-11.72291015625,-9.355828125,-2.11722265625,-11.22604296875,-10.9902265625,-9.9908515625,-8.06851953125
-3.46889453125,-3.0991328125,-6.973296875,-5.95301953125,-5.70636328125,-9.560125,-8.28781640625,-7.6313046875,3.90383203125,-23.27329296875,-8.33121875,3.63386328125,-16.80101171875,-7.24996875,-10.6279296875,-6.38611328125,-4.7532890625,-8.56185546875,-10.63721484375,-11.5575625,-5.98783984375,4.434203125,-6.73568359375,-11.42791015625,-9.809828125,-2.49722265625,-10.90004296875,-9.5342265625,-9.4148515625,-7.31451953125
-3.11689453125,-3.8981328125,-7.396296875,-5.52101953125,-5.98736328125,-9.805125,-8.86781640625,-10.6353046875,5.40583203125,-22.98529296875,-8.92121875,1.77786328125,-16.09701171875,-7.09796875,-11.1959296875,-7.48011328125,-7.1912890625,-8.34085546875,-10.67621484375,-11.9605625,-6.34883984375,5.394203125,-6.35868359375,-11.31891015625,-10.326828125,-2.67122265625,-10.81604296875,-8.5272265625,-8.8808515625,-6.55251953125
-3.45589453125,-4.9571328125,-7.866296875,-5.50801953125,-6.75836328125,-10.720125,-10.26481640625,-11.5793046875,6.47883203125,-23.20629296875,-10.19921875,-1.92813671875,-15.51101171875,-7.37196875,-12.1459296875,-9.29011328125,-8.9572890625,-8.71085546875,-11.17121484375,-12.6225625,-6.84383984375,5.742203125,-6.57968359375,-11.58991015625,-10.995828125,-2.99222265625,-11.09704296875,-8.3112265625,-8.6258515625,-6.13851953125
-4.59089453125,-6.0451328125,-8.148296875,-6.12001953125,-7.86436328125,-12.119125,-12.22681640625,-10.2133046875,6.73483203125,-23.87029296875,-11.87321875,-6.64213671875,-15.16801171875,-8.06396875,-13.2309296875,-11.48011328125,-9.3312890625,-9.69885546875,-12.00821484375,-13.4585625,-7.69883984375,5.334203125,-7.39668359375,-12.32291015625,-11.904828125,-3.78322265625,-11.80604296875,-9.0492265625,-8.8298515625,-6.32051953125
-6.21989453125,-6.8761328125,-7.948296875,-7.21301953125,-8.98536328125,-13.526125,-14.17781640625,-7.3523046875,6.03783203125,-24.65729296875,-13.42121875,-11.08513671875,-14.88801171875,-8.97196875,-14.0299296875,-13.47811328125,-8.1022890625,-11.03785546875,-12.89521484375,-14.2325625,-8.92783984375,4.276203125,-8.61368359375,-13.35391015625,-12.998828125,-5.12222265625,-12.81404296875,-10.6022265625,-9.4948515625,-7.10251953125
-7.76989453125,-7.2161328125,-7.107296875,-8.38101953125,-9.69836328125,-14.335125,-15.36981640625,-4.3593046875,4.57283203125,-25.11429296875,-14.23721875,-14.00713671875,-14.30301171875,-9.74696875,-14.0669296875,-14.63811328125,-5.7742890625,-12.24285546875,-13.41121484375,-14.5865625,-10.25283984375,2.892203125,-9.86668359375,-14.26991015625,-14.018828125,-6.76622265625,-13.77104296875,-12.5352265625,-10.4098515625,-8.22151953125
