"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-5.41567578125,-8.77708203125,-9.672921875,-0.214890625,-9.75734765625,-11.6738984375,-15.33244921875,-11.7972578125,-2.41809765625,-6.721921875,-27.588625,-3.53644140625,-3.00428515625,-5.1653828125,-14.70987109375,-23.073796875,-9.78526953125,-2.54233984375,-6.8844609375,-12.28021484375,-7.51817578125,0.0905625000000001,-2.74309375,-5.92358203125,-8.461921875,-7.66973046875,-5.45015234375,-2.440734375,14.56112109375,-3.64725390625
-8.26467578125,-10.32608203125,-13.284921875,-2.477890625,-13.50434765625,-16.1578984375,-18.96544921875,-15.9152578125,-5.23109765625,-11.105921875,-29.811625,-6.93844140625,-2.19528515625,-7.3733828125,-18.77387109375,-19.630796875,-13.61526953125,-3.49233984375,-10.3414609375,-13.45221484375,-8.11517578125,1.9545625,-3.16509375,-7.14358203125,-9.317921875,-10.03873046875,-5.66515234375,-1.531734375,13.67612109375,-3.27525390625
-11.83067578125,-13.09208203125,-17.276921875,-5.331890625,-18.03134765625,-21.0488984375,-23.03044921875,-19.1642578125,-8.87509765625,-15.795921875,-33.361625,-10.36644140625,-1.75628515625,-10.1463828125,-22.93187109375,-18.408796875,-15.52026953125,-4.41033984375,-13.5974609375,-14.84021484375,-8.69117578125,3.2575625,-3.99709375,-8.55258203125,-10.048921875,-10.78973046875,-5.96515234375,-0.262734375,13.46912109375,-2.82425390625
-15.73567578125,-16.76308203125,-21.292921875,-8.561890625,-22.87434765625,-25.9138984375,-27.17844921875,-21.5202578125,-12.96009765625,-20.367921875,-37.761625,-13.56744140625,-2.00828515625,-13.1813828125,-26.79787109375,-19.393796875,-15.64226953125,-5.25133984375,-16.4934609375,-16.35421484375,-9.24817578125,3.7515625,-5.25709375,-10.04558203125,-10.648921875,-10.03573046875,-6.42715234375,0.969265625,13.67412109375,-2.45525390625
-19.14167578125,-20.41808203125,-24.574921875,-11.509890625,-27.08434765625,-29.9018984375,-30.63344921875,-23.0452578125,-16.56009765625,-24.087921875,-41.821625,-16.09044140625,-3.14428515625,-15.8953828125,-29.75887109375,-21.708796875,-14.76026953125,-5.92733984375,-18.8194609375,-17.74321484375,-9.74817578125,3.3645625,-6.79509375,-11.39358203125,-11.104921875,-8.42173046875,-7.07915234375,1.506265625,13.76012109375,-2.37725390625
-21.08667578125,-22.89208203125,-26.219921875,-13.291890625,-29.60634765625,-32.0438984375,-32.41444921875,-23.6672578125,-18.55609765625,-26.187921875,-44.131625,-17.37144140625,-5.03728515625,-17.6533828125,-31.21587109375,-23.986796875,-13.77026953125,-6.28333984375,-20.3504609375,-18.67221484375,-10.08217578125,2.3225625,-8.32109375,-12.32158203125,-11.362921875,-6.76073046875,-7.84715234375,0.810265625,13.27712109375,-2.70325390625
-20.93567578125,-23.28008203125,-25.618921875,-13.233890625,-29.76034765625,-31.6738984375,-31.76544921875,-23.2142578125,-18.17709765625,-26.204921875,-43.674625,-16.99744140625,-7.20628515625,-18.0373828125,-30.86387109375,-24.911796875,-13.22626953125,-6.18033984375,-20.9244609375,-18.85421484375,-10.14617578125,1.1325625,-9.50709375,-12.63658203125,-11.349921875,-5.67873046875,-8.55715234375,-1.150734375,12.12912109375,-3.36025390625
-18.71967578125,-21.36508203125,-22.835921875,-11.270890625,-27.59234765625,-28.7898984375,-28.58944921875,-21.6782578125,-15.48409765625,-24.237921875,-40.281625,-15.03544140625,-9.01428515625,-17.0753828125,-28.88487109375,-23.702796875,-13.20026953125,-5.65533984375,-20.5664609375,-18.20421484375,-9.95317578125,0.3785625,-10.14109375,-12.32758203125,-11.061921875,-5.45273046875,-9.01715234375,-3.783734375,10.59812109375,-4.13025390625
-15.18867578125,-17.76408203125,-18.691921875,-8.045890625,-23.93134765625,-24.1628984375,-23.63744921875,-19.4352578125,-11.48409765625,-20.988921875,-34.744625,-12.19744140625,-9.95428515625,-15.3023828125,-25.92587109375,-20.375796875,-13.47126953125,-5.03633984375,-19.5534609375,-16.91421484375,-9.68817578125,0.4255625,-10.24009375,-11.60958203125,-10.638921875,-6.04473046875,-9.13515234375,-6.133734375,9.14712109375,-4.77825390625
-11.51467578125,-13.67708203125,-14.454921875,-4.628890625,-20.06034765625,-19.0808984375,-18.27644921875,-17.1802578125,-7.74409765625,-17.504921875,-28.509625,-9.61344140625,-9.86028515625,-13.5593828125,-22.86487109375,-15.715796875,-13.82926953125,-4.83733984375,-18.3304609375,-15.38821484375,-9.62517578125,1.2325625,-10.01809375,-10.81958203125,-10.340921875,-7.22673046875,-8.96115234375,-7.371734375,8.15512109375,-5.19825390625
-8.78667578125,-10.34308203125,-11.313921875,-2.034890625,-17.16134765625,-14.8418984375,-13.93144921875,-15.5682578125,-5.65909765625,-14.743921875,-23.096625,-8.27344140625,-8.89728515625,-12.5783828125,-20.44687109375,-11.006796875,-14.23126953125,-5.45333984375,-17.2874609375,-14.07221484375,-9.95517578125,2.4085625,-9.72309375,-10.23558203125,-10.417921875,-8.70473046875,-8.64715234375,-7.170734375,7.76512109375,-5.44825390625
-7.55867578125,-8.49508203125,-9.878921875,-0.792890625,-15.81334765625,-12.2378984375,-11.47044921875,-14.8182578125,-5.78109765625,-13.163921875,-19.524625,-8.45544140625,-7.39228515625,-12.5813828125,-19.00387109375,-7.602796875,-14.73526953125,-6.85133984375,-16.5604609375,-13.25221484375,-10.64117578125,3.4845625,-9.45909375,-9.92858203125,-10.961921875,-10.19773046875,-8.35115234375,-5.778734375,7.86512109375,-5.69325390625
-7.66467578125,-8.09908203125,-9.970921875,-0.795890625,-15.80134765625,-11.2848984375,-10.87944921875,-14.5802578125,-7.58209765625,-12.588921875,-17.984625,-9.56544140625,-5.64728515625,-13.1493828125,-18.37587109375,-6.443796875,-15.29526953125,-8.52133984375,-15.9814609375,-12.96121484375,-11.42017578125,4.1615625,-9.13609375,-9.77258203125,-11.856921875,-11.48373046875,-8.19715234375,-3.846734375,8.17812109375,-6.09225390625
-8.37267578125,-8.49508203125,-10.769921875,-1.441890625,-16.31634765625,-11.3138984375,-11.36744921875,-14.1622578125,-9.81109765625,-12.394921875,-17.886625,-10.51944140625,-3.84028515625,-13.4533828125,-18.06087109375,-7.648796875,-15.63426953125,-9.73533984375,-15.2134609375,-12.99821484375,-11.92717578125,4.4005625,-8.57109375,-9.57758203125,-12.834921875,-12.41673046875,-8.26415234375,-2.131734375,8.40112109375,-6.70225390625
-8.78767578125,-8.79008203125,-11.256921875,-1.995890625,-16.41434765625,-11.3578984375,-11.83444921875,-12.9802578125,-11.18809765625,-11.870921875,-18.189625,-10.38844140625,-2.04128515625,-12.7033828125,-17.47087109375,-10.377796875,-15.32126953125,-9.93633984375,-13.9644609375,-13.04021484375,-11.86717578125,4.3385625,-7.64409375,-9.22458203125,-13.587921875,-12.90473046875,-8.57615234375,-1.200734375,8.32712109375,-7.42325390625
-8.27767578125,-8.28908203125,-10.704921875,-1.958890625,-15.47834765625,-10.6168984375,-11.41744921875,-10.8852578125,-11.04109765625,-10.574921875,-17.879625,-8.85444140625,-0.30828515625,-10.5653828125,-16.20187109375,-13.155796875,-14.01926953125,-8.99333984375,-12.1734609375,-12.78021484375,-11.11817578125,4.1345625,-6.40609375,-8.72058203125,-13.874921875,-12.87273046875,-9.07715234375,-1.245734375,7.91012109375,-8.01425390625
-6.73567578125,-6.78008203125,-8.970921875,-1.267890625,-13.47234765625,-8.7918984375,-9.82444921875,-8.1872578125,-9.49309765625,-8.520921875,-16.408625,-6.20744140625,1.20671484375,-7.3663828125,-14.21987109375,-14.560796875,-11.73326953125,-7.23833984375,-10.0904609375,-12.07721484375,-9.73217578125,3.8565625,-5.11309375,-8.19958203125,-13.599921875,-12.24073046875,-9.64215234375,-2.075734375,7.23012109375,-8.21025390625
-4.56967578125,-4.58108203125,-6.473921875,-0.258890625,-10.89334765625,-6.1438984375,-7.35144921875,-5.4362578125,-7.20909765625,-6.155921875,-13.882625,-3.05644140625,2.23771484375,-3.9973828125,-11.89287109375,-13.888796875,-8.87826953125,-5.32533984375,-8.2374609375,-11.03221484375,-7.89917578125,3.4625625,-4.17009375,-7.88558203125,-12.852921875,-10.98073046875,-10.16015234375,-3.286734375,6.40012109375,-7.90425390625
