"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.7931875,-1.11461328125,-22.32581640625,13.0688515625,30.95420703125,2.92712890625,-10.5546328125,-6.73123046875,33.30031640625,-0.1624140625,4.8943046875,-9.45746875,-5.1051171875,-6.35715625,4.12412109375,-12.1508359375,18.35097265625,-12.1386953125,-2.03848046875,-0.385890625,-1.23015234375,-4.54210546875,-17.43441796875,2.1438984375,-17.6173203125,-17.1170234375,-3.0080625,-23.53401953125,-16.7133203125,-13.76808984375
-2.5541875,-0.39161328125,-21.48581640625,12.5278515625,31.35720703125,3.37512890625,-9.6006328125,-6.64623046875,34.34831640625,0.8475859375,4.3253046875,-8.89746875,-4.3191171875,-2.90615625,3.35012109375,-13.6878359375,16.85697265625,-10.3066953125,-1.05348046875,-2.436890625,-2.16515234375,-3.22110546875,-17.50441796875,-1.2101015625,-19.4273203125,-19.0910234375,-5.3240625,-25.48901953125,-18.0603203125,-14.37808984375
-2.1001875,-0.28861328125,-20.92281640625,11.7958515625,30.91020703125,3.80412890625,-8.3286328125,-6.23823046875,34.87831640625,0.9595859375,3.9783046875,-8.26046875,-3.4141171875,-0.642156250000001,2.56012109375,-15.6698359375,15.32697265625,-8.6176953125,-0.19048046875,-4.662890625,-4.61815234375,-1.51010546875,-17.31341796875,-4.1861015625,-22.3233203125,-22.2950234375,-7.8100625,-26.32101953125,-19.9683203125,-16.28908984375
-2.5501875,-0.72961328125,-20.63481640625,11.3038515625,29.79020703125,4.30012890625,-6.6066328125,-5.46623046875,35.00131640625,0.162585937500001,4.1123046875,-7.45546875,-2.6371171875,0.35584375,1.98912109375,-17.6588359375,14.14497265625,-6.9136953125,0.72251953125,-6.553890625,-8.31015234375,0.901894531250001,-16.55741796875,-6.3771015625,-25.9863203125,-26.5250234375,-9.9310625,-25.18401953125,-21.9063203125,-19.20108984375
-3.7061875,-1.34861328125,-20.54481640625,11.6028515625,28.50820703125,4.93012890625,-4.3686328125,-4.35523046875,35.02431640625,-1.1864140625,5.0273046875,-6.39246875,-2.4131171875,0.38384375,1.98212109375,-18.8768359375,13.79697265625,-5.0116953125,1.91951953125,-7.327890625,-12.32315234375,4.24489453125,-14.93541796875,-7.3451015625,-29.5493203125,-31.0130234375,-10.8960625,-21.38901953125,-22.9613203125,-22.25208984375
-5.1281875,-1.64361328125,-20.57081640625,12.9008515625,27.60620703125,5.65812890625,-1.6996328125,-2.98723046875,35.20631640625,-2.5234140625,6.8803046875,-5.06846875,-3.1831171875,-0.062156250000001,2.79112109375,-18.5938359375,14.55597265625,-2.9046953125,3.53251953125,-6.303890625,-15.54415234375,8.44389453125,-12.35841796875,-6.8411015625,-31.9823203125,-34.7640234375,-10.0650625,-14.87301953125,-22.3253203125,-24.46508984375
-6.3861875,-1.23761328125,-20.66881640625,14.7218515625,27.31420703125,6.29312890625,1.0773671875,-1.51823046875,35.53931640625,-3.3704140625,9.4753046875,-3.62446875,-5.2081171875,-0.56015625,4.37112109375,-16.5508359375,16.26897265625,-0.907695312500001,5.45651953125,-3.283890625,-17.14915234375,12.94889453125,-9.12041796875,-4.9681015625,-32.5423203125,-36.9720234375,-7.3220625,-6.50001953125,-19.7583203125,-25.18308984375
-7.2251875,-0.09061328125,-20.78981640625,16.0208515625,27.37520703125,6.47012890625,3.4423671875,-0.18023046875,35.70431640625,-3.5634140625,12.2223046875,-2.27746875,-8.3961171875,-0.94915625,6.32712109375,-13.1188359375,18.37697265625,0.422304687499999,7.37151953125,1.287109375,-16.87115234375,16.82289453125,-5.85441796875,-2.1521015625,-31.0383203125,-37.2770234375,-3.1670625,2.06798046875,-15.7393203125,-24.25408984375
-7.6041875,1.46138671875,-20.82481640625,15.7048515625,27.15220703125,5.72412890625,4.8473671875,0.75776953125,35.22931640625,-3.3104140625,14.3133046875,-1.21246875,-12.2921171875,-1.35215625,8.06812109375,-9.1348359375,20.17897265625,0.543304687499999,8.88251953125,6.460109375,-14.97315234375,19.04689453125,-3.30141796875,1.0338984375,-27.8143203125,-35.7600234375,1.5079375,8.92098046875,-11.2523203125,-21.92608984375
-7.6731875,2.85438671875,-20.62381640625,13.1818515625,25.97220703125,3.68012890625,4.8633671875,1.06276953125,33.75431640625,-3.0964140625,15.0073046875,-0.55046875,-16.2871171875,-2.04915625,9.02312109375,-5.5888359375,21.19197265625,-0.791695312500001,9.68751953125,11.107109375,-12.02915234375,18.91489453125,-2.03241796875,4.0488984375,-23.5833203125,-32.7860234375,5.7449375,12.56298046875,-7.3953203125,-18.65308984375
