"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-20.94419140625,-21.4140390625,-25.55203125,-14.322796875,-23.85246875,-24.519265625,-21.4298984375,-19.3685859375,-20.58944921875,-15.74921484375,-24.2261796875,-16.28424609375,-8.04673046875,-28.60227734375,-27.72424609375,-21.84625,-0.142312499999999,-13.35247265625,-29.58562890625,-27.644078125,-21.08918359375,-0.0344648437499995,-22.66191015625,-24.603953125,-23.5041953125,-1.775640625,-18.81458203125,-5.79632421875,-1.82346484375,3.25511328125
-18.55119140625,-19.6390390625,-24.07603125,-11.679796875,-22.68046875,-24.434265625,-22.4418984375,-18.9065859375,-20.52144921875,-15.45221484375,-24.1851796875,-18.32124609375,-7.55373046875,-27.44827734375,-27.39524609375,-24.17125,-3.6293125,-13.86547265625,-29.26062890625,-28.876078125,-22.44318359375,0.705535156250001,-22.67491015625,-25.959953125,-24.3941953125,-0.221640625,-19.41758203125,-6.82532421875,-1.82346484375,3.68511328125
-16.76519140625,-18.2870390625,-22.69503125,-11.012796875,-22.91746875,-25.264265625,-23.6048984375,-19.0395859375,-21.02144921875,-16.66621484375,-25.3081796875,-19.58424609375,-7.49873046875,-27.17627734375,-28.33524609375,-26.06125,-7.2603125,-14.59447265625,-29.53062890625,-30.247078125,-23.56218359375,0.40953515625,-22.92191015625,-27.298953125,-25.1171953125,-0.156640625,-19.90058203125,-7.97732421875,-2.28246484375,3.28711328125
-15.60219140625,-17.3460390625,-21.43103125,-12.373796875,-24.49146875,-26.982265625,-25.0078984375,-19.6085859375,-21.96244921875,-19.31921484375,-27.5711796875,-20.36724609375,-7.90473046875,-27.71927734375,-30.49524609375,-27.45025,-10.7863125,-15.52947265625,-30.33862890625,-31.695078125,-24.24718359375,-0.873464843749999,-23.43591015625,-28.509953125,-25.6131953125,-1.719640625,-20.22758203125,-9.22832421875,-3.11246484375,2.11711328125
-14.88519140625,-16.6650390625,-20.29303125,-15.179796875,-26.79846875,-29.185265625,-26.6498984375,-20.1925859375,-22.99544921875,-22.76721484375,-30.5101796875,-21.13024609375,-8.65073046875,-28.67327734375,-33.32024609375,-28.33525,-13.8793125,-16.56047265625,-31.37062890625,-33.037078125,-24.33318359375,-2.69746484375,-24.13891015625,-29.396953125,-25.8051953125,-4.472640625,-20.34958203125,-10.47532421875,-4.03246484375,0.59011328125
-14.32919140625,-16.0120390625,-19.26103125,-18.481796875,-28.96446875,-31.242265625,-28.3548984375,-20.3125859375,-23.72544921875,-26.07521484375,-33.4041796875,-22.11124609375,-9.54573046875,-29.48427734375,-35.96824609375,-28.71325,-16.3773125,-17.50847265625,-32.16862890625,-34.001078125,-23.83518359375,-4.40846484375,-24.82391015625,-29.714953125,-25.6211953125,-7.538640625,-20.18858203125,-11.56532421875,-4.71046484375,-0.70588671875
-13.61219140625,-15.1350390625,-18.22603125,-21.275796875,-30.17646875,-32.512265625,-29.7688984375,-19.6465859375,-23.85544921875,-28.35721484375,-35.5091796875,-23.19124609375,-10.38773046875,-29.66327734375,-37.61424609375,-28.53625,-18.3653125,-18.15447265625,-32.28862890625,-34.295078125,-22.98518359375,-5.39646484375,-25.18491015625,-29.255953125,-25.0321953125,-9.934640625,-19.65958203125,-12.32932421875,-4.93746484375,-1.28888671875
-12.45219140625,-13.8200390625,-16.96803125,-22.791796875,-29.94846875,-32.546265625,-30.4528984375,-18.2075859375,-23.24844921875,-29.04621484375,-36.2701796875,-24.02524609375,-10.99073046875,-28.92527734375,-37.71424609375,-27.71325,-20.0233125,-18.27247265625,-31.44262890625,-33.689078125,-22.09518359375,-5.30346484375,-24.88491015625,-27.925953125,-24.0631953125,-10.956640625,-18.69058203125,-12.61432421875,-4.70146484375,-0.994886718750001
-10.70319140625,-11.9700390625,-15.23403125,-22.682796875,-28.23246875,-31.201265625,-30.0498984375,-16.3525859375,-21.90744921875,-28.01521484375,-35.4431796875,-24.28624609375,-11.18173046875,-27.24527734375,-36.14724609375,-26.17625,-21.3653125,-17.66747265625,-29.58262890625,-32.074078125,-21.31718359375,-4.10446484375,-23.65891015625,-25.793953125,-22.7471953125,-10.381640625,-17.24658203125,-12.30532421875,-4.13246484375,-0.00288671875000013
-8.41619140625,-9.6600390625,-12.89003125,-21.052796875,-25.36246875,-28.663265625,-28.4388984375,-14.5995859375,-19.92244921875,-25.52521484375,-33.1351796875,-23.81424609375,-10.84273046875,-24.81227734375,-33.22224609375,-23.96525,-22.1323125,-16.24147265625,-26.91362890625,-29.517078125,-20.51918359375,-2.08246484375,-21.42791015625,-23.101953125,-21.0831953125,-8.421640625,-15.35758203125,-11.36832421875,-3.38046484375,1.30511328125
-5.86619140625,-7.1640390625,-10.07503125,-18.327796875,-21.89146875,-25.378265625,-25.8288984375,-13.3435859375,-17.43744921875,-22.06521484375,-29.7511796875,-22.61724609375,-10.00073046875,-21.95027734375,-29.54824609375,-21.28325,-21.9523125,-14.05147265625,-23.83162890625,-26.287078125,-19.42418359375,0.28453515625,-18.37191015625,-20.240953125,-19.0661953125,-5.522640625,-13.15958203125,-9.91432421875,-2.53446484375,2.54311328125
-3.52519140625,-4.9170390625,-7.24703125,-15.083796875,-18.39346875,-21.916265625,-22.7048984375,-12.6665859375,-14.65444921875,-18.17921484375,-25.8791796875,-20.81424609375,-8.88673046875,-19.01527734375,-25.83524609375,-18.47125,-20.6283125,-11.33647265625,-20.81362890625,-22.824078125,-17.91018359375,2.48053515625,-14.91091015625,-17.671953125,-16.7761953125,-2.180640625,-10.90458203125,-8.21432421875,-1.63046484375,3.44311328125
-1.90219140625,-3.3760390625,-5.03803125,-11.872796875,-15.28446875,-18.791265625,-19.6448984375,-12.3645859375,-11.83144921875,-14.34621484375,-22.1301796875,-18.57224609375,-7.86573046875,-16.29427734375,-22.65824609375,-15.93325,-18.3313125,-8.46647265625,-18.26962890625,-19.624078125,-16.18518359375,4.11453515625,-11.57791015625,-15.794953125,-14.4381953125,1.129359375,-8.89158203125,-6.61632421875,-0.70346484375,3.89211328125
-1.30419140625,-2.8120390625,-3.96403125,-9.089796875,-12.73246875,-16.305265625,-17.0898984375,-12.1455859375,-9.23244921875,-10.89421484375,-18.9741796875,-16.09324609375,-7.24273046875,-13.93827734375,-20.28324609375,-13.99125,-15.5703125,-5.85047265625,-16.41362890625,-17.056078125,-14.67618359375,5.04553515625,-8.83391015625,-14.784953125,-12.3511953125,3.971359375,-7.35558203125,-5.39432421875,0.16553515625,3.93311328125
-1.61619140625,-3.1300390625,-4.13203125,-6.898796875,-10.65246875,-14.470265625,-15.1838984375,-11.8425859375,-7.03744921875,-7.96221484375,-16.6151796875,-13.63724609375,-7.06373046875,-11.96827734375,-18.61024609375,-12.72925,-12.9963125,-3.82247265625,-15.19862890625,-15.216078125,-13.69118359375,5.38953515625,-6.91491015625,-14.493953125,-10.7091953125,5.989359375,-6.36058203125,-4.63032421875,0.85353515625,3.75611328125
-2.31019140625,-3.8660390625,-5.14903125,-5.267796875,-8.80746875,-13.038265625,-13.7618984375,-11.5005859375,-5.29844921875,-5.51821484375,-14.9671796875,-11.52024609375,-7.06273046875,-10.33227734375,-17.25724609375,-11.90725,-11.1553125,-2.56747265625,-14.35962890625,-13.875078125,-13.12418359375,5.41853515625,-5.78091015625,-14.469953125,-9.4501953125,6.990359375,-5.75658203125,-4.21532421875,1.25853515625,3.66111328125
-2.71219140625,-4.3920390625,-6.28103125,-4.114796875,-6.97746875,-11.649265625,-12.4798984375,-11.2955859375,-3.99444921875,-3.43721484375,-13.7371796875,-10.05224609375,-6.83573046875,-9.00127734375,-15.76824609375,-11.04225,-10.2913125,-2.09347265625,-13.55562890625,-12.607078125,-12.43018359375,5.38953515625,-5.19391015625,-14.127953125,-8.2611953125,7.005359375,-5.24558203125,-3.93632421875,1.35053515625,3.95711328125
-2.35819140625,-4.2200390625,-6.78103125,-3.450796875,-5.11046875,-10.031265625,-11.0128984375,-11.3235859375,-3.12144921875,-1.60721484375,-12.5981796875,-9.41924609375,-6.11373046875,-8.02427734375,-13.85124609375,-9.68825,-10.2643125,-2.27947265625,-12.54162890625,-11.043078125,-10.92618359375,5.41853515625,-4.87891015625,-13.017953125,-6.7821953125,6.239359375,-4.53158203125,-3.62832421875,1.18253515625,4.78511328125
-1.20619140625,-3.2230390625,-6.20303125,-3.418796875,-3.38246875,-8.160265625,-9.2328984375,-11.4195859375,-2.74744921875,0.00778515624999798,-11.3471796875,-9.60224609375,-4.97373046875,-7.51227734375,-11.53224609375,-7.73725,-10.6213125,-2.95347265625,-11.29962890625,-9.108078125,-8.23118359375,5.46053515625,-4.68491015625,-11.054953125,-4.8731953125,4.925359375,-3.48958203125,-3.26332421875,0.83553515625,5.97911328125
0.40380859375,-1.6340390625,-4.54603125,-4.198796875,-2.11746875,-6.261265625,-7.2528984375,-11.1765859375,-2.96644921875,1.37978515625,-9.9711796875,-10.37224609375,-3.82573046875,-7.53227734375,-9.11724609375,-5.51625,-10.8003125,-3.94447265625,-10.02662890625,-7.063078125,-4.53818359375,5.38853515625,-4.62791015625,-8.562953125,-2.7311953125,3.221359375,-2.22558203125,-2.95332421875,0.38153515625,7.09111328125
1.96680859375,0.1379609375,-2.16903125,-5.834796875,-1.57246875,-4.634265625,-5.3258984375,-10.1785859375,-3.77344921875,2.47878515625,-8.5731796875,-11.34724609375,-3.18273046875,-7.97727734375,-6.99624609375,-3.58825,-10.3983125,-5.09247265625,-8.98962890625,-5.328078125,-0.583183593750002,5.12753515625,-4.79291015625,-6.076953125,-0.776195312499999,1.253359375,-0.96458203125,-2.83232421875,-0.10446484375,7.64411328125
3.08280859375,1.7639609375,0.435968750000001,-8.076796875,-1.73546875,-3.440265625,-3.6648984375,-8.2725859375,-4.95944921875,3.33278515625,-7.2431796875,-12.08824609375,-3.38273046875,-8.52427734375,-5.40624609375,-2.40425,-9.3953125,-6.21147265625,-8.33262890625,-4.193078125,2.63581640625,4.75553515625,-5.18591015625,-4.043953125,0.607804687500002,-0.751640625,0.139417968749999,-2.92432421875,-0.48646484375,7.44811328125
3.63380859375,3.1309609375,2.85696875,-10.362796875,-2.27446875,-2.624265625,-2.3428984375,-5.6765859375,-6.10644921875,4.01878515625,-5.9941796875,-12.23724609375,-4.42773046875,-8.72027734375,-4.33824609375,-2.07625,-8.1963125,-7.08347265625,-7.98662890625,-3.655078125,4.21381640625,4.50353515625,-5.63791015625,-2.608953125,1.2568046875,-2.389640625,1.10641796875,-3.07432421875,-0.56046484375,6.76911328125
3.79480859375,4.3039609375,4.84496875,-12.014796875,-2.69646875,-2.008265625,-1.3298984375,-2.9135859375,-6.74344921875,4.58378515625,-4.8091796875,-11.70024609375,-6.01773046875,-8.19227734375,-3.63024609375,-2.40925,-7.4473125,-7.49447265625,-7.73362890625,-3.471078125,3.66381640625,4.67253515625,-5.86291015625,-1.615953125,1.2558046875,-3.183640625,2.07741796875,-3.01532421875,-0.14446484375,6.20111328125
