"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-3.6928203125,1.461109375,-0.243703125000001,-3.0271015625,-13.37062109375,-7.889453125,-11.73200390625,-2.30847265625,-6.8607734375,-6.9637421875,-11.39087109375,-7.2090625,-2.19901171875,-9.50005078125,-10.3340078125,-14.05533203125,-4.32444140625,-11.40968359375,-16.6771875,-16.734703125,-11.702265625,-6.23555859375,-16.20474609375,-9.10665625,-14.76482421875,-9.73168359375,-8.94601953125,-10.7,-13.75044140625,-13.034984375
-3.8108203125,3.255109375,1.601296875,-2.0301015625,-9.90962109375,-6.161453125,-8.78700390625,-0.47147265625,-6.6457734375,-6.8067421875,-10.51187109375,-6.2240625,-2.82201171875,-10.32205078125,-11.0610078125,-13.79333203125,-3.68444140625,-11.93468359375,-17.7031875,-16.839703125,-11.142265625,-7.40555859375,-18.30674609375,-10.87065625,-15.53182421875,-10.41668359375,-10.61701953125,-12.63,-15.24444140625,-14.504984375
-3.5908203125,3.987109375,2.737296875,-1.1571015625,-8.22362109375,-5.075453125,-7.06100390625,0.85252734375,-6.7047734375,-6.7897421875,-9.84587109375,-5.2660625,-3.63001171875,-10.79105078125,-11.1660078125,-12.97933203125,-2.81444140625,-12.10968359375,-17.7261875,-16.269703125,-10.270265625,-8.30955859375,-19.36974609375,-11.64865625,-15.48282421875,-10.39268359375,-11.34201953125,-13.726,-15.88844140625,-15.037984375
-2.9618203125,3.649109375,3.092296875,-0.3651015625,-8.22962109375,-4.518453125,-6.37200390625,1.63552734375,-6.9337734375,-6.7897421875,-9.25687109375,-4.3160625,-4.43801171875,-10.70905078125,-10.4920078125,-11.55633203125,-1.69644140625,-11.81968359375,-16.5641875,-14.918703125,-8.993265625,-8.73455859375,-19.22674609375,-11.25665625,-14.47682421875,-9.52568359375,-10.95101953125,-13.835,-15.55744140625,-14.526984375
-1.9758203125,2.580109375,2.804296875,0.3768984375,-9.20062109375,-4.159453125,-6.14500390625,1.97052734375,-7.0857734375,-6.6117421875,-8.52087109375,-3.3550625,-4.96201171875,-9.95405078125,-9.0910078125,-9.66833203125,-0.38444140625,-11.04968359375,-14.3671875,-12.941703125,-7.319265625,-8.50755859375,-18.02474609375,-9.84065625,-12.65582421875,-7.91168359375,-9.57301953125,-13.044,-14.40444140625,-13.172984375
-0.7998203125,1.298109375,2.118296875,0.983898437500001,-10.17062109375,-3.676453125,-5.80800390625,1.99752734375,-6.8717734375,-6.0917421875,-7.48987109375,-2.3900625,-4.98401171875,-8.55705078125,-7.2480078125,-7.63133203125,1.02055859375,-9.91568359375,-11.5971875,-10.736703125,-5.389265625,-7.60155859375,-16.18874609375,-7.85965625,-10.41982421875,-5.86268359375,-7.60601953125,-11.645,-12.81044140625,-11.408984375
0.308179687500001,0.271109375,1.243296875,1.2108984375,-10.41962109375,-2.967453125,-5.16500390625,1.81852734375,-6.1077734375,-5.2217421875,-6.24687109375,-1.4950625,-4.48701171875,-6.75005078125,-5.4350078125,-5.84933203125,2.37455859375,-8.67068359375,-8.9151875,-8.843703125,-3.490265625,-6.20055859375,-14.29074609375,-5.96965625,-8.31982421875,-3.83568359375,-5.60401953125,-10.041,-11.24944140625,-9.748984375
1.0381796875,-0.285890625,0.235296875,0.746898437500001,-9.77962109375,-2.254453125,-4.50100390625,1.44452734375,-4.8797734375,-4.2157421875,-5.14987109375,-0.8610625,-3.72601171875,-4.97405078125,-4.2150078125,-4.74433203125,3.47055859375,-7.68068359375,-7.0181875,-7.793703125,-2.020265625,-4.68255859375,-12.89374609375,-4.84465625,-6.91082421875,-2.32768359375,-4.12901953125,-8.627,-10.13644140625,-8.629984375
1.0771796875,-0.493890625,-1.009703125,-0.6131015625,-8.64662109375,-1.999453125,-4.39300390625,0.797527343750001,-3.6267734375,-3.5037421875,-4.71487109375,-0.791062500000001,-3.16601171875,-3.81005078125,-4.0940078125,-4.67933203125,4.02755859375,-7.34268359375,-6.4561875,-7.959703125,-1.403265625,-3.51355859375,-12.39874609375,-4.98565625,-6.61682421875,-1.74768359375,-3.60301953125,-7.691,-9.70144140625,-8.307984375
0.204179687500001,-0.712890625,-2.627703125,-2.8351015625,-7.78762109375,-2.679453125,-5.36600390625,-0.24647265625,-3.0507734375,-3.5837421875,-5.40787109375,-1.5820625,-3.28801171875,-3.80005078125,-5.3360078125,-5.84433203125,3.75555859375,-7.94068359375,-7.4551875,-9.424703125,-1.946265625,-3.06455859375,-12.92374609375,-6.54765625,-7.59382421875,-2.27968359375,-4.18301953125,-7.337,-9.93144140625,-8.798984375
