"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.051625,2.19469140625,-0.502046875,4.0639140625,2.40752734375,9.8643984375,4.69189453125,2.5349375,3.73971875,-3.32194921875,9.54540625,7.85923828125,-1.1663515625,-3.72905078125,1.83244140625,3.68679296875,3.0940859375,-1.3860859375,-0.6158515625,1.96016796875,0.0904726562499998,2.77949609375,0.97389453125,3.00275390625,4.751953125,-1.21467578125,-2.53553125,2.35779296875,-4.61125,1.8158359375
3.295625,3.78069140625,-1.019046875,2.9229140625,0.84452734375,8.9683984375,6.04289453125,-1.3870625,2.12171875,-2.53094921875,7.78140625,3.79323828125,-3.0023515625,-5.42505078125,2.46244140625,2.64679296875,2.1620859375,-5.4380859375,-2.1608515625,1.49616796875,-0.37352734375,-3.52250390625,-3.02010546875,1.56075390625,4.078953125,-0.866675781250001,-3.77653125,-3.72720703125,-7.93925,1.0428359375
4.154625,4.44369140625,-1.047046875,1.4699140625,0.39152734375,8.2753984375,5.53089453125,-3.3890625,1.11971875,-1.42794921875,6.14540625,0.99423828125,-4.1523515625,-5.85105078125,2.96744140625,1.49479296875,1.3400859375,-8.0600859375,-2.7328515625,1.00316796875,-1.35552734375,-8.14350390625,-5.41510546875,0.90675390625,2.980953125,-1.79467578125,-4.21553125,-7.91120703125,-10.12225,0.0568359375
3.694625,4.43469140625,-0.303046875,-0.1190859375,1.32652734375,7.9113984375,3.59289453125,-3.4180625,1.00471875,0.12305078125,4.78640625,-0.21276171875,-4.5203515625,-4.74605078125,3.32844140625,0.37779296875,0.9070859375,-8.8920859375,-2.1798515625,0.56016796875,-2.67852734375,-10.86050390625,-5.94610546875,1.13575390625,1.547953125,-3.79067578125,-3.83553125,-10.08020703125,-11.15525,-1.2661640625
2.497625,4.24269140625,1.209953125,-1.5460859375,3.30752734375,7.8623984375,1.26189453125,-1.9820625,1.70071875,2.00905078125,3.80840625,0.16923828125,-4.2963515625,-2.37905078125,3.47644140625,-0.51220703125,1.1170859375,-8.0860859375,-0.7578515625,0.22116796875,-3.96452734375,-11.99650390625,-4.92410546875,2.02975390625,-0.00504687500000012,-6.16667578125,-2.95853125,-10.72020703125,-11.43325,-2.9531640625
1.378625,4.24369140625,3.076953125,-2.5690859375,5.33852734375,7.9213984375,-0.45610546875,0.1959375,2.69671875,3.80205078125,3.19840625,1.81423828125,-3.9283515625,0.46194921875,3.28344140625,-1.03920703125,2.0310859375,-6.3320859375,0.9201484375,-0.0378320312499998,-4.82152734375,-12.25750390625,-3.13610546875,3.14575390625,-1.459046875,-8.08967578125,-2.11253125,-10.60720703125,-11.51225,-4.8421640625
1.001625,4.54269140625,4.694953125,-3.0960859375,6.23052734375,7.8103984375,-0.99710546875,2.4729375,3.25071875,4.94205078125,2.85640625,4.18523828125,-3.9433515625,2.76494921875,2.68144140625,-1.15120703125,3.4970859375,-4.6230859375,2.1321484375,-0.27383203125,-5.01052734375,-12.39350390625,-1.53210546875,3.99175390625,-2.660046875,-8.92567578125,-1.80753125,-10.44120703125,-11.82225,-6.6161640625
1.585625,5.02969140625,5.657953125,-3.2110859375,5.28752734375,7.3583984375,-0.28910546875,4.4179375,2.75471875,5.04805078125,2.69440625,6.69623828125,-4.7113515625,3.72794921875,1.79744140625,-0.86420703125,5.2750859375,-3.8590859375,2.3691484375,-0.50283203125,-4.54052734375,-12.88750390625,-0.84110546875,4.21475390625,-3.552046875,-8.47667578125,-2.34253125,-10.60220703125,-12.48925,-7.9411640625
2.786625,5.47769140625,5.942953125,-3.1710859375,2.70152734375,6.5923984375,1.36389453125,5.7589375,0.96771875,4.10805078125,2.69640625,8.82923828125,-6.2703515625,3.05094921875,0.95944140625,-0.26720703125,7.1270859375,-4.5020859375,1.5301484375,-0.66583203125,-3.67252734375,-13.80350390625,-1.32710546875,3.71475390625,-4.176046875,-7.03967578125,-3.72953125,-11.13020703125,-13.35025,-8.6431640625
3.839625,5.57869140625,5.744953125,-3.3610859375,-0.60247265625,5.6643984375,3.41889453125,6.2959375,-1.96928125,2.42105078125,2.89240625,10.19723828125,-8.3373515625,0.97194921875,0.54144140625,0.45579296875,8.8150859375,-6.4270859375,-0.0828515624999999,-0.69183203125,-2.82552734375,-14.83750390625,-2.75910546875,2.64675390625,-4.632046875,-5.27067578125,-5.69353125,-11.84320703125,-14.11125,-8.7561640625
