"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
2.0426640625,-0.8302734375,-0.21638671875,5.9366015625,1.23838671875,2.030546875,4.8654140625,-0.622789062500001,6.51234765625,8.81553515625,-2.548828125,-6.395,13.2743359375,3.648296875,3.87989453125,-1.85708203125,-1.7318046875,-0.163945312499999,4.30997265625,-0.0448007812500002,4.49401171875,-2.2483828125,-0.9563046875,-1.11840234375,-4.38044921875,-5.87033203125,-1.19169921875,-0.1045390625,-2.717359375,-1.0992734375
1.5396640625,-0.4132734375,0.73461328125,4.4706015625,-1.23861328125,2.915546875,3.9874140625,-0.6267890625,5.38234765625,9.02053515625,-3.270828125,-4.444,12.7343359375,4.280296875,3.29489453125,-2.19908203125,1.1381953125,0.282054687500001,4.30497265625,-1.55280078125,4.13701171875,-1.6233828125,-2.1913046875,-0.55340234375,-3.75744921875,-2.38833203125,-0.40569921875,1.4924609375,-0.00635937500000017,1.5087265625
0.7986640625,-0.4852734375,1.15761328125,2.7486015625,-3.39861328125,2.812546875,3.3354140625,-0.410789062500001,4.02534765625,8.11653515625,-4.129828125,-3.247,11.1493359375,3.909296875,2.22389453125,-2.78608203125,3.4581953125,-0.362945312499999,3.68997265625,-2.84280078125,4.08601171875,-1.4523828125,-3.2953046875,-0.65540234375,-3.21244921875,-0.12933203125,-0.39369921875,2.0094609375,1.418640625,2.8287265625
-0.1703359375,-1.0072734375,1.11161328125,0.6946015625,-5.36761328125,1.687546875,2.8604140625,-0.1187890625,2.25534765625,6.03653515625,-5.066828125,-2.727,8.8153359375,2.444296875,0.65489453125,-3.47208203125,4.9551953125,-2.0449453125,2.34197265625,-3.80480078125,4.37501171875,-1.6433828125,-4.3863046875,-1.39940234375,-2.69544921875,0.81166796875,-1.15369921875,1.4824609375,1.524640625,2.8427265625
-1.2783359375,-1.8012734375,0.81361328125,-1.6693984375,-7.34161328125,-0.218453125,2.4254140625,0.0272109374999996,-0.0326523437500001,3.08453515625,-6.010828125,-2.632,6.4183359375,0.0932968750000001,-1.30010546875,-4.05008203125,5.3391953125,-4.3469453125,0.31997265625,-4.40080078125,4.92501171875,-1.9803828125,-5.6313046875,-2.59340234375,-2.19344921875,0.66066796875,-2.44769921875,0.258460937499999,0.632640625,1.9167265625
-2.4273359375,-2.6892734375,0.46361328125,-4.2133984375,-9.44061328125,-2.549453125,1.8734140625,-0.1377890625,-2.75465234375,-0.20846484375,-6.961828125,-2.766,4.6253359375,-2.750703125,-3.49010546875,-4.41308203125,4.3701953125,-6.7189453125,-2.15102734375,-4.72480078125,5.56201171875,-2.3083828125,-7.1473046875,-4.03240234375,-1.82544921875,-0.20633203125,-3.94569921875,-1.2635390625,-0.809359375,0.5527265625
-3.5563359375,-3.5752734375,0.12361328125,-6.7073984375,-11.62461328125,-4.968453125,1.0914140625,-0.664789062500001,-5.59965234375,-3.27046484375,-7.986828125,-3.08,3.7493359375,-5.620703125,-5.75510546875,-4.62608203125,2.0431953125,-8.6959453125,-4.71902734375,-4.98680078125,6.05201171875,-2.6313828125,-8.9143046875,-5.57940234375,-1.81644921875,-1.40833203125,-5.34269921875,-2.8135390625,-2.401359375,-0.8212734375
-4.6293359375,-4.4202734375,-0.25338671875,-8.8523984375,-13.68661328125,-7.198453125,0.0824140625000001,-1.5047890625,-8.10165234375,-5.64046484375,-9.140828125,-3.616,3.7133359375,-8.060703125,-7.90710546875,-4.85608203125,-1.2288046875,-10.0119453125,-6.96602734375,-5.39980078125,6.16001171875,-3.0423828125,-10.7383046875,-7.12440234375,-2.34744921875,-2.63233203125,-6.39769921875,-4.2385390625,-3.829359375,-1.9352734375
-5.5783359375,-5.1762734375,-0.71938671875,-10.3313984375,-15.29861328125,-9.011453125,-1.0045859375,-2.5547890625,-9.78065234375,-7.05146484375,-10.362828125,-4.407,4.2313359375,-9.679703125,-9.72110546875,-5.24408203125,-4.6268046875,-10.5709453125,-8.49202734375,-6.06480078125,5.71201171875,-3.5663828125,-12.2543046875,-8.49940234375,-3.39744921875,-3.65433203125,-6.91769921875,-5.3755390625,-4.822359375,-2.6312734375
-6.2993359375,-5.7672734375,-1.26538671875,-10.9083984375,-16.13761328125,-10.245453125,-1.9485859375,-3.7287890625,-10.31465234375,-7.46146484375,-11.468828125,-5.445,5.0353359375,-10.225703125,-10.97210546875,-5.81508203125,-7.2118046875,-10.3869453125,-9.01702734375,-6.90280078125,4.65101171875,-4.0453828125,-13.0203046875,-9.45540234375,-4.69344921875,-4.34333203125,-6.77569921875,-5.9735390625,-5.151359375,-2.8042734375
-6.7333359375,-6.1692734375,-1.86438671875,-10.5523984375,-16.05561328125,-10.851453125,-2.5865859375,-5.0387890625,-9.66965234375,-7.04046484375,-12.247828125,-6.729,5.9903359375,-9.661703125,-11.50510546875,-6.48408203125,-8.3658046875,-9.5289453125,-8.47702734375,-7.70880078125,3.08101171875,-4.1793828125,-12.6873046875,-9.73040234375,-5.81544921875,-4.66933203125,-5.94569921875,-5.7615390625,-4.683359375,-2.3992734375
-6.9583359375,-6.4912734375,-2.57938671875,-9.4883984375,-15.20261328125,-10.937453125,-2.9295859375,-6.6167890625,-8.13865234375,-6.12846484375,-12.586828125,-8.301,7.0693359375,-8.211703125,-11.31810546875,-7.11508203125,-8.1158046875,-8.1289453125,-7.08302734375,-8.26180078125,1.25301171875,-3.6943828125,-11.1873046875,-9.19540234375,-6.40144921875,-4.69433203125,-4.55769921875,-4.6315390625,-3.469359375,-1.4722734375
-7.1893359375,-6.9792734375,-3.59138671875,-8.1253984375,-13.99161328125,-10.764453125,-3.1435859375,-8.6067890625,-6.24065234375,-5.15046484375,-12.545828125,-10.215,8.2433359375,-6.348703125,-10.59810546875,-7.62108203125,-7.1438046875,-6.4189453125,-5.29502734375,-8.46480078125,-0.49298828125,-2.5473828125,-8.8303046875,-7.98540234375,-6.33444921875,-4.55933203125,-2.92569921875,-2.7805390625,-1.791359375,-0.2522734375
-7.6873359375,-7.8942734375,-5.10838671875,-6.9053984375,-12.92461328125,-10.661453125,-3.4375859375,-11.0137890625,-4.55565234375,-4.51346484375,-12.340828125,-12.436,9.3713359375,-4.695703125,-9.69510546875,-8.01508203125,-6.4448046875,-4.7639453125,-3.72402734375,-8.40680078125,-1.86598828125,-1.0233828125,-6.2423046875,-6.52840234375,-5.81544921875,-4.44433203125,-1.50569921875,-0.7075390625,-0.119359375,0.8637265625
