"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-11.18364453125,-0.0126757812500007,14.094046875,-4.5914765625,-5.55846484375,-5.80490625,-2.657578125,26.1263671875,-2.2090546875,-2.2063671875,-3.7692109375,-0.586359375000001,8.5953984375,4.8255234375,0.583265625,-6.32462109375,-2.42207421875,7.50856640625,3.34082421875,-6.6251171875,-6.41959765625,8.278703125,7.22984375,-3.9551875,-4.5020703125,2.38770703125,10.81101171875,25.3241953125,18.849875,10.5001015625
-7.38164453125,-4.51367578125,10.349046875,-6.1924765625,-16.25546484375,-13.45390625,-4.701578125,23.6053671875,-9.1210546875,-8.2483671875,-11.8272109375,-5.319359375,2.3383984375,-0.760476562500001,-5.432734375,-12.53562109375,-3.31007421875,3.20356640625,-1.36117578125,-10.8991171875,-9.88359765625,7.871703125,3.11184375,-6.4061875,-7.8590703125,-0.51829296875,8.37101171875,24.7671953125,17.039875,5.8021015625
-10.67764453125,-8.26567578125,9.480046875,-9.4624765625,-21.92646484375,-17.67090625,-4.709578125,23.5163671875,-15.1510546875,-12.4653671875,-16.0412109375,-6.537359375,-2.0896015625,-5.5854765625,-9.298734375,-14.45662109375,-2.73007421875,-0.72943359375,-5.32317578125,-12.9371171875,-10.37459765625,6.894703125,-0.857156250000001,-7.7631875,-9.0280703125,-1.83429296875,6.79901171875,23.5021953125,15.391875,2.5801015625
-20.51564453125,-11.38467578125,11.131046875,-14.8464765625,-23.06546484375,-18.58390625,-2.856578125,25.4983671875,-20.1720546875,-15.0813671875,-16.3632109375,-4.631359375,-5.0856015625,-9.7564765625,-11.042734375,-12.38562109375,-0.88707421875,-4.38143359375,-8.69417578125,-12.8841171875,-8.06259765625,5.062703125,-4.83015625,-8.2511875,-8.0480703125,-1.21729296875,5.75501171875,21.1011953125,13.541875,1.0281015625
-33.66264453125,-14.17867578125,13.946046875,-22.2434765625,-21.85246484375,-17.44090625,0.0244218749999989,28.3113671875,-24.2840546875,-16.9053671875,-14.0032109375,-1.225359375,-7.6086015625,-13.6004765625,-11.399734375,-8.12662109375,1.48992578125,-7.99743359375,-11.87617578125,-11.6861171875,-4.15659765625,2.152703125,-9.04015625,-8.5801875,-5.7260703125,1.18170703125,4.42401171875,17.2051953125,10.930875,0.8921015625
-45.69664453125,-16.83467578125,16.385046875,-30.8504765625,-20.81546484375,-15.83090625,2.958421875,30.5523671875,-27.7020546875,-18.7753671875,-10.7412109375,1.833640625,-10.5776015625,-17.3874765625,-11.353734375,-3.97162109375,3.56792578125,-11.80543359375,-15.23017578125,-10.5701171875,-0.22959765625,-1.862296875,-13.60715625,-9.6001875,-3.2260703125,4.75270703125,1.89201171875,11.7321953125,7.098875,1.6111015625
-52.77964453125,-19.15267578125,17.521046875,-39.2124765625,-21.49846484375,-14.85990625,5.293421875,31.3673671875,-30.6490546875,-21.0603671875,-8.1102109375,3.472640625,-14.3716015625,-21.1204765625,-11.659734375,-1.59562109375,4.80292578125,-15.81543359375,-18.84217578125,-10.4901171875,2.47640234375,-6.695296875,-18.40315625,-11.9271875,-1.6110703125,8.57170703125,-2.46298828125,4.9971953125,1.919875,2.4681015625
-52.94464453125,-20.51767578125,17.396046875,-45.5834765625,-23.85646484375,-14.74190625,6.868421875,30.8063671875,-33.3000546875,-23.4893671875,-6.8422109375,3.756640625,-18.6096015625,-24.5194765625,-12.578734375,-1.47062109375,5.12492578125,-19.74043359375,-22.48817578125,-11.8191171875,3.40340234375,-11.751296875,-23.05515625,-15.7251875,-1.5660703125,11.56970703125,-8.75298828125,-2.3558046875,-4.376125,2.6931015625
-46.56564453125,-20.16567578125,16.808046875,-48.5224765625,-26.59546484375,-14.96390625,7.848421875,29.6643671875,-35.7130546875,-25.3733671875,-6.8032109375,3.481640625,-22.2366015625,-27.1764765625,-13.922734375,-3.01462109375,4.85192578125,-23.07143359375,-25.77517578125,-14.3571171875,2.58740234375,-16.291296875,-27.09515625,-20.6961875,-3.3360703125,12.68770703125,-16.56398828125,-9.5758046875,-11.345125,1.5221015625
-36.09964453125,-17.66967578125,16.742046875,-47.4234765625,-28.09846484375,-14.79890625,8.407421875,28.9503671875,-37.6970546875,-26.0373671875,-7.3452109375,3.394640625,-23.9056015625,-28.7344765625,-15.285734375,-5.21262109375,4.41392578125,-25.25743359375,-28.33117578125,-17.5731171875,0.32840234375,-19.642296875,-30.12715625,-26.2131875,-6.8190703125,11.01070703125,-25.07598828125,-16.0318046875,-18.495125,-1.6918984375
