"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-6.9263828125,-5.30855078125,-12.7231875,-6.49155078125,-8.64482421875,-9.20455078125,-17.05791015625,-5.387140625,-5.316171875,-8.00720703125,-16.9948828125,-7.67095703125,6.30448046875,-10.03934765625,-15.66079296875,-15.93886328125,-9.87358203125,-2.93353515625,-7.84640625,-14.12159375,-13.71267578125,-4.72965234375,-6.93703515625,-10.58178515625,-9.97488671875,-12.43653125,-11.6747109375,-10.38057421875,-7.66922265625,-6.23548046875
-5.1543828125,-6.93355078125,-8.9301875,-4.49755078125,-8.51682421875,-9.24555078125,-14.90891015625,-5.108140625,-4.664171875,-9.10820703125,-17.2888828125,-6.95295703125,6.20248046875,-9.32534765625,-15.21879296875,-15.69286328125,-8.88158203125,-0.91753515625,-5.88140625,-13.28559375,-12.49667578125,-1.93765234375,-4.41403515625,-9.57878515625,-10.20488671875,-12.52453125,-9.9367109375,-6.37357421875,-4.03822265625,-4.77848046875
-4.7393828125,-7.73155078125,-6.5061875,-3.25655078125,-8.57882421875,-9.56555078125,-13.59291015625,-4.818140625,-4.407171875,-9.78320703125,-17.2318828125,-6.97895703125,5.95748046875,-8.44634765625,-14.19379296875,-15.34886328125,-7.98058203125,0.67246484375,-3.82640625,-12.01159375,-11.44467578125,0.12234765625,-2.22303515625,-8.03978515625,-10.02488671875,-12.83553125,-8.0977109375,-3.25957421875,-1.01222265625,-3.76448046875
-5.2333828125,-7.54855078125,-5.4431875,-2.69555078125,-8.49682421875,-9.67355078125,-12.77591015625,-4.038140625,-4.348171875,-9.62920703125,-16.4128828125,-7.48995703125,5.64248046875,-7.29934765625,-12.41079296875,-14.56786328125,-7.05458203125,1.76546484375,-1.66140625,-10.11559375,-10.32867578125,1.29134765625,-0.42103515625,-5.89478515625,-9.23388671875,-13.13353125,-6.1017109375,-1.14757421875,1.39077734375,-2.98748046875
-5.7433828125,-6.47455078125,-5.3421875,-2.54055078125,-7.84082421875,-8.95655078125,-11.86191015625,-2.347140625,-4.155171875,-8.33120703125,-14.5048828125,-7.91695703125,5.37448046875,-5.85634765625,-9.94179296875,-13.01486328125,-6.03558203125,2.36646484375,0.49859375,-7.62659375,-8.88567578125,1.57334765625,0.93596484375,-3.35178515625,-7.80488671875,-13.14653125,-4.0197109375,0.0254257812499999,3.19677734375,-2.16348046875
-5.5233828125,-4.81855078125,-5.6681875,-2.51955078125,-6.36282421875,-7.10055078125,-10.40691015625,0.224859375000001,-3.596171875,-5.90820703125,-11.5348828125,-7.71395703125,5.21348046875,-4.24334765625,-7.16779296875,-10.61486328125,-5.02958203125,2.50646484375,2.35059375,-4.88559375,-7.04667578125,1.11134765625,1.72596484375,-0.89878515625,-5.98088671875,-12.78253125,-2.1037109375,0.38242578125,4.33477734375,-1.17748046875
-4.3833828125,-3.01455078125,-5.9711875,-2.54255078125,-4.20582421875,-4.35155078125,-8.36891015625,3.090859375,-2.709171875,-2.82220703125,-7.9738828125,-6.66595703125,5.12648046875,-2.75634765625,-4.68679296875,-7.69286328125,-4.29958203125,2.21346484375,3.48959375,-2.47059375,-5.03567578125,0.16034765625,1.79296484375,0.85921484375,-4.19688671875,-12.15753125,-0.7227109375,0.0684257812499999,4.65477734375,-0.15548046875
-2.6973828125,-1.51055078125,-5.9871875,-2.72055078125,-1.89982421875,-1.43155078125,-6.10591015625,5.353859375,-1.804171875,0.13679296875,-4.6098828125,-5.00795703125,5.03048046875,-1.78134765625,-3.07979296875,-4.89486328125,-4.11158203125,1.54746484375,3.59659375,-0.95559375,-3.28767578125,-0.94065234375,1.07496484375,1.45721484375,-2.87088671875,-11.46653125,-0.1817109375,-0.70257421875,4.09477734375,0.65751953125
-1.1293828125,-0.647550781250001,-5.6641875,-3.26055078125,-0.161824218750001,0.77644921875,-4.19191015625,6.219859375,-1.316171875,2.14179296875,-2.2588828125,-3.30195703125,4.87548046875,-1.63434765625,-2.67579296875,-2.93786328125,-4.57258203125,0.64246484375,2.62059375,-0.645593750000001,-2.25567578125,-1.82365234375,-0.28103515625,0.79521484375,-2.20288671875,-10.86053125,-0.5487109375,-1.61757421875,2.82677734375,1.07151953125
-0.295382812500001,-0.56955078125,-5.1301875,-4.27455078125,0.41917578125,1.61344921875,-3.16491015625,5.328859375,-1.568171875,2.67479296875,-1.4718828125,-2.16195703125,4.67448046875,-2.39534765625,-3.40879296875,-2.30886328125,-5.57158203125,-0.26753515625,0.86359375,-1.43059375,-2.21367578125,-2.16965234375,-1.88203515625,-0.78678515625,-2.12688671875,-10.43853125,-1.5927109375,-2.29157421875,1.25777734375,1.05851953125
