"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
17.8676328125,5.65141015625,4.27791015625,10.36178515625,10.9972890625,1.170375,-1.34953125,1.44521484375,3.46910546875,1.16445703125,1.98688671875,1.66001171875,4.76033203125,5.42592578125,0.50756640625,1.17155859375,2.9956015625,3.0694296875,2.6135859375,5.58934765625,-1.0941953125,6.03718359375,2.52378515625,-1.86385546875,-0.7027265625,3.08834765625,5.0897734375,3.9291171875,10.15694921875,10.41753125
20.0056328125,5.88641015625,4.24691015625,9.73078515625,11.7602890625,0.433375,-0.28153125,2.78221484375,2.33810546875,-0.45254296875,0.10888671875,-0.15298828125,3.62533203125,4.74892578125,-0.63543359375,-0.47244140625,1.8336015625,1.9754296875,2.1645859375,5.13334765625,-2.1751953125,4.24918359375,1.35778515625,-2.61285546875,-1.7867265625,1.38834765625,3.6027734375,2.1501171875,8.63994921875,9.17253125
22.5986328125,7.41741015625,5.71791015625,10.06178515625,13.0502890625,0.873375,0.88246875,3.92021484375,2.56010546875,-0.29154296875,-0.11511328125,-0.48198828125,3.66433203125,5.37092578125,-0.0774335937499999,-0.40544140625,1.8476015625,2.0294296875,3.1515859375,6.11934765625,-2.0501953125,3.54618359375,1.66978515625,-1.79185546875,-1.4087265625,0.84634765625,3.7097734375,1.7771171875,8.48194921875,9.07253125
25.4306328125,10.01641015625,8.47191015625,11.22478515625,14.7842890625,2.354375,2.11346875,4.87221484375,3.92410546875,1.47445703125,1.17588671875,0.55501171875,4.67733203125,7.05992578125,2.00556640625,1.24655859375,2.8976015625,3.0924296875,5.3885859375,8.42134765625,-0.8161953125,3.86018359375,3.32678515625,0.46114453125,0.3282734375,1.43734765625,5.3007734375,2.7171171875,9.61894921875,10.01153125
28.0256328125,12.94941015625,11.70091015625,12.72078515625,16.6352890625,4.326375,3.30746875,5.63121484375,5.73810546875,4.06845703125,3.28988671875,2.35201171875,6.07933203125,9.11092578125,4.84556640625,3.78555859375,4.4096015625,4.6354296875,8.1645859375,11.39834765625,1.0278046875,4.78718359375,5.69578515625,3.46414453125,2.8412734375,2.75834765625,7.7427734375,4.4211171875,11.55794921875,11.52753125
29.8516328125,15.34641015625,14.39691015625,13.93178515625,18.1692890625,6.133375,4.30946875,6.11121484375,7.21310546875,6.54045703125,5.37288671875,4.15901171875,7.25533203125,10.74092578125,7.50456640625,6.33055859375,5.7096015625,6.0514296875,10.6225859375,14.22434765625,2.8618046875,5.85018359375,7.99278515625,6.35314453125,5.3992734375,4.24134765625,10.2377734375,6.2121171875,13.67994921875,13.09053125
30.5716328125,16.59241015625,15.79391015625,14.39478515625,19.0172890625,7.292375,5.00346875,6.20421484375,7.82110546875,8.17345703125,6.77588671875,5.38901171875,7.84833203125,11.43392578125,9.27456640625,8.18055859375,6.3596015625,6.9234296875,12.1135859375,16.22434765625,4.1968046875,6.72718359375,9.60078515625,8.43914453125,7.4312734375,5.39334765625,12.1657734375,7.5711171875,15.49994921875,14.33953125
30.2166328125,16.54741015625,15.66391015625,13.99278515625,19.0282890625,7.630375,5.37746875,5.90021484375,7.46310546875,8.68945703125,7.24488671875,5.79501171875,7.84233203125,11.09292578125,9.87256640625,8.99955859375,6.2996015625,7.1334296875,12.3915859375,17.08134765625,4.8018046875,7.30418359375,10.23278515625,9.39314453125,8.6532734375,5.94434765625,13.2347734375,8.2751171875,16.77594921875,15.15953125
29.1686328125,15.54441015625,14.35291015625,12.96878515625,18.3082890625,7.244375,5.51646875,5.33221484375,6.40810546875,8.22445703125,6.89388671875,5.47201171875,7.48333203125,9.96692578125,9.42356640625,8.82555859375,5.7546015625,6.8014296875,11.5885859375,16.85934765625,4.7068046875,7.59818359375,9.90178515625,9.23214453125,9.0472734375,5.88334765625,13.4507734375,8.3371171875,17.46294921875,15.59653125
27.9716328125,14.16741015625,12.56991015625,11.76878515625,17.1352890625,6.376375,5.50246875,4.69921484375,5.10110546875,7.15245703125,6.05288671875,4.73201171875,7.09533203125,8.46692578125,8.28756640625,7.94255859375,5.0116015625,6.1404296875,10.0595859375,15.87034765625,4.1088046875,7.63418359375,8.80578515625,8.19114453125,8.7362734375,5.40034765625,12.9707734375,7.8721171875,17.59694921875,15.72853125
27.0796328125,12.95941015625,11.02891015625,10.81678515625,15.8332890625,5.279375,5.34846875,4.13621484375,3.94510546875,5.87145703125,5.06888671875,3.91001171875,6.90233203125,6.95892578125,6.86456640625,6.71255859375,4.2406015625,5.3114296875,8.1975859375,14.49134765625,3.2558046875,7.35918359375,7.19278515625,6.56214453125,7.8652734375,4.76534765625,11.9537734375,6.9721171875,17.21094921875,15.57853125
26.6906328125,12.19941015625,10.15391015625,10.33278515625,14.6562890625,4.138375,5.00746875,3.66821484375,3.15010546875,4.64145703125,4.17488671875,3.19701171875,6.91433203125,5.64292578125,5.45156640625,5.42955859375,3.4726015625,4.3624296875,6.3065859375,13.01934765625,2.3418046875,6.65218359375,5.26978515625,4.60014453125,6.5542734375,4.22934765625,10.4997734375,5.6871171875,16.32794921875,15.13053125
26.7356328125,11.87841015625,9.98391015625,10.28178515625,13.7412890625,3.079375,4.45746875,3.24121484375,2.72310546875,3.57145703125,3.46388671875,2.59101171875,6.95233203125,4.55892578125,4.21856640625,4.27355859375,2.7346015625,3.2704296875,4.5815859375,11.63634765625,1.4948046875,5.44418359375,3.21778515625,2.52714453125,4.9392734375,3.96934765625,8.6967734375,4.0981171875,15.02994921875,14.40953125
