"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
6.38623828125,-3.144296875,-4.71619140625,10.09050390625,-7.91546484375,-3.59415234375,1.39519140625,-1.3721328125,2.528484375,-0.235484375,-2.11293359375,1.881859375,0.86276171875,-0.698570312500001,2.62710546875,0.27470703125,-4.54708984375,0.26627734375,-0.305656249999999,-0.352984375,-2.04340625,3.3395390625,-0.321796875,-1.52323828125,-1.32287890625,-6.41723828125,-1.18089453125,-0.62647265625,-1.07411328125,-5.369484375
5.48023828125,-4.200296875,-5.85419140625,8.69750390625,-8.81246484375,-5.01015234375,2.90719140625,-1.1621328125,-0.695515625,-2.783484375,-3.92193359375,0.421859375,0.233761718749999,-3.6125703125,-0.0768945312500002,-1.92529296875,-4.19908984375,-1.33772265625,-1.93865625,-2.380984375,-5.21540625,1.3835390625,-2.199796875,-3.42723828125,-3.79487890625,-10.90523828125,-3.48989453125,-3.85147265625,-4.55011328125,-7.941484375
4.78323828125,-3.719296875,-6.11719140625,8.21850390625,-8.59246484375,-4.99415234375,4.40319140625,-0.9571328125,-1.856515625,-3.560484375,-4.59593359375,-0.262140625,-0.26723828125,-4.8915703125,-1.35489453125,-2.98329296875,-3.58308984375,-2.27672265625,-3.32365625,-3.517984375,-6.84840625,-0.4174609375,-3.714796875,-4.90323828125,-5.20587890625,-13.53923828125,-5.22089453125,-6.11747265625,-7.16511328125,-9.548484375
3.95223828125,-1.722296875,-5.49219140625,8.33550390625,-7.25546484375,-3.70315234375,5.62019140625,-0.8641328125,-0.980515625,-2.773484375,-4.35993359375,-0.447140625,-0.73623828125,-4.6965703125,-1.47789453125,-3.15829296875,-2.89808984375,-2.65672265625,-4.58965625,-3.941984375,-7.03240625,-2.0964609375,-4.964796875,-6.06923828125,-5.66687890625,-14.20523828125,-6.37989453125,-7.36147265625,-8.80211328125,-10.079484375
2.54523828125,1.214703125,-4.19319140625,8.39050390625,-5.29346484375,-1.82615234375,6.20019140625,-1.0141328125,1.189484375,-1.257484375,-3.86093359375,-0.680140625,-1.32723828125,-3.7525703125,-1.18589453125,-3.11329296875,-2.49808984375,-2.80972265625,-5.90965625,-4.120984375,-6.39040625,-3.6774609375,-6.118796875,-7.14323828125,-5.62187890625,-13.35023828125,-7.12989453125,-7.79847265625,-9.55311328125,-9.730484375
0.36823828125,4.174703125,-2.59619140625,7.77750390625,-3.55646484375,-0.23415234375,5.86719140625,-1.4711328125,3.524484375,-0.0184843750000003,-3.80593359375,-1.411140625,-2.15323828125,-2.9335703125,-1.22389453125,-3.51029296875,-2.68308984375,-3.08972265625,-7.33965625,-4.511984375,-5.70640625,-5.1034609375,-7.251796875,-8.26923828125,-5.57287890625,-11.71923828125,-7.67789453125,-7.78347265625,-9.62511328125,-8.900484375
-2.28476171875,6.174703125,-1.19519140625,6.30650390625,-2.90446484375,0.40484765625,4.60119140625,-2.1921328125,4.942484375,0.235515625,-4.59293359375,-2.726140625,-3.22923828125,-2.8715703125,-1.96989453125,-4.65429296875,-3.53008984375,-3.71572265625,-8.76465625,-5.304984375,-5.54540625,-6.2254609375,-8.275796875,-9.41723828125,-5.82687890625,-10.05523828125,-8.16089453125,-7.65547265625,-9.25411328125,-8.026484375
-4.73476171875,6.446703125,-0.51319140625,4.28750390625,-3.79046484375,-0.14415234375,2.69119140625,-3.0421328125,4.751484375,-0.662484375,-6.14893359375,-4.347140625,-4.49023828125,-3.7645703125,-3.34289453125,-6.39729296875,-4.87008984375,-4.71472265625,-9.97465625,-6.385984375,-6.07040625,-6.9004609375,-9.000796875,-10.42423828125,-6.42887890625,-8.91523828125,-8.60189453125,-7.65447265625,-8.68211328125,-7.433484375
-6.25976171875,4.714703125,-0.85119140625,2.32450390625,-6.00646484375,-1.64515234375,0.63719140625,-3.8431328125,2.863484375,-2.355484375,-7.99493359375,-5.818140625,-5.84323828125,-5.3795703125,-4.92889453125,-8.26829296875,-6.39608984375,-5.93472265625,-10.76165625,-7.438984375,-7.07640625,-7.0834609375,-9.251796875,-11.07923828125,-7.21687890625,-8.59523828125,-8.91889453125,-7.88447265625,-8.13911328125,-7.264484375
-6.46076171875,1.397703125,-2.01119140625,0.99650390625,-8.71746484375,-3.49815234375,-1.02180859375,-4.4001328125,-0.136515625,-4.143484375,-9.46693359375,-6.685140625,-7.16323828125,-7.1615703125,-6.16489453125,-9.67229296875,-7.76308984375,-7.07972265625,-10.95165625,-8.084984375,-8.15240625,-6.8444609375,-8.920796875,-11.17123828125,-7.90487890625,-9.09523828125,-8.95989453125,-8.28947265625,-7.79311328125,-7.466484375
