"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-24.40548828125,-6.88470703125,-13.4750546875,-32.8515859375,-27.56709765625,-6.2886015625,-18.99141796875,-25.2518515625,-5.12864453125,-12.0805234375,-18.2741796875,-5.233234375,-2.8146328125,-19.67173828125,-19.83970703125,-13.27539453125,-11.21107421875,-8.07442578125,-13.68798828125,-3.02076953125,9.51627734375,-8.69272265625,-14.67847265625,-14.720671875,2.2432265625,5.9580234375,-6.21416796875,2.80565625,-2.0608203125,0.3172890625
-24.32648828125,-6.70270703125,-4.4400546875,-32.2285859375,-26.82609765625,-6.2906015625,-18.66741796875,-25.7978515625,-3.34864453125,-11.3995234375,-17.6061796875,-2.844234375,0.2403671875,-19.48173828125,-18.48570703125,-11.83239453125,-7.51907421875,-8.55142578125,-14.23598828125,-2.79776953125,12.42727734375,-7.86072265625,-14.60047265625,-14.548671875,3.2252265625,10.1470234375,-6.86616796875,1.71365625,-1.2408203125,0.7872890625
-23.76148828125,-7.23470703125,0.350945312499999,-32.6455859375,-27.02709765625,-7.0016015625,-19.22141796875,-27.3888515625,-3.76964453125,-11.9525234375,-18.2771796875,-1.551234375,1.0313671875,-19.89373828125,-18.74370703125,-11.46139453125,-5.62507421875,-9.70542578125,-15.81998828125,-3.78476953125,13.88927734375,-8.85072265625,-15.34647265625,-15.681671875,2.8232265625,12.2230234375,-8.24716796875,0.54565625,-1.3438203125,0.4712890625
-23.16748828125,-8.59870703125,0.3639453125,-34.0935859375,-28.30109765625,-8.5156015625,-20.54341796875,-29.9468515625,-6.34864453125,-13.7895234375,-20.1391796875,-1.368234375,0.3433671875,-21.03073828125,-20.61570703125,-12.06039453125,-5.75607421875,-11.42342578125,-18.32898828125,-5.90476953125,13.90427734375,-11.47272265625,-16.81947265625,-17.927671875,1.1912265625,12.2220234375,-10.16416796875,-0.497343750000001,-2.2108203125,-0.5317109375
-23.07748828125,-10.56170703125,-3.5430546875,-36.1195859375,-30.33009765625,-10.5526015625,-22.05841796875,-32.8618515625,-10.13164453125,-16.3915234375,-22.4271796875,-1.887234375,-0.3106328125,-22.70973828125,-23.40570703125,-13.05939453125,-7.49007421875,-13.22142578125,-21.11198828125,-8.53676953125,13.00127734375,-14.69772265625,-18.49347265625,-20.492671875,-0.9057734375,10.8860234375,-12.01716796875,-1.09834375,-3.3008203125,-1.7907109375
-23.55248828125,-12.44970703125,-9.3870546875,-37.9065859375,-32.28609765625,-12.3896015625,-22.89941796875,-35.1318515625,-13.55364453125,-18.7365234375,-24.0121796875,-2.418234375,0.1513671875,-24.33373828125,-25.88770703125,-13.61139453125,-9.82807421875,-14.35842578125,-23.10698828125,-10.68676953125,12.05027734375,-16.99772265625,-19.52847265625,-22.263671875,-2.3637734375,9.2910234375,-12.98816796875,-0.94434375,-3.9228203125,-2.7007109375
-23.98848828125,-13.30170703125,-14.7140546875,-38.5405859375,-33.07409765625,-13.0536015625,-22.25841796875,-35.7598515625,-15.03164453125,-19.6345234375,-23.8401796875,-2.238234375,1.6293671875,-25.00373828125,-26.74370703125,-12.90239453125,-11.54707421875,-14.08042578125,-23.16698828125,-11.32676953125,11.97727734375,-16.94572265625,-19.06747265625,-22.237671875,-2.1587734375,8.4110234375,-12.33016796875,0.14765625,-3.5128203125,-2.7207109375
-23.47648828125,-12.29570703125,-17.4490546875,-37.4865859375,-31.84409765625,-11.7496015625,-19.78541796875,-34.2978515625,-13.66764453125,-18.2395234375,-21.3661796875,-0.881234375,3.0243671875,-23.91173828125,-25.12070703125,-10.48439453125,-11.73507421875,-11.94442578125,-20.52898828125,-9.80876953125,13.42727734375,-13.85272265625,-16.60647265625,-19.915671875,0.2352265625,8.7890234375,-9.66916796875,2.15365625,-1.8448203125,-1.5727109375
-21.45448828125,-9.24570703125,-16.6090546875,-34.9895859375,-28.49509765625,-8.3036015625,-15.82541796875,-31.1858515625,-9.68964453125,-14.4715234375,-16.8271796875,1.614765625,3.1453671875,-20.79973828125,-21.03370703125,-6.53039453125,-10.23107421875,-8.05642578125,-15.20498828125,-6.19076953125,16.47827734375,-8.13872265625,-12.27947265625,-15.533671875,4.5872265625,10.4070234375,-5.19516796875,4.83165625,0.8871796875,0.6382890625
-18.15948828125,-4.84570703125,-12.5680546875,-32.0795859375,-23.82909765625,-3.3176015625,-11.34741796875,-27.5878515625,-4.37964453125,-9.1085234375,-11.1921796875,4.627765625,1.6463671875,-16.21273828125,-15.39470703125,-1.86239453125,-7.67207421875,-3.10342578125,-8.08398828125,-1.29476953125,20.52927734375,-1.23972265625,-6.88147265625,-9.990671875,9.9572265625,12.7520234375,0.35083203125,7.77465625,4.1331796875,3.4682890625
