"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-2.38749609375,6.6028125,3.09355078125,-3.12980859375,-5.10194140625,-4.09034765625,5.99912109375,7.36437890625,-2.60936328125,-6.567796875,-2.04460546875,5.75132421875,-8.26435546875,-4.83997265625,-4.789046875,-2.19431640625,10.23339453125,2.25575,0.0420078125000005,2.67912890625,-0.37683984375,0.81374609375,1.68691015625,3.782640625,3.8854921875,-5.69045703125,1.141625,-3.288390625,0.6063984375,-1.25715625
-4.48349609375,4.5258125,2.89855078125,-4.96180859375,-7.23494140625,-4.88234765625,3.84212109375,7.41637890625,-3.46736328125,-8.565796875,-3.07560546875,3.40932421875,-16.22635546875,-5.88397265625,-6.052046875,-4.37031640625,4.68539453125,-0.30025,-3.0359921875,-1.02787109375,-4.59083984375,-3.50225390625,-2.51708984375,0.996640625,-1.3185078125,-13.11945703125,-3.459375,-6.599390625,-4.7166015625,-7.78115625
-5.94949609375,2.7398125,2.21955078125,-6.37980859375,-8.79994140625,-5.45034765625,2.70112109375,6.29737890625,-3.98736328125,-9.754796875,-3.83060546875,1.27532421875,-18.50835546875,-6.95497265625,-6.681046875,-6.10531640625,0.84439453125,-2.70625,-5.0809921875,-3.36887109375,-6.91083984375,-6.35325390625,-5.46008984375,-0.945359375,-4.4565078125,-17.52545703125,-6.481375,-8.982390625,-8.1796015625,-11.70515625
-6.79149609375,1.3438125,1.24955078125,-7.30680859375,-9.74694140625,-5.75534765625,2.55412109375,4.21037890625,-4.44536328125,-10.173796875,-4.31060546875,-0.515675781249999,-15.36035546875,-8.12497265625,-6.733046875,-7.26231640625,-1.04360546875,-4.93925,-6.1389921875,-4.36987109375,-7.31083984375,-7.59425390625,-7.07108984375,-2.072359375,-5.5525078125,-18.89745703125,-7.915375,-10.378390625,-9.7836015625,-13.05115625
-7.21149609375,0.3518125,0.34055078125,-7.79180859375,-10.18894140625,-5.85434765625,2.98712109375,1.76437890625,-5.30636328125,-10.129796875,-4.64960546875,-1.87167578125,-9.11735546875,-9.48897265625,-6.508046875,-7.83431640625,-1.22860546875,-6.98225,-6.5989921875,-4.50187109375,-6.38483984375,-7.56625390625,-7.65808984375,-2.702359375,-5.3045078125,-18.16545703125,-8.280375,-11.034390625,-10.1046015625,-12.65115625
-7.47549609375,-0.3041875,-0.20444921875,-7.99180859375,-10.30694140625,-5.87334765625,3.37612109375,-0.36562109375,-6.92436328125,-10.014796875,-5.06560546875,-2.77767578125,-2.95235546875,-11.08997265625,-6.398046875,-7.96631640625,-0.28760546875,-8.79125,-6.9639921875,-4.40887109375,-5.01483984375,-6.92525390625,-7.71808984375,-3.262359375,-4.6735078125,-16.62945703125,-8.315375,-11.339390625,-9.9036015625,-11.61015625
-7.77049609375,-0.7311875,-0.27944921875,-8.11580859375,-10.26894140625,-5.94034765625,3.16712109375,-1.71262109375,-9.26036328125,-10.123796875,-5.76960546875,-3.30767578125,0.53264453125,-12.83197265625,-6.700046875,-7.89831640625,1.12539453125,-10.28125,-7.6079921875,-4.62087109375,-3.98183984375,-6.33425390625,-7.70008984375,-4.057359375,-4.4395078125,-15.31645703125,-8.608375,-11.562390625,-9.6976015625,-10.70515625
-8.14849609375,-1.0361875,-0.00044921874999998,-8.35680859375,-10.18294140625,-6.12534765625,2.11812109375,-2.16562109375,-11.79836328125,-10.556796875,-6.86460546875,-3.60867578125,0.14064453125,-14.46497265625,-7.502046875,-7.87531640625,2.48139453125,-11.34825,-8.6339921875,-5.37287109375,-3.69383984375,-6.18625390625,-7.84608984375,-5.141359375,-4.9205078125,-14.60045703125,-9.340375,-11.685390625,-9.5366015625,-10.08615625
-8.56449609375,-1.2991875,0.34355078125,-8.83580859375,-10.10394140625,-6.42534765625,0.38212109375,-1.96662109375,-13.76036328125,-11.209796875,-8.30560546875,-3.86867578125,-3.86935546875,-15.66297265625,-8.667046875,-8.05831640625,3.40939453125,-11.91325,-9.8759921875,-6.59587109375,-4.14783984375,-6.51025390625,-8.16208984375,-6.340359375,-5.9745078125,-14.26445703125,-10.278375,-11.439390625,-9.1236015625,-9.40815625
-8.91749609375,-1.5731875,0.42455078125,-9.53680859375,-10.04094140625,-6.76534765625,-1.54687890625,-1.54462109375,-14.47236328125,-11.847796875,-9.89960546875,-4.25967578125,-10.18835546875,-16.15997265625,-9.913046875,-8.48231640625,3.63439453125,-11.94725,-11.0209921875,-8.03387109375,-5.07183984375,-7.08125390625,-8.50908984375,-7.407359375,-7.2275078125,-13.88545703125,-10.989375,-10.523390625,-8.1446015625,-8.27215625
