"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-11.90579296875,-2.99487109375,3.6620390625,-9.48142578125,-4.59514453125,-9.79484375,-10.79155859375,-8.46590234375,-7.7149375,-11.7753828125,-7.39582421875,-7.2605,-7.8246796875,-5.67860546875,-9.9488125,-8.09463671875,-2.45508984375,-5.71334765625,-7.088953125,-7.03567578125,-5.285109375,0.100082031249999,-6.156046875,-9.05206640625,-5.578640625,0.796515624999999,-8.14412890625,-1.05625,1.0392421875,-2.51565625
-3.71379296875,-0.694871093750001,8.4800390625,-7.58342578125,-4.03014453125,-9.44884375,-5.35355859375,-1.69590234375,-6.1179375,-10.6173828125,-6.43682421875,-5.2725,-9.6036796875,-4.23660546875,-9.2398125,-6.69863671875,-0.571089843749999,-4.01934765625,-6.862953125,-7.44467578125,-4.628109375,-0.25691796875,-5.569046875,-8.94806640625,-5.613640625,2.254515625,-8.01012890625,-1.45125,1.0222421875,-2.30265625
0.607207031249997,0.42012890625,10.7860390625,-7.34742578125,-4.13014453125,-9.51584375,-2.52155859375,1.92009765625,-6.2319375,-10.2453828125,-6.03482421875,-3.6445,-11.1086796875,-3.47060546875,-8.9918125,-5.87163671875,0.340910156250001,-3.26634765625,-6.958953125,-8.01167578125,-4.522109375,-1.14691796875,-5.503046875,-9.25406640625,-6.075640625,2.715515625,-8.40412890625,-2.29925,0.3112421875,-2.66265625
1.10120703125,0.27112890625,10.5690390625,-8.57542578125,-4.81414453125,-10.09584375,-2.35455859375,2.36509765625,-7.4869375,-10.6773828125,-6.30282421875,-2.8385,-12.2006796875,-3.37660546875,-9.2328125,-5.84263671875,0.186910156250001,-3.36234765625,-7.427953125,-8.84767578125,-5.130109375,-2.44291796875,-5.941046875,-10.01406640625,-7.066640625,2.034515625,-9.26512890625,-3.42925,-1.0427578125,-3.60865625
-0.993792968750002,-0.80587109375,8.6250390625,-10.44842578125,-5.75214453125,-11.10784375,-4.10855859375,0.603097656250001,-8.7259375,-11.6443828125,-7.14782421875,-3.2445,-12.7376796875,-3.74560546875,-9.8108125,-6.65363671875,-0.816089843749999,-3.91034765625,-8.178953125,-9.94867578125,-6.413109375,-3.79091796875,-6.667046875,-11.09806640625,-8.510640625,0.392515624999999,-10.33012890625,-4.49425,-2.7067578125,-4.92565625
-3.99779296875,-2.21587109375,6.1120390625,-11.96542578125,-6.54514453125,-12.27384375,-6.64555859375,-1.96890234375,-9.0269375,-12.7133828125,-8.27982421875,-4.8755,-12.6056796875,-4.32160546875,-10.4418125,-8.07263671875,-2.22908984375,-4.48034765625,-8.983953125,-11.11467578125,-8.090109375,-4.79891796875,-7.381046875,-12.22606640625,-10.131640625,-1.777484375,-11.27112890625,-5.18625,-4.2177578125,-6.26065625
-6.49679296875,-3.37087109375,4.0110390625,-12.39742578125,-6.93414453125,-13.20984375,-8.86055859375,-4.11190234375,-8.2889375,-13.4883828125,-9.31282421875,-7.2445,-11.7996796875,-4.94360546875,-10.8258125,-9.64163671875,-3.57308984375,-4.85434765625,-9.574953125,-11.99767578125,-9.716109375,-5.24391796875,-7.845046875,-13.06206640625,-11.539640625,-3.946484375,-11.83112890625,-5.39825,-5.1837578125,-7.26765625
-7.74379296875,-3.94987109375,2.7520390625,-11.57342578125,-6.90614453125,-13.58684375,-10.00855859375,-5.15890234375,-7.1969375,-13.7633828125,-9.93182421875,-9.5405,-10.5206796875,-5.58860546875,-10.7728125,-10.85663671875,-4.53008984375,-5.11334765625,-9.770953125,-12.27067578125,-10.851109375,-5.18391796875,-7.994046875,-13.34906640625,-12.376640625,-5.650484375,-11.89912890625,-5.23725,-5.4337578125,-7.74465625
-7.74279296875,-4.04687109375,2.0990390625,-9.89242578125,-6.65614453125,-13.27384375,-9.87155859375,-5.16490234375,-6.6549375,-13.5743828125,-10.01082421875,-10.9845,-9.1796796875,-6.28960546875,-10.2888125,-11.37763671875,-5.06908984375,-5.51234765625,-9.549953125,-11.79767578125,-11.239109375,-4.91791796875,-7.936046875,-13.00406640625,-12.462640625,-6.610484375,-11.52612890625,-4.91725,-5.0607578125,-7.67965625
-7.07179296875,-4.10387109375,1.3650390625,-8.10742578125,-6.46614453125,-12.40284375,-8.75855859375,-4.75090234375,-7.1739375,-13.1253828125,-9.63782421875,-11.1965,-8.2666796875,-7.02260546875,-9.5688125,-11.17263671875,-5.42108984375,-6.26634765625,-9.062953125,-10.72767578125,-10.907109375,-4.81691796875,-7.868046875,-12.16606640625,-11.872640625,-6.783484375,-10.89012890625,-4.63825,-4.3487578125,-7.20865625
