"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
3.3455703125,5.24198828125,9.8964453125,0.11350390625,-0.14338671875,-1.6800546875,-0.9842109375,-7.54030078125,-4.9067109375,-3.152734375,-3.25570703125,1.40186328125,-7.8724765625,-2.33484375,-1.42191015625,1.2731015625,2.14961328125,1.3279453125,3.6511796875,5.93805078125,8.58125,13.1421171875,2.935484375,3.979609375,9.7052890625,15.410359375,10.00985546875,13.24512109375,12.55774609375,13.65437109375
1.8075703125,4.55698828125,7.9524453125,-1.00049609375,-0.29338671875,-1.4770546875,0.3507890625,-8.76730078125,-6.0107109375,-2.356734375,-2.42870703125,0.20286328125,-5.8494765625,-1.67484375,-0.46591015625,2.1901015625,2.56561328125,1.9369453125,4.5971796875,6.11505078125,8.40425,11.5381171875,3.304484375,3.590609375,9.1432890625,15.607359375,9.11685546875,12.21612109375,12.66874609375,13.74737109375
1.3365703125,4.49098828125,6.9354453125,-1.84449609375,-0.13338671875,-0.6770546875,1.7057890625,-9.06030078125,-6.0577109375,-1.259734375,-1.28470703125,-0.0701367187500002,-3.4334765625,-0.65184375,0.80808984375,3.2261015625,2.80661328125,2.9979453125,5.5921796875,6.48605078125,8.23025,10.7231171875,3.902484375,3.631609375,8.8132890625,15.367359375,8.64485546875,11.22112109375,12.52474609375,13.68237109375
1.8395703125,5.04698828125,6.8214453125,-2.40149609375,0.30861328125,0.5579453125,2.9067890625,-8.46230078125,-5.0457109375,0.0242656250000002,-0.000707031250000378,0.34986328125,-1.0194765625,0.64615625,2.24008984375,4.1171015625,2.89861328125,4.3619453125,6.5171796875,6.90805078125,7.94125,10.5701171875,4.652484375,4.056609375,8.6422890625,14.600359375,8.54285546875,10.37112109375,12.11374609375,13.39037109375
3.0405703125,6.13898828125,7.4564453125,-2.61749609375,0.97961328125,1.9139453125,3.7597890625,-7.29030078125,-3.2777109375,1.296265625,1.14029296875,0.93786328125,0.7715234375,1.99315625,3.54708984375,4.5201015625,2.89861328125,5.6609453125,7.2191796875,7.16405078125,7.42525,10.6641171875,5.381484375,4.692609375,8.5002890625,13.356359375,8.66185546875,9.80912109375,11.52574609375,12.83637109375
4.8095703125,7.75498828125,8.8164453125,-2.33449609375,1.90061328125,3.1669453125,4.1867890625,-5.92130078125,-1.1847109375,2.401265625,1.94029296875,1.21686328125,1.4415234375,3.15515625,4.48308984375,4.2391015625,2.88261328125,6.4919453125,7.5961796875,7.11405078125,6.68625,10.5411171875,5.921484375,5.362609375,8.3172890625,11.844359375,8.87985546875,9.66012109375,10.93474609375,12.05737109375
7.3785703125,10.08798828125,11.1854453125,-1.34649609375,3.20561328125,4.3569453125,4.3407890625,-4.61830078125,0.8632890625,3.340265625,2.44229296875,1.00086328125,0.9045234375,4.03515625,5.00608984375,3.4011015625,2.94661328125,6.6349453125,7.6941796875,6.80805078125,5.91125,9.9541171875,6.210484375,6.009609375,8.1562890625,10.400359375,9.21285546875,9.96712109375,10.55274609375,11.20737109375
11.2565703125,13.49598828125,15.0724453125,0.43250390625,5.08961328125,5.7679453125,4.5977890625,-3.47830078125,2.6602890625,4.288265625,2.95129296875,0.46586328125,-0.4534765625,4.71715625,5.32008984375,2.4761015625,3.16961328125,6.1869453125,7.7281796875,6.49305078125,5.43425,8.9761171875,6.331484375,6.745609375,8.1982890625,9.400359375,9.79485546875,10.64112109375,10.54974609375,10.53937109375
16.7635703125,18.16298828125,20.7634453125,2.79950390625,7.64261328125,7.7079453125,5.3747890625,-2.47530078125,4.1512890625,5.478265625,3.86729296875,0.0218632812499999,-1.9864765625,5.38215625,5.76608984375,2.0771015625,3.55261328125,5.5089453125,7.9901796875,6.48605078125,5.56825,7.9201171875,6.443484375,7.751609375,8.6112890625,9.109359375,10.74285546875,11.42512109375,10.93574609375,10.27637109375
23.3815703125,23.59898828125,27.6904453125,5.18650390625,10.63961328125,10.1849453125,6.8357890625,-1.58930078125,5.3202890625,6.991265625,5.38429296875,0.07186328125,-3.1234765625,6.12915625,6.57308984375,2.6371015625,3.99661328125,4.9929453125,8.6501796875,6.96005078125,6.40025,7.1131171875,6.643484375,9.078609375,9.3822890625,9.542359375,11.98485546875,11.91412109375,11.49174609375,10.45237109375
