"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
52.71674609375,24.12989453125,44.801296875,8.1920546875,60.9435078125,67.051765625,19.3833984375,-12.85567578125,-13.8039140625,37.802578125,49.80119921875,44.8116484375,-69.808125,-0.436796875,37.003546875,46.3152734375,3.13278125,-9.005625,37.5355546875,61.14926953125,68.065375,-29.980359375,-11.70178515625,10.51391796875,28.65615234375,4.1650546875,-25.842921875,-63.469453125,-19.00551171875,-10.651984375
56.58874609375,23.81889453125,45.358296875,6.8490546875,60.2465078125,66.060765625,18.4113984375,-12.65467578125,-13.2229140625,38.270578125,48.71319921875,43.9546484375,-71.219125,0.695203124999999,36.362546875,44.3262734375,1.59278125,-7.408625,38.4875546875,61.33726953125,68.839375,-29.819359375,-9.59178515625,12.05891796875,28.52815234375,3.0370546875,-23.547921875,-60.911453125,-17.21251171875,-10.595984375
58.40074609375,23.37289453125,45.276296875,6.6870546875,59.7685078125,65.805765625,19.5363984375,-12.50367578125,-12.7019140625,38.924578125,48.67719921875,43.6096484375,-71.778125,1.730203125,36.148546875,43.0812734375,0.501781250000001,-6.277625,38.9395546875,61.51326953125,68.855375,-29.986359375,-8.35778515625,13.22991796875,28.14815234375,1.9580546875,-21.853921875,-59.426453125,-16.28851171875,-10.901984375
58.29074609375,22.88389453125,44.562296875,7.6210546875,59.5165078125,66.272765625,22.1863984375,-12.01467578125,-12.0529140625,39.764578125,49.51819921875,43.6336484375,-71.218125,2.714203125,36.384546875,42.6212734375,0.0637812499999999,-5.504625,39.0275546875,61.71626953125,68.196375,-30.287359375,-7.88678515625,14.13991796875,27.56815234375,1.2380546875,-20.634921875,-58.684453125,-15.95951171875,-11.285984375
56.90474609375,22.52389453125,43.381296875,9.0990546875,59.4975078125,67.174765625,24.9393984375,-10.83767578125,-11.0839140625,40.671578125,50.64419921875,43.6516484375,-69.547125,3.692203125,36.924546875,42.7602734375,0.34378125,-4.841625,39.0665546875,61.95626953125,67.177375,-30.394359375,-7.76478515625,15.01191796875,26.90215234375,1.1980546875,-19.573921875,-57.961453125,-15.62251171875,-11.300984375
54.90174609375,22.44189453125,41.907296875,10.2960546875,59.7065078125,68.024765625,26.2843984375,-9.02667578125,-9.8179140625,41.391578125,51.30919921875,43.2526484375,-67.089125,4.589203125,37.479546875,43.1512734375,1.16278125,-4.091625,39.3155546875,62.14126953125,66.109375,-30.041359375,-7.54278515625,15.98591796875,26.22515234375,1.9240546875,-18.414921875,-56.598453125,-14.72751171875,-10.637984375
52.72374609375,22.64889453125,40.262296875,10.4240546875,60.0145078125,68.243765625,25.3033984375,-7.16367578125,-8.6039140625,41.569578125,50.86419921875,42.1576484375,-64.439125,5.152203125,37.680546875,43.3642734375,2.09378125,-3.277625,39.7605546875,62.05326953125,65.083375,-29.172359375,-7.01678515625,16.95691796875,25.48715234375,3.1530546875,-17.170921875,-54.429453125,-13.14151171875,-9.364984375
50.72474609375,22.96089453125,38.537296875,9.0720546875,60.0495078125,67.319765625,21.9893984375,-6.12367578125,-7.9909140625,40.866578125,48.94019921875,40.2836484375,-62.323125,5.027203125,37.171546875,42.9532734375,2.58878125,-2.663625,40.0705546875,61.40226953125,63.927375,-27.986359375,-6.34378515625,17.57191796875,24.53215234375,4.3750546875,-16.143921875,-51.900453125,-11.27051171875,-7.924984375
49.34774609375,23.07389453125,36.846296875,6.4340546875,59.2405078125,64.983765625,17.1113984375,-6.64367578125,-8.4379140625,39.108578125,45.53819921875,37.7106484375,-61.403125,3.975203125,35.725546875,41.5762734375,2.20978125,-2.604625,39.7725546875,59.95126953125,62.364375,-26.851359375,-5.93078515625,17.41591796875,23.20315234375,5.0980546875,-15.738921875,-49.824453125,-9.85451171875,-6.897984375
49.03774609375,22.72089453125,35.337296875,3.2890546875,57.0885078125,61.338765625,11.7983984375,-8.98667578125,-10.0269140625,36.400578125,41.06919921875,34.6486484375,-62.073125,2.063203125,33.348546875,39.1522734375,0.84278125,-3.324625,38.5415546875,57.68126953125,60.255375,-26.130359375,-6.17778515625,16.28091796875,21.49315234375,5.1120546875,-16.180921875,-48.895453125,-9.54151171875,-6.660984375
49.95274609375,21.83189453125,34.140296875,0.7380546875,53.5025078125,56.867765625,7.1213984375,-12.81167578125,-12.3849140625,33.122578125,36.29519921875,31.4396484375,-64.230125,-0.295796875,30.315546875,35.9662734375,-1.20521875,-4.753625,36.4205546875,54.86926953125,57.758375,-25.983359375,-7.21478515625,14.34191796875,19.61915234375,4.6010546875,-17.337921875,-49.285453125,-10.50351171875,-7.171984375
51.75374609375,20.57389453125,33.299296875,-0.242945312500001,48.9735078125,52.299765625,3.8083984375,-17.22667578125,-14.8889140625,29.792578125,32.12119921875,28.5346484375,-67.136125,-2.513796875,27.095546875,32.6112734375,-3.31421875,-6.532625,33.8185546875,52.01226953125,55.271375,-26.234359375,-8.82878515625,12.10091796875,17.94315234375,4.0100546875,-18.780921875,-50.549453125,-12.33751171875,-8.024984375
