"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
5.317515625,-1.88944140625,0.948113281249999,5.662890625,3.16446484375,-0.63228515625,-0.1071640625,4.49991796875,-2.7204765625,-1.17059375,-5.0503828125,-0.46855859375,4.2630234375,-4.81482421875,-3.393875,-6.26005859375,-0.48219921875,-5.77573828125,-0.7678125,-8.493859375,-6.8830625,0.79857421875,0.12504296875,-3.7944375,-7.8478203125,-2.445734375,-4.93240234375,-5.16968359375,-5.06398046875,-8.26573046875
0.820515625,-3.04244140625,-2.19288671875,0.602890625,-3.24453515625,-5.45328515625,-5.2811640625,0.86791796875,-6.2784765625,-5.08059375,-8.4923828125,-2.14555859375,1.4860234375,-9.29882421875,-7.707875,-7.47505859375,-0.85619921875,-8.44073828125,-3.9838125,-11.447859375,-7.4430625,-0.43242578125,-2.39995703125,-6.6834375,-8.5128203125,-2.149734375,-5.12240234375,-4.46568359375,-3.65198046875,-6.96473046875
-1.965484375,-4.07544140625,-4.06188671875,-2.836109375,-7.44653515625,-8.89228515625,-8.5831640625,-1.31808203125,-8.8444765625,-7.84659375,-10.8283828125,-3.54155859375,-0.8759765625,-12.62682421875,-10.703875,-8.41905859375,-1.31919921875,-10.80473828125,-6.2528125,-13.350859375,-8.0780625,-1.70342578125,-4.27195703125,-8.8794375,-8.9868203125,-2.460734375,-5.37140234375,-4.50168359375,-3.30798046875,-7.02973046875
-2.869484375,-4.78444140625,-4.65088671875,-4.495109375,-9.36553515625,-10.74928515625,-9.9301640625,-1.96808203125,-10.4084765625,-9.33159375,-11.9473828125,-4.50955859375,-2.6539765625,-14.59382421875,-12.126875,-8.97205859375,-1.76119921875,-12.71273828125,-7.3878125,-13.987859375,-8.6540625,-2.86242578125,-5.26895703125,-10.0154375,-8.9828203125,-3.149734375,-5.37140234375,-4.78868359375,-3.59098046875,-7.92973046875
-2.226484375,-5.00844140625,-4.36788671875,-4.657109375,-9.55553515625,-11.20328515625,-9.7781640625,-1.41608203125,-11.2344765625,-9.75459375,-12.0953828125,-4.95255859375,-3.7459765625,-15.31782421875,-12.113875,-9.10805859375,-2.04419921875,-14.07973828125,-7.5148125,-13.482859375,-9.0020625,-3.73942578125,-5.38395703125,-9.9164375,-8.2928203125,-3.790734375,-4.79940234375,-4.59668359375,-3.71398046875,-8.63273046875
-0.716484375,-4.78344140625,-3.84288671875,-3.866109375,-8.83753515625,-10.70928515625,-8.8431640625,-0.23108203125,-11.6754765625,-9.59159375,-11.7723828125,-4.88955859375,-4.1619765625,-15.18582421875,-11.169875,-8.94705859375,-2.11919921875,-14.95373828125,-7.0648125,-12.293859375,-9.0520625,-4.30242578125,-4.91295703125,-8.7954375,-7.0188203125,-4.083734375,-3.62140234375,-3.53668359375,-3.12898046875,-8.32473046875
0.875515625,-4.38044140625,-3.67088671875,-2.728109375,-7.95053515625,-9.83028515625,-7.8301640625,0.99291796875,-11.9974765625,-9.39259375,-11.5343828125,-4.49055859375,-4.0289765625,-14.71682421875,-9.993875,-8.74305859375,-2.09119921875,-15.51073828125,-6.6228125,-11.060859375,-8.8940625,-4.69242578125,-4.36695703125,-7.2524375,-5.6338203125,-4.057734375,-2.19940234375,-1.88568359375,-1.90098046875,-6.90073046875
1.892515625,-4.18444140625,-4.21088671875,-1.753109375,-7.37453515625,-9.07528515625,-7.2681640625,1.76991796875,-12.3074765625,-9.57259375,-11.7783828125,-4.02955859375,-3.5599765625,-14.36282421875,-9.234875,-8.77405859375,-2.15419921875,-15.97073828125,-6.6948125,-10.366859375,-8.7390625,-5.15042578125,-4.26695703125,-6.0424375,-4.7808203125,-4.012734375,-1.11140234375,-0.45768359375,-0.59998046875,-4.93473046875
1.999515625,-4.46844140625,-5.45188671875,-1.231109375,-7.27953515625,-8.74528515625,-7.4111640625,1.83191796875,-12.5504765625,-10.23959375,-12.5773828125,-3.76455859375,-2.9679765625,-14.33482421875,-9.237875,-9.20505859375,-2.44219921875,-16.46573828125,-7.4658125,-10.493859375,-8.7640625,-5.86042578125,-4.89395703125,-5.6984375,-4.9188203125,-4.245734375,-0.79640234375,-0.10668359375,0.16501953125,-3.16973046875
1.293515625,-5.21244140625,-6.98788671875,-1.143109375,-7.50253515625,-8.81928515625,-8.1501640625,1.22791796875,-12.5314765625,-11.11259375,-13.6453828125,-3.79355859375,-2.3829765625,-14.49282421875,-9.889875,-9.96805859375,-2.90319921875,-16.93573828125,-8.6778125,-11.282859375,-8.9650625,-6.79242578125,-6.12095703125,-6.2364375,-6.0108203125,-4.774734375,-1.24540234375,-1.13768359375,0.25801953125,-1.93873046875
0.248515625,-6.07344140625,-8.16588671875,-1.209109375,-7.64853515625,-8.95828515625,-9.0231640625,0.31991796875,-11.9914765625,-11.61659375,-14.4403828125,-3.98255859375,-1.8029765625,-14.41182421875,-10.667875,-10.75505859375,-3.29519921875,-17.11973828125,-9.6988125,-12.194859375,-9.1220625,-7.64242578125,-7.41295703125,-7.1264375,-7.4928203125,-5.298734375,-1.96040234375,-3.02768359375,0.16501953125,-0.97173046875
-0.539484375,-6.56544140625,-8.41688671875,-1.082109375,-7.32453515625,-8.68528515625,-9.4411640625,-0.39708203125,-10.7814765625,-11.14159375,-14.4113828125,-4.03355859375,-1.1449765625,-13.61982421875,-10.904875,-11.14005859375,-3.31819921875,-16.69073828125,-9.8248125,-12.567859375,-8.9320625,-7.96242578125,-8.06595703125,-7.5994375,-8.5678203125,-5.424734375,-2.27440234375,-4.68868359375,0.63401953125,0.24226953125
-0.667484375,-6.33844140625,-7.58188671875,-0.577109375,-6.39953515625,-7.66128515625,-8.9971640625,-0.57008203125,-8.9954765625,-9.38859375,-13.2583828125,-3.65955859375,-0.3369765625,-11.88382421875,-10.158875,-10.80305859375,-2.80719921875,-15.48073828125,-8.6548125,-11.966859375,-8.2210625,-7.44542578125,-7.57095703125,-7.1064375,-8.6828203125,-5.013734375,-1.82040234375,-5.17668359375,2.02701953125,1.84026953125
-0.118484375,-5.40044140625,-5.98088671875,0.259890625,-5.04253515625,-5.86728515625,-7.6541640625,-0.15408203125,-6.9574765625,-6.56959375,-11.1073828125,-2.75155859375,0.6140234375,-9.36882421875,-8.452875,-9.70405859375,-1.84619921875,-13.60873828125,-6.3288125,-10.393859375,-7.0690625,-6.13642578125,-5.88695703125,-5.6334375,-7.8488203125,-4.341734375,-0.81540234375,-4.30968359375,3.91601953125,3.26526953125
0.804515625,-4.11844140625,-4.20888671875,1.234890625,-3.57353515625,-3.61128515625,-5.7221640625,0.61091796875,-5.0544765625,-3.34159375,-8.4613828125,-1.44355859375,1.6210234375,-6.55982421875,-6.245875,-8.10005859375,-0.76519921875,-11.42873828125,-3.4708125,-8.257859375,-5.7660625,-4.40042578125,-3.43295703125,-3.6684375,-6.5988203125,-3.966734375,0.0635976562499998,-2.72768359375,5.26801953125,3.52726953125
1.700515625,-2.99744140625,-2.83288671875,2.133890625,-2.27653515625,-1.36728515625,-3.6751640625,1.34091796875,-3.5684765625,-0.51059375,-5.9813828125,-0.0375585937499999,2.5600234375,-4.02382421875,-4.179875,-6.40805859375,0.00580078125000005,-9.34073828125,-0.8708125,-6.143859375,-4.6420625,-2.67742578125,-0.84095703125,-1.8954375,-5.6398203125,-4.372734375,0.12259765625,-1.38368359375,5.10401953125,1.87226953125
2.304515625,-2.39844140625,-2.15888671875,2.806890625,-1.29753515625,0.43171484375,-1.9541640625,1.69891796875,-2.6094765625,1.32340625,-4.1953828125,1.15544140625,3.3220234375,-2.18782421875,-2.758875,-4.99705859375,0.11380078125,-7.60973828125,0.8801875,-4.531859375,-3.9100625,-1.24442578125,1.35904296875,-0.8244375,-5.4308203125,-5.641734375,-0.90440234375,-0.88968359375,3.14501953125,-1.66373046875
2.620515625,-2.35644140625,-2.14588671875,3.204890625,-0.59453515625,1.57771484375,-0.7891640625,1.57191796875,-2.1324765625,2.00040625,-3.2963828125,1.95744140625,3.8410234375,-1.19282421875,-2.137875,-4.04305859375,-0.55619921875,-6.29273828125,1.6371875,-3.596859375,-3.5840625,-0.12742578125,2.94904296875,-0.5674375,-5.9518203125,-7.372734375,-2.69840234375,-1.18268359375,0.0250195312499999,-6.13773046875
2.880515625,-2.61244140625,-2.45488671875,3.386890625,0.0264648437499999,2.15371484375,-0.1151640625,1.15091796875,-2.0014765625,1.81640625,-3.1033828125,2.38544140625,4.1050234375,-0.89782421875,-2.095875,-3.50205859375,-1.81519921875,-5.28773828125,1.7061875,-3.179859375,-3.5020625,0.78357421875,4.03804296875,-0.8384375,-6.7548203125,-8.877734375,-4.53340234375,-1.67268359375,-3.02698046875,-10.11173046875
3.350515625,-2.77944140625,-2.64388671875,3.424890625,0.77346484375,2.44871484375,0.3218359375,0.79891796875,-2.0834765625,1.32040625,-3.1933828125,2.59144140625,4.1530234375,-0.99282421875,-2.194875,-3.19505859375,-3.24219921875,-4.45873828125,1.6361875,-2.923859375,-3.4340625,1.58557421875,4.90904296875,-1.1544375,-7.2378203125,-9.522734375,-5.67240234375,-1.70468359375,-4.84198046875,-12.31573046875
4.124515625,-2.56544140625,-2.40388671875,3.274890625,1.65846484375,2.75971484375,0.7548359375,0.78991796875,-2.3394765625,1.02640625,-3.1323828125,2.75244140625,4.0380234375,-1.17082421875,-2.035875,-2.92505859375,-4.34719921875,-3.74073828125,1.8981875,-2.508859375,-3.2200625,2.26657421875,5.79504296875,-1.1224375,-6.9868203125,-9.044734375,-5.73740234375,-0.99068359375,-4.89198046875,-12.24273046875
5.029515625,-1.91844140625,-1.72188671875,2.747890625,2.45646484375,3.22071484375,1.2428359375,1.10791796875,-2.8364765625,1.18140625,-2.6783828125,2.95644140625,3.8180234375,-1.26982421875,-1.465875,-2.58205859375,-4.78719921875,-3.17973828125,2.6521875,-1.841859375,-2.8680625,2.73857421875,6.72204296875,-0.6484375,-5.9898203125,-7.688734375,-4.86940234375,0.26131640625,-3.50998046875,-10.35173046875
5.731515625,-1.05144140625,-0.84688671875,1.642890625,2.86346484375,3.73571484375,1.6818359375,1.47891796875,-3.6374765625,1.70340625,-1.8803828125,3.15644140625,3.5440234375,-1.29782421875,-0.628875,-2.18005859375,-4.50219921875,-2.87973828125,3.6821875,-1.093859375,-2.5400625,2.93157421875,7.48704296875,0.0215625000000008,-4.6268203125,-6.105734375,-3.59840234375,1.54431640625,-1.62198046875,-7.79673046875
5.928515625,-0.31944140625,-0.15488671875,-0.0561093749999999,2.70646484375,4.05171484375,1.9058359375,1.55491796875,-4.6964765625,2.28340625,-1.0253828125,3.19944140625,3.2570234375,-1.38282421875,0.132125,-1.82505859375,-3.73019921875,-2.92273828125,4.5421875,-0.571859375,-2.4520625,2.84457421875,7.77504296875,0.459562500000001,-3.4428203125,-5.036734375,-2.54240234375,2.37631640625,-0.22998046875,-5.83473046875
5.515515625,-0.0284414062500002,0.0281132812499996,-2.062109375,2.01746484375,3.88971484375,1.7838359375,1.11691796875,-5.8364765625,2.58340625,-0.4713828125,2.92744140625,2.9820234375,-1.67782421875,0.463125,-1.64105859375,-2.86619921875,-3.33573828125,4.7851875,-0.526859375,-2.7310625,2.49357421875,7.31304296875,0.289562500000001,-2.8478203125,-4.937734375,-2.10840234375,2.51231640625,0.0730195312499999,-5.23373046875
