"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-33.42040234375,-23.18448828125,-28.2081796875,-15.6905546875,-15.692703125,-15.85590234375,-18.0170390625,-17.9913359375,-14.598390625,-11.907234375,-13.2612265625,-14.46537890625,-14.95746484375,-8.81288671875,-8.71665234375,-10.596890625,-6.62760546875,-7.67487890625,-6.0890703125,-7.66730078125,-7.65415234375,-5.54195703125,-3.443109375,-4.1421953125,-2.84180078125,-3.882046875,-0.72934765625,-1.5674296875,-0.92011328125,-0.894398437500001
-28.04040234375,-18.96548828125,-23.6701796875,-9.1115546875,-13.182703125,-13.92190234375,-16.3530390625,-16.7993359375,-14.248390625,-9.389234375,-11.4942265625,-12.68437890625,-9.23746484375,-8.22688671875,-6.41565234375,-8.120890625,-5.62060546875,-7.31387890625,-4.8370703125,-6.15530078125,-6.24615234375,-6.08495703125,-3.512109375,-3.0171953125,-2.04380078125,-1.934046875,0.62665234375,-2.5144296875,-0.64411328125,0.704601562499999
-23.63440234375,-15.46848828125,-19.5241796875,-4.9795546875,-10.207703125,-11.73890234375,-14.3620390625,-15.3273359375,-12.628390625,-6.745234375,-9.4072265625,-11.05237890625,-5.90246484375,-7.04488671875,-4.26165234375,-5.820890625,-4.38760546875,-6.44687890625,-3.4740703125,-4.68030078125,-5.07315234375,-6.39595703125,-3.436109375,-1.9881953125,-1.47680078125,-0.769046874999999,1.31365234375,-3.8104296875,-0.90311328125,1.6636015625
-20.83940234375,-13.18248828125,-16.3341796875,-3.4375546875,-7.133703125,-9.64290234375,-12.3190390625,-13.6223359375,-9.977390625,-4.262234375,-7.3002265625,-9.77837890625,-4.50246484375,-5.43488671875,-2.47565234375,-3.947890625,-3.01060546875,-5.27687890625,-2.2350703125,-3.47330078125,-4.24515234375,-6.53295703125,-3.345109375,-1.2671953125,-1.28880078125,-0.520046875,1.16665234375,-5.4674296875,-1.76511328125,1.8366015625
-20.11940234375,-12.42048828125,-14.6271796875,-3.9515546875,-4.626703125,-8.10690234375,-10.6400390625,-11.8243359375,-7.102390625,-2.389234375,-5.6352265625,-9.01437890625,-4.05246484375,-3.85288671875,-1.31965234375,-2.771890625,-1.68660546875,-4.23787890625,-1.4650703125,-2.83530078125,-3.87315234375,-6.65995703125,-3.463109375,-1.1081953125,-1.63280078125,-1.137046875,0.160652343750001,-7.3774296875,-3.13811328125,1.1886015625
-21.42740234375,-13.05848828125,-14.5191796875,-5.6465546875,-3.323703125,-7.44490234375,-9.6210390625,-10.1043359375,-5.056390625,-1.540234375,-4.7792265625,-8.69837890625,-3.85346484375,-2.85688671875,-0.97965234375,-2.444890625,-0.69860546875,-3.78187890625,-1.4510703125,-3.00330078125,-4.06815234375,-6.97495703125,-3.997109375,-1.6961953125,-2.62180078125,-2.451046875,-1.60134765625,-9.3564296875,-4.83111328125,-0.242398437500002
-24.09940234375,-14.53048828125,-15.6021796875,-7.6875546875,-3.525703125,-7.65490234375,-9.3000390625,-8.6523359375,-4.711390625,-1.896234375,-4.8332265625,-8.56137890625,-3.77346484375,-2.89088671875,-1.48865234375,-2.950890625,-0.37460546875,-4.18587890625,-2.3000703125,-4.05030078125,-4.93115234375,-7.60395703125,-5.050109375,-3.0651953125,-4.29980078125,-4.295046875,-3.92934765625,-11.2214296875,-6.63011328125,-2.3633984375
-27.15740234375,-16.13448828125,-17.1951796875,-9.5775546875,-5.081703125,-8.45990234375,-9.5090390625,-7.7043359375,-6.360390625,-3.319234375,-5.6332265625,-8.29037890625,-3.91846484375,-4.12488671875,-2.71065234375,-4.143890625,-1.00760546875,-5.46087890625,-3.9140703125,-5.87630078125,-6.54815234375,-8.52395703125,-6.578109375,-5.0861953125,-6.64780078125,-6.595046875,-6.59034765625,-12.8454296875,-8.37811328125,-5.0453984375
-29.82440234375,-17.41948828125,-18.7581796875,-11.2605546875,-7.477703125,-9.48890234375,-10.0260390625,-7.5073359375,-9.514390625,-5.401234375,-6.8672265625,-7.77337890625,-4.23246484375,-6.35888671875,-4.39565234375,-5.830890625,-2.69560546875,-7.36887890625,-6.0280703125,-8.25530078125,-8.95015234375,-9.57095703125,-8.398109375,-7.5111953125,-9.58480078125,-9.404046875,-9.35334765625,-14.1914296875,-10.02511328125,-8.1523984375
-31.83140234375,-18.36048828125,-20.1281796875,-12.9905546875,-10.020703125,-10.43990234375,-10.7050390625,-8.2103359375,-13.005390625,-7.580234375,-8.2072265625,-7.23337890625,-4.46846484375,-9.04188671875,-6.23565234375,-7.817890625,-5.18660546875,-9.47987890625,-8.2800703125,-10.90230078125,-12.06415234375,-10.52695703125,-10.245109375,-10.0421953125,-12.98080078125,-12.837046875,-12.03634765625,-15.3254296875,-11.63011328125,-11.5783984375
