"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-13.17516015625,-12.3336953125,-8.9411171875,-4.56361328125,-9.731359375,-13.89194140625,-9.1764765625,-9.2870859375,-8.58908203125,-10.5901875,-13.738015625,-7.44199609375,-10.56419140625,-11.6777421875,-12.70680859375,-9.3643203125,-8.3691171875,-8.5589921875,-12.64761328125,-14.28519140625,-7.3890546875,-7.1676484375,-10.6626875,-14.66301953125,-8.7885234375,-4.09176953125,-9.80301171875,-9.19823046875,-6.94473828125,-5.8933515625
-8.58116015625,-6.7506953125,-2.9441171875,-4.44761328125,-8.617359375,-12.94794140625,-7.6254765625,-8.5710859375,-8.32308203125,-9.3861875,-12.212015625,-4.73699609375,-8.51119140625,-9.8797421875,-11.22480859375,-7.7623203125,-6.6831171875,-7.0159921875,-11.48261328125,-13.43519140625,-5.4950546875,-6.4366484375,-9.6826875,-13.99301953125,-7.1965234375,-2.21176953125,-9.24201171875,-8.10423046875,-6.73273828125,-4.2313515625
-5.21916015625,-2.6036953125,1.3688828125,-3.95561328125,-7.618359375,-12.07294140625,-6.5904765625,-7.9450859375,-7.90108203125,-8.2881875,-11.260015625,-3.32099609375,-6.96519140625,-8.6597421875,-10.11380859375,-6.9013203125,-5.8551171875,-6.1299921875,-10.65261328125,-12.97119140625,-4.4460546875,-6.0166484375,-9.1426875,-13.79501953125,-6.3285234375,-1.16676953125,-9.19101171875,-7.67923046875,-6.91873828125,-3.2533515625
-3.15616015625,0.0113046875000001,3.9108828125,-3.15361328125,-6.732359375,-11.29794140625,-6.0514765625,-7.5270859375,-7.30208203125,-7.2611875,-10.854015625,-3.19099609375,-5.96419140625,-7.9337421875,-9.29980859375,-6.7713203125,-5.9171171875,-5.8149921875,-10.04461328125,-12.79819140625,-4.3250546875,-5.8096484375,-8.9286875,-13.92801953125,-6.1495234375,-1.06276953125,-9.50401171875,-7.77623046875,-7.37473828125,-2.9793515625
-2.00816015625,1.4473046875,5.1808828125,-2.19561328125,-5.860359375,-10.58394140625,-5.7864765625,-7.3370859375,-6.46708203125,-6.1881875,-10.741015625,-3.90399609375,-5.39519140625,-7.3947421875,-8.54680859375,-7.0823203125,-6.6111171875,-5.7409921875,-9.39261328125,-12.62719140625,-4.9200546875,-5.6376484375,-8.7436875,-14.01501953125,-6.3445234375,-1.74176953125,-9.80101171875,-8.03323046875,-7.81973828125,-3.2093515625
-1.12016015625,2.2963046875,6.0338828125,-1.19961328125,-4.804359375,-9.78494140625,-5.4674765625,-7.2070859375,-5.26208203125,-4.8921875,-10.527015625,-4.79599609375,-5.04919140625,-6.6567421875,-7.55080859375,-7.3793203125,-7.5071171875,-5.4809921875,-8.39061328125,-12.07519140625,-5.7850546875,-5.3486484375,-8.2386875,-13.58501953125,-6.4475234375,-2.84576953125,-9.63201171875,-8.08423046875,-7.96573828125,-3.6143515625
0.0798398437499999,3.0833046875,7.2298828125,-0.21961328125,-3.357359375,-8.69594140625,-4.7864765625,-6.8480859375,-3.54908203125,-3.2041875,-9.820015625,-5.25599609375,-4.69419140625,-5.4207421875,-6.06580859375,-7.2163203125,-8.1661171875,-4.6959921875,-6.82361328125,-10.82619140625,-6.3960546875,-4.8896484375,-7.1536875,-12.27001953125,-6.0225234375,-3.94576953125,-8.66001171875,-7.69523046875,-7.63973828125,-3.8513515625
1.74483984375,4.0103046875,9.0098828125,0.70338671875,-1.457359375,-7.18194140625,-3.5844765625,-6.0350859375,-1.33908203125,-1.0621875,-8.375015625,-4.94199609375,-4.14819140625,-3.6107421875,-4.01580859375,-6.3303203125,-8.3161171875,-3.2829921875,-4.68661328125,-8.78219140625,-6.3570546875,-4.3056484375,-5.4386875,-9.98601953125,-4.8605234375,-4.69176953125,-6.81501171875,-6.82323046875,-6.85273828125,-3.6953515625
3.50183984375,4.8833046875,10.9348828125,1.48638671875,0.705640625,-5.29594140625,-1.9434765625,-4.7670859375,1.11391796875,1.3908125,-6.221015625,-3.85599609375,-3.35119140625,-1.4417421875,-1.57380859375,-4.7463203125,-7.9471171875,-1.4469921875,-2.23561328125,-6.15319140625,-5.5670546875,-3.7146484375,-3.3106875,-7.02001953125,-3.0865234375,-4.91676953125,-4.34301171875,-5.60423046875,-5.79173828125,-3.1293515625
4.64883984375,5.2823046875,12.1118828125,2.01238671875,2.715640625,-3.30294140625,-0.1534765625,-3.3010859375,3.35891796875,3.7988125,-3.675015625,-2.28399609375,-2.41719140625,0.6322578125,0.872191406250001,-2.7683203125,-7.2781171875,0.3590078125,0.0763867187499994,-3.41719140625,-4.2490546875,-3.2626484375,-1.2066875,-3.97001953125,-1.1235234375,-4.67576953125,-1.74301171875,-4.28923046875,-4.74073828125,-2.3593515625
4.55283984375,4.8703046875,11.6868828125,2.19638671875,4.112640625,-1.57994140625,1.4125234375,-2.0420859375,4.93491796875,5.7098125,-1.230015625,-0.64499609375,-1.62719140625,2.1002578125,2.85819140625,-0.8433203125,-6.6261171875,1.6170078125,1.78438671875,-1.14819140625,-2.8390546875,-3.0746484375,0.3733125,-1.52801953125,0.484476562499999,-4.17676953125,0.419988281249999,-3.14123046875,-3.96373828125,-1.7123515625
3.03283984375,3.6453046875,9.3608828125,2.05938671875,4.621640625,-0.430941406249999,2.4765234375,-1.3510859375,5.59491796875,6.7688125,0.636984375,0.66500390625,-1.33319140625,2.6212578125,4.02719140625,0.613679687499999,-6.2451171875,1.9800078125,2.61438671875,0.19280859375,-1.7870546875,-3.1986484375,1.0733125,-0.214019531250001,1.3104765625,-3.68376953125,1.71698828125,-2.34423046875,-3.60973828125,-1.4733515625
0.52783984375,1.9753046875,5.6198828125,1.76938671875,4.291640625,0.0500585937500011,2.9525234375,-1.3790859375,5.43191796875,6.8988125,1.644984375,1.38500390625,-1.81119140625,2.1802578125,4.27419140625,1.3476796875,-6.2421171875,1.4230078125,2.60038671875,0.418808593750001,-1.3910546875,-3.5856484375,0.8313125,-0.195019531250001,1.1994765625,-3.40876953125,2.00298828125,-1.96323046875,-3.67973828125,-1.7523515625
-2.05716015625,0.4253046875,1.5878828125,1.56538671875,3.467640625,-0.000941406249999055,2.9405234375,-2.0090859375,4.84391796875,6.3398125,1.781984375,1.42900390625,-3.12319140625,1.0912578125,3.76919140625,1.3126796875,-6.5721171875,0.2600078125,2.04638671875,-0.345191406250001,-1.7150546875,-4.0856484375,-0.1056875,-1.25101953125,0.2894765625,-3.44376953125,1.43598828125,-1.95423046875,-4.06473828125,-2.4453515625
-3.73516015625,-0.4756953125,-1.4301171875,1.61438671875,2.607640625,-0.317941406249999,2.6345234375,-2.9410859375,4.31891796875,5.5368125,1.269984375,0.855003906249999,-5.06619140625,-0.1497421875,2.86119140625,0.637679687499999,-7.0791171875,-0.9979921875,1.36038671875,-1.75019140625,-2.6060546875,-4.4986484375,-1.2876875,-2.90001953125,-1.0825234375,-3.73876953125,0.395988281249999,-2.19523046875,-4.60673828125,-3.2973515625
-3.86716015625,-0.4216953125,-2.4841171875,1.87438671875,2.074640625,-0.662941406249999,2.2065234375,-3.8460859375,4.19891796875,4.9198125,0.434984375,-0.19799609375,-7.21619140625,-1.0807421875,1.91519140625,-0.4573203125,-7.5661171875,-1.8569921875,0.858386718749999,-3.37919140625,-3.7780546875,-4.6566484375,-2.2546875,-4.59201953125,-2.5365234375,-4.13976953125,-0.69001171875,-2.54323046875,-5.16673828125,-4.0403515625
-2.42916015625,0.5713046875,-1.3641171875,2.09538671875,1.998640625,-0.934941406249999,1.7295234375,-4.4980859375,4.51991796875,4.6968125,-0.450015625000001,-1.56099609375,-9.07319140625,-1.4737421875,1.15019140625,-1.7513203125,-7.8751171875,-2.0589921875,0.61938671875,-4.89819140625,-4.9320546875,-4.5006484375,-2.7236875,-5.91401953125,-3.7885234375,-4.48276953125,-1.52701171875,-2.88223046875,-5.67073828125,-4.5173515625
-0.0241601562500002,2.1413046875,1.3088828125,1.95538671875,2.237640625,-1.20294140625,1.1635234375,-4.8370859375,5.02191796875,4.7448125,-1.285015625,-3.06599609375,-10.22819140625,-1.4307421875,0.542191406250001,-3.0933203125,-7.9451171875,-1.6949921875,0.46838671875,-6.16419140625,-5.8580546875,-4.1096484375,-2.7046875,-6.71301953125,-4.7225234375,-4.69876953125,-2.06401171875,-3.16523046875,-6.12673828125,-4.7573515625
2.34083984375,3.6623046875,4.3098828125,1.22938671875,2.445640625,-1.65294140625,0.3965234375,-4.9710859375,5.28491796875,4.6698125,-2.165015625,-4.54099609375,-10.52219140625,-1.3347421875,-0.13180859375,-4.4213203125,-7.8361171875,-1.1719921875,0.0743867187499996,-7.24019140625,-6.4830546875,-3.6586484375,-2.4886875,-7.10401953125,-5.4045234375,-4.85176953125,-2.48001171875,-3.41323046875,-6.60073828125,-4.9343515625
3.61483984375,4.4303046875,6.2568828125,-0.0986132812499998,2.201640625,-2.48794140625,-0.6714765625,-5.1340859375,4.91191796875,3.9988125,-3.290015625,-5.80799609375,-10.12119140625,-1.6697421875,-1.15780859375,-5.7303203125,-7.7101171875,-1.0189921875,-0.84861328125,-8.31219140625,-6.8670546875,-3.3326484375,-2.4926875,-7.36501953125,-6.0035234375,-5.08676953125,-3.04301171875,-3.66123046875,-7.15373828125,-5.2483515625
3.07883984375,3.9123046875,6.1368828125,-1.82461328125,1.176640625,-3.82194140625,-2.0724765625,-5.5860859375,3.69391796875,2.4178125,-4.831015625,-6.71999609375,-9.45119140625,-2.7907421875,-2.71580859375,-7.0273203125,-7.7851171875,-1.6339921875,-2.37861328125,-9.56619140625,-7.1520546875,-3.2366484375,-3.0466875,-7.77701953125,-6.7015234375,-5.52776953125,-3.94501171875,-3.92223046875,-7.79573828125,-5.8013515625
0.59383984375,1.9543046875,3.6978828125,-3.62661328125,-0.730359375,-5.61694140625,-3.7544765625,-6.4970859375,1.69691796875,-0.0551875000000002,-6.811015625,-7.22599609375,-9.01119140625,-4.7487421875,-4.76780859375,-8.3013203125,-8.2571171875,-3.1039921875,-4.32661328125,-11.06819140625,-7.5150546875,-3.3836484375,-4.2426875,-8.50401953125,-7.6035234375,-6.19676953125,-5.19801171875,-4.20823046875,-8.48973828125,-6.5503515625
-3.35616015625,-1.1276953125,-0.4521171875,-5.21261328125,-3.332359375,-7.68294140625,-5.6024765625,-7.8560859375,-0.77408203125,-3.0611875,-9.067015625,-7.41799609375,-9.14319140625,-7.2567421875,-7.05880859375,-9.5183203125,-9.2011171875,-5.1779921875,-6.31861328125,-12.71919140625,-8.1000546875,-3.7526484375,-5.9146875,-9.53601953125,-8.7095234375,-6.98876953125,-6.64801171875,-4.60223046875,-9.20273828125,-7.3483515625
-7.83616015625,-4.6266953125,-5.0861171875,-6.44961328125,-6.213359375,-9.74694140625,-7.4544765625,-9.4430859375,-3.28608203125,-6.0261875,-11.300015625,-7.52399609375,-9.88319140625,-9.8047421875,-9.19580859375,-10.6173203125,-10.4791171875,-7.3949921875,-7.95561328125,-14.28319140625,-8.9520546875,-4.3606484375,-7.7446875,-10.71101953125,-9.9105234375,-7.72476953125,-8.07101171875,-5.27623046875,-9.94073828125,-8.0283515625
-11.76816015625,-7.6826953125,-8.8491171875,-7.36561328125,-8.870359375,-11.53594140625,-9.1234765625,-10.8980859375,-5.42808203125,-8.3841875,-13.190015625,-7.80999609375,-10.96919140625,-11.8637421875,-10.78780859375,-11.5343203125,-11.7451171875,-9.2799921875,-8.97461328125,-15.49219140625,-9.9880546875,-5.2636484375,-9.4086875,-11.79501953125,-11.0395234375,-8.24676953125,-9.27001171875,-6.41923046875,-10.73973828125,-8.4753515625
-14.27616015625,-9.6046953125,-10.7841171875,-8.04161328125,-10.909359375,-12.87394140625,-10.4574765625,-11.8670859375,-6.92608203125,-9.7891875,-14.519015625,-8.46599609375,-12.00019140625,-13.1037421875,-11.60780859375,-12.2423203125,-12.6141171875,-10.5169921875,-9.35061328125,-16.16419140625,-11.0370546875,-6.4706484375,-10.6836875,-12.58801953125,-11.9485234375,-8.50776953125,-10.14601171875,-8.06923046875,-11.60873828125,-8.6583515625
-14.97716015625,-10.1396953125,-10.6721171875,-8.51461328125,-12.180359375,-13.74194140625,-11.3964765625,-12.1750859375,-7.71108203125,-10.2451875,-15.264015625,-9.51899609375,-12.62019140625,-13.5157421875,-11.69080859375,-12.7833203125,-12.8951171875,-11.0279921875,-9.28561328125,-16.29819140625,-11.9410546875,-7.8356484375,-11.4806875,-13.00901953125,-12.5755234375,-8.60676953125,-10.69701171875,-9.99123046875,-12.46373828125,-8.6253515625
-14.07416015625,-9.5246953125,-9.0301171875,-8.74961328125,-12.804359375,-14.27494140625,-11.9874765625,-11.9360859375,-7.91408203125,-10.0761875,-15.579015625,-10.80699609375,-12.66419140625,-13.3697421875,-11.32080859375,-13.2513203125,-12.7131171875,-10.9549921875,-9.09361328125,-16.07819140625,-12.6300546875,-9.0466484375,-11.8216875,-13.11801953125,-12.9715234375,-8.73276953125,-10.98501171875,-11.70423046875,-13.12073828125,-8.4583515625
-12.20816015625,-8.2996953125,-6.7571171875,-8.70461328125,-13.061359375,-14.68094140625,-12.3504765625,-11.4920859375,-7.78808203125,-9.7771875,-15.719015625,-12.03499609375,-12.19319140625,-13.0637421875,-10.90580859375,-13.7413203125,-12.4241171875,-10.5809921875,-9.05861328125,-15.79419140625,-13.1350546875,-9.7726484375,-11.8196875,-13.07201953125,-13.2535234375,-9.04676953125,-11.10301171875,-12.70423046875,-13.37273828125,-8.2393515625
-10.13316015625,-7.0096953125,-4.6651171875,-8.38561328125,-13.236359375,-15.15094140625,-12.6274765625,-11.2040859375,-7.59108203125,-9.8081875,-15.936015625,-12.89999609375,-11.42819140625,-12.9497421875,-10.82580859375,-14.3013203125,-12.3761171875,-10.2209921875,-9.33761328125,-15.72419140625,-13.5370546875,-9.8676484375,-11.6566875,-13.06301953125,-13.5455234375,-9.58676953125,-11.15901171875,-12.75323046875,-13.12473828125,-8.0363515625
