"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-8.12904296875,-4.69773828125,-1.81654296875,-7.25171484375,-3.7453046875,7.84254296875,7.86748046875,12.19253125,-3.634140625,-1.5103671875,-19.18419921875,-10.6620859375,4.29269921875,-4.58416796875,-5.211328125,-15.3078125,1.15037890625,-1.09255859375,-9.65044140625,-10.89546484375,-7.02196875,4.3369375,-7.92274609375,-3.60065234375,-10.3566640625,-0.0181289062499994,-9.798046875,-4.2411953125,-7.8178515625,0.38334375
-9.83804296875,-7.13873828125,-12.77654296875,-11.34071484375,-8.7493046875,-6.40345703125,3.36748046875,7.46253125,-4.456140625,-7.1533671875,-21.65019921875,-13.9340859375,1.96969921875,-7.49716796875,-9.727328125,-16.5848125,1.79837890625,-3.79655859375,-14.50544140625,-13.60246484375,-7.58696875,3.5599375,-10.21774609375,-5.81865234375,-12.5296640625,-1.02912890625,-12.333046875,-4.5831953125,-9.3558515625,-1.00265625
-11.95304296875,-10.00373828125,-20.81154296875,-13.15571484375,-12.9123046875,-16.09445703125,-0.78351953125,3.87253125,-6.080140625,-12.4043671875,-24.61919921875,-15.8860859375,0.14869921875,-10.74416796875,-13.754328125,-17.3688125,1.35537890625,-6.67855859375,-18.20044140625,-15.47846484375,-7.81796875,2.0179375,-12.80274609375,-8.27865234375,-13.9896640625,-1.63212890625,-14.707046875,-5.4521953125,-10.9428515625,-1.73065625
-15.02404296875,-13.19473828125,-24.94654296875,-12.91971484375,-16.1693046875,-21.24545703125,-4.52551953125,1.51353125,-8.342140625,-17.1173671875,-27.93019921875,-16.2700859375,-1.11930078125,-14.15116796875,-17.100328125,-17.4908125,-0.23862109375,-9.59755859375,-20.65644140625,-16.37646484375,-7.56796875,-0.3050625,-15.58174609375,-10.88765234375,-14.5486640625,-1.63512890625,-16.777046875,-7.0361953125,-12.4438515625,-1.85465625
-19.39904296875,-16.38273828125,-25.03754296875,-11.62671484375,-18.6183046875,-23.17145703125,-7.85951953125,0.17153125,-10.756140625,-21.0673671875,-31.24119921875,-15.2630859375,-1.95230078125,-17.33916796875,-19.612328125,-16.9208125,-2.55462109375,-12.26155859375,-22.08144140625,-16.34446484375,-6.78296875,-3.1200625,-18.28574609375,-13.36765234375,-14.1986640625,-0.938128906249999,-18.355046875,-9.2961953125,-13.6368515625,-1.63665625
-24.77304296875,-19.09773828125,-22.04154296875,-10.42371484375,-20.3533046875,-23.55145703125,-10.78551953125,-0.52346875,-12.764140625,-23.9023671875,-34.21019921875,-13.4290859375,-2.60830078125,-19.86716796875,-21.171328125,-15.8118125,-4.76862109375,-14.32255859375,-22.76844140625,-15.55346484375,-5.53996875,-5.9300625,-20.54974609375,-15.31365234375,-13.1126640625,0.39887109375,-19.238046875,-11.8641953125,-14.2938515625,-1.36765625
-30.05704296875,-20.87973828125,-17.78954296875,-10.00971484375,-21.3703046875,-23.60645703125,-13.25151953125,-0.93146875,-13.985140625,-25.2783671875,-36.59319921875,-11.4960859375,-3.37030078125,-21.38716796875,-21.721328125,-14.4378125,-5.98662109375,-15.48755859375,-22.89244140625,-14.21446484375,-4.01896875,-8.1930625,-21.99874609375,-16.30465234375,-11.5606640625,2.17087109375,-19.228046875,-14.1001953125,-14.2588515625,-1.20465625
-33.75004296875,-21.41873828125,-14.24254296875,-10.41471484375,-21.6553046875,-23.86245703125,-15.18251953125,-1.30046875,-14.315140625,-25.1003671875,-38.23219921875,-10.0210859375,-4.37330078125,-21.72216796875,-21.330328125,-13.0498125,-5.67462109375,-15.57555859375,-22.45144140625,-12.52646484375,-2.40896875,-9.4780625,-22.30474609375,-16.02865234375,-9.7896640625,4.11087109375,-18.189046875,-15.3191953125,-13.5228515625,-1.09565625
-34.60404296875,-20.63973828125,-12.64154296875,-11.15971484375,-21.3153046875,-24.30945703125,-16.50551953125,-1.67546875,-13.884140625,-23.6513671875,-39.00419921875,-9.1430859375,-5.45730078125,-20.88616796875,-20.227328125,-11.7378125,-3.90162109375,-14.53655859375,-21.32944140625,-10.66046484375,-0.83296875,-9.5470625,-21.24074609375,-14.36765234375,-7.9326640625,5.98987109375,-16.098046875,-15.0711953125,-12.2468515625,-0.83365625
-32.18404296875,-18.70973828125,-13.11154296875,-11.61571484375,-20.5543046875,-24.58345703125,-17.09351953125,-1.83646875,-12.929140625,-21.4893671875,-38.79719921875,-8.5650859375,-6.16930078125,-19.04816796875,-18.709328125,-10.3998125,-1.25462109375,-12.45755859375,-19.38044140625,-8.74046484375,0.66303125,-8.3650625,-18.74074609375,-11.42665234375,-6.0126640625,7.65987109375,-13.083046875,-13.3211953125,-10.6968515625,-0.20565625
