"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-1.86982421875,-1.031375,-1.379265625,3.55837109375,-13.86228515625,-4.58182421875,0.69831640625,-2.22819921875,-1.23487890625,-2.8148125,-5.92069921875,-3.61826171875,-4.7019296875,-0.60635546875,-5.06395703125,-1.17258984375,5.86841796875,1.29546875,-2.18503125,-2.4800703125,0.14498046875,2.83569140625,-3.63828125,-1.258828125,-3.2861015625,2.77625,4.433671875,-1.6429375,-2.7521953125,1.49710546875
1.88717578125,2.996625,2.125734375,7.03237109375,-8.25328515625,-2.08582421875,4.31931640625,2.18380078125,1.50712109375,-1.8198125,-5.12669921875,-3.96226171875,-4.5189296875,0.65764453125,-5.66895703125,-1.51358984375,4.24341796875,1.85146875,-1.73003125,-3.8070703125,1.18698046875,2.50369140625,-3.70528125,-3.515828125,-4.8651015625,1.99225,1.732671875,-4.2369375,-5.7651953125,0.000105468749999948
2.77617578125,3.908625,2.835734375,7.96737109375,-5.96928515625,-1.50682421875,5.45931640625,3.57580078125,2.13812109375,-2.1448125,-5.35469921875,-4.82026171875,-5.1009296875,0.56264453125,-6.80995703125,-2.62058984375,1.94741796875,1.21446875,-2.63203125,-5.7080703125,1.17898046875,1.27869140625,-5.10728125,-6.189828125,-6.8321015625,1.09425,-1.378328125,-7.4049375,-8.8821953125,-1.97489453125
0.73217578125,1.660625,0.727734375,6.21237109375,-7.08728515625,-2.90682421875,4.12631640625,2.04180078125,0.61112109375,-3.9638125,-6.70369921875,-6.33126171875,-6.5609296875,-1.11235546875,-8.56195703125,-4.45858984375,-0.99258203125,-0.72953125,-4.86503125,-8.0600703125,0.15398046875,-0.79230859375,-7.78128125,-9.178828125,-9.0221015625,0.0482499999999999,-4.761328125,-11.0129375,-11.9501953125,-4.31689453125
-3.39882421875,-2.750375,-3.322265625,2.39837109375,-10.63628515625,-5.68082421875,1.10431640625,-1.41619921875,-2.48987890625,-6.9788125,-8.89969921875,-8.39726171875,-8.7219296875,-4.12835546875,-10.74095703125,-6.66458984375,-4.21558203125,-3.67353125,-7.86303125,-10.4470703125,-1.47901953125,-3.30630859375,-11.17728125,-12.104828125,-11.0331015625,-1.11675,-7.996328125,-14.6099375,-14.6461953125,-6.68589453125
-8.29082421875,-7.795375,-8.001265625,-2.36862890625,-15.09628515625,-8.83982421875,-2.47268359375,-5.46219921875,-6.27987890625,-10.4828125,-11.37869921875,-10.61826171875,-11.1329296875,-7.80935546875,-12.89895703125,-8.66958984375,-7.12258203125,-6.95753125,-10.73803125,-12.2920703125,-3.11401953125,-5.63630859375,-14.46928125,-14.380828125,-12.3541015625,-2.26975,-10.460328125,-17.5209375,-16.5101953125,-8.60989453125
-12.61382421875,-12.024375,-12.068265625,-6.84262890625,-18.92528515625,-11.39482421875,-5.55268359375,-8.91619921875,-9.86187890625,-13.5598125,-13.46269921875,-12.37426171875,-13.1859296875,-11.21035546875,-14.45595703125,-9.90158984375,-9.10158203125,-9.75153125,-12.59903125,-13.0440703125,-4.14301953125,-7.12930859375,-16.82228125,-15.383828125,-12.5241015625,-3.20975,-11.495328125,-19.0159375,-17.0351953125,-9.60889453125
-15.38282421875,-14.510375,-14.690265625,-9.95762890625,-20.97328515625,-12.67882421875,-7.44868359375,-11.00319921875,-12.47287890625,-15.3708125,-14.57469921875,-13.04926171875,-14.3079296875,-13.40035546875,-14.90395703125,-9.97258984375,-9.79058203125,-11.29453125,-12.86003125,-12.3550703125,-4.13101953125,-7.31830859375,-17.60928125,-14.676828125,-11.2741015625,-3.73775,-10.643328125,-18.5329375,-15.8291953125,-9.32689453125
-16.14382421875,-15.015375,-15.550265625,-11.07762890625,-20.73228515625,-12.49982421875,-7.94368359375,-11.44019921875,-13.56887890625,-15.4128125,-14.41369921875,-12.31626171875,-14.1549296875,-13.75035546875,-13.99195703125,-8.80058984375,-9.19858203125,-11.13153125,-11.42203125,-10.2060703125,-2.93801953125,-6.06730859375,-16.57428125,-12.191828125,-8.6361015625,-3.74175,-7.865328125,-15.9129375,-12.7991953125,-7.68189453125
-14.98182421875,-13.861375,-14.779265625,-10.12362890625,-18.37428515625,-11.08082421875,-7.22168359375,-10.41219921875,-12.88587890625,-13.6618125,-13.03169921875,-10.31926171875,-12.7199296875,-12.12735546875,-11.81595703125,-6.63258984375,-7.64758203125,-9.24553125,-8.64803125,-6.9360703125,-0.77101953125,-3.61230859375,-13.90028125,-8.311828125,-5.0001015625,-3.24475,-3.650328125,-11.5649375,-8.2961953125,-4.95589453125
-12.36782421875,-11.614375,-12.756265625,-7.51962890625,-14.55928515625,-8.88482421875,-5.66968359375,-8.42119921875,-10.49787890625,-10.5378125,-10.79569921875,-7.66626171875,-10.3279296875,-8.91035546875,-8.77295703125,-3.97658984375,-5.58358203125,-6.04353125,-5.19903125,-3.1640703125,1.85498046875,-0.47930859375,-10.13928125,-3.797828125,-1.0411015625,-2.40975,1.077671875,-6.4299375,-3.0961953125,-1.75089453125
-8.93182421875,-8.781375,-9.898265625,-3.98562890625,-10.10528515625,-6.40682421875,-3.63868359375,-6.05219921875,-6.81987890625,-6.7538125,-8.24369921875,-5.19126171875,-7.5339296875,-4.85535546875,-5.43595703125,-1.43258984375,-3.40658203125,-2.20353125,-1.78903125,0.3859296875,4.29598046875,2.70069140625,-6.02628125,0.429171875,2.4738984375,-1.46775,5.276671875,-1.6809375,1.8208046875,1.23610546875
-5.28982421875,-5.693375,-6.559265625,-0.30962890625,-5.73728515625,-4.04182421875,-1.33668359375,-3.77419921875,-2.52887890625,-3.0958125,-5.90769921875,-3.59526171875,-4.9699296875,-0.85735546875,-2.37995703125,0.52741015625,-1.39558203125,1.54546875,1.00396875,3.1009296875,6.01398046875,5.39569140625,-2.26828125,3.586171875,4.9478984375,-0.61775,8.164671875,1.7090625,5.6138046875,3.49610546875
-1.97282421875,-2.595375,-3.060265625,2.80937109375,-1.98428515625,-2.04282421875,1.12531640625,-1.86919921875,1.57512109375,-0.2118125,-4.16669921875,-3.14226171875,-3.1979296875,2.29064453125,-0.0419570312499999,1.71741015625,0.26641796875,4.60146875,2.81596875,4.6549296875,6.76898046875,7.28169140625,0.60771875,5.260171875,6.1478984375,0.0472499999999999,9.460671875,3.3090625,7.8618046875,4.89010546875
0.564175781249999,0.206625,0.204734375,4.86437109375,0.816714843750001,-0.56282421875,3.59831640625,-0.44819921875,4.75312109375,1.5231875,-3.18569921875,-3.57926171875,-2.5839296875,4.07964453125,1.33904296875,2.24241015625,1.42941796875,6.55246875,3.48596875,5.0379296875,6.67198046875,8.22269140625,2.28971875,5.452171875,6.2108984375,0.54325,9.346671875,3.2560625,8.6088046875,5.62110546875
1.95317578125,2.293625,2.707734375,5.58237109375,2.48971484375,0.27817578125,5.80831640625,0.46580078125,6.49512109375,2.0231875,-2.95469921875,-4.32126171875,-3.2339296875,4.35364453125,1.68804296875,2.32441015625,1.92441796875,7.16046875,2.99296875,4.4469296875,6.06198046875,8.15669140625,2.62771875,4.416171875,5.4738984375,0.91225,8.206671875,2.0010625,8.1788046875,6.00710546875
1.95017578125,3.228625,3.881734375,4.92937109375,2.98571484375,0.38117578125,7.36431640625,0.85180078125,6.61212109375,1.4181875,-3.38169921875,-4.77726171875,-4.9569296875,3.27964453125,1.03904296875,2.11141015625,1.57941796875,6.34846875,1.40796875,3.1219296875,5.30498046875,7.03469140625,1.57871875,2.449171875,4.2458984375,1.12825,6.356671875,-0.0449374999999996,6.9038046875,6.21010546875
0.523175781249999,2.725625,3.331734375,3.10037109375,2.34271484375,-0.27982421875,7.90131640625,0.63880078125,5.25112109375,-0.0388124999999997,-4.33169921875,-4.63326171875,-7.2999296875,1.26664453125,-0.474957031250001,1.59841015625,0.31541796875,4.23546875,-1.08403125,1.2589296875,4.61198046875,4.85969140625,-0.79828125,-0.210828125,2.6988984375,1.07325,3.952671875,-2.6979375,4.9798046875,6.08210546875
-2.05882421875,0.828625,1.084734375,0.51137109375,0.703714843750001,-1.55382421875,7.29131640625,-0.23319921875,2.84812109375,-2.0138125,-5.60769921875,-3.94726171875,-9.6499296875,-1.13335546875,-2.58395703125,0.74241015625,-1.72958203125,1.19446875,-4.12803125,-0.9360703125,3.99998046875,1.82269140625,-4.24928125,-3.324828125,0.9258984375,0.62425,1.097671875,-5.9269375,2.4998046875,5.27010546875
-5.18382421875,-1.997375,-2.277265625,-2.23462890625,-1.61928515625,-3.06082421875,5.79831640625,-1.66819921875,0.0371210937499997,-4.0898125,-6.88169921875,-3.03326171875,-11.4139296875,-3.31635546875,-4.84295703125,-0.36258984375,-4.11558203125,-2.14253125,-7.15603125,-3.1470703125,3.37598046875,-1.59130859375,-8.20828125,-6.518828125,-0.8941015625,-0.23475,-1.962328125,-9.6059375,-0.3681953125,3.51510546875
-7.97682421875,-4.906375,-5.693265625,-4.46162890625,-4.12528515625,-4.25482421875,4.03231640625,-3.31519921875,-2.49687890625,-5.7848125,-7.71369921875,-2.22226171875,-12.1919296875,-4.73735546875,-6.67795703125,-1.40458984375,-6.14758203125,-5.00153125,-9.48003125,-4.9190703125,2.65498046875,-4.65230859375,-11.82028125,-9.235828125,-2.4061015625,-1.33475,-4.756328125,-13.3269375,-3.2661953125,0.93610546875
-9.55782421875,-6.910375,-7.949265625,-5.62362890625,-6.21828515625,-4.60682421875,2.66531640625,-4.64519921875,-4.19087890625,-6.6328125,-7.68169921875,-1.64826171875,-11.8659296875,-5.03235546875,-7.54295703125,-1.96158984375,-7.09158203125,-6.68953125,-10.50803125,-5.7920703125,1.83698046875,-6.61630859375,-14.17828125,-10.857828125,-3.1721015625,-2.34675,-6.702328125,-16.4709375,-5.6901953125,-1.93989453125
-9.37882421875,-7.246375,-8.139265625,-5.49662890625,-7.38028515625,-3.83682421875,2.11031640625,-5.16519921875,-4.73887890625,-6.3448125,-6.60769921875,-1.21826171875,-10.5749296875,-4.14435546875,-7.15695703125,-1.74158984375,-6.46058203125,-6.82853125,-9.99403125,-5.5190703125,0.98898046875,-7.05030859375,-14.67728125,-10.973828125,-2.9101015625,-2.89875,-7.379328125,-18.4949375,-7.2221953125,-4.39889453125
-7.46882421875,-5.701375,-6.062265625,-4.23162890625,-7.34528515625,-2.06482421875,2.35631640625,-4.65019921875,-4.13987890625,-4.9638125,-4.72269921875,-0.77526171875,-8.6089296875,-2.37135546875,-5.67595703125,-0.80958984375,-4.24558203125,-5.49953125,-8.17403125,-4.2550703125,0.17398046875,-6.03730859375,-13.27928125,-9.630828125,-1.6991015625,-2.73275,-6.764328125,-19.2279375,-7.7561953125,-5.89889453125
-4.45982421875,-2.734375,-2.339265625,-2.26562890625,-6.21128515625,0.17517578125,3.02331640625,-3.29019921875,-2.66287890625,-2.9268125,-2.67769921875,-0.326261718750001,-6.2899296875,-0.30635546875,-3.71195703125,0.34841015625,-0.97758203125,-3.18653125,-5.70803125,-2.5670703125,-0.64301953125,-4.10330859375,-10.53228125,-7.401828125,-0.0201015624999998,-1.83975,-5.292328125,-18.9369375,-7.5731953125,-6.30689453125
-1.35882421875,0.664625,1.783734375,-0.16662890625,-4.46828515625,2.09717578125,3.52931640625,-1.69819921875,-0.74787890625,-0.9488125,-1.32469921875,-0.148261718750001,-3.8989296875,1.35564453125,-2.12695703125,0.99741015625,2.39741796875,-0.56553125,-3.43903125,-1.2590703125,-1.62201953125,-1.91230859375,-7.36128125,-5.186828125,1.4098984375,-0.51075,-3.661328125,-18.1279375,-7.1611953125,-5.93589453125
0.821175781249999,3.327625,4.875734375,1.54737109375,-2.86228515625,2.96017578125,3.29931640625,-0.69519921875,1.12212109375,0.2421875,-1.37169921875,-0.672261718750001,-1.6439296875,2.07664453125,-1.68195703125,0.50141015625,4.81641796875,1.76046875,-2.07903125,-1.0500703125,-2.97801953125,0.0666914062499999,-4.70428125,-3.834828125,1.9348984375,0.76125,-2.481328125,-17.2249375,-6.9191953125,-5.33889453125
1.46117578125,4.351625,5.850734375,2.57037109375,-2.05128515625,2.39017578125,2.00431640625,-0.91519921875,2.57412109375,0.2181875,-3.02669921875,-2.21126171875,0.343070312500002,1.69364453125,-2.69395703125,-1.33658984375,5.45841796875,3.46246875,-1.94203125,-2.2470703125,-4.79601953125,1.72969140625,-3.16428125,-3.780828125,1.2548984375,1.48925,-1.974328125,-16.3219375,-6.9101953125,-4.99189453125
0.588175781249999,3.469625,4.406734375,2.90737109375,-2.25428515625,0.59817578125,-0.23168359375,-2.43419921875,3.46512109375,-0.9388125,-5.85169921875,-4.69726171875,2.0270703125,0.48164453125,-4.86695703125,-4.11158984375,4.04841796875,4.53946875,-2.84103125,-4.5860703125,-6.88501953125,3.25569140625,-2.82228125,-4.866828125,-0.4381015625,1.42325,-1.865328125,-15.1659375,-6.8171953125,-5.03889453125
-1.14882421875,1.183625,1.177734375,2.84737109375,-3.12328515625,-1.64982421875,-2.79568359375,-4.69219921875,3.91312109375,-2.6358125,-8.88569921875,-7.58726171875,3.4680703125,-0.97135546875,-7.38095703125,-6.95258984375,0.97841796875,5.24146875,-4.19603125,-7.3050703125,-8.79101953125,4.88269140625,-3.29428125,-6.434828125,-2.5341015625,0.66025,-1.556328125,-13.3499375,-6.1321953125,-5.24789453125
-2.78182421875,-1.452375,-2.515265625,2.81737109375,-3.94128515625,-3.31382421875,-4.77368359375,-6.77419921875,4.20712109375,-3.9958125,-11.00269921875,-10.00726171875,4.7640703125,-2.00435546875,-9.20095703125,-8.87358984375,-2.80358203125,5.89446875,-5.28903125,-9.4300703125,-10.00401953125,6.69069140625,-3.99528125,-7.617828125,-4.2681015625,-0.42675,-0.458328125,-10.6139375,-4.4631953125,-5.21089453125
-3.46382421875,-3.285375,-5.241265625,3.19837109375,-3.99728515625,-3.50582421875,-5.31868359375,-7.86419921875,4.65812109375,-4.1958125,-11.33869921875,-11.07626171875,5.9630703125,-2.13135546875,-9.47795703125,-9.17658984375,-6.11958203125,6.71546875,-5.53503125,-10.1320703125,-10.21001953125,8.50869140625,-4.41928125,-7.696828125,-5.0141015625,-1.38175,1.691671875,-7.0699375,-1.7801953125,-4.61489453125
-2.83682421875,-3.568375,-6.084265625,4.16337109375,-2.92728515625,-1.86682421875,-4.01268359375,-7.62019921875,5.42612109375,-2.8078125,-9.60469921875,-10.28226171875,6.9700703125,-1.20935546875,-7.86995703125,-7.70958984375,-7.96558203125,7.69046875,-4.68003125,-9.0070703125,-9.43201953125,9.96969140625,-4.31128125,-6.380828125,-4.4631015625,-1.85075,4.684671875,-3.2099375,1.5398046875,-3.41089453125
-1.18082421875,-2.279375,-5.029265625,5.56137109375,-0.892285156249999,1.28817578125,-1.06968359375,-6.29119921875,6.41512109375,0.00418750000000045,-6.16869921875,-7.72626171875,7.5280703125,0.50564453125,-4.64595703125,-4.86458984375,-7.87458203125,8.55646875,-2.86603125,-6.1940703125,-7.97801953125,10.67269140625,-3.69328125,-3.877828125,-2.6511015625,-1.66775,7.940671875,0.272062500000001,4.8798046875,-1.78289453125
0.71917578125,-0.0963750000000001,-2.894265625,6.92237109375,1.46571484375,5.10917578125,2.72931640625,-4.57319921875,7.28712109375,3.5291875,-1.88169921875,-4.11926171875,7.2970703125,2.44364453125,-0.562957031250001,-1.36158984375,-6.08658203125,8.92746875,-0.56303125,-2.3020703125,-6.26801953125,10.34469140625,-2.79628125,-0.774828125,0.1088984375,-0.85075,10.753671875,2.7350625,7.6458046875,-0.0298945312500001
1.97117578125,1.961625,-0.830265625,7.63337109375,3.29871484375,8.57217578125,6.34931640625,-3.22519921875,7.61912109375,6.7731875,2.23330078125,-0.50126171875,6.0110703125,3.93764453125,3.41804296875,2.03841015625,-3.43358203125,8.49246875,1.61796875,1.7969296875,-4.63901953125,8.95469140625,-1.94128125,2.209171875,3.3248984375,0.43425,12.555671875,3.8030625,9.4618046875,1.57210546875
2.03917578125,3.076625,0.310734375,7.25437109375,3.94471484375,10.86817578125,8.92731640625,-2.65319921875,7.13412109375,8.8471875,5.30830078125,2.17773828125,3.6580703125,4.48764453125,6.43304296875,4.75141015625,-0.96558203125,7.20346875,3.14896875,5.2409296875,-3.24901953125,6.75069140625,-1.38828125,4.468171875,6.4368984375,1.90725,13.090671875,3.4610625,10.2348046875,2.84510546875
1.01417578125,3.017625,0.384734375,5.78137109375,3.20471484375,11.65417578125,10.06931640625,-2.71119921875,5.86612109375,9.3011875,6.85630078125,3.41773828125,0.573070312500002,3.98164453125,7.95304296875,6.44341015625,0.53741796875,5.34946875,3.78896875,7.4189296875,-2.11801953125,4.23069140625,-1.20428125,5.684171875,8.9278984375,3.24625,12.460671875,2.0590625,10.1168046875,3.72610546875
-0.47182421875,2.158625,-0.105265625,3.67137109375,1.37471484375,11.08817578125,9.88531640625,-2.85919921875,4.15312109375,8.2801875,6.86130078125,3.29773828125,-2.6149296875,2.73564453125,7.91204296875,7.02941015625,0.91341796875,3.46446875,3.64996875,8.1189296875,-1.23901953125,2.02569140625,-1.23228125,5.890171875,10.4228984375,4.18625,11.053671875,0.201062499999999,9.4228046875,4.23710546875
-1.63882421875,1.126625,-0.458265625,1.61037109375,-0.953285156249999,9.65717578125,8.78931640625,-2.57419921875,2.46412109375,6.4141875,5.71030078125,2.30573828125,-5.1919296875,1.34364453125,6.68804296875,6.62841015625,0.59141796875,2.12546875,3.11696875,7.5409296875,-0.65601953125,0.71469140625,-1.18328125,5.402171875,10.7458984375,4.62325,9.387671875,-1.4549375,8.5218046875,4.42510546875
-2.00682421875,0.366625,-0.302265625,0.17337109375,-3.15128515625,7.92717578125,7.25231640625,-1.70119921875,1.18312109375,4.5221875,4.02230078125,1.03573828125,-6.6439296875,0.38864453125,4.93704296875,5.50841015625,0.22241796875,1.71246875,2.66196875,6.1639296875,-0.43701953125,0.60369140625,-0.81128125,4.645171875,9.9178984375,4.64625,7.924671875,-2.4389375,7.7118046875,4.30910546875
-1.60082421875,-0.061375,0.185734375,-0.39962890625,-4.72728515625,6.33917578125,5.64631640625,-0.51919921875,0.48212109375,3.2751875,2.43430078125,-0.0592617187500002,-6.8529296875,0.18464453125,3.34704296875,4.02441015625,0.26241796875,2.25146875,2.63596875,4.5489296875,-0.57901953125,1.58969140625,-0.0482812499999996,3.962171875,8.1308984375,4.47925,6.907671875,-2.6489375,7.0998046875,3.84310546875
-0.794824218750001,-0.328375,0.522734375,-0.20762890625,-5.39628515625,5.17017578125,4.24031640625,0.49580078125,0.35712109375,2.9921875,1.44230078125,-0.73826171875,-6.0799296875,0.67964453125,2.41704296875,2.56741015625,0.78641796875,3.44346875,3.12796875,3.1619296875,-0.91401953125,3.20169140625,0.964718750000001,3.505171875,5.7128984375,4.35525,6.320671875,-2.3549375,6.5868046875,2.91910546875
0.0671757812499996,-0.508375,0.435734375,0.50537109375,-5.05628515625,4.59617578125,3.28131640625,1.04680078125,0.769121093749999,3.6401875,1.31530078125,-0.911261718750001,-4.7589296875,1.56064453125,2.34604296875,1.50641015625,1.61641796875,4.84446875,3.96696875,2.2739296875,-1.13401953125,4.80469140625,1.99271875,3.251171875,3.0888984375,4.40725,5.968671875,-2.0089375,5.9638046875,1.44110546875
0.968175781249999,-0.365375,0.198734375,1.57537109375,-3.73728515625,4.74417578125,3.06031640625,1.28080078125,1.76212109375,4.9651875,2.07430078125,-0.566261718750001,-3.2479296875,2.47764453125,3.03104296875,1.11341015625,2.55541796875,6.09946875,4.84896875,1.9459296875,-0.93001953125,5.86469140625,2.87471875,3.088171875,0.7188984375,4.59225,5.635671875,-1.9829375,5.0758046875,-0.58089453125
