"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-13.48916015625,-6.87415625,-7.68359765625,12.940359375,8.0581953125,-5.90287109375,-13.94751953125,-10.31900390625,7.0891796875,-3.42951171875,27.79097265625,3.25646484375,50.08675,0.9499375,-3.823375,14.177109375,-11.336890625,-2.71654296875,-10.887234375,-0.98473046875,20.32611328125,22.91066796875,-4.90443359375,-8.4532578125,-6.8258125,-45.17278515625,20.85245703125,-29.527296875,-10.42941015625,-35.6938515625
-12.89116015625,-7.00515625,-6.75159765625,14.234359375,10.7151953125,-3.05887109375,0.72948046875,-9.01200390625,11.2181796875,-2.15151171875,29.67797265625,5.21746484375,49.97475,2.7969375,-0.484375,16.187109375,-10.228890625,-1.21454296875,-8.678234375,0.52126953125,21.62611328125,23.00866796875,-4.19743359375,-6.8132578125,-6.0998125,-44.33478515625,22.99345703125,-27.902296875,-7.97041015625,-32.3518515625
-11.57016015625,-6.07115625,-5.58959765625,15.211359375,12.6871953125,-0.80587109375,9.26548046875,-7.79100390625,13.8311796875,-0.67751171875,30.90497265625,6.68446484375,49.87575,4.2139375,1.960625,17.792109375,-8.553890625,-0.10654296875,-6.899234375,1.84526953125,22.90711328125,22.99366796875,-3.46343359375,-5.2512578125,-5.2748125,-42.98878515625,24.84445703125,-26.178296875,-5.53641015625,-29.5638515625
-10.27316015625,-4.76815625,-4.58659765625,15.652359375,13.8361953125,0.62412890625,11.79248046875,-6.91100390625,14.8391796875,0.77248828125,31.35797265625,7.40046484375,49.70175,5.0629375,3.310625,18.758109375,-6.602890625,0.48445703125,-5.756234375,2.69426953125,23.91211328125,22.75366796875,-2.85543359375,-4.0082578125,-4.6348125,-41.31778515625,26.08545703125,-24.642296875,-3.45441015625,-27.5458515625
-10.02616015625,-4.21615625,-4.28159765625,15.407359375,14.2051953125,1.10312890625,10.11648046875,-6.65000390625,14.5631796875,1.86048828125,31.07397265625,7.22446484375,49.34675,5.2879375,3.546625,18.894109375,-4.980890625,0.52345703125,-5.379234375,2.73626953125,24.30911328125,22.19566796875,-2.58843359375,-3.3752578125,-4.5578125,-39.72678515625,26.36845703125,-23.714296875,-2.15441015625,-26.4728515625
-11.43516015625,-5.25215625,-5.04959765625,14.509359375,13.9881953125,0.66712890625,6.50148046875,-7.15500390625,13.5381796875,2.31048828125,30.18097265625,6.21746484375,48.75575,4.9289375,2.789625,18.110109375,-4.308890625,0.0634570312499998,-5.763234375,1.75326953125,23.84111328125,21.30866796875,-2.84143359375,-3.5612578125,-5.3228125,-38.64978515625,25.46545703125,-23.753296875,-1.98041015625,-26.4608515625
-14.29916015625,-7.92215625,-6.86359765625,13.221359375,13.4551953125,-0.44587109375,2.83748046875,-8.33100390625,12.3471796875,2.03748828125,28.85897265625,4.64046484375,47.98875,4.1659375,1.302625,16.483109375,-4.903890625,-0.74754296875,-6.740234375,-0.20673046875,22.46211328125,20.20166796875,-3.66043359375,-4.5922578125,-6.9898125,-38.36678515625,23.39045703125,-24.872296875,-3.04841015625,-27.5418515625
-17.73716015625,-11.45615625,-9.27459765625,11.977359375,12.8651953125,-1.85187109375,0.25048046875,-9.85900390625,11.5051796875,1.18548828125,27.33397265625,2.86946484375,47.23775,3.3119375,-0.517375,14.301109375,-6.597890625,-1.66254296875,-7.976234375,-2.76573046875,20.39811328125,19.09266796875,-4.88943359375,-6.2742578125,-9.3728125,-38.91078515625,20.43945703125,-26.869296875,-5.20941015625,-29.6128515625
-20.64716015625,-14.65215625,-11.56859765625,11.215359375,12.3601953125,-3.16287109375,-1.00051953125,-11.32500390625,11.3311796875,0.0614882812499999,25.86897265625,1.25946484375,46.78675,2.7329375,-2.195375,12.057109375,-8.800890625,-2.36754296875,-9.035234375,-5.27873046875,18.10311328125,18.26266796875,-6.19243359375,-8.2352578125,-12.0728125,-40.07578515625,17.12845703125,-29.280296875,-8.08441015625,-32.4038515625
-22.18716015625,-16.40315625,-13.02959765625,11.225359375,11.9531953125,-4.09787109375,-1.33451953125,-12.36100390625,11.8781796875,-0.97751171875,24.74197265625,0.0674648437499998,46.89575,2.7169375,-3.295375,10.327109375,-10.766890625,-2.54954296875,-9.500234375,-7.04173046875,16.11811328125,17.96166796875,-7.15543359375,-10.0352578125,-14.5658125,-41.49878515625,14.03745703125,-31.545296875,-11.17341015625,-35.4858515625
-22.05516015625,-16.13315625,-13.20359765625,12.055359375,11.5921953125,-4.51487109375,-1.34151953125,-12.76100390625,12.9591796875,-1.63351171875,24.19297265625,-0.57753515625,47.66575,3.3699375,-3.538375,9.592109375,-11.922890625,-2.01154296875,-9.131234375,-7.54373046875,14.88411328125,18.30666796875,-7.46243359375,-11.3182578125,-16.3478125,-42.78978515625,11.63345703125,-33.212296875,-14.00141015625,-38.3508515625
-20.50616015625,-14.00515625,-12.05559765625,13.502359375,11.2271953125,-4.39987109375,-1.34851953125,-12.53500390625,14.2651796875,-1.76451171875,24.32897265625,-0.66753515625,48.96175,4.5709375,-2.904375,10.042109375,-12.105890625,-0.78154296875,-7.991234375,-6.68273046875,14.58011328125,19.21366796875,-7.04843359375,-11.9372578125,-17.0978125,-43.66478515625,10.11545703125,-34.083296875,-16.25441015625,-40.5438515625
-18.16816015625,-10.80915625,-9.97959765625,15.188359375,10.8201953125,-3.87887109375,-1.38651953125,-11.90500390625,15.4781796875,-1.44151171875,25.04297265625,-0.30553515625,50.44775,5.9929375,-1.670375,11.474109375,-11.579890625,0.84845703125,-6.454234375,-4.82373046875,15.06611328125,20.40666796875,-6.14943359375,-12.0022578125,-16.7868125,-44.02778515625,9.35445703125,-34.258296875,-17.85441015625,-41.8198515625
-15.75116015625,-7.58915625,-7.61959765625,16.701359375,10.3391953125,-3.20787109375,-1.38551953125,-11.22000390625,16.3551796875,-0.91051171875,26.00997265625,0.31046484375,51.73975,7.2139375,-0.323375,13.365109375,-10.860890625,2.40545703125,-5.078234375,-2.64773046875,15.95711328125,21.52766796875,-5.20343359375,-11.7952578125,-15.6808125,-43.96378515625,8.96445703125,-34.036296875,-18.93841015625,-42.2358515625
-13.77016015625,-5.17415625,-5.60659765625,17.762359375,9.7921953125,-2.66987109375,-1.22851953125,-10.78700390625,16.8151796875,-0.47551171875,26.82297265625,0.96146484375,52.58075,7.8849375,0.662625,15.091109375,-10.427890625,3.42445703125,-4.373234375,-0.85273046875,16.81011328125,22.28466796875,-4.66043359375,-11.6132578125,-14.2248125,-43.65578515625,8.49945703125,-33.742296875,-19.74641015625,-42.0888515625
-12.40716015625,-3.86015625,-4.31159765625,18.338359375,9.2891953125,-2.44887109375,-0.72751953125,-10.72400390625,16.9761796875,-0.35051171875,27.16697265625,1.48946484375,52.94875,7.8879375,1.043625,16.206109375,-10.481890625,3.65845703125,-4.597234375,0.14626953125,17.32111328125,22.56866796875,-4.78143359375,-11.6182578125,-12.8518125,-43.25978515625,7.67545703125,-33.564296875,-20.47941015625,-41.7278515625
-11.54516015625,-3.41915625,-3.76559765625,18.610359375,8.9981953125,-2.56387109375,0.21548046875,-10.89900390625,17.0691796875,-0.58351171875,26.92097265625,1.83346484375,53.02975,7.3579375,0.871625,16.603109375,-10.867890625,3.16445703125,-5.673234375,0.34526953125,17.44211328125,22.46666796875,-5.54543359375,-11.7792578125,-11.8098125,-42.81578515625,6.50945703125,-33.488296875,-21.17841015625,-41.3698515625
-10.95516015625,-3.38815625,-3.76059765625,18.808359375,9.0371953125,-2.92587109375,1.33948046875,-11.01000390625,17.2581796875,-1.09651171875,26.13397265625,2.00546484375,53.05575,6.5499375,0.365625,16.489109375,-11.209890625,2.23945703125,-7.276234375,0.0442695312499999,17.35611328125,22.17066796875,-6.69243359375,-11.9462578125,-11.0968125,-42.23278515625,5.28445703125,-33.361296875,-21.70541015625,-41.0118515625
-10.50516015625,-3.41815625,-4.05259765625,19.036359375,9.3641953125,-3.43287109375,2.09448046875,-10.74800390625,17.4961796875,-1.77751171875,24.92897265625,2.03646484375,53.11175,5.6809375,-0.271375,16.200109375,-11.143890625,1.21645703125,-9.001234375,-0.38573046875,17.34411328125,21.82166796875,-7.87843359375,-11.9842578125,-10.5448125,-41.34778515625,4.36445703125,-33.019296875,-21.83541015625,-40.4808515625
-10.24016015625,-3.46615625,-4.51059765625,19.194359375,9.7791953125,-4.03987109375,2.04448046875,-9.97400390625,17.5501796875,-2.56951171875,23.42697265625,1.95746484375,53.03775,4.8319375,-0.965375,15.976109375,-10.524890625,0.27845703125,-10.533234375,-0.72973046875,17.60611328125,21.41966796875,-8.83343359375,-11.8712578125,-9.9908125,-40.02278515625,3.99445703125,-32.391296875,-21.39341015625,-39.5598515625
-10.33616015625,-3.75115625,-5.15859765625,19.041359375,9.9911953125,-4.78387109375,1.15348046875,-8.83300390625,17.1141796875,-3.47951171875,21.70897265625,1.79046484375,52.49975,3.9529375,-1.781375,15.819109375,-9.484890625,-0.60054296875,-11.737234375,-1.02073046875,18.14611328125,20.82866796875,-9.45243359375,-11.7212578125,-9.4138125,-38.23278515625,4.18745703125,-31.534296875,-20.34841015625,-38.1188515625
