"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-9.6786875,-6.09182421875,-6.7403515625,-17.94659765625,-18.4874296875,-11.20740234375,-11.7230703125,-9.3045859375,-22.04479296875,-22.81422265625,-10.52741796875,-4.28020703125,-11.15605859375,-18.2299453125,-14.40632421875,-10.0871328125,-0.83073046875,-23.1658203125,-18.83953125,-16.4225703125,-6.5466328125,-9.952203125,-20.88851171875,-15.69316796875,-13.15091796875,0.0697148437500004,-16.1034921875,-18.4663984375,-11.6545,-2.38398046875
-7.4436875,-6.52182421875,-5.7713515625,-15.33359765625,-15.6094296875,-9.75640234375,-11.9060703125,-4.5075859375,-21.28079296875,-21.94322265625,-11.30441796875,-3.18020703125,-9.25505859375,-17.5349453125,-15.14832421875,-11.2801328125,0.56326953125,-20.8948203125,-19.65353125,-17.9175703125,-5.9706328125,-4.475203125,-20.11851171875,-16.45816796875,-14.01691796875,-0.90028515625,-15.1014921875,-12.8083984375,-9.7855,-5.00498046875
-6.1586875,-5.77782421875,-6.2153515625,-13.21759765625,-13.1474296875,-8.10640234375,-11.3790703125,-1.5745859375,-20.11679296875,-20.50622265625,-11.12341796875,-2.24920703125,-8.36205859375,-16.6749453125,-14.84932421875,-11.5951328125,1.86626953125,-19.4128203125,-19.67753125,-18.2965703125,-5.1126328125,-0.533203125,-18.98951171875,-16.42816796875,-14.05491796875,-1.27228515625,-13.7314921875,-7.9873984375,-7.3565,-4.88698046875
-5.7576875,-4.09482421875,-7.3783515625,-11.56959765625,-10.9784296875,-6.29540234375,-10.2620703125,-0.4915859375,-18.41079296875,-18.38122265625,-9.88541796875,-1.57920703125,-8.46005859375,-15.5249453125,-13.29832421875,-10.9331328125,2.88526953125,-18.5158203125,-18.63053125,-17.3295703125,-3.9566328125,1.735796875,-17.27151171875,-15.36916796875,-13.14791796875,-1.00128515625,-11.8424921875,-4.1443984375,-4.4285,-2.31198046875
-5.7706875,-2.12082421875,-7.9743515625,-10.23759765625,-8.8554296875,-4.42940234375,-8.8410703125,-0.6695859375,-16.13479296875,-15.60722265625,-7.73241796875,-1.09420703125,-9.18305859375,-13.9589453125,-10.55632421875,-9.3881328125,3.43126953125,-17.6648203125,-16.37153125,-15.0285703125,-2.5346328125,2.715796875,-14.74851171875,-13.18516796875,-11.33991796875,-0.20128515625,-9.2844921875,-1.1543984375,-1.2095,1.55501953125
-5.5206875,-0.50582421875,-6.8933515625,-9.04359765625,-6.5624296875,-2.59440234375,-7.3030703125,-1.2755859375,-13.38579296875,-12.33322265625,-4.91641796875,-0.477207031250001,-9.96905859375,-11.8699453125,-6.88332421875,-7.1181328125,3.46326953125,-16.2268203125,-12.92153125,-11.5655703125,-0.8626328125,3.204796875,-11.28751171875,-9.89816796875,-8.73591796875,0.92971484375,-5.9134921875,1.3506015625,2.1225,5.38501953125
-4.4116875,0.43817578125,-3.8323515625,-7.83859765625,-4.0244296875,-0.78440234375,-5.5990703125,-1.5785859375,-10.34679296875,-8.76222265625,-1.68841796875,0.69379296875,-10.24905859375,-9.2009453125,-2.63532421875,-4.2591328125,3.18826953125,-13.7438203125,-8.47153125,-7.1925703125,1.0893671875,4.121796875,-6.88851171875,-5.62416796875,-5.40891796875,2.19371484375,-1.6334921875,3.8596015625,5.5115,8.33601953125
-2.1896875,0.80717578125,0.5826484375,-6.51759765625,-1.3724296875,1.06759765625,-3.5570703125,-1.1765859375,-7.26279296875,-5.12622265625,1.71558203125,2.67979296875,-9.61905859375,-5.9999453125,1.80867578125,-0.9471328125,2.99726953125,-10.1418203125,-3.38553125,-2.2135703125,3.3583671875,6.120796875,-1.75251171875,-0.56516796875,-1.42191796875,3.46071484375,3.5145078125,6.7676015625,8.9925,10.29601953125
0.9633125,0.93517578125,5.1656484375,-5.04559765625,1.0645703125,2.98159765625,-1.1130703125,-0.0715859375000001,-4.42379296875,-1.71022265625,5.02658203125,5.37179296875,-7.95505859375,-2.4879453125,6.06567578125,2.6118671875,3.28126953125,-5.8078203125,1.82046875,2.9874296875,5.9083671875,9.292796875,3.67448828125,4.95983203125,3.09908203125,4.70171484375,9.2905078125,10.1746015625,12.5825,11.71001953125
4.5153125,1.15617578125,8.7166484375,-3.46759765625,2.8655703125,4.84159765625,1.5349296875,1.4214140625,-2.13279296875,1.14777734375,7.92558203125,8.29779296875,-5.43405859375,0.9460546875,9.76167578125,6.1038671875,4.22526953125,-1.4678203125,6.54346875,7.9424296875,8.5853671875,13.113796875,8.73848828125,10.50483203125,7.87908203125,5.97971484375,15.2345078125,13.8006015625,16.1755,13.18401953125
7.7943125,1.65917578125,10.4616484375,-1.90959765625,3.7205703125,6.41959765625,3.9579296875,2.8964140625,-0.617792968750001,3.14377734375,10.09958203125,10.83879296875,-2.46905859375,3.8540546875,12.57367578125,9.1488671875,5.69926953125,2.0951796875,10.22046875,12.1494296875,11.1443671875,16.671796875,12.72148828125,15.50983203125,12.49008203125,7.38471484375,20.6985078125,17.0666015625,19.5095,15.09801953125
10.1723125,2.46817578125,10.2396484375,-0.55859765625,3.6275703125,7.49759765625,5.6589296875,4.0674140625,0.0752070312499997,4.12477734375,11.33758203125,12.48779296875,0.41894140625,5.8950546875,14.29767578125,11.3998671875,7.31826953125,4.3451796875,12.46246875,15.1744296875,13.3143671875,19.053796875,15.03848828125,19.37083203125,16.41808203125,8.92571484375,24.9445078125,19.3026015625,22.1935,17.37101953125
11.1953125,3.48817578125,8.4866484375,0.37640234375,2.9195703125,7.97159765625,6.2729296875,4.8754140625,0.113207031249999,4.17477734375,11.62058203125,13.02779296875,2.74794140625,6.9570546875,14.90267578125,12.6338671875,8.61826953125,5.1811796875,13.15046875,16.7594296875,14.8643671875,19.707796875,15.41048828125,21.56783203125,19.18408203125,10.44171484375,27.2955078125,20.0046015625,23.8095,19.47601953125
10.6793125,4.57917578125,6.0456484375,0.75640234375,2.1265703125,7.90659765625,5.7369296875,5.4504140625,-0.168792968750001,3.59777734375,11.14658203125,12.58479296875,4.21694140625,7.1750546875,14.54167578125,12.8128671875,9.27326953125,4.9101796875,12.45646875,16.8824296875,15.6433671875,18.626796875,13.95748828125,21.81283203125,20.45908203125,11.58771484375,27.3205078125,19.0306015625,24.0415,20.66501953125
8.7843125,5.61217578125,3.8576484375,0.60840234375,1.7625703125,7.51159765625,4.3879296875,5.9964140625,-0.38479296875,2.82777734375,10.27358203125,11.57279296875,4.80794140625,6.8570546875,13.51867578125,12.0928671875,9.24326953125,4.0641796875,10.79246875,15.7404296875,15.5973671875,16.274796875,11.16948828125,20.16483203125,20.15708203125,11.94671484375,24.9855078125,16.6186015625,22.7935,20.33201953125
6.0143125,6.48617578125,2.6366484375,0.18240234375,2.1425703125,7.05459765625,2.9059296875,6.6424140625,-0.21479296875,2.27577734375,9.38258203125,10.53279296875,4.79594140625,6.3540546875,12.20367578125,10.7668671875,8.77326953125,3.1541796875,8.68846875,13.6854296875,14.7673671875,13.353796875,7.76948828125,17.04883203125,18.45708203125,11.23171484375,20.7285078125,13.2656015625,20.2555,18.31101953125
3.0883125,7.12217578125,2.6616484375,-0.12859765625,3.2715703125,6.73259765625,2.0729296875,7.3244140625,0.486207031249999,2.17777734375,8.71958203125,9.92379296875,4.63194140625,5.9370546875,10.92667578125,9.1688671875,8.23326953125,2.4891796875,6.64546875,11.1224296875,13.2663671875,10.539796875,4.51448828125,13.15183203125,15.76208203125,9.45971484375,15.3835078125,9.5456015625,16.8745,14.96201953125
0.7113125,7.41717578125,3.7336484375,0.0254023437499997,4.7895703125,6.53559765625,2.3819296875,7.7804140625,1.60920703125,2.46377734375,8.28258203125,9.91679296875,4.72694140625,5.7010546875,9.86167578125,7.5538671875,7.89126953125,2.0991796875,4.98846875,8.4134296875,11.2463671875,8.321796875,1.98348828125,9.21283203125,12.57108203125,6.98071484375,9.9645078125,5.9616015625,13.2235,10.95301953125
-0.6316875,7.22417578125,5.3126484375,0.75340234375,6.0195703125,6.19759765625,3.6819296875,7.6634140625,2.79720703125,2.73777734375,7.80758203125,10.29479296875,5.22594140625,5.5270546875,8.95867578125,5.9888671875,7.74126953125,1.7761796875,3.75946875,5.7904296875,8.8723671875,6.926796875,0.41448828125,5.78683203125,9.31508203125,4.33471484375,5.3335078125,2.8616015625,9.8025,6.91401953125
-0.7956875,6.36217578125,6.7226484375,1.83940234375,6.1645703125,5.26359765625,5.0789296875,6.7514140625,3.55520703125,2.41477734375,6.85458203125,10.50579296875,5.90794140625,5.1240546875,7.97067578125,4.3398671875,7.51826953125,1.1951796875,2.71946875,3.3204296875,6.3073671875,6.321796875,-0.33251171875,3.09083203125,6.24608203125,2.04171484375,1.9255078125,0.4076015625,6.8925,3.20401953125
0.000312499999999938,4.70317578125,7.3536484375,2.81840234375,4.6045703125,3.29259765625,5.2709296875,5.0904140625,3.42520703125,0.97977734375,4.99358203125,9.88579296875,6.28194140625,4.1640546875,6.57267578125,2.3568671875,6.87726953125,0.0921796875000007,1.49046875,0.9354296875,3.7213671875,6.278796875,-0.64051171875,1.00883203125,3.41608203125,0.45271484375,-0.3284921875,-1.3813984375,4.5425,-0.0549804687500002
1.2543125,2.29117578125,6.8036484375,3.16740234375,1.2085703125,0.10459765625,3.2049296875,3.0194140625,2.16120703125,-1.74422265625,2.02958203125,7.96479296875,5.84694140625,2.4380546875,4.53667578125,-0.1521328125,5.61726953125,-1.5948203125,-0.23753125,-1.4755703125,1.2933671875,6.499796875,-0.91651171875,-0.74816796875,0.76408203125,-0.311285156249999,-1.8394921875,-2.5413984375,2.6705,-2.79298046875
2.3483125,-0.59482421875,4.9456484375,2.53040234375,-3.5104296875,-4.05340234375,-1.2610703125,1.0524140625,-0.167792968750001,-5.48022265625,-1.84841796875,4.73679296875,4.37694140625,-0.0189453125000001,1.85067578125,-3.1711328125,3.81426953125,-3.6998203125,-2.53553125,-3.9795703125,-0.7966328125,6.716796875,-1.39951171875,-2.46416796875,-1.79791796875,-0.34928515625,-3.1034921875,-3.1243984375,1.1535,-4.88598046875
2.7503125,-3.48382421875,1.9556484375,0.87240234375,-8.4924296875,-8.51940234375,-7.1310703125,-0.2955859375,-3.18179296875,-9.59422265625,-6.09641796875,0.74179296875,2.03294140625,-2.9309453125,-1.26832421875,-6.4431328125,1.79026953125,-5.9318203125,-5.23653125,-6.5715703125,-2.4186328125,6.726796875,-2.14051171875,-4.32116796875,-4.35691796875,0.0377148437500003,-4.5124921875,-3.2603984375,-0.1615,-6.23398046875
2.1613125,-5.84882421875,-1.6893515625,-1.50359765625,-12.5114296875,-12.43140234375,-12.6770703125,-0.6995859375,-6.31879296875,-13.35022265625,-10.01641796875,-3.09620703125,-0.73005859375,-5.8999453125,-4.47932421875,-9.5611328125,-0.0137304687499995,-8.0418203125,-8.06153125,-9.1925703125,-3.5406328125,6.354796875,-3.10551171875,-6.40316796875,-7.00191796875,0.42071484375,-6.2874921875,-3.2403984375,-1.4845,-6.92498046875
0.5553125,-7.27182421875,-5.2563515625,-4.06859765625,-14.6874296875,-15.05640234375,-16.2360703125,-0.1645859375,-9.04879296875,-16.18322265625,-13.01141796875,-5.79920703125,-3.38505859375,-8.5729453125,-7.45932421875,-12.1161328125,-1.22873046875,-9.9218203125,-10.78153125,-11.7455703125,-4.2326328125,5.442796875,-4.29451171875,-8.72116796875,-9.77691796875,0.39171484375,-8.4694921875,-3.4653984375,-3.0165,-7.27198046875
-1.8716875,-7.55682421875,-7.8693515625,-6.25859765625,-14.8424296875,-16.04140234375,-16.9280703125,0.9914140625,-11.05179296875,-17.86122265625,-14.74541796875,-6.69120703125,-5.54705859375,-10.7569453125,-9.97632421875,-13.8001328125,-1.69373046875,-11.5998203125,-13.28053125,-14.0775703125,-4.5956328125,3.927796875,-5.76251171875,-11.19116796875,-12.57191796875,-0.25528515625,-10.9064921875,-4.2273984375,-4.8025,-7.65398046875
-4.7576875,-6.78782421875,-8.7473515625,-7.66759765625,-13.5114296875,-15.47440234375,-14.9040703125,2.3254140625,-12.28079296875,-18.46522265625,-15.16041796875,-5.61620703125,-7.07005859375,-12.4119453125,-11.87332421875,-14.4471328125,-1.49473046875,-13.1478203125,-15.51653125,-15.9545703125,-4.6686328125,1.949796875,-7.54451171875,-13.58916796875,-15.03691796875,-1.41628515625,-13.2384921875,-5.4663984375,-6.6085,-8.24498046875
-7.5916875,-5.29782421875,-7.5083515625,-8.15659765625,-11.5994296875,-13.76240234375,-11.0720703125,3.4894140625,-12.87879296875,-18.22522265625,-14.38041796875,-2.95320703125,-8.02105859375,-13.5599453125,-13.00432421875,-14.0221328125,-0.89173046875,-14.6068203125,-17.42053125,-17.0725703125,-4.3846328125,-0.128203125,-9.56751171875,-15.55216796875,-16.63091796875,-2.73128515625,-14.9634921875,-6.7373984375,-7.9835,-8.85798046875
-9.7436875,-3.56582421875,-4.3863515625,-7.85359765625,-9.9074296875,-11.41640234375,-6.5640703125,4.3534140625,-13.02879296875,-17.34422265625,-12.59941796875,0.55279296875,-8.57405859375,-14.1779453125,-13.19432421875,-12.5961328125,-0.17873046875,-15.9408203125,-18.82453125,-17.1415703125,-3.6186328125,-1.839203125,-11.59951171875,-16.67916796875,-16.82391796875,-3.75828515625,-15.5744921875,-7.4223984375,-8.4855,-9.02898046875
-10.6126875,-2.04982421875,-0.1943515625,-7.05759765625,-8.7754296875,-8.85940234375,-2.2710703125,4.9664140625,-12.84079296875,-15.89122265625,-10.01441796875,4.06479296875,-8.88905859375,-14.1519453125,-12.27232421875,-10.3341328125,0.46626953125,-17.0308203125,-19.44953125,-15.9825703125,-2.2726328125,-2.779203125,-13.25351171875,-16.64016796875,-15.32491796875,-4.16128515625,-14.7184921875,-7.0493984375,-7.9045,-8.27798046875
-9.8446875,-1.02682421875,3.9776484375,-6.09259765625,-8.0084296875,-6.31340234375,1.3639296875,5.4754140625,-12.31279296875,-13.82322265625,-6.82541796875,6.92379296875,-9.01205859375,-13.3049453125,-10.15232421875,-7.4711328125,1.05026953125,-17.6638203125,-18.96653125,-13.5995703125,-0.3456328125,-2.741203125,-14.03551171875,-15.24616796875,-12.20091796875,-3.79928515625,-12.2624921875,-5.4783984375,-6.3095,-6.32198046875
