"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-56.53534375,-43.487453125,-49.1704609375,-14.24121875,-18.656984375,-13.44727734375,-8.91886328125,-9.200234375,-4.32501171875,-4.5891796875,-5.048703125,-4.9746875,-1.48204296875,-2.97448046875,-1.26808203125,-2.39407421875,-1.3170703125,-1.975328125,0.950625,-0.0854804687500001,0.67400390625,-1.45772265625,0.375531250000001,2.49878125,3.5970390625,-4.209671875,4.45237109375,-2.06853125,-11.45764453125,5.69728515625
-48.05634375,-35.170453125,-39.0614609375,-9.76121875,-12.504984375,-8.09827734375,-3.38786328125,-5.470234375,-2.66601171875,-0.9621796875,-2.152703125,-5.3506875,2.52795703125,-1.93348046875,-0.11108203125,-2.71307421875,0.3119296875,-1.727328125,1.510625,-1.01848046875,-1.40499609375,-2.01172265625,-1.19946875,0.51878125,0.5280390625,-6.689671875,-0.189628906249999,-6.32453125,-15.30664453125,1.88128515625
-40.26634375,-28.156453125,-30.9044609375,-5.80021875,-8.231984375,-4.33027734375,0.411136718749999,-2.502234375,-1.64401171875,1.4168203125,-0.492703125,-5.0186875,4.65195703125,-1.49348046875,0.23691796875,-3.37907421875,0.8319296875,-1.592328125,1.171625,-2.74648046875,-3.69599609375,-2.87372265625,-2.99646875,-2.29121875,-3.0609609375,-9.581671875,-5.16362890625,-10.69553125,-19.92864453125,-2.60871484375
-32.88634375,-22.389453125,-24.6484609375,-2.47121875,-5.869984375,-2.08427734375,2.51913671875,-0.330234375000001,-1.23401171875,2.5328203125,0.0282968749999999,-3.9556875,4.68795703125,-1.58248046875,-0.15208203125,-4.19407421875,0.2709296875,-1.550328125,-0.0223749999999998,-5.11248046875,-6.02599609375,-4.02272265625,-4.95446875,-5.82921875,-7.0119609375,-12.803671875,-10.42362890625,-15.18653125,-25.32064453125,-7.77171484375
-25.93734375,-17.783453125,-20.0364609375,0.0277812500000003,-4.993984375,-0.92427734375,3.38913671875,1.104765625,-1.24201171875,2.6688203125,-0.151703125,-2.4226875,3.04195703125,-1.99548046875,-0.98808203125,-4.84207421875,-1.0110703125,-1.634328125,-1.809375,-7.69448046875,-8.10499609375,-5.37472265625,-7.00546875,-9.75021875,-10.9969609375,-16.103671875,-15.84662890625,-19.79153125,-31.23864453125,-13.42671484375
-20.18734375,-14.583453125,-17.0804609375,1.31178125,-5.079984375,-0.394277343750001,3.51313671875,1.832765625,-1.44401171875,2.1678203125,-0.558703125,-0.8496875,0.57795703125,-2.56448046875,-1.95708203125,-5.07607421875,-2.5210703125,-1.993328125,-3.907375,-10.03348046875,-9.68299609375,-6.86472265625,-9.18246875,-13.68421875,-14.7049609375,-19.174671875,-21.30762890625,-24.48953125,-37.32064453125,-19.32371484375
-16.79034375,-13.162453125,-15.9494609375,0.988781250000001,-5.675984375,-0.181277343750001,3.22513671875,1.910765625,-1.65001171875,1.3208203125,-0.848703125,0.4113125,-1.65104296875,-3.23548046875,-2.83108203125,-4.79207421875,-3.7710703125,-2.841328125,-6.121375,-11.79548046875,-10.62699609375,-8.48172265625,-11.59246875,-17.35421875,-17.9399609375,-21.722671875,-26.65662890625,-29.19053125,-43.16864453125,-25.20471484375
-16.41034375,-13.506453125,-16.4724609375,-0.97721875,-6.375984375,-0.0652773437500005,2.76813671875,1.579765625,-1.69201171875,0.3938203125,-0.819703125,1.2863125,-2.75204296875,-4.01648046875,-3.45708203125,-3.98207421875,-4.3110703125,-4.319328125,-8.299375,-12.80348046875,-10.92599609375,-10.22972265625,-14.27946875,-20.54421875,-20.5819609375,-23.494671875,-31.62262890625,-33.65853125,-48.38164453125,-30.77571484375
-18.56334375,-14.890453125,-17.8064609375,-4.03721875,-6.755984375,0.176722656249999,2.43913671875,1.298765625,-1.42901171875,-0.3261796875,-0.349703125,1.9963125,-2.34004296875,-4.89648046875,-3.70708203125,-2.66407421875,-3.7650703125,-6.371328125,-10.260375,-13.00348046875,-10.62199609375,-12.04872265625,-17.08746875,-23.01621875,-22.5029609375,-24.284671875,-35.75462890625,-37.49453125,-52.55064453125,-35.66071484375
-21.69034375,-16.111453125,-18.6584609375,-7.13521875,-6.453984375,0.76572265625,2.61513671875,1.574765625,-0.84101171875,-0.5871796875,0.617296875,2.8603125,-0.72804296875,-5.81648046875,-3.48708203125,-0.88107421875,-1.9370703125,-8.707328125,-11.762375,-12.43748046875,-9.75099609375,-13.76672265625,-19.62446875,-24.47121875,-23.5139609375,-23.950671875,-38.47062890625,-40.19453125,-55.27464453125,-39.39171484375
