"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-22.5226171875,-17.5130859375,-4.03348828125,-11.125875,-14.304078125,-14.0901328125,-5.20044140625,11.24018359375,-9.37552734375,-16.85316015625,-10.7779609375,-4.0773515625,1.9363359375,-13.55091796875,-15.917140625,-6.08137890625,0.62515234375,-4.219171875,-15.2707734375,-15.17659765625,-7.179890625,-12.223125,-17.0446640625,-14.82338671875,-13.93601953125,-7.95187109375,-18.41618359375,-13.18740234375,-12.47919140625,-11.91976171875
-30.0326171875,-22.8700859375,-11.52948828125,-18.942875,-21.000078125,-19.6531328125,-10.36744140625,6.98018359375,-16.84752734375,-21.34916015625,-14.4569609375,-8.3853515625,-0.8456640625,-17.46891796875,-20.161140625,-9.73537890625,1.60215234375,-8.461171875,-19.4157734375,-18.14459765625,-12.855890625,-14.349125,-19.7206640625,-16.39338671875,-16.00901953125,-11.26087109375,-19.74918359375,-15.50840234375,-14.50719140625,-14.05276171875
-35.8326171875,-26.8850859375,-16.55448828125,-24.887875,-26.024078125,-23.3081328125,-13.73044140625,4.33018359375,-21.73652734375,-24.39416015625,-16.6389609375,-11.1043515625,-2.9036640625,-19.80991796875,-22.391140625,-11.69637890625,2.24115234375,-10.611171875,-21.1647734375,-19.22559765625,-15.307890625,-14.673125,-20.2616640625,-16.36638671875,-16.35201953125,-12.56887109375,-19.22118359375,-15.77040234375,-14.77019140625,-14.66476171875
-39.6806171875,-29.3380859375,-19.05748828125,-28.780875,-29.172078125,-24.9801328125,-15.21044140625,3.21018359375,-24.01252734375,-25.82016015625,-17.3099609375,-12.1513515625,-4.1396640625,-20.47591796875,-22.531140625,-11.93737890625,2.63115234375,-10.740171875,-20.4677734375,-18.42759765625,-14.523890625,-13.232125,-18.7386640625,-14.73238671875,-14.95401953125,-11.83987109375,-16.84118359375,-13.96340234375,-13.30719140625,-13.78276171875
-41.7316171875,-30.3600859375,-19.66248828125,-30.901875,-30.649078125,-25.1351328125,-15.25644140625,3.07118359375,-24.39952734375,-25.86416015625,-16.8869609375,-11.9183515625,-4.6596640625,-19.83391796875,-21.115140625,-10.92137890625,3.00415234375,-9.551171875,-18.0067734375,-16.32659765625,-11.431890625,-10.618125,-15.9056640625,-11.96938671875,-12.31701953125,-9.56587109375,-13.18918359375,-10.70340234375,-10.66519140625,-11.84676171875
-42.3626171875,-30.3350859375,-19.23048828125,-31.756875,-30.875078125,-24.4821328125,-14.57144140625,3.24218359375,-23.91752734375,-25.02416015625,-15.9559609375,-11.0303515625,-4.7236640625,-18.50491796875,-18.982140625,-9.29837890625,3.61615234375,-7.930171875,-14.8047734375,-13.71859765625,-7.325890625,-7.642125,-12.7526640625,-8.76438671875,-9.14501953125,-6.39887109375,-9.07918359375,-6.87840234375,-7.53419140625,-9.37676171875
-42.0446171875,-29.7720859375,-18.50848828125,-31.885875,-30.336078125,-23.6981328125,-13.83744140625,3.21218359375,-23.47752734375,-23.87516015625,-15.0389609375,-10.0713515625,-4.6766640625,-17.10891796875,-16.947140625,-7.64137890625,4.60715234375,-6.559171875,-11.8207734375,-11.30859765625,-3.341890625,-5.018125,-10.0896640625,-5.75038671875,-6.06301953125,-2.87087109375,-5.25218359375,-3.31740234375,-4.48419140625,-6.74576171875
-41.2966171875,-29.1950859375,-17.98048828125,-31.787875,-29.529078125,-23.2781328125,-13.52244140625,2.73418359375,-23.68652734375,-22.94316015625,-14.4909609375,-9.4173515625,-4.8696640625,-16.10391796875,-15.590140625,-6.34137890625,5.89515234375,-5.775171875,-9.7147734375,-9.56259765625,-0.202890625,-3.191125,-8.3476640625,-3.38538671875,-3.50601953125,0.65912890625,-2.23718359375,-0.614402343749999,-1.91119140625,-4.18276171875
-40.6286171875,-29.0380859375,-17.87848828125,-31.882875,-28.933078125,-23.4811328125,-13.80544140625,1.81118359375,-24.78152734375,-22.60716015625,-14.4819609375,-9.2073515625,-5.5686640625,-15.72791796875,-15.181140625,-5.61537890625,7.19415234375,-5.637171875,-8.7797734375,-8.70559765625,1.790109375,-2.310125,-7.6166640625,-1.94438671875,-1.72701953125,3.91812890625,-0.35418359375,0.887597656250001,-0.113191406249999,-1.90276171875
-40.4326171875,-29.5240859375,-18.23548828125,-32.449875,-28.937078125,-24.3061328125,-14.58044140625,0.62018359375,-26.62952734375,-23.02316015625,-14.9939609375,-9.4033515625,-6.8676640625,-16.01591796875,-15.677140625,-5.53937890625,8.14815234375,-6.069171875,-8.9847734375,-8.76159765625,2.658109375,-2.267125,-7.7916640625,-1.55338671875,-0.84201953125,6.63812890625,0.24881640625,1.09159765625,0.67380859375,-0.17576171875
-40.8446171875,-30.5750859375,-18.94448828125,-33.572875,-29.711078125,-25.5041328125,-15.55144140625,-0.59181640625,-28.79352734375,-24.06216015625,-15.8219609375,-9.8763515625,-8.6376640625,-16.83991796875,-16.750140625,-6.06237890625,8.49715234375,-6.950171875,-10.0497734375,-9.57559765625,2.633109375,-2.773125,-8.6936640625,-2.17638671875,-0.81801953125,8.59012890625,-0.39418359375,0.13459765625,0.34580859375,0.74923828125
-41.6806171875,-31.8090859375,-19.79648828125,-35.115875,-31.101078125,-26.6411328125,-16.35944140625,-1.60681640625,-30.67752734375,-25.31816015625,-16.5979609375,-10.4893515625,-10.5596640625,-17.94991796875,-17.867140625,-6.99937890625,8.19615234375,-8.136171875,-11.5307734375,-10.82359765625,2.069109375,-3.460125,-10.1146640625,-3.58838671875,-1.44801953125,9.67012890625,-2.02718359375,-1.63040234375,-0.95619140625,0.79923828125
-42.4916171875,-32.6850859375,-20.50548828125,-36.750875,-32.616078125,-27.2181328125,-16.71444140625,-2.29381640625,-31.72552734375,-26.21816015625,-16.8869609375,-11.1353515625,-12.2126640625,-19.00391796875,-18.431140625,-8.04137890625,7.43615234375,-9.414171875,-12.9157734375,-12.05359765625,1.352109375,-3.982125,-11.7786640625,-5.36538671875,-2.36001953125,9.97012890625,-4.17018359375,-3.69740234375,-2.80019140625,0.17223828125
-42.7476171875,-32.7300859375,-20.73748828125,-38.038875,-33.557078125,-26.8091328125,-16.45944140625,-2.61381640625,-31.61052734375,-26.21016015625,-16.3309609375,-11.7353515625,-13.2176640625,-19.60691796875,-17.958140625,-8.81937890625,6.55615234375,-10.477171875,-13.7257734375,-12.77759765625,0.813109375,-4.090125,-13.3126640625,-6.94438671875,-3.11201953125,9.74912890625,-6.19418359375,-5.54440234375,-4.55919140625,-0.71776171875
-42.0516171875,-31.7140859375,-20.18548828125,-38.561875,-33.258078125,-25.1781328125,-15.58544140625,-2.59681640625,-30.31452734375,-24.94616015625,-14.7689609375,-12.1953515625,-13.3516640625,-19.37491796875,-16.227140625,-9.01037890625,5.88215234375,-10.957171875,-13.6047734375,-12.61559765625,0.663109375,-3.656125,-14.2826640625,-7.76638671875,-3.32001953125,9.32412890625,-7.48018359375,-6.76640234375,-5.62819140625,-1.40076171875
-40.2646171875,-29.6770859375,-18.65548828125,-38.042875,-31.313078125,-22.3171328125,-14.17244140625,-2.30781640625,-28.05452734375,-22.36016015625,-12.2649609375,-12.3723515625,-12.5766640625,-18.01891796875,-13.328140625,-8.43937890625,5.57515234375,-10.519171875,-12.3617734375,-11.39759765625,0.979109375,-2.665125,-14.2956640625,-7.42338671875,-2.77001953125,8.96312890625,-7.59018359375,-7.15840234375,-5.64519140625,-1.52376171875
