"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
47.72492578125,30.12977734375,23.89184375,46.4141484375,38.96055859375,37.5583046875,32.75105859375,20.19578515625,44.93908203125,21.2844453125,24.9030546875,22.12164453125,59.473609375,25.62993359375,16.06390234375,27.7858671875,27.8432578125,18.79515234375,14.45830078125,17.4460859375,23.38455078125,0.92644921875,15.78628125,15.2808671875,8.5772890625,1.32812109375,-4.66991015625,-9.7722421875,-15.192390625,-16.0252421875
54.09392578125,35.14977734375,29.02384375,51.8461484375,45.10655859375,46.4523046875,38.70005859375,23.80078515625,47.72508203125,28.1234453125,31.9130546875,25.27664453125,59.158609375,27.04793359375,25.21390234375,32.6268671875,28.9642578125,15.09815234375,17.59630078125,22.3710859375,24.28455078125,-2.40255078125,14.24028125,17.9198671875,9.0522890625,0.73412109375,-4.54491015625,-10.8442421875,-16.228390625,-16.5302421875
59.74592578125,40.16277734375,34.14584375,55.3371484375,50.02255859375,54.0533046875,44.07405859375,27.47778515625,49.25208203125,33.7764453125,38.2150546875,28.03364453125,58.192609375,26.64593359375,32.47090234375,36.5878671875,29.2172578125,10.83615234375,18.50130078125,25.5150859375,24.41355078125,-5.95255078125,10.52528125,18.1468671875,8.2552890625,-0.66587890625,-6.53091015625,-13.1242421875,-18.264390625,-17.7752421875
64.44192578125,44.95677734375,39.10284375,56.9071484375,53.37355859375,60.0063046875,48.65305859375,31.20178515625,49.39408203125,37.8444453125,43.5190546875,30.37864453125,56.535609375,24.13093359375,37.33490234375,39.3548671875,28.5052578125,5.94715234375,16.73030078125,26.4610859375,23.53555078125,-9.52655078125,4.58728125,15.5828671875,6.0002890625,-3.12587890625,-10.74691015625,-16.5672421875,-21.355390625,-19.9432421875
67.91892578125,49.10877734375,43.54584375,57.0701484375,55.00955859375,64.1013046875,52.22705859375,34.81278515625,48.32408203125,40.1174453125,47.6090546875,32.40064453125,54.273609375,19.75493359375,39.68990234375,40.8048671875,27.0042578125,0.574152343750001,12.49430078125,25.2780859375,21.65555078125,-12.73955078125,-2.83571875,10.6338671875,2.5892890625,-6.58387890625,-16.48791015625,-20.5982421875,-25.093390625,-22.8542421875
69.83492578125,52.03577734375,46.96284375,56.3791484375,54.91855859375,66.2143046875,54.58405859375,37.99078515625,46.33608203125,40.5974453125,50.3470546875,34.19464453125,51.514609375,14.22693359375,39.76890234375,41.0378671875,25.0962578125,-4.95484765625,6.60430078125,22.5120859375,19.08255078125,-15.15555078125,-10.48571875,4.3748671875,-1.2197109375,-10.55887890625,-22.42591015625,-24.2852421875,-28.672390625,-25.8852421875
69.79192578125,53.14177734375,48.79784375,55.0071484375,53.15855859375,66.2693046875,55.52705859375,40.31578515625,43.64608203125,39.4414453125,51.6540546875,35.74964453125,48.311609375,8.49293359375,38.01190234375,40.3348671875,23.2222578125,-10.19284765625,0.23130078125,19.0060859375,16.35755078125,-16.46455078125,-17.02571875,-1.7961328125,-4.4457109375,-14.23287890625,-27.06991015625,-26.6752421875,-31.147390625,-28.1092421875
67.46492578125,51.99877734375,48.62984375,52.5931484375,49.79855859375,64.2523046875,54.92305859375,41.38778515625,40.27608203125,36.8654453125,51.4580546875,36.87864453125,44.662609375,3.42693359375,34.89190234375,39.0398671875,21.7232578125,-14.70884765625,-5.47969921875,15.6110859375,14.07055078125,-16.60755078125,-21.46671875,-6.6281328125,-6.2427109375,-16.70887890625,-29.28591015625,-27.1452421875,-31.791390625,-28.6502421875
62.74592578125,48.49277734375,46.30084375,48.4201484375,44.89155859375,60.2173046875,52.73605859375,40.94678515625,36.05808203125,33.0614453125,49.6660546875,37.25364453125,40.527609375,-0.42806640625,30.74490234375,37.4278671875,20.7212578125,-18.22284765625,-9.79369921875,12.8910859375,12.63155078125,-15.78755078125,-23.44271875,-9.4151328125,-6.2137109375,-17.33487890625,-28.68291015625,-25.6032421875,-30.384390625,-27.0622421875
55.84292578125,42.84777734375,41.93684375,41.7991484375,38.49255859375,54.2903046875,49.02205859375,38.92978515625,30.75008203125,28.1554453125,46.1780546875,36.50764453125,35.847609375,-2.98606640625,25.69790234375,35.6258671875,20.0932578125,-20.71984765625,-12.59769921875,10.9490859375,12.11455078125,-14.39255078125,-23.23671875,-10.1731328125,-4.5257109375,-15.91087890625,-25.67391015625,-22.4772421875,-27.267390625,-23.5202421875
