"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-4.616953125,-6.17670703125,-6.68525390625,-20.75590625,-8.013453125,-9.3834921875,3.49124609375,-21.53625390625,-22.39908203125,-9.630671875,-7.06882421875,-6.9775234375,-8.40542578125,-19.1326796875,-9.493078125,-7.63887109375,-6.39856640625,-13.06479296875,-10.16793359375,-6.76981640625,-4.38992578125,-7.7268125,-4.00769140625,-17.3046640625,-8.88197265625,-10.1689453125,-21.61152734375,-5.583453125,-0.24681640625,2.27320703125
-6.537953125,-4.46870703125,-7.35925390625,-19.91490625,-4.080453125,-12.3424921875,-1.75875390625,-30.57025390625,-16.23308203125,-8.185671875,-7.30982421875,-5.8415234375,-11.69342578125,-17.2836796875,-9.627078125,-10.50787109375,-5.93956640625,-12.68479296875,-9.51093359375,-7.58181640625,-6.45492578125,-4.6368125,-4.15569140625,-18.0306640625,-10.16897265625,-7.6159453125,-22.73852734375,-6.268453125,-1.07381640625,2.53720703125
-8.660953125,-4.87670703125,-8.03625390625,-20.22690625,-2.820453125,-15.0004921875,-6.86975390625,-36.41425390625,-14.28708203125,-8.337671875,-8.44482421875,-7.1075234375,-9.19742578125,-17.3916796875,-10.303078125,-13.36987109375,-6.27056640625,-12.59179296875,-9.95093359375,-8.86581640625,-8.25192578125,-2.9148125,-5.11169140625,-19.3436640625,-11.72597265625,-6.2769453125,-23.98952734375,-6.894453125,-1.82681640625,2.51120703125
-10.664953125,-6.77370703125,-8.26725390625,-21.46190625,-3.810453125,-17.0424921875,-11.01075390625,-39.01825390625,-15.77208203125,-9.730671875,-10.01082421875,-9.8105234375,-2.55942578125,-19.1216796875,-11.239078125,-15.79087109375,-7.56156640625,-12.63279296875,-11.29893359375,-10.32781640625,-9.54592578125,-2.4588125,-6.57069140625,-21.0206640625,-13.35797265625,-6.1999453125,-25.21352734375,-7.402453125,-2.43781640625,2.12320703125
-12.103953125,-8.78170703125,-7.63125390625,-22.98090625,-5.691453125,-18.0934921875,-13.08775390625,-39.07625390625,-18.49208203125,-11.409671875,-11.12482421875,-12.0205234375,4.60557421875,-21.4326796875,-11.900078125,-17.20987109375,-9.68956640625,-12.56879296875,-12.90693359375,-11.41381640625,-10.06792578125,-2.7548125,-7.86869140625,-22.5426640625,-14.69097265625,-7.0469453125,-26.09852734375,-7.655453125,-2.77981640625,1.44020703125
-12.653953125,-9.64770703125,-6.13425390625,-24.16190625,-7.023453125,-17.8994921875,-12.31175390625,-37.43825390625,-20.24108203125,-12.399671875,-11.00582421875,-12.0625234375,8.96557421875,-23.1946796875,-11.818078125,-17.29287109375,-12.24556640625,-12.25879296875,-14.00293359375,-11.62181640625,-9.68292578125,-3.1698125,-8.34869140625,-23.3596640625,-15.37097265625,-8.2719453125,-26.27952734375,-7.452453125,-2.68581640625,0.70220703125
-12.273953125,-8.86570703125,-4.25725390625,-24.72090625,-7.013453125,-16.5054921875,-8.76675390625,-34.79425390625,-19.93108203125,-12.205671875,-9.42782421875,-9.5375234375,9.11857421875,-23.7176796875,-10.859078125,-16.18987109375,-14.63256640625,-11.72879296875,-14.03193359375,-10.77581640625,-8.54692578125,-3.1738125,-7.68269140625,-23.1406640625,-15.25497265625,-9.3479453125,-25.48952734375,-6.624453125,-2.05081640625,0.23520703125
-11.218953125,-6.78370703125,-2.63025390625,-24.73590625,-5.718453125,-14.3244921875,-3.64775390625,-31.67525390625,-17.86508203125,-10.962671875,-6.85182421875,-5.5535234375,5.87757421875,-22.9076796875,-9.271078125,-14.50487109375,-16.19556640625,-11.08179296875,-12.85293359375,-9.11281640625,-7.09892578125,-2.4468125,-5.99969140625,-21.9066640625,-14.46797265625,-9.9289453125,-23.69752734375,-5.163453125,-0.94281640625,0.28820703125
-9.911953125,-4.25470703125,-1.62425390625,-24.39590625,-3.735453125,-12.0184921875,1.07024609375,-28.55225390625,-15.19408203125,-9.246671875,-4.18082421875,-2.0605234375,1.36957421875,-21.1006796875,-7.529078125,-12.97887109375,-16.35256640625,-10.38679296875,-10.72593359375,-7.14781640625,-5.84892578125,-0.9668125,-3.79269140625,-19.9976640625,-13.32097265625,-9.9269453125,-21.16552734375,-3.306453125,0.34618359375,0.88320703125
-8.769953125,-2.15170703125,-1.19725390625,-23.76290625,-1.765453125,-10.2814921875,3.43524609375,-25.87625390625,-13.11308203125,-7.747671875,-2.32182421875,-0.741523437500001,-2.29542578125,-18.8046796875,-6.097078125,-12.12087109375,-14.78456640625,-9.68379296875,-8.17493359375,-5.42581640625,-5.12592578125,0.9051875,-1.71869140625,-17.9356640625,-12.16697265625,-9.4599453125,-18.39252734375,-1.489453125,1.38818359375,1.77720703125
-8.102953125,-1.03470703125,-1.13025390625,-22.82390625,-0.365453124999999,-9.6634921875,2.40924609375,-24.10725390625,-12.35508203125,-7.029671875,-1.80982421875,-2.1665234375,-4.00842578125,-16.5656796875,-5.272078125,-12.02987109375,-11.65456640625,-9.10879296875,-5.84593359375,-4.32481640625,-4.97692578125,2.4511875,-0.40469140625,-16.2776640625,-11.30797265625,-8.7479453125,-15.98152734375,-0.194453125000001,1.79518359375,2.58020703125
-8.100953125,-1.09070703125,-1.44525390625,-21.75590625,0.071546875000001,-10.5014921875,-1.66775390625,-23.70025390625,-13.11808203125,-7.439671875,-2.66082421875,-5.6655234375,-3.87742578125,-14.9616796875,-5.177078125,-12.50287109375,-7.73956640625,-9.00279296875,-4.39193359375,-3.99381640625,-5.28492578125,2.8191875,-0.305691406250001,-15.4976640625,-10.98197265625,-8.0159453125,-14.48052734375,0.202546874999999,1.38018359375,2.93820703125
-8.818953125,-2.22170703125,-2.58925390625,-21.09590625,-0.687453124999999,-12.8534921875,-7.25575390625,-24.90125390625,-15.22308203125,-9.085671875,-4.47082421875,-9.8895234375,-2.75642578125,-14.5726796875,-5.838078125,-13.28487109375,-4.27556640625,-9.81079296875,-4.34093359375,-4.40081640625,-5.95292578125,1.4331875,-1.61369140625,-15.8956640625,-11.36497265625,-7.4469453125,-14.22552734375,-0.452453125000001,0.21018359375,2.69120703125
-10.093953125,-4.11170703125,-5.08525390625,-21.53290625,-2.602453125,-16.3844921875,-12.31275390625,-27.40425390625,-18.25308203125,-11.788671875,-6.62282421875,-13.5465234375,-1.60042578125,-15.7826796875,-7.209078125,-14.19187109375,-2.50456640625,-11.78579296875,-5.89093359375,-5.37781640625,-6.93992578125,-1.5978125,-4.15569140625,-17.4826640625,-12.49497265625,-7.1409453125,-15.20152734375,-2.037453125,-1.43081640625,1.93720703125
-11.462953125,-6.19770703125,-8.83425390625,-23.44990625,-5.236453125,-20.3184921875,-15.14075390625,-30.20225390625,-21.61308203125,-15.026671875,-8.47182421875,-15.8405234375,-1.09942578125,-18.5036796875,-9.113078125,-15.05387109375,-3.14756640625,-14.69179296875,-8.71093359375,-6.62381640625,-8.12292578125,-5.3698125,-7.35069140625,-19.8726640625,-14.15897265625,-7.0879453125,-16.97252734375,-4.134453125,-3.12281640625,0.99820703125
-12.260953125,-7.72270703125,-12.70125390625,-26.56190625,-7.792453125,-23.6254921875,-15.01475390625,-31.92325390625,-24.59008203125,-18.012671875,-9.51082421875,-16.5085234375,-1.66542578125,-22.0346796875,-11.211078125,-15.63787109375,-6.08456640625,-17.74979296875,-11.92393359375,-7.74181640625,-9.19992578125,-8.5008125,-10.30069140625,-22.2956640625,-15.87197265625,-7.1769453125,-18.76152734375,-6.096453125,-4.39481640625,0.30520703125
-11.932953125,-7.98370703125,-14.89625390625,-29.93590625,-9.405453125,-25.4144921875,-12.37175390625,-31.49825390625,-26.45808203125,-19.946671875,-9.51482421875,-15.6515234375,-3.46942578125,-25.2486796875,-13.070078125,-15.70387109375,-10.35856640625,-19.92579296875,-14.38693359375,-8.36381640625,-9.80292578125,-9.7248125,-12.06069140625,-23.8326640625,-17.05497265625,-7.2749453125,-19.71252734375,-7.230453125,-4.83881640625,0.22520703125
-10.408953125,-6.70670703125,-14.01225390625,-32.39090625,-9.534453125,-25.3054921875,-8.48575390625,-28.70625390625,-26.65808203125,-20.364671875,-8.63182421875,-13.6235234375,-6.33742578125,-27.0516796875,-14.340078125,-15.20187109375,-14.47656640625,-20.38879296875,-15.16593359375,-8.32481640625,-9.77592578125,-8.4618125,-12.00669140625,-23.7956640625,-17.32197265625,-7.2959453125,-19.24952734375,-7.066453125,-4.24481640625,0.91720703125
