"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-10.030296875,-10.669390625,-12.40683203125,-7.439,-14.9040859375,-22.77305078125,-13.45255078125,-9.54455859375,-9.007796875,-20.89021875,-16.7289453125,-8.7960703125,-8.17746484375,-11.905796875,-19.7793046875,-14.3611015625,-10.09328125,-6.73318359375,-17.100390625,-19.08023046875,-5.43183203125,-5.49145703125,-14.49953125,-18.069609375,-11.76723046875,-5.434125,-16.45296484375,-8.10108984375,-9.6889453125,-9.91054296875
-12.727296875,-13.606390625,-15.24383203125,-13.08,-20.2060859375,-27.69905078125,-19.47655078125,-12.31055859375,-13.368796875,-25.44921875,-20.5599453125,-10.9090703125,-7.35346484375,-16.308796875,-23.4853046875,-16.3511015625,-8.69228125,-8.52618359375,-20.236390625,-21.14523046875,-6.52183203125,-5.70045703125,-16.16753125,-20.680609375,-12.63723046875,-4.299125,-16.97596484375,-7.02708984375,-8.3179453125,-10.03454296875
-15.126296875,-16.009390625,-17.20883203125,-17.385,-24.5900859375,-31.79405078125,-24.11855078125,-13.97355859375,-16.333796875,-29.46421875,-24.0309453125,-12.7930703125,-6.00646484375,-20.000796875,-26.9013046875,-18.4671015625,-8.03828125,-10.23918359375,-23.056390625,-23.32323046875,-7.47383203125,-5.62245703125,-17.46753125,-22.699609375,-13.53723046875,-3.435125,-16.66596484375,-5.61008984375,-6.8619453125,-9.82054296875
-16.942296875,-17.623390625,-18.24483203125,-19.847,-27.5050859375,-34.73605078125,-27.04355078125,-14.54555859375,-17.616796875,-32.39521875,-26.8319453125,-14.2580703125,-4.37846484375,-22.537796875,-29.6083046875,-20.5351015625,-7.98728125,-11.55818359375,-25.102390625,-25.34423046875,-8.28383203125,-5.09145703125,-18.04053125,-23.773609375,-14.38723046875,-3.068125,-15.28296484375,-3.70408984375,-5.2309453125,-9.30054296875
-17.851296875,-18.267390625,-18.57883203125,-20.172,-28.5060859375,-36.28205078125,-28.15155078125,-14.34355859375,-17.268796875,-33.67921875,-28.6159453125,-15.1220703125,-3.05946484375,-23.533796875,-31.1263046875,-22.2521015625,-8.20428125,-12.12918359375,-25.894390625,-26.82323046875,-8.98683203125,-4.07945703125,-17.57253125,-23.621609375,-15.08023046875,-3.415125,-12.83996484375,-1.32008984375,-3.4319453125,-8.65354296875
-17.634296875,-17.914390625,-18.58683203125,-18.393,-27.4790859375,-36.31505078125,-27.56655078125,-13.78555859375,-15.643796875,-33.00521875,-29.1249453125,-15.3040703125,-2.75546484375,-22.831796875,-31.1483046875,-23.3131015625,-8.42328125,-11.77618359375,-25.181390625,-27.44223046875,-9.63383203125,-2.79545703125,-16.00653125,-22.175609375,-15.53923046875,-4.578125,-9.64196484375,1.25791015625,-1.6689453125,-8.14754296875
-16.334296875,-16.732390625,-18.56783203125,-14.996,-24.7450859375,-34.90805078125,-25.63355078125,-13.21055859375,-13.292796875,-30.48921875,-28.2929453125,-14.8750703125,-3.91246484375,-20.606796875,-29.6823046875,-23.5221015625,-8.53528125,-10.64618359375,-23.070390625,-27.07623046875,-10.24683203125,-1.63145703125,-13.61553125,-19.637609375,-15.73523046875,-6.449125,-6.19796484375,3.51591015625,-0.2819453125,-7.99954296875
-14.293296875,-15.046390625,-18.55683203125,-10.905,-21.0040859375,-32.35905078125,-22.85855078125,-12.76055859375,-10.812796875,-26.68821875,-26.2889453125,-14.0130703125,-6.36246484375,-17.359796875,-27.0423046875,-22.8481015625,-8.50228125,-9.19618359375,-19.989390625,-25.79123046875,-10.77383203125,-1.01245703125,-10.91653125,-16.410609375,-15.65323046875,-8.684125,-3.01996484375,4.90291015625,0.435054687500001,-8.24654296875
-12.051296875,-13.236390625,-18.30183203125,-7.25,-17.1290859375,-29.15105078125,-19.77255078125,-12.33855859375,-8.690796875,-22.42221875,-23.4749453125,-12.9030703125,-9.26446484375,-13.795796875,-23.7173046875,-21.4061015625,-8.25628125,-8.02918359375,-16.530390625,-23.77723046875,-11.08383203125,-1.24045703125,-8.46753125,-12.958609375,-15.25523046875,-10.773125,-0.432964843750001,5.07991015625,0.411054687500001,-8.69954296875
-10.168296875,-11.621390625,-17.44983203125,-5.002,-13.9370859375,-25.86305078125,-16.78755078125,-11.69755859375,-7.239796875,-18.54021875,-20.3119453125,-11.6690703125,-11.47046484375,-10.662796875,-20.2133046875,-19.4051015625,-7.68928125,-7.65318359375,-13.274390625,-21.27623046875,-11.02183203125,-2.40645703125,-6.66953125,-9.666609375,-14.47423046875,-12.218125,1.51603515625,4.08091015625,-0.149945312499999,-9.03154296875
