"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-8.19519140625,2.47305078125,-0.8773203125,-4.082796875,3.47170703125,3.42041796875,3.71312890625,-10.35693359375,8.09998828125,-0.69348046875,-5.2430546875,3.7979921875,-0.83759765625,-6.8023984375,9.76294140625,-21.48075,-7.9968203125,-8.25377734375,2.28844140625,5.69738671875,5.2002890625,-1.70528515625,0.13351953125,2.78781640625,0.6313125,-0.37491015625,-1.649828125,-2.3473203125,3.956140625,2.06585546875
-6.44719140625,5.15205078125,0.8606796875,-2.665796875,3.76270703125,4.08041796875,4.63012890625,-8.66593359375,3.01998828125,-0.64548046875,-4.6120546875,6.4249921875,0.47140234375,-7.0673984375,8.41794140625,-21.30875,-1.9468203125,-8.82977734375,1.48044140625,5.55938671875,6.2202890625,-4.46128515625,-1.26048046875,2.19881640625,1.1963125,-0.56791015625,-3.077828125,-6.1563203125,0.0561406250000008,-0.48914453125
-5.15319140625,7.02505078125,2.1806796875,-2.182796875,4.03170703125,4.15441796875,4.48212890625,-7.89893359375,-0.299011718749999,-0.55548046875,-4.2190546875,7.7429921875,2.40740234375,-6.8513984375,7.57594140625,-21.04075,1.4981796875,-8.97377734375,1.13044140625,5.53738671875,6.3582890625,-6.04828515625,-1.88248046875,1.80381640625,1.4073125,-1.20791015625,-3.880828125,-8.4393203125,-2.496859375,-2.03514453125
-4.34219140625,7.88505078125,2.8306796875,-2.538796875,4.19770703125,3.61441796875,3.25212890625,-8.19493359375,-1.78201171875,-0.46648046875,-4.1990546875,7.6369921875,4.85440234375,-6.2753984375,7.12394140625,-20.93875,2.1451796875,-8.64377734375,1.18544140625,5.51238671875,5.4642890625,-6.32628515625,-1.65148046875,1.56781640625,1.1003125,-2.34891015625,-4.059828125,-9.0503203125,-3.467859375,-2.58714453125
-3.91319140625,7.73705078125,2.6786796875,-3.302796875,4.19670703125,2.63241796875,1.35712890625,-9.38193359375,-1.73001171875,-0.42748046875,-4.5860546875,6.4229921875,7.41040234375,-5.5933984375,6.82694140625,-21.30175,0.6251796875,-7.89777734375,1.50444140625,5.35538671875,3.7012890625,-5.45828515625,-0.67948046875,1.42081640625,0.2483125,-3.85791015625,-3.775828125,-8.2263203125,-2.942859375,-2.39214453125
-3.67819140625,6.79205078125,1.8086796875,-3.939796875,4.05370703125,1.50041796875,-0.51787109375,-11.01393359375,-0.57701171875,-0.44948046875,-5.2510546875,4.7159921875,9.58740234375,-5.0193984375,6.51794140625,-22.25575,-1.9628203125,-6.83677734375,1.98644140625,5.03538671875,1.5232890625,-3.81428515625,0.80751953125,1.32381640625,-0.9706875,-5.41291015625,-3.219828125,-6.4103203125,-1.249859375,-1.70414453125
-3.45819140625,5.40605078125,0.5526796875,-4.059796875,3.86670703125,0.49941796875,-1.71987109375,-12.52193359375,1.18198828125,-0.51248046875,-5.9510546875,3.1989921875,11.03840234375,-4.6453984375,6.18394140625,-23.66575,-4.5098203125,-5.57077734375,2.59544140625,4.64438671875,-0.4697109375,-1.86528515625,2.53051953125,1.29481640625,-2.2256875,-6.58491015625,-2.523828125,-4.1053203125,1.134140625,-0.661144531250001
-3.16919140625,3.99705078125,-0.5833203125,-3.565796875,3.73770703125,-0.21458203125,-1.91787109375,-13.42793359375,3.00398828125,-0.62048046875,-6.4430546875,2.3849921875,11.65540234375,-4.4673984375,5.91994140625,-25.19575,-6.2668203125,-4.23577734375,3.29444140625,4.31838671875,-1.7577109375,-0.11028515625,4.18751953125,1.38081640625,-3.1796875,-7.01291015625,-1.771828125,-1.8293203125,3.640140625,0.66385546875
-2.87619140625,2.94005078125,-1.1033203125,-2.665796875,3.67470703125,-0.668582031250001,-1.23687109375,-13.54893359375,4.40998828125,-0.84048046875,-6.6120546875,2.4619921875,11.51140234375,-4.4623984375,5.79694140625,-26.46175,-6.9648203125,-3.01877734375,3.97244140625,4.12538671875,-2.0957109375,1.00771484375,5.48051953125,1.60781640625,-3.6666875,-6.57791015625,-1.070828125,-0.0933203125000004,5.665140625,2.14385546875
-2.76219140625,2.43905078125,-0.8003203125,-1.755796875,3.55370703125,-1.05258203125,-0.19287109375,-13.09793359375,5.11398828125,-1.30248046875,-6.5180546875,3.2349921875,10.72340234375,-4.6213984375,5.75694140625,-27.21375,-6.7248203125,-2.13077734375,4.44044140625,3.99938671875,-1.5937109375,1.20771484375,6.16451953125,1.93981640625,-3.7616875,-5.48991015625,-0.598828124999999,0.6806796875,6.680140625,3.52285546875
