"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-1.0013671875,-5.74415625,-4.9426484375,-17.9552734375,-11.933640625,-16.5919765625,-15.2273828125,0.39134765625,-20.78787109375,-17.83444140625,-13.9218046875,-4.51759375,-0.59569921875,-17.51692578125,-14.03071875,-15.54303125,-9.818859375,-21.415421875,-20.62450390625,-17.40003515625,-15.2485390625,-12.23860546875,-14.17404296875,-19.769765625,-13.152453125,-4.65958984375,-10.42421484375,8.72709375,-14.91833203125,-6.37953515625
-5.9833671875,-8.93315625,-7.5086484375,-8.9892734375,-7.302640625,-14.2589765625,-11.0473828125,2.01634765625,-16.97487109375,-15.91744140625,-11.1308046875,-4.12459375,-1.17269921875,-14.52892578125,-11.17871875,-14.22003125,-10.585859375,-17.627421875,-17.46350390625,-15.00403515625,-12.8335390625,-7.68360546875,-12.14104296875,-16.678765625,-10.513453125,-0.77258984375,-7.21421484375,13.90009375,-8.43433203125,2.40646484375
-10.5953671875,-11.95415625,-10.2256484375,-3.9602734375,-4.626640625,-12.9969765625,-9.1753828125,1.79034765625,-14.27687109375,-14.67244140625,-9.8958046875,-5.39959375,-1.76769921875,-12.33192578125,-9.66671875,-14.18903125,-11.516859375,-14.745421875,-15.56150390625,-14.19303515625,-12.1355390625,-3.95860546875,-10.52104296875,-15.114765625,-9.626453125,0.581410156250001,-5.89521484375,16.65809375,-5.86933203125,5.77346484375
-14.9643671875,-15.21715625,-13.4716484375,-3.3372734375,-4.478640625,-13.5299765625,-10.1753828125,-0.718652343750001,-13.36487109375,-14.89244140625,-10.9048046875,-8.70459375,-2.72169921875,-11.70592578125,-10.31871875,-16.05103125,-13.172859375,-13.552421875,-15.68250390625,-15.68903515625,-13.9025390625,-2.18460546875,-10.22304296875,-15.930765625,-11.335453125,-1.64658984375,-7.47021484375,15.76009375,-8.39933203125,2.42146484375
-19.1483671875,-19.01915625,-17.3946484375,-6.4412734375,-6.833640625,-16.2039765625,-13.8113828125,-5.20465234375,-14.60087109375,-17.11844140625,-14.2938046875,-13.68459375,-4.36569921875,-13.19292578125,-13.49471875,-19.85303125,-15.935859375,-14.598421875,-18.16250390625,-19.59203515625,-18.1785390625,-3.38760546875,-12.03404296875,-19.413765625,-15.755453125,-7.48758984375,-12.18421484375,10.80909375,-15.71433203125,-6.89253515625
-22.8303671875,-23.06315625,-21.5096484375,-11.7302734375,-10.898640625,-20.5249765625,-18.9443828125,-10.50965234375,-17.65087109375,-21.06544140625,-19.3178046875,-19.18159375,-6.69969921875,-16.56892578125,-18.59371875,-24.76003125,-19.504859375,-17.711421875,-22.46850390625,-25.01503515625,-23.9295390625,-7.73460546875,-15.93004296875,-24.819765625,-21.845453125,-15.49258984375,-19.00921484375,2.85609375,-25.72033203125,-19.23553515625
-25.2773671875,-26.37015625,-24.6846484375,-17.2772734375,-15.230640625,-25.1429765625,-23.8103828125,-14.91765234375,-21.41287109375,-25.50244140625,-24.4278046875,-23.56359375,-9.26769921875,-20.71492578125,-24.05371875,-29.21803125,-22.848859375,-21.854421875,-27.21050390625,-30.25703515625,-29.2965390625,-14.17460546875,-20.84904296875,-30.446765625,-27.644453125,-23.11358984375,-25.85921484375,-5.77290625,-35.22733203125,-30.56653515625
-25.6803671875,-27.71715625,-25.6306484375,-21.3352734375,-18.208640625,-28.3699765625,-26.6513828125,-16.83365234375,-24.41187109375,-28.75244140625,-27.8518046875,-25.37259375,-11.36969921875,-24.05892578125,-27.95071875,-31.59203125,-24.726859375,-25.508421875,-30.68650390625,-33.51703515625,-32.4155390625,-20.80860546875,-25.15604296875,-34.336765625,-31.150453125,-27.83458984375,-30.52521484375,-12.48790625,-41.35433203125,-37.50753515625
-23.6713671875,-26.31815625,-23.5966484375,-22.8872734375,-18.714640625,-28.9699765625,-26.4393828125,-15.51465234375,-25.49387109375,-29.50944140625,-28.3628046875,-23.97759375,-12.45869921875,-25.33592578125,-28.88471875,-30.92703125,-24.420859375,-27.376421875,-31.66850390625,-33.70803515625,-32.2975390625,-25.74660546875,-27.44804296875,-35.159765625,-31.272453125,-28.31658984375,-31.71221484375,-15.61090625,-42.75233203125,-38.70353515625
-19.6573671875,-22.33315625,-18.8616484375,-21.9292734375,-16.630640625,-26.7349765625,-23.3023828125,-11.44165234375,-24.38287109375,-27.47144140625,-25.8178046875,-19.85959375,-12.44369921875,-24.18892578125,-26.61471875,-27.37003125,-22.182859375,-26.961421875,-29.93850390625,-30.91403515625,-29.2415390625,-27.88060546875,-27.18604296875,-32.784765625,-28.278453125,-24.89558984375,-29.52921484375,-14.98590625,-39.95233203125,-35.03753515625
