"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
18.98204296875,-21.41662890625,-35.2848046875,24.8007734375,-7.988640625,-54.62491015625,-11.50407421875,4.511328125,13.57412890625,-35.5573359375,-35.9431171875,2.6178359375,40.69700390625,-24.60459765625,-44.020421875,-13.8960625,18.10509375,-29.2103984375,-34.125140625,-30.53105078125,-22.3864921875,-6.0852109375,-19.85718359375,-17.59675390625,-22.0301484375,-3.97177734375,-12.7772421875,-11.26235546875,-2.45175,-0.0928203125000007
19.25304296875,-19.79462890625,-33.6638046875,21.8537734375,-6.071640625,-50.40991015625,-10.44307421875,5.361328125,17.27412890625,-34.1913359375,-36.1351171875,2.8928359375,40.80500390625,-25.69359765625,-44.550421875,-15.3620625,16.32309375,-30.5373984375,-35.336140625,-32.33405078125,-24.6824921875,-8.5492109375,-21.24618359375,-20.39275390625,-23.5401484375,-3.70677734375,-14.2872421875,-13.19335546875,-4.19275,-2.0448203125
20.39604296875,-17.54562890625,-31.5208046875,20.3037734375,-3.934640625,-46.39891015625,-9.21207421875,5.897328125,20.41512890625,-32.3013359375,-35.2081171875,2.9458359375,40.95900390625,-26.19959765625,-43.803421875,-16.8860625,16.81109375,-31.3593984375,-35.561140625,-33.44905078125,-27.0144921875,-10.9462109375,-22.48718359375,-22.21875390625,-25.2891484375,-3.88977734375,-15.9562421875,-15.08735546875,-6.01275,-4.4468203125
22.61604296875,-14.51862890625,-28.7068046875,20.9597734375,-1.233640625,-42.28491015625,-7.49307421875,6.312328125,23.33712890625,-29.5373359375,-32.8061171875,2.9898359375,41.32900390625,-25.82959765625,-41.386421875,-18.2270625,19.36309375,-31.4083984375,-34.446140625,-33.57005078125,-29.2774921875,-13.1462109375,-23.23218359375,-22.85475390625,-27.2211484375,-4.79177734375,-17.8062421875,-16.87035546875,-7.87775,-7.2708203125
25.84904296875,-10.77062890625,-25.2368046875,24.2177734375,2.283359375,-37.74191015625,-5.03707421875,6.935328125,26.50912890625,-25.6923359375,-28.9231171875,3.3228359375,42.10400390625,-24.43359765625,-37.333421875,-19.1140625,22.91709375,-30.5523984375,-31.968140625,-32.63705078125,-31.3094921875,-14.9812109375,-23.10118359375,-22.41275390625,-29.2091484375,-6.60677734375,-19.8832421875,-18.49235546875,-9.76975,-10.3728203125
29.74004296875,-6.60862890625,-21.3348046875,29.6337734375,6.516359375,-32.73591015625,-1.92007421875,8.011328125,30.10712890625,-20.9153359375,-24.0271171875,4.0998359375,43.33600390625,-22.14459765625,-32.237421875,-19.4680625,26.04609375,-28.9163984375,-28.577140625,-30.96905078125,-32.9554921875,-16.3082109375,-21.92018359375,-21.36275390625,-31.1571484375,-9.33077734375,-22.2822421875,-19.98235546875,-11.72875,-13.5848203125
33.69304296875,-2.55462890625,-17.4228046875,35.8787734375,10.933359375,-27.65791015625,1.34492578125,9.547328125,33.77512890625,-15.7983359375,-19.0261171875,5.1848359375,44.85800390625,-19.40159765625,-27.145421875,-19.5140625,27.57709375,-26.8893984375,-25.115140625,-29.19605078125,-34.1054921875,-17.0642109375,-19.86418359375,-20.39475390625,-33.0341484375,-12.66377734375,-25.0642421875,-21.42235546875,-13.80075,-16.7418203125
36.98504296875,0.756371093749999,-14.0568046875,41.1737734375,14.685359375,-23.24191015625,3.94592578125,11.260328125,36.69912890625,-11.2633359375,-15.0531171875,6.1888359375,46.31400390625,-16.81459765625,-23.218421875,-19.6930625,27.07609375,-24.9833984375,-22.527140625,-27.97605078125,-34.6804921875,-17.2832109375,-17.41118359375,-20.13275390625,-34.7941484375,-16.03677734375,-28.1142421875,-22.86035546875,-15.93575,-19.6258203125
38.89404296875,2.72137109375,-11.8188046875,43.9757734375,16.858359375,-20.34591015625,5.06992578125,12.667328125,37.94712890625,-8.3033359375,-13.1211171875,6.6398359375,47.30700390625,-14.95459765625,-21.322421875,-20.4210625,24.97909375,-23.6443984375,-21.506140625,-27.68705078125,-34.5974921875,-17.0842109375,-15.15218359375,-20.85275390625,-36.2621484375,-18.76977734375,-31.0602421875,-24.24335546875,-17.92975,-21.9158203125
38.83504296875,2.91337109375,-11.1758046875,43.5197734375,16.733359375,-19.70591015625,4.21992578125,13.236328125,36.87212890625,-7.6663359375,-13.7801171875,6.1858359375,47.57500390625,-14.18259765625,-21.756421875,-21.8450625,22.34409375,-23.1133984375,-22.258140625,-28.28305078125,-33.7754921875,-16.6372109375,-13.57418359375,-22.35575390625,-37.1001484375,-20.29477734375,-33.3372421875,-25.42835546875,-19.46475,-23.2238203125
36.50304296875,1.19137109375,-12.3218046875,39.9847734375,14.007359375,-21.67991015625,1.41592578125,12.587328125,33.37612890625,-9.5903359375,-16.9241171875,4.7188359375,47.11300390625,-14.57659765625,-24.214421875,-23.7250625,20.31809375,-23.3933984375,-24.471140625,-29.36305078125,-32.1954921875,-16.1312109375,-12.92318359375,-24.07875390625,-36.9191484375,-20.34877734375,-34.3912421875,-26.25535546875,-20.23875,-23.2288203125
