"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.3974765625,3.72216015625,1.8750703125,5.08286328125,8.48362109375,2.48205859375,2.6481171875,-3.5254375,9.539,3.275734375,-4.46528125,-5.87313671875,-18.0844765625,4.32483203125,-9.63192578125,-16.63043359375,-5.27152734375,5.34878125,-4.5253359375,-9.88371875,-14.148421875,-9.832484375,-4.62984765625,-10.83772265625,-13.75798828125,-19.16890234375,-4.481890625,-11.06202734375,-8.59716015625,-17.775140625
-1.3155234375,-5.67383984375,-9.2889296875,4.74186328125,-0.42937890625,-3.95494140625,-3.6628828125,-0.8144375,7.462,-3.743265625,-7.88228125,-8.77913671875,-12.9224765625,-0.0451679687499995,-14.75192578125,-18.39743359375,-7.29752734375,4.26378125,-8.2083359375,-12.49171875,-14.416421875,-9.278484375,-7.00984765625,-10.83472265625,-14.18998828125,-19.53190234375,-3.746890625,-10.60202734375,-7.16116015625,-16.797140625
-3.8915234375,-11.84283984375,-16.1459296875,4.68586328125,-7.28637890625,-8.94894140625,-8.6028828125,0.3925625,4.106,-9.122265625,-11.05228125,-10.93313671875,-7.9684765625,-3.81516796875,-18.60392578125,-19.72843359375,-8.61552734375,3.16378125,-11.1533359375,-13.75571875,-13.736421875,-8.972484375,-8.72684765625,-10.81572265625,-13.71098828125,-18.14590234375,-4.174890625,-10.56102734375,-6.23716015625,-15.572140625
-6.0225234375,-14.27683984375,-18.1739296875,5.04186328125,-11.16037890625,-11.88494140625,-11.8058828125,0.1335625,0.141000000000001,-12.314265625,-13.45028125,-12.27913671875,-3.4404765625,-6.60116796875,-20.62892578125,-20.43143359375,-9.54752734375,2.15178125,-13.0803359375,-13.59471875,-12.302421875,-8.899484375,-9.72084765625,-10.87972265625,-12.55198828125,-15.51790234375,-6.044890625,-11.05802734375,-6.09716015625,-14.514140625
-7.2595234375,-13.30683984375,-16.0549296875,5.76786328125,-11.62737890625,-12.42894140625,-13.1388828125,-1.0984375,-3.182,-13.099265625,-14.46728125,-12.94113671875,0.5025234375,-8.05716796875,-20.49992578125,-20.31143359375,-10.49752734375,1.37378125,-13.7973359375,-12.28171875,-10.600421875,-8.951484375,-10.05584765625,-11.07572265625,-11.22098828125,-12.76090234375,-9.163890625,-11.98802734375,-6.76716015625,-14.113140625
-7.2465234375,-9.95483984375,-11.3679296875,6.49386328125,-9.10637890625,-10.74094140625,-12.6898828125,-2.6674375,-4.791,-11.669265625,-13.73728125,-13.07613671875,3.8125234375,-8.04316796875,-18.28592578125,-19.19143359375,-11.53152734375,0.92578125,-13.2393359375,-10.23171875,-9.050421875,-9.016484375,-9.82184765625,-11.26972265625,-10.12698828125,-10.89090234375,-12.801890625,-13.00502734375,-7.88616015625,-14.549140625
-6.0155234375,-5.71283984375,-6.1429296875,6.56786328125,-4.88037890625,-7.55194140625,-10.7788828125,-4.0334375,-4.429,-8.680265625,-11.36928125,-12.73813671875,6.4485234375,-6.75616796875,-14.51892578125,-16.95943359375,-12.24352734375,0.77978125,-11.5093359375,-7.79571875,-7.730421875,-9.056484375,-9.08384765625,-11.14772265625,-9.29598828125,-10.21890234375,-15.872890625,-13.64202734375,-8.81416015625,-15.494140625
-4.1035234375,-2.18383984375,-2.3079296875,5.37386328125,-0.71937890625,-4.01094140625,-7.9458828125,-4.8234375,-2.799,-5.140265625,-7.94928125,-11.86813671875,8.2385234375,-4.74516796875,-10.08892578125,-13.66343359375,-11.99052734375,0.78678125,-8.9133359375,-5.18771875,-6.326421875,-9.088484375,-7.90084765625,-10.36072265625,-8.36098828125,-10.20690234375,-17.336890625,-13.51002734375,-8.93416015625,-16.204140625
-2.3405234375,-0.58783984375,-1.0889296875,2.75486328125,1.74062109375,-1.29494140625,-4.8718828125,-4.8294375,-1.181,-2.155265625,-4.33428125,-10.40613671875,8.8585234375,-2.78116796875,-6.03692578125,-9.59943359375,-10.30252734375,0.76978125,-5.9853359375,-2.58171875,-4.376421875,-9.105484375,-6.39884765625,-8.79072265625,-6.85598828125,-9.81590234375,-16.639890625,-12.45602734375,-7.94816015625,-15.895140625
-1.4525234375,-1.32083984375,-2.5919296875,-0.75613671875,1.56362109375,-0.211941406249999,-2.2158828125,-4.0404375,-0.778999999999999,-0.617265625,-1.39328125,-8.45013671875,7.9765234375,-1.62216796875,-3.35192578125,-5.36343359375,-7.17652734375,0.60778125,-3.4573359375,-0.291718749999999,-1.643421875,-9.016484375,-4.83384765625,-6.76572265625,-4.61398828125,-8.14390234375,-14.001890625,-10.60902734375,-6.01316015625,-14.188140625
-1.7405234375,-3.86583984375,-5.8589296875,-4.10613671875,-1.20537890625,-0.95394140625,-0.4908828125,-2.6644375,-2.144,-0.973265625,0.19671875,-6.33013671875,5.4395234375,-1.80316796875,-2.79392578125,-1.78543359375,-3.13952734375,0.26378125,-2.1553359375,1.12628125,1.604578125,-8.696484375,-3.60884765625,-5.07072265625,-2.01198828125,-4.99590234375,-10.377890625,-8.32702734375,-3.64916015625,-11.353140625
-3.0315234375,-7.15083984375,-9.4129296875,-6.21713671875,-5.62937890625,-3.12594140625,0.00111718749999978,-1.0574375,-4.932,-3.139265625,0.0997187500000001,-4.52713671875,1.3595234375,-3.46016796875,-4.73492578125,0.290566406249999,0.91347265625,-0.24621875,-2.7643359375,0.990281250000001,4.618578125,-8.101484375,-3.17284765625,-4.66472265625,0.12501171875,-1.06490234375,-7.080890625,-6.07402734375,-1.49416015625,-8.197140625
-4.8535234375,-10.07783984375,-11.9519296875,-6.52613671875,-10.25437890625,-5.95194140625,-0.7858828125,0.4245625,-8.125,-6.544265625,-1.59528125,-3.43413671875,-3.8794765625,-6.26716796875,-8.99592578125,0.35056640625,4.00647265625,-0.88921875,-5.5213359375,-1.15671875,6.512578125,-7.348484375,-3.82984765625,-6.20072265625,0.94301171875,2.38709765625,-5.203890625,-4.28602734375,-0.0451601562500006,-5.668140625
-6.6675234375,-11.90383984375,-12.8119296875,-5.23213671875,-13.63037890625,-8.54994140625,-2.5688828125,1.5565625,-10.56,-10.262265625,-4.34428125,-3.11913671875,-9.5784765625,-9.49616796875,-14.74792578125,-1.51243359375,5.39347265625,-1.60121875,-10.0013359375,-5.17271875,6.723578125,-6.671484375,-5.54584765625,-9.62072265625,0.0450117187500005,4.17409765625,-5.118890625,-3.26602734375,0.50083984375,-4.416140625
-8.0345234375,-12.37983984375,-12.0479296875,-3.13913671875,-14.78637890625,-10.16994140625,-4.7358828125,2.2995625,-11.488,-13.255265625,-7.25228125,-3.26413671875,-14.6874765625,-12.23816796875,-20.61692578125,-4.56643359375,4.80947265625,-2.25721875,-15.1363359375,-10.18171875,5.309578125,-6.289484375,-7.88184765625,-14.06272265625,-2.25498828125,3.77609765625,-6.341890625,-3.13102734375,0.246839843749999,-4.551140625
