"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
16.868421875,13.7427109375,30.28495703125,-11.76659375,-22.86831640625,-9.0306171875,-10.445625,9.15645703125,-9.11228125,-11.36180078125,1.6036640625,0.31253515625,-3.591984375,-3.52372265625,-4.21341015625,4.2893125,4.3492265625,-0.597535156250001,3.54890625,4.2493828125,13.7291875,3.684625,2.21173828125,8.46369921875,8.92345703125,12.82244921875,10.32077734375,10.8982890625,-9.69336328125,7.34190625
12.567421875,9.2937109375,22.49195703125,-9.06359375,-21.35331640625,-8.2076171875,-2.579625,9.18345703125,-9.14828125,-11.26180078125,1.5646640625,1.85253515625,-4.016984375,-3.94972265625,-4.73541015625,5.8293125,3.6372265625,-0.17253515625,3.62890625,4.4833828125,13.9481875,4.517625,3.76473828125,7.80269921875,8.33045703125,11.68944921875,10.45277734375,12.1982890625,-8.21136328125,8.14490625
7.199421875,5.3517109375,16.30495703125,-9.59859375,-20.43431640625,-8.1016171875,1.281375,9.04045703125,-10.07528125,-11.40580078125,0.985664062499999,1.93653515625,-4.309984375,-4.15172265625,-5.34041015625,5.8843125,2.6992265625,-0.10353515625,3.63390625,3.9503828125,13.4431875,4.615625,4.51773828125,7.02869921875,7.17645703125,9.91144921875,9.86077734375,12.6042890625,-8.02636328125,7.65190625
1.959421875,2.2137109375,11.73695703125,-13.07959375,-20.08331640625,-8.6466171875,1.641375,8.46145703125,-11.76628125,-11.86880078125,-0.1093359375,0.66953515625,-4.755984375,-4.36672265625,-6.08941015625,4.4133125,1.6912265625,-0.55553515625,3.29990625,2.4783828125,12.1411875,3.965625,4.21673828125,5.94869921875,5.26545703125,7.43744921875,8.41577734375,12.1082890625,-9.04836328125,5.87190625
-1.349578125,0.1547109375,8.39295703125,-18.03059375,-20.12131640625,-9.5336171875,0.215374999999999,7.20845703125,-13.78628125,-12.64880078125,-1.4753359375,-1.37446484375,-5.688984375,-4.98572265625,-7.03141015625,1.8193125,0.8492265625,-1.66853515625,2.30590625,0.1103828125,10.1581875,2.692625,2.74473828125,4.33869921875,2.54545703125,4.42844921875,6.15377734375,10.9012890625,-10.82936328125,3.17190625
-1.432578125,-0.735289062500001,5.69795703125,-22.49759375,-20.31731640625,-10.3796171875,-1.210625,5.24545703125,-15.62728125,-13.64880078125,-2.7473359375,-3.47646484375,-7.274984375,-6.35972265625,-8.17241015625,-1.2746875,0.3292265625,-3.51953515625,0.43390625,-2.9066171875,7.7111875,0.896625,0.13273828125,2.04769921875,-0.85354296875,1.18744921875,3.22277734375,9.2012890625,-12.89736328125,0.0489062499999999
1.582421875,-0.7572890625,3.04795703125,-24.82659375,-20.43831640625,-10.8926171875,-1.673625,2.83445703125,-16.91728125,-14.69180078125,-3.6223359375,-5.11446484375,-9.392984375,-8.62272265625,-9.46541015625,-4.2446875,0.0622265625000002,-6.07053515625,-2.32609375,-6.1876171875,5.0371875,-1.401375,-3.42926171875,-0.92430078125,-4.64354296875,-1.94955078125,-0.14422265625,7.1402890625,-14.97736328125,-3.06709375
5.970421875,-0.6312890625,-0.0110429687500009,-24.27159375,-20.29631640625,-10.9776171875,-1.299625,0.48045703125,-17.54128125,-15.56980078125,-4.0093359375,-6.14246484375,-11.669984375,-11.58872265625,-10.81341015625,-6.6126875,-0.2327734375,-9.11553515625,-5.72709375,-9.2976171875,2.3471875,-4.166375,-7.56126171875,-4.35730078125,-8.41654296875,-4.72055078125,-3.62722265625,4.8042890625,-17.01236328125,-5.90609375
9.158421875,-1.1932890625,-3.55504296875,-21.22659375,-19.81231640625,-10.7426171875,-0.927625,-1.25354296875,-17.59428125,-16.09880078125,-4.0413359375,-6.77246484375,-13.609984375,-14.74672265625,-12.06241015625,-8.1266875,-0.8887734375,-12.23753515625,-9.27409375,-11.8276171875,-0.1888125,-7.197375,-11.68326171875,-7.79830078125,-11.70854296875,-7.00055078125,-6.81222265625,2.3452890625,-19.01936328125,-8.37609375
9.066421875,-2.8762890625,-7.11504296875,-16.89459375,-19.00831640625,-10.3856171875,-1.407625,-1.97154296875,-17.20528125,-16.14380078125,-3.9683359375,-7.37046484375,-14.748984375,-17.36272265625,-13.01241015625,-8.7516875,-2.0637734375,-14.81753515625,-12.28609375,-13.4316171875,-2.4078125,-10.035375,-15.06826171875,-10.61730078125,-14.07354296875,-8.82155078125,-9.22122265625,0.0662890624999992,-20.95236328125,-10.51909375
