"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-10.33505078125,-8.177984375,-0.0380234374999997,-15.45328515625,-10.90515234375,-16.72269140625,-13.5444375,-3.7781328125,-9.70352734375,-13.3489296875,-15.9967578125,4.5725390625,4.72524609375,-10.86086328125,-8.1526015625,-7.8503671875,-2.165359375,-1.96448828125,-7.5995078125,-5.45291015625,4.338,-1.989,-0.83226171875,-1.9628046875,-10.0997109375,10.49189453125,0.141390625,-4.661125,-8.36491796875,-4.10266796875
-6.07005078125,-7.125984375,0.0739765624999995,-12.90028515625,-8.19415234375,-13.36869140625,-8.9694375,0.2448671875,-6.70752734375,-10.8569296875,-13.0817578125,5.7445390625,2.46224609375,-8.91686328125,-6.1006015625,-6.1183671875,0.575640625000001,-0.90248828125,-6.9245078125,-4.81491015625,5.929,-0.478,-0.41226171875,-2.2818046875,-9.1147109375,12.51989453125,-0.693609375,-4.092125,-8.86191796875,-4.99666796875
-3.14405078125,-6.282984375,0.7779765625,-11.64728515625,-6.38115234375,-10.85169140625,-5.0864375,2.7998671875,-4.50052734375,-9.0309296875,-10.7167578125,6.2515390625,0.60224609375,-7.80986328125,-4.9066015625,-4.7093671875,2.428640625,-0.77148828125,-6.8695078125,-4.73791015625,6.872,-0.682,-0.91126171875,-3.1188046875,-8.5317109375,13.25389453125,-2.062609375,-4.426125,-9.75891796875,-6.37566796875
-1.62705078125,-5.564984375,2.1029765625,-11.68728515625,-5.48015234375,-9.14169140625,-1.8744375,3.7538671875,-3.16852734375,-7.8289296875,-8.8747578125,6.4165390625,-0.53175390625,-7.48686328125,-4.4466015625,-3.5083671875,3.465640625,-1.35648828125,-7.1685078125,-5.00691015625,7.271,-2.207,-2.01926171875,-4.1928046875,-8.1207109375,12.88089453125,-3.616609375,-5.278125,-10.77791796875,-7.90166796875
-1.21405078125,-4.816984375,3.8799765625,-12.53928515625,-5.22015234375,-7.93769140625,0.8565625,3.3638671875,-2.58352734375,-6.9869296875,-7.3607578125,6.8495390625,-0.76375390625,-7.61086328125,-4.2926015625,-2.2713671875,4.023640625,-2.11848828125,-7.2855078125,-5.14091015625,7.493,-4.066,-3.05026171875,-4.9418046875,-7.4467109375,12.09389453125,-4.711609375,-5.883125,-11.42691796875,-8.93266796875
-1.41905078125,-3.893984375,5.7979765625,-13.49928515625,-5.16715234375,-6.84169140625,3.2675625,2.1268671875,-2.47452734375,-6.1579296875,-5.9197578125,8.1005390625,-0.18075390625,-7.72486328125,-3.9326015625,-0.7593671875,4.495640625,-2.50448828125,-6.7095078125,-4.62191015625,7.991,-5.25,-3.31426171875,-4.7828046875,-6.0847109375,11.75289453125,-4.733609375,-5.509125,-11.21991796875,-8.80366796875
-1.75905078125,-2.729984375,7.4669765625,-13.99928515625,-4.90115234375,-5.53969140625,5.3325625,0.6468671875,-2.54852734375,-5.0739296875,-4.3477578125,10.3555390625,0.92324609375,-7.46386328125,-3.0106015625,1.1286328125,5.145640625,-2.21648828125,-5.2265078125,-3.14691015625,9.076,-5.219,-2.46726171875,-3.3898046875,-3.8727109375,12.45289453125,-3.403609375,-3.822125,-9.90891796875,-7.16966796875
-1.86905078125,-1.376984375,8.5159765625,-13.85028515625,-4.18415234375,-3.91969140625,6.8495625,-0.4311328125,-2.61452734375,-3.6719296875,-2.5667578125,13.3105390625,2.20624609375,-6.72186328125,-1.4806015625,3.2806328125,6.023640625,-1.33548828125,-3.0395078125,-0.80991015625,10.72,-4.091,-0.68326171875,-0.9088046875,-1.0627109375,14.20889453125,-0.957609375,-1.072125,-7.65591796875,-4.27866796875
-1.58405078125,-0.00898437499999938,8.7309765625,-13.24528515625,-3.04315234375,-2.09669140625,7.5945625,-0.5241328125,-2.64652734375,-2.1069296875,-0.6317578125,16.2905390625,3.37024609375,-5.70786328125,0.3933984375,5.3966328125,6.992640625,-0.27448828125,-0.6915078125,1.88908984375,12.518,-2.524,1.40173828125,2.0331953125,1.6942890625,16.41089453125,1.899390625,1.953875,-5.07291796875,-1.00166796875
-1.02405078125,1.105015625,8.1599765625,-12.57228515625,-1.74915234375,-0.37069140625,7.4705625,0.6808671875,-2.73552734375,-0.6599296875,1.2882421875,18.5175390625,4.11724609375,-4.86186328125,2.1693984375,7.0786328125,7.823640625,0.40551171875,1.1474921875,4.22108984375,13.845,-1.4,2.95673828125,4.5211953125,3.5712890625,18.08989453125,4.224390625,4.189875,-3.05891796875,1.43033203125
-0.59705078125,1.672015625,7.1299765625,-12.18928515625,-0.67615234375,0.87530859375,6.5585625,3.0278671875,-2.98352734375,0.3960703125,2.9532421875,19.4015390625,4.10024609375,-4.65586328125,3.4083984375,7.9666328125,8.310640625,0.24451171875,1.9344921875,5.50008984375,14.122,-1.438,3.30173828125,5.7061953125,3.8812890625,18.35489453125,5.183390625,4.717875,-2.45291796875,1.90133203125
