"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
11.9118046875,1.90846484375,2.389671875,3.722109375,-2.33721484375,-0.495871093749999,-4.35788671875,5.12140234375,-9.881765625,-2.97117578125,-6.89187109375,3.04832421875,2.9943203125,1.30446875,2.91496484375,1.329578125,-1.819390625,-10.25611328125,13.98938671875,6.23349609375,-4.121640625,0.180957031250001,-0.64429296875,1.310515625,-0.79463671875,-7.094515625,0.3423828125,3.31586328125,0.2698828125,-0.8465546875
14.5458046875,1.49446484375,-1.382328125,3.992109375,-2.58721484375,-2.90487109375,-5.39388671875,1.94740234375,-2.225765625,-2.62317578125,-7.02487109375,3.28632421875,0.1963203125,2.50346875,2.17696484375,0.573578125,-3.193390625,-11.06411328125,14.22838671875,6.33149609375,-2.677640625,-0.694042968749999,-0.79629296875,1.336515625,-0.35463671875,-6.796515625,0.7993828125,5.27986328125,1.7228828125,-0.1435546875
15.6868046875,1.00546484375,-3.864328125,3.379109375,-3.37521484375,-4.64987109375,-6.29788671875,0.32940234375,2.112234375,-2.96817578125,-7.27187109375,2.84032421875,-1.7946796875,2.41546875,1.25896484375,-0.562421875,-4.217390625,-12.05711328125,13.79138671875,6.28149609375,-2.154640625,-1.74004296875,-1.34729296875,0.955515625,-0.51863671875,-6.337515625,0.7473828125,6.38586328125,2.4498828125,0.3414453125
15.0918046875,0.40146484375,-5.004328125,1.833109375,-4.50921484375,-5.72587109375,-7.06588671875,0.21840234375,3.163234375,-3.87117578125,-7.60987109375,1.74632421875,-2.9876796875,1.01346875,0.17996484375,-2.108421875,-4.590390625,-13.26211328125,12.62838671875,6.04349609375,-2.528640625,-2.95604296875,-2.29729296875,0.179515625,-1.24463671875,-5.634515625,0.2563828125,6.53986328125,2.4638828125,0.6484453125
12.9368046875,-0.34353515625,-5.090328125,-0.368890625,-5.68621484375,-6.31687109375,-7.71488671875,1.13140234375,1.813234375,-5.02017578125,-7.98487109375,0.30432421875,-3.4896796875,-1.38653125,-0.99903515625,-3.933421875,-4.107390625,-14.65411328125,10.85938671875,5.59949609375,-3.444640625,-4.24404296875,-3.55129296875,-0.873484375,-2.30363671875,-4.669515625,-0.4396171875,5.90686328125,2.0018828125,0.8924453125
9.7388046875,-1.19853515625,-4.559328125,-2.703890625,-6.72421484375,-6.66887109375,-8.20688671875,2.43740234375,-0.839765624999999,-6.15617578125,-8.32687109375,-1.02367578125,-3.4116796875,-4.32653125,-2.22603515625,-5.741421875,-2.839390625,-16.15511328125,8.70738671875,4.96149609375,-4.397640625,-5.43504296875,-4.99329296875,-2.073484375,-3.41763671875,-3.538515625,-1.1086171875,4.82986328125,1.3718828125,1.1844453125
6.2198046875,-2.05753515625,-3.839328125,-4.602890625,-7.59821484375,-6.96287109375,-8.37288671875,3.54840234375,-3.980765625,-7.17917578125,-8.54587109375,-1.77967578125,-2.8976796875,-7.35453125,-3.46003515625,-7.146421875,-1.192390625,-17.62511328125,6.44338671875,4.19749609375,-4.958640625,-6.35704296875,-6.50729296875,-3.313484375,-4.38263671875,-2.447515625,-1.6466171875,3.68686328125,0.8078828125,1.5654453125
3.1648046875,-2.76753515625,-3.285328125,-5.656890625,-8.33321484375,-7.25087109375,-7.96488671875,4.04940234375,-7.217765625,-8.08517578125,-8.52987109375,-1.69667578125,-2.1596796875,-10.03653125,-4.63403515625,-7.803421875,0.242609375,-18.83911328125,4.40438671875,3.44749609375,-4.954640625,-6.90304296875,-7.93329296875,-4.479484375,-5.11063671875,-1.636515625,-2.0896171875,2.77186328125,0.4058828125,1.9934453125
1.2708046875,-3.19653515625,-3.126328125,-5.749890625,-8.87521484375,-7.45387109375,-6.81788671875,3.80340234375,-10.410765625,-8.83217578125,-8.18087109375,-0.80567578125,-1.4006796875,-11.95053125,-5.61903515625,-7.554421875,0.959609375,-19.50711328125,2.98238671875,2.91349609375,-4.493640625,-7.04404296875,-9.02729296875,-5.401484375,-5.58763671875,-1.271515625,-2.5146171875,2.22686328125,0.1498828125,2.3824453125
0.9848046875,-3.28453515625,-3.379328125,-5.083890625,-9.08621484375,-7.41887109375,-5.03388671875,3.00340234375,-13.411765625,-9.26917578125,-7.47287109375,0.57932421875,-0.7046796875,-12.72253125,-6.20803515625,-6.482421875,0.753609375,-19.34511328125,2.56438671875,2.81049609375,-3.865640625,-6.80804296875,-9.47529296875,-5.824484375,-5.80063671875,-1.376515625,-2.9026171875,2.06586328125,-0.00911718749999996,2.6714453125
2.3518046875,-3.02553515625,-3.763328125,-4.101890625,-8.83521484375,-7.01287109375,-3.02288671875,2.08940234375,-15.873765625,-9.18017578125,-6.47487109375,2.01032421875,-0.0666796875000002,-12.14853125,-6.17203515625,-4.866421875,-0.246390625,-18.20511328125,3.39338671875,3.31149609375,-3.349640625,-6.25504296875,-9.00129296875,-5.462484375,-5.68963671875,-1.825515625,-3.0856171875,2.23186328125,-0.0861171875,2.8724453125
4.9628046875,-2.41853515625,-3.766328125,-3.323890625,-8.10421484375,-6.19587109375,-1.35588671875,1.55340234375,-17.227765625,-8.40317578125,-5.32887109375,3.10432421875,0.4123203125,-10.30353125,-5.35203515625,-3.038421875,-1.688390625,-16.17211328125,5.44738671875,4.49049609375,-3.057640625,-5.49704296875,-7.50229296875,-4.100484375,-5.15363671875,-2.410515625,-2.8096171875,2.64986328125,-0.0471171874999999,3.0654453125
8.0918046875,-1.44453515625,-2.889328125,-3.149890625,-7.02121484375,-5.02387109375,-0.46788671875,1.75240234375,-16.868765625,-6.94817578125,-4.18687109375,3.67832421875,0.3693203125,-7.55253125,-3.76303515625,-1.281421875,-3.141390625,-13.58011328125,8.40238671875,6.27349609375,-2.900640625,-4.69404296875,-5.13329296875,-1.720484375,-4.13263671875,-2.923515625,-1.8766171875,3.25686328125,0.1478828125,3.3644453125
10.9638046875,-0.10853515625,-0.966328125,-3.708890625,-5.79821484375,-3.62287109375,-0.44088671875,2.77140234375,-14.526765625,-5.03517578125,-3.16287109375,3.75932421875,-0.7366796875,-4.45653125,-1.64303515625,0.210578125,-4.224390625,-10.92411328125,11.70038671875,8.41249609375,-2.685640625,-4.01804296875,-2.27229296875,1.419515625,-2.68363671875,-3.228515625,-0.2656171875,4.00986328125,0.5028828125,3.8544453125
13.0288046875,1.47346484375,1.652671875,-4.842890625,-4.64721484375,-2.17587109375,-1.00188671875,4.34440234375,-10.587765625,-3.04417578125,-2.33487109375,3.49432421875,-3.2506796875,-1.61753125,0.58496484375,1.299578125,-4.681390625,-8.72411328125,14.69438671875,10.51849609375,-2.268640625,-3.56704296875,0.58870703125,4.801515625,-1.02263671875,-3.275515625,1.8373828125,4.88386328125,0.9828828125,4.5554453125
