"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-17.38880078125,-5.4386015625,-8.6583984375,-11.1547578125,-2.19776171875,-11.06557421875,-2.6884765625,-11.538375,-8.775,-6.21714453125,-2.682796875,-0.0650898437499996,-8.12590234375,-11.16914453125,-9.951359375,-9.52533984375,-14.17258984375,-13.16957421875,-15.1596484375,-15.7755703125,-4.23904296875,2.7941328125,-13.050875,-23.80732421875,-10.0806796875,-3.72366796875,-11.85440234375,-8.8982109375,-2.51815234375,-11.06886328125
-14.27380078125,-5.4926015625,-7.3563984375,-8.3907578125,-1.32976171875,-11.58157421875,-3.9064765625,-5.603375,-10.238,-7.65014453125,-3.822796875,-3.17308984375,-8.27590234375,-9.86714453125,-10.980359375,-9.58533984375,-10.31258984375,-9.98557421875,-15.1296484375,-15.7045703125,-2.94804296875,5.3951328125,-10.180875,-22.72832421875,-9.3856796875,-4.03966796875,-8.97840234375,-3.0512109375,2.51084765625,-9.20986328125
-14.00680078125,-6.6296015625,-7.6433984375,-9.1217578125,-2.05276171875,-12.89257421875,-5.4244765625,-2.907375,-11.96,-10.22914453125,-5.851796875,-5.46508984375,-8.95890234375,-10.43914453125,-12.962359375,-10.38633984375,-8.32858984375,-8.97657421875,-16.2756484375,-16.6395703125,-2.76104296875,6.3701328125,-9.458875,-22.82732421875,-9.7046796875,-3.69166796875,-7.28740234375,0.1627890625,5.53284765625,-8.00686328125
-16.14180078125,-8.6376015625,-9.3163984375,-13.0697578125,-4.15076171875,-14.72757421875,-7.0974765625,-3.178375,-13.804,-13.65614453125,-8.513796875,-6.98408984375,-9.81490234375,-12.70914453125,-15.566359375,-11.78833984375,-7.98558984375,-10.00057421875,-18.4116484375,-18.3355703125,-3.49904296875,5.7581328125,-10.858875,-24.01832421875,-10.9206796875,-2.47666796875,-6.78940234375,0.5287890625,6.32684765625,-7.56886328125
-19.23480078125,-10.9026015625,-11.6123984375,-18.6147578125,-6.86976171875,-16.53357421875,-8.6604765625,-5.016375,-15.51,-17.21614453125,-11.221796875,-7.90608984375,-10.31690234375,-15.85914453125,-18.136359375,-13.37033984375,-8.39858984375,-12.16257421875,-20.9196484375,-20.1825703125,-4.60604296875,4.1361328125,-13.618875,-25.82732421875,-12.5406796875,-0.376667968750001,-7.14740234375,-1.4092109375,5.24784765625,-7.84286328125
-21.68580078125,-12.7416015625,-13.6343984375,-23.5497578125,-9.36176171875,-17.83857421875,-9.8994765625,-6.692375,-16.836,-20.19214453125,-13.396796875,-8.31708984375,-10.15490234375,-18.88914453125,-20.108359375,-14.66733984375,-8.53058984375,-14.31457421875,-23.0926484375,-21.5635703125,-5.48104296875,2.2751328125,-16.648875,-27.69132421875,-13.9566796875,2.37833203125,-7.93940234375,-4.7422109375,2.93884765625,-8.71086328125
-22.46380078125,-13.7006015625,-14.7163984375,-25.9907578125,-11.06576171875,-18.48157421875,-10.7484765625,-6.985375,-17.655,-22.18614453125,-14.725796875,-8.12508984375,-9.46190234375,-21.04314453125,-21.281359375,-15.36033984375,-7.68158984375,-15.55457421875,-24.4526484375,-22.1435703125,-5.74704296875,0.7981328125,-18.996875,-29.20532421875,-14.7146796875,5.33433203125,-8.88940234375,-8.5992109375,0.00584765625000028,-10.07186328125
-21.34580078125,-13.6686015625,-14.6143984375,-25.0667578125,-11.80576171875,-18.57357421875,-11.2634765625,-5.604375,-17.928,-23.13814453125,-15.200796875,-7.15608984375,-8.72090234375,-21.98714453125,-21.784359375,-15.33933984375,-5.72858984375,-15.48357421875,-24.8766484375,-21.9275703125,-5.32304296875,0.0141328124999998,-20.148875,-30.18832421875,-14.6566796875,7.94633203125,-9.90440234375,-12.3292109375,-3.11915234375,-11.81786328125
-18.73680078125,-12.8146015625,-13.4793984375,-21.1427578125,-11.65376171875,-18.27657421875,-11.5134765625,-3.097375,-17.622,-23.14714453125,-14.981796875,-5.34308984375,-8.43690234375,-21.74614453125,-21.845359375,-14.65433984375,-3.07758984375,-14.18157421875,-24.4956484375,-21.1225703125,-4.35204296875,-0.0398671875000001,-20.037875,-30.57932421875,-13.8886796875,9.78233203125,-10.92240234375,-15.4022109375,-6.08215234375,-13.71986328125
-15.34980078125,-11.4176015625,-11.7153984375,-15.5367578125,-10.73576171875,-17.61157421875,-11.4864765625,-0.403374999999999,-16.648,-22.28814453125,-14.233796875,-2.88808984375,-8.76090234375,-20.54014453125,-21.572359375,-13.43633984375,-0.38958984375,-11.99957421875,-23.4946484375,-19.9425703125,-3.07104296875,0.5661328125,-18.862875,-30.29832421875,-12.6616796875,10.67133203125,-11.73640234375,-17.2582109375,-8.44615234375,-15.35886328125
