"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-11.1110390625,-13.98965234375,-13.52378125,-13.97348046875,-17.746703125,-5.52050390625,-10.76891796875,-9.368796875,-12.50876953125,-17.10908984375,-8.96854296875,-1.29555859375,0.0997265624999999,-8.11078515625,-11.74175,-6.4471328125,1.7066640625,-10.9668203125,-10.95790625,-11.3734296875,-4.630390625,-9.01998828125,-11.43933203125,-13.96411328125,-13.21398046875,-1.93862890625,-19.3124453125,-10.56543359375,37.78990234375,-12.8450390625
-13.6670390625,-11.70765234375,-12.48178125,-9.45048046875,-12.710703125,-7.92450390625,-7.18091796875,-9.115796875,-12.62176953125,-20.40908984375,-11.85954296875,-7.61255859375,-1.4582734375,-12.12678515625,-13.44775,-11.1031328125,1.6706640625,-11.4298203125,-13.01190625,-12.8874296875,-10.687390625,-13.51998828125,-12.17233203125,-16.23811328125,-17.43098046875,-4.82662890625,-22.5854453125,-13.02943359375,35.05690234375,-15.1740390625
-14.5040390625,-9.98365234375,-11.28678125,-6.64848046875,-9.699703125,-8.89350390625,-4.87291796875,-9.123796875,-12.78276953125,-21.95808984375,-13.15054296875,-11.80055859375,-2.1712734375,-14.69778515625,-14.20975,-13.6231328125,0.7686640625,-11.8568203125,-14.32590625,-13.5034296875,-14.631390625,-15.40498828125,-12.68433203125,-17.35311328125,-19.37498046875,-6.84262890625,-23.6974453125,-13.60043359375,34.31890234375,-15.8020390625
-13.5310390625,-8.72365234375,-9.95478125,-5.42148046875,-8.114703125,-8.30650390625,-3.70691796875,-9.332796875,-12.83876953125,-21.52708984375,-12.77754296875,-13.67955859375,-2.2782734375,-15.70478515625,-14.07275,-13.9621328125,-0.7903359375,-12.2848203125,-14.88490625,-13.3654296875,-16.567390625,-14.79998828125,-13.14333203125,-17.55811328125,-19.30598046875,-8.32962890625,-23.1304453125,-12.65143359375,35.25490234375,-15.0080390625
-11.1170390625,-7.67965234375,-8.52878125,-5.09348046875,-6.701703125,-6.43750390625,-3.18791796875,-9.556796875,-12.53076953125,-19.37008984375,-11.17654296875,-13.62155859375,-2.2452734375,-15.33478515625,-13.37375,-12.7941328125,-2.5083359375,-12.6768203125,-14.85790625,-12.9244296875,-17.224390625,-12.73498828125,-13.74133203125,-17.47911328125,-18.21298046875,-9.84662890625,-22.1034453125,-11.21743359375,36.84990234375,-13.6930390625
-7.8410390625,-6.63265234375,-7.05478125,-4.86148046875,-4.376703125,-3.79850390625,-2.81091796875,-9.560796875,-11.57276953125,-16.08808984375,-9.06354296875,-12.26955859375,-2.3582734375,-13.89078515625,-12.52875,-11.1911328125,-3.9533359375,-12.8568203125,-14.48490625,-12.6774296875,-17.452390625,-10.68298828125,-14.53233203125,-17.71811328125,-17.19998046875,-11.72362890625,-21.8114453125,-10.42543359375,37.95190234375,-12.9350390625
-4.3130390625,-5.51765234375,-5.61278125,-4.13948046875,-0.830703124999999,-1.00150390625,-2.32091796875,-9.179796875,-9.77176953125,-12.45008984375,-7.18354296875,-10.31855859375,-2.4872734375,-11.70678515625,-11.86275,-10.1901328125,-4.9993359375,-12.5698203125,-13.97990625,-12.9104296875,-17.802390625,-9.95998828125,-15.37533203125,-18.52511328125,-16.92798046875,-13.82162890625,-22.7724453125,-10.94243359375,37.83690234375,-13.4930390625
-1.1220390625,-4.44465234375,-4.38678125,-2.72048046875,3.370296875,1.29449609375,-1.77891796875,-8.450796875,-7.16476953125,-9.26508984375,-6.12154296875,-8.43655859375,-2.2182734375,-9.16978515625,-11.54275,-10.4441328125,-5.8263359375,-11.6288203125,-13.48690625,-13.5874296875,-18.389390625,-11.20698828125,-16.00333203125,-19.71011328125,-17.41798046875,-15.62562890625,-24.6224453125,-12.69843359375,36.52290234375,-15.4550390625
1.1409609375,-3.67665234375,-3.71278125,-0.83048046875,7.052296875,2.45449609375,-1.50391796875,-7.700796875,-4.13876953125,-7.24608984375,-6.20454296875,-7.21655859375,-1.2092734375,-6.72978515625,-11.61575,-12.0561328125,-6.7063359375,-10.0428203125,-13.06090625,-14.4124296875,-19.009390625,-14.08798828125,-16.13533203125,-20.75711328125,-18.19898046875,-16.52762890625,-26.3714453125,-14.93543359375,34.75490234375,-18.1470390625
1.9069609375,-3.55765234375,-4.02478125,0.936519531250001,8.895296875,2.01649609375,-1.91791796875,-7.507796875,-1.42376953125,-6.87908984375,-7.44554296875,-7.06955859375,0.5647265625,-4.83478515625,-12.06575,-14.6071328125,-7.8053359375,-8.0328203125,-12.67990625,-14.9914296875,-19.359390625,-17.33098828125,-15.56033203125,-21.08411328125,-18.64698046875,-16.12262890625,-26.9304453125,-16.51243359375,33.69590234375,-20.3500390625
0.7539609375,-4.37965234375,-5.67278125,1.85651953125,7.997296875,-0.119503906250001,-3.29691796875,-8.456796875,0.11023046875,-8.26908984375,-9.54654296875,-8.07055859375,2.8137265625,-3.85178515625,-12.84775,-17.3601328125,-9.1943359375,-5.9688203125,-12.27990625,-15.0374296875,-19.249390625,-19.24298828125,-14.20233203125,-20.33211328125,-18.34198046875,-14.43062890625,-25.6434453125,-16.39143359375,34.39090234375,-20.8140390625
-2.3670390625,-6.22465234375,-8.69378125,1.45051953125,4.372296875,-3.57250390625,-5.53791796875,-10.797796875,-0.202769531249999,-11.05708984375,-11.96654296875,-9.89755859375,5.1117265625,-4.00578515625,-13.87475,-19.5381328125,-11.0113359375,-4.2748203125,-11.81990625,-14.5204296875,-18.718390625,-18.53198828125,-12.20133203125,-18.57811328125,-17.27798046875,-12.00362890625,-22.6104453125,-14.13643359375,37.23290234375,-18.9030390625
-6.9240390625,-8.84265234375,-12.66178125,-0.21448046875,-0.918703125,-7.49750390625,-8.10791796875,-14.188796875,-2.48176953125,-14.44208984375,-14.05054296875,-11.89755859375,7.0967265625,-5.30778515625,-14.99075,-20.5841328125,-13.4303359375,-3.3038203125,-11.33490625,-13.6824296875,-18.010390625,-15.00798828125,-9.91633203125,-16.33011328125,-15.81698046875,-9.80362890625,-18.6334453125,-10.13243359375,41.69690234375,-15.0090390625
-11.7640390625,-11.65065234375,-16.71778125,-2.46948046875,-6.121703125,-10.77950390625,-10.22991796875,-17.712796875,-6.11276953125,-17.35408984375,-15.17554296875,-13.30055859375,8.5747265625,-7.45978515625,-15.96575,-20.3141328125,-16.3303359375,-3.1968203125,-10.93690625,-12.8804296875,-17.426390625,-9.68798828125,-7.81733203125,-14.27611328125,-14.44598046875,-8.79762890625,-14.8134453125,-5.39943359375,46.55990234375,-10.4470390625
-15.4020390625,-13.87965234375,-19.83078125,-4.28648046875,-9.471703125,-12.40150390625,-11.22291796875,-20.183796875,-9.88176953125,-18.79308984375,-14.94654296875,-13.53955859375,9.4807265625,-9.86778515625,-16.55575,-18.9501328125,-18.9773359375,-3.8218203125,-10.75590625,-12.3884296875,-17.159390625,-4.25598828125,-6.29833203125,-12.95411328125,-13.51698046875,-9.46062890625,-12.0604453125,-1.11543359375,50.43690234375,-6.8320390625
-16.6060390625,-14.87465234375,-21.22878125,-4.74248046875,-9.881703125,-11.93850390625,-10.83891796875,-20.679796875,-12.46776953125,-18.25308984375,-13.41454296875,-12.55555859375,9.7387265625,-11.86078515625,-16.64575,-17.0461328125,-20.1673359375,-4.8758203125,-10.89590625,-12.2844296875,-17.209390625,-0.281988281249999,-5.58633203125,-12.55111328125,-13.14498046875,-11.50462890625,-10.7864453125,1.80256640625,52.34390234375,-5.3200390625
