"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
45.423109375,15.6703203125,13.067078125,45.09176171875,24.7570625,11.33623046875,23.50884375,47.2158203125,67.87016015625,-1.2468828125,5.4618671875,31.2895,89.80951953125,22.4581484375,-10.84858203125,9.7084296875,66.98311328125,4.3388359375,-9.13553125,-13.23771484375,31.006890625,16.84028515625,6.2328984375,-1.62621484375,-15.294359375,28.88553515625,-16.60441796875,-3.52972265625,-6.3063671875,-0.522414062499999
46.111109375,15.4313203125,13.461078125,46.64376171875,26.6810625,11.23023046875,23.00484375,46.0768203125,70.59116015625,0.8831171875,6.1178671875,30.7325,90.19951953125,26.6321484375,-8.32458203125,10.4804296875,67.44111328125,8.7078359375,-4.33753125,-10.38971484375,32.046890625,18.61628515625,11.1388984375,2.28878515625,-12.317359375,31.88953515625,-12.47141796875,-0.60972265625,-3.6143671875,2.6905859375
46.564109375,15.2593203125,13.530078125,47.81276171875,28.2570625,11.53723046875,22.71684375,44.8398203125,72.53116015625,2.8781171875,6.8828671875,30.2725,90.71751953125,29.6301484375,-5.97258203125,11.1304296875,67.64511328125,11.9828359375,-0.54653125,-7.91671484375,33.330890625,20.33928515625,15.0478984375,5.56378515625,-9.507359375,34.49453515625,-8.86241796875,2.36927734375,-0.762367187500001,5.8935859375
46.835109375,15.2463203125,13.342078125,48.56076171875,29.4870625,12.31723046875,22.80684375,43.6688203125,73.63016015625,4.7711171875,7.8918671875,30.0785,91.25351953125,31.4161484375,-3.78858203125,11.7384296875,67.62511328125,14.0798359375,2.13946875,-5.83471484375,34.762890625,22.02728515625,17.9018984375,8.12078515625,-6.963359375,36.58553515625,-5.83241796875,5.43327734375,2.2176328125,9.0075859375
47.040109375,15.4573203125,13.068078125,48.98776171875,30.4420625,13.48423046875,23.41384375,42.8088203125,73.99816015625,6.5921171875,9.2598671875,30.3605,91.57551953125,32.2821484375,-1.72458203125,12.4894296875,67.54011328125,15.1888359375,3.89946875,-4.02371484375,36.162890625,23.67928515625,19.9058984375,10.05778515625,-4.737359375,38.15953515625,-3.30541796875,8.55127734375,5.2266328125,11.9165859375
47.269109375,15.8663203125,12.872078125,49.27576171875,31.1880625,14.83723046875,24.58684375,42.4428203125,73.83216015625,8.2931171875,11.0028671875,31.2825,91.40951953125,32.6341484375,0.25041796875,13.6084296875,67.63211328125,15.6148359375,5.06746875,-2.28871484375,37.396890625,25.24728515625,21.3738984375,11.58978515625,-2.793359375,39.34453515625,-1.13441796875,11.60727734375,8.1316328125,14.5185859375
47.525109375,16.3333203125,12.816078125,49.57976171875,31.7400625,16.10023046875,26.23184375,42.5828203125,73.33916015625,9.7241171875,12.9688671875,32.8695,90.55051953125,32.7951484375,2.09241796875,15.2424296875,68.11011328125,15.6348359375,5.96746875,-0.45371484375,38.448890625,26.65128515625,22.5668984375,12.94678515625,-1.015359375,40.35953515625,0.82458203125,14.41627734375,10.8026328125,16.7465859375
47.713109375,16.6423203125,12.845078125,49.94076171875,32.0570625,16.99923046875,28.10084375,43.0738203125,72.67216015625,10.6671171875,14.8488671875,34.9575,88.96451953125,32.8821484375,3.65441796875,17.3424296875,69.03511328125,15.4218359375,6.78946875,1.52428515625,39.385890625,27.81328515625,23.6058984375,14.27078515625,0.700640625,41.41353515625,2.64858203125,16.77227734375,13.1196328125,18.5835859375
47.668109375,16.5833203125,12.819078125,50.26276171875,32.0650625,17.32823046875,29.82984375,43.6808203125,71.88616015625,10.9271171875,16.2578671875,37.2085,86.82251953125,32.8101484375,4.71841796875,19.6234296875,70.27711328125,15.0478359375,7.54246875,3.51428515625,40.257890625,28.67428515625,24.4668984375,15.55178515625,2.362640625,42.59853515625,4.32858203125,18.52227734375,14.9766328125,20.0435859375
47.216109375,16.0353203125,12.586078125,50.36276171875,31.6760625,17.00523046875,31.03184375,44.2108203125,70.90916015625,10.4121171875,16.8658671875,39.2085,84.44551953125,32.3661484375,5.09641796875,21.6634296875,71.56011328125,14.5228359375,8.09746875,5.25828515625,41.032890625,29.19728515625,25.0458984375,16.65478515625,3.869640625,43.86653515625,5.79558203125,19.61327734375,16.3046328125,21.1675859375
