"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-22.98471484375,-10.59353125,-31.43957421875,-6.0316640625,-32.30374609375,-14.0311796875,-16.8100703125,-17.6403125,-29.24796875,-14.08520703125,-17.3715859375,-18.42519140625,-53.62065625,-17.145578125,-24.5774921875,-24.48658203125,-41.14262890625,-21.12162109375,-23.906359375,-38.987984375,-40.40554296875,-32.47063671875,-22.74073828125,-40.72684375,-30.5036796875,-19.24302734375,-41.2022578125,-38.17433203125,-22.1140625,-26.8100703125
-22.44671484375,-10.84053125,-31.95257421875,-6.6216640625,-33.01574609375,-13.2111796875,-17.8570703125,-17.5063125,-29.00796875,-17.25020703125,-19.2815859375,-18.42019140625,-48.23665625,-19.329578125,-26.4724921875,-26.21358203125,-40.36462890625,-22.20462109375,-24.348359375,-38.303984375,-39.19454296875,-36.99063671875,-24.66873828125,-40.86684375,-31.0266796875,-18.70202734375,-43.3172578125,-44.07633203125,-25.4540625,-26.2350703125
-22.02571484375,-10.94353125,-32.14557421875,-7.2456640625,-33.82474609375,-12.4731796875,-18.4330703125,-17.7193125,-28.34896875,-19.37820703125,-20.5045859375,-18.27719140625,-45.15465625,-20.716578125,-27.5644921875,-27.47558203125,-40.25162890625,-22.56062109375,-24.818359375,-37.688984375,-38.64354296875,-39.72963671875,-25.69973828125,-40.86284375,-31.4016796875,-17.99002734375,-44.6832578125,-47.42933203125,-27.7660625,-26.1530703125
-21.72071484375,-10.83653125,-31.93757421875,-7.8326640625,-34.44474609375,-11.6611796875,-18.4440703125,-18.2083125,-27.17496875,-20.28420703125,-20.9625859375,-17.96519140625,-44.12465625,-21.288578125,-27.7124921875,-28.19058203125,-40.70162890625,-22.28562109375,-25.224359375,-37.102984375,-38.84254296875,-40.53063671875,-25.88473828125,-40.88384375,-31.5596796875,-17.09802734375,-45.3462578125,-47.74733203125,-28.7880625,-26.4480703125
-21.43271484375,-10.45953125,-31.30357421875,-8.2836640625,-34.55974609375,-10.6601796875,-17.8940703125,-18.7393125,-25.53096875,-20.05320703125,-20.7335859375,-17.44519140625,-43.99865625,-21.245578125,-26.9874921875,-28.34458203125,-41.46862890625,-21.74562109375,-25.437359375,-36.475984375,-39.63654296875,-39.75163671875,-25.54673828125,-41.17784375,-31.4196796875,-16.03702734375,-45.5622578125,-45.19433203125,-28.4550625,-26.7390703125
-21.02571484375,-9.77753125,-30.30057421875,-8.5376640625,-34.02574609375,-9.5261796875,-16.8710703125,-19.0323125,-23.61196875,-19.01120703125,-19.9845859375,-16.66619140625,-43.32765625,-20.879578125,-25.6384921875,-27.94258203125,-42.34762890625,-21.37762109375,-25.355359375,-35.721984375,-40.65054296875,-38.04163671875,-25.07073828125,-41.90884375,-30.9086796875,-14.82602734375,-45.6082578125,-40.44333203125,-26.8810625,-26.5400703125
-20.46571484375,-8.82953125,-29.10157421875,-8.6396640625,-32.93074609375,-8.4631796875,-15.5690703125,-18.9303125,-21.72296875,-17.64620703125,-18.9275859375,-15.65519140625,-41.08265625,-20.468578125,-24.0274921875,-27.03258203125,-43.25962890625,-21.50462109375,-24.929359375,-34.752984375,-41.39554296875,-36.06363671875,-24.73073828125,-43.04984375,-30.0046796875,-13.53602734375,-45.6082578125,-34.44633203125,-24.3250625,-25.5070703125
-19.85071484375,-7.74853125,-27.96157421875,-8.7406640625,-31.55974609375,-7.7341796875,-14.2640703125,-18.5003125,-20.22196875,-16.47420703125,-17.7835859375,-14.56819140625,-37.11765625,-20.192578125,-22.5074921875,-25.71658203125,-44.20062890625,-22.21862109375,-24.177359375,-33.475984375,-41.41454296875,-34.27363671875,-24.57673828125,-44.35984375,-28.7366796875,-12.29302734375,-45.4572578125,-28.15633203125,-21.1340625,-23.6070703125
-19.28371484375,-6.71853125,-27.10157421875,-9.0456640625,-30.31574609375,-7.5751796875,-13.2310703125,-17.9683125,-19.44696875,-15.87720703125,-16.7395859375,-13.64419140625,-32.21065625,-20.088578125,-21.3064921875,-24.12758203125,-45.13262890625,-23.37062109375,-23.173359375,-31.802984375,-40.40554296875,-32.83963671875,-24.44673828125,-45.46984375,-27.1246796875,-11.21302734375,-44.8642578125,-22.34333203125,-17.6730625,-21.1170703125
-18.77671484375,-5.87453125,-26.60557421875,-9.7386640625,-29.61074609375,-8.0801796875,-12.6710703125,-17.5623125,-19.61096875,-15.99620703125,-15.9155859375,-13.11019140625,-27.75665625,-20.097578125,-20.4744921875,-22.37958203125,-45.87762890625,-24.70662109375,-22.042359375,-29.685984375,-38.31654296875,-31.75463671875,-24.12273828125,-46.04684375,-25.1676796875,-10.32402734375,-43.5252578125,-17.58133203125,-14.3080625,-18.5090703125
