"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-14.84216796875,-13.57708984375,-10.90861328125,-3.1834765625,-11.32007421875,-13.89623828125,-15.08140625,-4.0683515625,-10.50665625,-14.06125390625,-18.3597109375,-12.2281953125,-8.00379296875,-11.2061953125,-13.5409921875,-14.60061328125,-6.4771875,-5.62254296875,-12.52131640625,-12.2443671875,-11.01786328125,-4.30822265625,-8.90278515625,-11.22853515625,-12.2967265625,-5.2916640625,-11.85043359375,-11.08006640625,-9.783703125,-9.39827734375
-22.58016796875,-20.43408984375,-20.19961328125,-7.0054765625,-15.25607421875,-16.55423828125,-16.82740625,-7.7383515625,-13.10965625,-16.58325390625,-20.3387109375,-13.8471953125,-7.99179296875,-13.2561953125,-15.1539921875,-15.77161328125,-6.5291875,-6.61054296875,-13.98231640625,-13.9453671875,-11.83086328125,-1.62822265625,-8.57078515625,-12.04853515625,-13.8637265625,-6.0806640625,-11.40643359375,-8.61806640625,-8.675703125,-9.06427734375
-25.99416796875,-23.56108984375,-24.64661328125,-8.5014765625,-16.90507421875,-17.33423828125,-16.96640625,-9.6713515625,-13.73665625,-17.68225390625,-20.8117109375,-13.5351953125,-7.04679296875,-14.0541953125,-15.6479921875,-15.73361328125,-6.8021875,-7.04554296875,-14.61431640625,-14.5573671875,-12.05486328125,0.09677734375,-8.28278515625,-12.47953515625,-14.2787265625,-6.0026640625,-10.70643359375,-6.80406640625,-7.397703125,-8.27927734375
-24.97416796875,-22.81708984375,-24.01161328125,-7.7614765625,-16.31407421875,-16.38023828125,-15.64040625,-9.8363515625,-12.60165625,-17.45125390625,-19.9317109375,-11.6071953125,-5.44279296875,-13.7701953125,-15.1939921875,-14.61261328125,-7.1761875,-7.07954296875,-14.58031640625,-14.2483671875,-11.64386328125,0.58777734375,-8.26378515625,-12.68853515625,-13.6497265625,-5.3146640625,-9.97943359375,-5.90706640625,-6.251703125,-7.25327734375
-20.80816796875,-19.27808984375,-19.62761328125,-5.6524765625,-14.29307421875,-14.47823828125,-13.59240625,-8.7283515625,-10.60765625,-16.44825390625,-18.4047109375,-9.1301953125,-3.87679296875,-12.9961953125,-14.3519921875,-13.00261328125,-7.3961875,-7.03654296875,-14.31531640625,-13.5463671875,-10.73286328125,-0.13322265625,-8.72578515625,-12.97053515625,-12.4767265625,-4.5806640625,-9.55143359375,-6.02206640625,-5.627703125,-6.36427734375
-15.51316796875,-14.69408984375,-13.72161328125,-3.3514765625,-11.96707421875,-12.62423828125,-11.79240625,-7.0843515625,-8.83265625,-15.35325390625,-17.1117109375,-7.3481953125,-3.13779296875,-12.3821953125,-13.7159921875,-11.65961328125,-7.2411875,-7.16954296875,-14.21531640625,-12.9963671875,-9.59286328125,-1.69022265625,-9.67178515625,-13.52353515625,-11.3527265625,-4.2996640625,-9.61443359375,-6.98406640625,-5.731703125,-5.90827734375
-10.97216796875,-10.71408984375,-8.45861328125,-1.8094765625,-10.24507421875,-11.54223828125,-10.95340625,-5.5663515625,-7.99665625,-14.60725390625,-16.6497109375,-7.0351953125,-3.77079296875,-12.2601953125,-13.5519921875,-11.10361328125,-6.6951875,-7.46954296875,-14.36831640625,-12.8453671875,-8.52486328125,-3.45122265625,-10.80078515625,-14.26353515625,-10.6537265625,-4.6046640625,-10.05343359375,-8.36306640625,-6.410703125,-5.90227734375
-8.24616796875,-8.26508984375,-5.14061328125,-1.3874765625,-9.46207421875,-11.37823828125,-11.20440625,-4.5423515625,-8.15565625,-14.21525390625,-17.0407109375,-8.0941953125,-5.87179296875,-12.4841953125,-13.6509921875,-11.36061328125,-5.9801875,-7.67454296875,-14.48531640625,-12.9083671875,-7.73586328125,-4.77822265625,-11.58578515625,-14.80553515625,-10.3687265625,-5.1926640625,-10.44343359375,-9.59306640625,-7.172703125,-6.05627734375
-7.33416796875,-7.32008984375,-3.87261328125,-1.8094765625,-9.33007421875,-11.70423828125,-12.07240625,-4.0153515625,-8.77565625,-13.81125390625,-17.7577109375,-9.6591953125,-9.06679296875,-12.5591953125,-13.4639921875,-11.97061328125,-5.3671875,-7.45754296875,-14.07831640625,-12.6983671875,-7.23386328125,-5.29622265625,-11.51478515625,-14.62753515625,-10.1437265625,-5.5166640625,-10.23043359375,-10.17806640625,-7.421703125,-5.93027734375
-7.41416796875,-7.11708984375,-3.79361328125,-2.4194765625,-9.19307421875,-11.80323828125,-12.76740625,-3.7003515625,-9.10365625,-12.91225390625,-18.0187109375,-10.5961953125,-12.58579296875,-11.9451953125,-12.4299921875,-12.24961328125,-4.9181875,-6.64054296875,-12.74831640625,-11.7033671875,-6.79786328125,-5.00022265625,-10.33978515625,-13.31853515625,-9.4857265625,-5.0806640625,-8.97643359375,-9.87106640625,-6.740703125,-5.14727734375
