"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-16.1018671875,-12.46366796875,-17.25040625,-23.8111015625,3.72967578125,2.06821875,9.32631640625,32.61078125,-5.01643359375,1.2584296875,5.0007578125,14.6820859375,-6.5339453125,-3.75778125,5.0161796875,7.03434375,-0.20101953125,2.809859375,1.12198828125,7.42540234375,7.6779765625,8.80810546875,14.0446484375,10.514109375,6.51627734375,4.4687421875,17.7620625,16.41118359375,19.0143828125,12.6979140625
-24.7648671875,-13.80466796875,-19.86340625,-26.3401015625,1.63167578125,1.59221875,6.34931640625,34.50978125,-5.23043359375,1.5864296875,5.2497578125,14.6530859375,-6.5739453125,-1.14278125,6.5391796875,5.13834375,1.17198046875,3.877859375,3.98298828125,9.36740234375,7.1689765625,10.38210546875,16.0756484375,13.684109375,9.86127734375,5.1997421875,19.5990625,17.86718359375,21.5323828125,14.2239140625
-27.2768671875,-13.51066796875,-20.12040625,-27.2451015625,1.28567578125,1.51121875,4.71831640625,35.62078125,-4.56843359375,2.4874296875,5.2477578125,14.4320859375,-6.5479453125,1.36021875,8.0251796875,4.06934375,1.91198046875,4.815859375,6.35698828125,10.91040234375,6.9069765625,11.20410546875,17.4466484375,15.870109375,12.14527734375,5.7537421875,20.7870625,18.57118359375,22.9783828125,15.1819140625
-23.9108671875,-11.61766796875,-18.00640625,-26.6271015625,2.58367578125,1.73321875,4.16231640625,35.88278125,-3.20243359375,3.8834296875,5.0047578125,13.9790859375,-6.5199453125,3.58521875,9.2861796875,3.67634375,2.10598046875,5.476859375,8.02298828125,11.80840234375,6.8179765625,11.06710546875,17.8856484375,16.759109375,13.13927734375,6.2427421875,21.0030625,18.33418359375,23.0903828125,15.4489140625
-17.1958671875,-8.92466796875,-14.51140625,-25.1491015625,4.75867578125,1.97521875,3.97531640625,35.43978125,-1.67243359375,5.3954296875,4.5407578125,13.3190859375,-6.6499453125,5.20721875,9.9891796875,3.48334375,2.03598046875,5.647859375,8.72198828125,11.78740234375,6.7209765625,9.95410546875,17.2006484375,16.177109375,12.79427734375,6.8277421875,19.9980625,17.16118359375,21.8433828125,15.0269140625
-10.7138671875,-6.76066796875,-11.31440625,-23.6881015625,6.70867578125,1.86421875,3.45031640625,34.52678125,-0.65343359375,6.4204296875,3.7997578125,12.5180859375,-7.1789453125,5.75521875,9.7221796875,2.93034375,1.98898046875,5.075859375,8.15498828125,10.57140234375,6.3999765625,8.04310546875,15.3296484375,14.068109375,11.15427734375,7.5617421875,17.6720625,15.23218359375,19.4173828125,13.9849140625
-7.6268671875,-6.45666796875,-10.11740625,-22.9821015625,7.38967578125,1.04421875,2.19931640625,33.32778125,-0.709433593750001,6.2994296875,2.6277578125,11.6040859375,-8.3249453125,4.72621875,8.1171796875,1.58834375,2.08698046875,3.528859375,6.05098828125,7.96140234375,5.6669765625,5.67310546875,12.3616484375,10.493109375,8.31027734375,8.3017421875,14.1120625,12.82518359375,16.1223828125,12.4099140625
-9.6108671875,-8.77766796875,-11.95540625,-23.4441015625,6.13067578125,-0.720781250000001,0.21331640625,31.90378125,-2.13443359375,4.5294296875,0.851757812500001,10.5230859375,-10.1519453125,1.78721875,5.0071796875,-0.70065625,2.23198046875,0.885859375000001,2.30898828125,3.94840234375,4.4329765625,3.25510546875,8.5426484375,5.660109375,4.43927734375,8.7507421875,9.5870625,10.23218359375,12.3263828125,10.3929140625
-16.4398671875,-13.59866796875,-16.79340625,-25.1061015625,2.82867578125,-3.45178125,-2.21668359375,30.22778125,-4.87443359375,0.975429687499999,-1.5932421875,9.1950859375,-12.4799453125,-3.01278125,0.5571796875,-3.76665625,2.19098046875,-2.769140625,-2.87201171875,-1.16259765625,2.7789765625,1.16310546875,4.2416484375,-0.0248906250000007,-0.0927226562500001,8.6297421875,4.5130625,7.71018359375,8.4133828125,8.0709140625
-26.2128671875,-19.92266796875,-23.56340625,-27.6301015625,-1.99732421875,-6.89278125,-4.62368359375,28.28278125,-8.54043359375,-3.9905703125,-4.5722421875,7.6540859375,-14.8929453125,-9.13078125,-4.7068203125,-7.13765625,1.75498046875,-7.093140625,-8.93601171875,-6.71359765625,1.0029765625,-0.36189453125,-0.0883515625000011,-5.933890625,-4.68072265625,7.8557421875,-0.5749375,5.45918359375,4.7593828125,5.6879140625
