"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-17.19161328125,-17.77811328125,-12.14803125,-4.11548828125,-5.317390625,-3.624984375,-10.16389453125,-6.82902734375,-2.7831640625,-13.803890625,-13.69151953125,-3.95855078125,-4.99432421875,-10.25330859375,-4.89274609375,-11.88628125,-3.75159765625,-9.83801953125,-8.1088359375,-9.35090625,-6.736890625,-8.70814453125,-7.31191796875,-8.83108203125,-9.07548046875,-5.8311640625,-4.50846875,-9.9435859375,-8.7282734375,-6.92928125
-13.77061328125,-15.53311328125,-11.50003125,-5.25448828125,-4.554390625,-3.873984375,-7.74689453125,-7.00502734375,-1.3931640625,-10.671890625,-13.06951953125,-3.14955078125,-9.19332421875,-8.60530859375,-2.79774609375,-9.40728125,-3.28959765625,-7.85201953125,-7.9578359375,-7.57090625,-4.522890625,-8.73314453125,-4.71591796875,-6.55408203125,-7.32948046875,-5.6991640625,-5.92146875,-7.7695859375,-7.0502734375,-6.11928125
-11.47161328125,-13.61311328125,-10.75603125,-5.46548828125,-4.398390625,-4.068984375,-5.82989453125,-6.78102734375,-1.0641640625,-8.913890625,-12.63251953125,-2.29655078125,-11.95132421875,-7.66030859375,-1.35274609375,-7.81428125,-2.71559765625,-6.39201953125,-7.2988359375,-5.98290625,-2.775890625,-8.43514453125,-2.46791796875,-4.31608203125,-5.86048046875,-5.3091640625,-5.92946875,-5.4515859375,-4.8322734375,-4.77928125
-10.26361328125,-11.89911328125,-9.81403125,-4.94748828125,-4.954390625,-4.170984375,-4.50289453125,-6.07802734375,-1.9451640625,-8.544890625,-12.26551953125,-1.34255078125,-12.98832421875,-7.56430859375,-0.59474609375,-7.06528125,-1.95759765625,-5.65901953125,-6.3068359375,-4.64690625,-1.581890625,-7.93114453125,-0.73891796875,-2.21908203125,-4.78848046875,-4.8261640625,-4.77546875,-3.2935859375,-2.3422734375,-3.12628125
-9.69761328125,-10.16311328125,-8.56803125,-4.18648828125,-6.053390625,-4.071984375,-3.70789453125,-4.93202734375,-3.7941640625,-9.079890625,-11.71651953125,-0.23455078125,-12.48432421875,-8.19530859375,-0.32074609375,-6.77728125,-1.04559765625,-5.72901953125,-5.2748359375,-3.52290625,-0.836890625,-7.49514453125,0.37808203125,-0.35208203125,-4.09748046875,-4.4281640625,-3.12346875,-1.7145859375,-0.0512734374999999,-1.53928125
-9.09361328125,-8.20311328125,-6.95003125,-3.62748828125,-7.245390625,-3.588984375,-3.25289453125,-3.48502734375,-6.0211640625,-9.748890625,-10.70351953125,1.05744921875,-10.99332421875,-9.14530859375,-0.14874609375,-6.39628125,-0.12059765625,-6.47701953125,-4.3648359375,-2.44090625,-0.247890625,-7.40114453125,0.93508203125,1.29591796875,-3.57048046875,-4.1031640625,-1.58546875,-0.9565859375,1.6847265625,-0.27928125
-7.79861328125,-5.93211328125,-4.95103125,-3.46848828125,-7.937390625,-2.545984375,-2.86289453125,-1.94002734375,-7.8841640625,-9.779890625,-9.04051953125,2.51244921875,-9.15432421875,-9.82830859375,0.34325390625,-5.42528125,0.70540234375,-7.55601953125,-3.4818359375,-1.12690625,0.574109375,-7.75014453125,1.15208203125,2.86791796875,-2.83448046875,-3.5931640625,-0.40246875,-0.8745859375,2.8307265625,0.70571875
-5.45161328125,-3.37011328125,-2.62103125,-3.65848828125,-7.614390625,-0.876984375,-2.24289453125,-0.46602734375,-8.7781640625,-8.655890625,-6.73351953125,4.05544921875,-7.37832421875,-9.68730859375,1.44825390625,-3.60528125,1.54740234375,-8.46701953125,-2.3648359375,0.67609375,1.950109375,-8.41214453125,1.35008203125,4.55891796875,-1.52248046875,-2.5371640625,0.54953125,-0.9755859375,3.6557265625,1.75171875
-2.17061328125,-0.65511328125,-0.0840312499999998,-4.00648828125,-6.062390625,1.311015625,-1.17789453125,0.85997265625,-8.4561640625,-6.268890625,-4.01451953125,5.55444921875,-5.73332421875,-8.44030859375,3.20725390625,-1.02128125,2.78240234375,-8.74001953125,-0.8228359375,3.04909375,3.963109375,-9.11414453125,1.79908203125,6.44791796875,0.50451953125,-0.7191640625,1.48853125,-0.7145859375,4.4907265625,3.23071875
1.39138671875,1.91288671875,2.40996875,-4.30048828125,-3.480390625,3.744015625,0.36610546875,2.03697265625,-7.0931640625,-2.979890625,-1.28051953125,6.84344921875,-4.06032421875,-6.22430859375,5.36325390625,1.89371875,4.77540234375,-8.15101953125,1.0771640625,5.75709375,6.349109375,-9.61814453125,2.55908203125,8.33391796875,2.99951953125,1.7158359375,2.43553125,0.1054140625,5.4277265625,5.22871875
