"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-0.61746875,-4.64682421875,-5.5961953125,-1.238234375,-3.9280625,1.7386640625,-1.24131640625,-10.5319609375,-4.87637890625,-0.8102578125,-0.109453125,-7.22355859375,-2.90103125,-1.03276171875,-2.00860546875,-1.32606640625,1.59895703125,4.607140625,-1.59316015625,-2.9485546875,-2.1433984375,-4.18198828125,-2.42127734375,-2.6464765625,-7.70750390625,-13.306078125,-8.0670546875,-5.8746953125,-5.197765625,-7.73865234375
1.87053125,-1.86482421875,-1.4331953125,2.624765625,-0.7190625,5.2716640625,3.40968359375,-4.9759609375,-0.509378906249999,1.6297421875,4.120546875,-2.82155859375,3.76496875,3.19923828125,1.04039453125,3.02193359375,2.07295703125,7.536140625,2.90183984375,1.5754453125,1.8126015625,-0.04698828125,2.93572265625,2.4425234375,-2.65250390625,-9.432078125,-2.6830546875,-0.9466953125,-0.965765625,-2.68465234375
2.57053125,-0.845824218749999,0.6098046875,4.423765625,0.5569375,6.3826640625,5.05068359375,-2.5489609375,1.82762109375,2.5657421875,5.957546875,-0.59455859375,7.78196875,5.65923828125,2.31639453125,4.99993359375,1.35395703125,9.268140625,5.58583984375,4.1464453125,3.7176015625,3.16201171875,6.62972265625,5.8365234375,0.640496093749999,-7.286078125,1.3589453125,2.8913046875,2.120234375,0.62934765625
1.65753125,-1.56082421875,0.4278046875,4.292765625,-0.0640625000000004,5.1496640625,3.89268359375,-3.1859609375,2.11662109375,1.9607421875,5.422546875,-0.55755859375,9.07696875,6.26723828125,1.78139453125,4.63593359375,-0.34104296875,9.626140625,6.30883984375,4.7204453125,3.6066015625,5.29101171875,8.44372265625,7.3865234375,2.10449609375,-6.892078125,3.9279453125,5.3643046875,3.930234375,2.16934765625
-0.11246875,-3.41182421875,-1.3901953125,2.975765625,-1.9420625,2.4686640625,1.15468359375,-5.7899609375,0.96262109375,0.2437421875,3.333546875,-2.04855859375,8.23896875,5.43923828125,-0.0596054687499992,2.73293359375,-2.35304296875,8.770140625,5.45083984375,3.8624453125,2.2116015625,6.36201171875,8.59672265625,7.4315234375,2.22549609375,-7.665078125,5.2419453125,6.4203046875,4.638234375,2.45934765625
-1.85146875,-5.55682421875,-3.8361953125,1.350765625,-4.1850625,-0.4153359375,-1.60931640625,-8.8319609375,-0.766378906249999,-1.9062578125,0.890546875,-4.09055859375,6.08296875,3.83523828125,-2.42960546875,0.43593359375,-3.94604296875,7.126140625,3.71783984375,2.4324453125,0.5946015625,6.49601171875,7.59472265625,6.6085234375,1.77049609375,-8.678078125,5.6979453125,6.2013046875,4.594234375,2.28534765625
-2.93346875,-7.26582421875,-5.8981953125,0.0447656250000001,-6.0040625,-2.4473359375,-3.20231640625,-11.0269609375,-2.31537890625,-3.8112578125,-0.818453125,-5.80255859375,3.36396875,2.09923828125,-4.56060546875,-1.26206640625,-4.64904296875,5.253140625,1.88383984375,1.2374453125,-0.2953984375,5.86901171875,6.04772265625,5.6045234375,1.47049609375,-9.041078125,5.6979453125,5.0103046875,4.176234375,2.33834765625
-3.16746875,-8.14382421875,-6.9321953125,-0.667234375,-6.9500625,-3.1263359375,-3.20531640625,-11.7589609375,-3.27537890625,-5.0022578125,-1.200453125,-6.69055859375,0.73496875,0.69223828125,-5.91560546875,-1.85906640625,-4.38304296875,3.669140625,0.53283984375,0.7494453125,0.0466015625,4.68301171875,4.49272265625,4.9295234375,1.75949609375,-8.249078125,5.5169453125,3.2303046875,3.661234375,2.94834765625
-2.75246875,-8.19582421875,-6.8571953125,-0.771234375,-7.0070625,-2.5993359375,-2.02231640625,-11.1389609375,-3.62837890625,-5.3592578125,-0.306453125,-6.73355859375,-1.22703125,-0.19076171875,-6.31860546875,-1.43606640625,-3.39104296875,2.685140625,-0.109160156250001,0.9824453125,1.5656015625,3.14501171875,3.25672265625,4.7695234375,2.65749609375,-6.342078125,5.2439453125,1.2373046875,3.164234375,4.01734765625
-2.10646875,-7.73182421875,-6.1021953125,-0.403234375,-6.5140625,-1.4963359375,-0.60131640625,-9.8009609375,-3.61737890625,-5.1182578125,1.268546875,-6.28055859375,-2.11003125,-0.61676171875,-5.98660546875,-0.51306640625,-2.07404296875,2.314140625,-0.20416015625,1.5634453125,3.7606015625,1.45501171875,2.40572265625,4.9675234375,3.84349609375,-3.795078125,4.8229453125,-0.6816953125,2.679234375,5.16434765625
