"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
29.6063515625,27.637046875,34.6104375,2.05258984375,6.47928515625,31.80706640625,-59.9705546875,27.5304296875,24.1536953125,30.00055078125,21.9136796875,27.32823046875,12.8435625,36.7288984375,37.03852734375,34.80294140625,6.77940625,27.027671875,39.35210546875,37.80459765625,18.38867578125,13.19746875,45.11260546875,40.8078515625,31.139765625,18.09515234375,40.27378515625,14.36130859375,25.369078125,25.00813671875
28.0663515625,24.706046875,32.5694375,1.90158984375,8.67128515625,32.78506640625,-53.4535546875,30.0654296875,26.3926953125,31.72055078125,23.8956796875,31.95823046875,10.6375625,39.2528984375,39.31852734375,36.63594140625,10.00740625,27.614671875,42.72410546875,40.14559765625,20.34267578125,13.22646875,47.16960546875,43.0978515625,33.591765625,19.52415234375,43.23778515625,15.68430859375,26.863078125,26.25713671875
25.8393515625,20.913046875,29.7544375,1.77158984375,6.99028515625,30.65706640625,-51.1785546875,31.2894296875,25.6506953125,29.57655078125,22.5336796875,33.80123046875,8.0175625,37.9828984375,37.50452734375,35.80394140625,11.01040625,26.717671875,41.86610546875,38.98059765625,20.40867578125,12.62146875,46.00060546875,42.1398515625,33.334765625,19.76915234375,43.36478515625,15.95530859375,26.742078125,26.23813671875
23.4023515625,16.730046875,27.0504375,1.71658984375,1.78228515625,25.47806640625,-53.0845546875,31.4184296875,22.0706953125,23.44955078125,17.8196796875,32.51123046875,5.2035625,32.8438984375,31.52552734375,32.07994140625,10.12340625,24.410671875,36.65310546875,34.16759765625,18.29767578125,11.60746875,41.49260546875,37.7848515625,30.152765625,18.82815234375,40.49878515625,15.28630859375,25.135078125,24.96313671875
21.6133515625,13.235046875,25.8274375,1.75258984375,-5.18971484375,18.48006640625,-57.6925546875,31.1224296875,16.9206953125,14.65055078125,10.9146796875,28.65623046875,2.6925625,25.1248984375,22.77552734375,26.13594140625,8.50340625,21.283671875,28.41910546875,26.77259765625,14.28867578125,10.61146875,34.61860546875,30.9978515625,24.746765625,17.11115234375,35.43178515625,14.12130859375,22.737078125,22.90313671875
21.2443515625,11.723046875,27.1404375,1.83558984375,-11.61071484375,11.57206640625,-62.9035546875,31.0534296875,11.9526953125,5.41755078125,3.6216796875,23.51023046875,1.0305625,16.9198984375,13.52352734375,19.28494140625,7.43640625,18.123671875,19.35310546875,18.60359765625,9.12667578125,9.94746875,26.97160546875,23.4278515625,18.439765625,15.22115234375,29.51678515625,12.93030859375,20.431078125,20.75713671875
22.4933515625,12.987046875,30.9694375,1.92058984375,-15.59671484375,6.59506640625,-66.9135546875,31.3974296875,8.6086953125,-1.91544921875,-2.2923203125,18.60423046875,0.559562499999998,10.3418984375,6.05052734375,13.06294140625,7.64340625,15.570671875,11.66610546875,11.55559765625,3.83667578125,9.61146875,20.16260546875,16.8078515625,12.725765625,13.67715234375,24.15278515625,11.97930859375,18.895078125,19.16013671875
24.7453515625,16.605046875,35.9324375,2.02358984375,-16.36571484375,4.59106640625,-68.8485546875,31.7574296875,7.5056953125,-5.74544921875,-5.6623203125,15.20523046875,1.2865625,6.8258984375,1.87752734375,8.78794140625,9.00340625,13.960671875,6.91610546875,7.05259765625,-0.509324218749999,9.32646875,15.39160546875,12.4528515625,8.847765625,12.73215234375,20.37278515625,11.31730859375,18.403078125,18.50813671875
26.7703515625,20.802046875,39.7474375,2.24058984375,-14.37871484375,5.46606640625,-68.8435546875,31.4424296875,8.4136953125,-5.67944921875,-6.1603203125,13.94023046875,2.9325625,6.81489843749999,1.41752734375,7.24294140625,10.80340625,13.384671875,5.72410546875,5.76859765625,-3.02832421875,8.80646875,13.31160546875,11.0238515625,7.553765625,12.38115234375,18.69978515625,10.95030859375,18.884078125,18.95213671875
27.3393515625,23.201046875,40.3094375,2.70658984375,-10.92471484375,8.20206640625,-67.6325546875,29.9664296875,10.6076953125,-2.45244921875,-4.1613203125,14.72923046875,5.1415625,9.8648984375,4.13952734375,8.56594140625,12.26140625,13.877671875,7.88710546875,7.68259765625,-3.22532421875,8.05446875,14.10660546875,12.5988515625,9.056765625,12.53515234375,19.24778515625,11.03830859375,20.141078125,20.48213671875
