"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
6.2475078125,7.41998828125,2.94335546875,7.00824609375,-3.779703125,-1.9709453125,2.20589453125,6.429390625,5.1673984375,2.4154453125,-2.08882421875,3.00446875,1.49107421875,1.523484375,-3.3874609375,-1.440625,-2.72033984375,0.2233125,-3.34004296875,-0.073203125,19.94706640625,3.878125,-3.66790234375,-8.5369609375,-2.360515625,2.49428125,-2.56801171875,2.6981328125,-0.56778125,-2.25819921875
4.5745078125,7.34898828125,2.76135546875,6.42224609375,-1.060703125,-0.9979453125,2.32689453125,5.557390625,5.0333984375,1.4694453125,-1.65182421875,2.62146875,0.93607421875,1.766484375,-2.3084609375,-0.637624999999999,-6.35033984375,0.00831249999999972,-2.87804296875,0.222796875,16.85506640625,4.245125,-3.42790234375,-7.8529609375,-2.310515625,1.89728125,-2.41401171875,2.5861328125,-0.58578125,-2.15819921875
2.1275078125,5.96298828125,2.12635546875,4.78624609375,-0.063703125,-1.1949453125,1.52489453125,4.737390625,4.4403984375,0.0754453124999999,-1.87682421875,2.07146875,-0.34292578125,1.053484375,-1.8964609375,-0.607624999999999,-7.45033984375,-0.8156875,-2.99404296875,0.141796875,12.56206640625,3.918125,-4.19990234375,-7.5619609375,-2.225515625,1.95428125,-3.00701171875,1.8141328125,-1.09678125,-2.07019921875
-0.852492187499999,3.37498828125,1.17335546875,2.40424609375,-0.871703125,-2.5379453125,-0.0311054687499999,4.002390625,3.4943984375,-1.7065546875,-2.74182421875,1.38346875,-1.99392578125,-0.587515625,-2.2134609375,-1.255625,-6.01033984375,-2.2156875,-3.66604296875,-0.332203125,7.40306640625,2.946125,-5.88690234375,-7.6399609375,-2.121515625,2.57528125,-4.25701171875,0.5011328125,-1.97578125,-1.99219921875
-3.7224921875,0.22498828125,0.19135546875,0.01824609375,-2.992703125,-4.5829453125,-1.85610546875,3.345390625,2.4633984375,-3.5655546875,-3.97282421875,0.61446875,-3.32492578125,-2.734515625,-3.0884609375,-2.234625,-2.97533984375,-3.9216875,-4.68604296875,-1.109203125,2.16906640625,1.610125,-8.01890234375,-7.9369609375,-2.054515625,3.36928125,-5.80301171875,-0.9808671875,-2.91478125,-1.95219921875
-5.7424921875,-2.61201171875,-0.53464453125,-1.59375390625,-5.560703125,-6.6569453125,-3.42210546875,2.701390625,1.5893984375,-5.0265546875,-5.16382421875,-0.19853125,-3.72992578125,-4.715515625,-4.1934609375,-3.165625,0.25266015625,-5.5026875,-5.75904296875,-2.046203125,-2.33293359375,0.321125,-9.95590234375,-8.2659609375,-2.108515625,3.81728125,-7.18401171875,-2.1788671875,-3.57578125,-1.99419921875
-6.4704921875,-4.43001171875,-0.84364453125,-1.99575390625,-7.671703125,-8.1239453125,-4.36610546875,1.978390625,0.9603984375,-5.6655546875,-5.95982421875,-1.03653125,-3.08092578125,-5.903515625,-5.1904609375,-3.829625,2.50166015625,-6.5176875,-6.65104296875,-3.023203125,-5.67593359375,-0.523875,-11.15190234375,-8.4929609375,-2.381515625,3.49628125,-8.04901171875,-2.7398671875,-3.74278125,-2.14219921875
-5.9984921875,-4.97001171875,-0.78064453125,-1.26575390625,-8.740703125,-8.6539453125,-4.56710546875,1.113390625,0.5043984375,-5.3545546875,-6.21882421875,-1.86753125,-1.80092578125,-6.026515625,-5.8874609375,-4.259625,3.26966015625,-6.7136875,-7.30104296875,-4.006203125,-7.93493359375,-0.712875,-11.37590234375,-8.6069609375,-2.971515625,2.24328125,-8.30701171875,-2.5758671875,-3.43678125,-2.39119921875
-4.8984921875,-4.47101171875,-0.59464453125,0.0952460937499999,-8.736703125,-8.3729453125,-4.11810546875,0.117390625,0.0983984374999998,-4.3865546875,-6.08182421875,-2.60553125,-0.58192578125,-5.317515625,-6.3204609375,-4.673625,2.70566015625,-6.1786875,-7.84004296875,-5.064203125,-9.52793359375,-0.352875,-10.81790234375,-8.7339609375,-3.951515625,0.18928125,-8.16401171875,-1.9238671875,-2.94378125,-2.74919921875
-3.9164921875,-3.50501171875,-0.62764453125,1.42624609375,-8.138703125,-7.7789453125,-3.25710546875,-0.893609375,-0.2866015625,-3.3775546875,-5.89082421875,-3.11353125,0.05507421875,-4.393515625,-6.6994609375,-5.313625,1.33666015625,-5.3476875,-8.49904296875,-6.287203125,-10.88793359375,0.142125,-9.99590234375,-9.0709609375,-5.303515625,-2.29671875,-8.01001171875,-1.2808671875,-2.71678125,-3.27919921875
