"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-1.71490625,1.20158203125,0.6435390625,-0.270085937500001,5.54704296875,3.81539453125,-1.16122265625,4.97565234375,-1.995046875,5.183453125,4.69756640625,-1.058953125,-4.5961171875,5.91041015625,8.21214453125,-1.58803515625,-8.5456875,1.1668671875,7.0112734375,5.478984375,0.0793320312499999,5.38098828125,6.8577890625,6.02366015625,2.769625,6.2404609375,4.33330859375,8.88677734375,0.4889609375,6.37809765625
1.09309375,4.98258203125,2.8395390625,5.9899140625,7.45004296875,9.52839453125,4.71477734375,9.14365234375,3.586953125,7.705453125,6.84956640625,0.948046875,-1.6681171875,8.57141015625,10.53314453125,1.75196484375,-8.7106875,3.0408671875,8.4362734375,7.431984375,2.91833203125,4.94798828125,8.2417890625,7.65766015625,4.401625,5.9354609375,4.29730859375,6.45277734375,-0.6800390625,5.83009765625
2.97809375,7.26558203125,4.2185390625,9.6659140625,8.23504296875,12.62739453125,8.24577734375,11.20065234375,5.556953125,9.015453125,8.34056640625,2.518046875,-0.5361171875,9.70141015625,11.68914453125,4.19996484375,-7.5836875,3.6378671875,8.7352734375,8.696984375,5.03533203125,5.10998828125,8.5597890625,8.50066015625,5.486625,5.0274609375,4.21130859375,4.52577734375,-1.3790390625,5.75309765625
4.03909375,8.11658203125,4.8645390625,10.7379140625,7.74604296875,13.09539453125,9.43777734375,11.31365234375,4.214953125,8.988453125,9.10756640625,3.707046875,-1.0741171875,9.30841015625,11.54414453125,5.62396484375,-4.9406875,3.1208671875,7.8962734375,9.157984375,6.38633203125,5.69098828125,7.8227890625,8.50766015625,6.015625,4.0014609375,4.08230859375,3.23377734375,-1.6460390625,6.06009765625
4.55409375,7.99858203125,5.0705390625,9.8769140625,6.17204296875,11.65139453125,8.94277734375,10.35465234375,0.942953125,7.838453125,9.22856640625,4.671046875,-2.6031171875,7.84041015625,10.32814453125,6.12196484375,-1.0116875,2.0328671875,6.2812734375,8.893984375,7.14933203125,6.20698828125,6.3947890625,7.89866015625,6.172625,3.6884609375,4.00130859375,2.68977734375,-1.5900390625,6.53409765625
4.69509375,7.42058203125,5.1015390625,7.9659140625,3.98504296875,9.27239453125,7.61877734375,9.39165234375,-2.674046875,5.998453125,8.83956640625,5.541046875,-4.2071171875,5.91641015625,8.53814453125,5.92896484375,3.5693125,1.0018671875,4.4522734375,8.128984375,7.57333203125,6.22198828125,4.8407890625,7.06866015625,6.222625,4.6984609375,4.14330859375,3.03777734375,-1.2570390625,6.99209765625
4.38609375,6.65258203125,5.0175390625,5.7069140625,1.80204296875,6.80239453125,6.15077734375,9.13165234375,-5.509046875,3.976453125,8.07356640625,6.288046875,-5.0891171875,4.06941015625,6.73214453125,5.27296484375,7.8803125,0.4568671875,2.9152734375,7.114984375,7.76233203125,5.64698828125,3.6907890625,6.38866015625,6.310625,6.8634609375,4.64830859375,4.35877734375,-0.6210390625,7.34609765625
3.39009375,5.64758203125,4.6445390625,3.4459140625,0.16204296875,4.76739453125,4.88377734375,9.57065234375,-7.063046875,2.194453125,7.03256640625,6.663046875,-4.8911171875,2.58941015625,5.30414453125,4.24096484375,10.8543125,0.4548671875,1.8922734375,5.996984375,7.49833203125,4.70298828125,3.1787890625,5.99366015625,6.302625,9.1044609375,5.42330859375,6.44877734375,0.2679609375,7.53309765625
1.52609375,4.18558203125,3.6985390625,1.2189140625,-0.67895703125,3.35539453125,3.82677734375,10.03465234375,-7.317046875,0.876453125,5.78456640625,6.255046875,-3.8821171875,1.47341015625,4.34314453125,2.76596484375,11.5233125,0.6398671875,1.2382734375,4.751984375,6.31633203125,3.58598828125,3.1007890625,5.68166015625,5.814625,9.9224609375,6.05730859375,8.69777734375,1.1329609375,7.42709765625
-1.09590625,2.12558203125,2.0265390625,-1.0520859375,-0.83895703125,2.45639453125,2.79177734375,9.61865234375,-6.603046875,0.00445312500000006,4.38556640625,4.714046875,-2.8561171875,0.48441015625,3.65714453125,0.77096484375,9.4203125,0.3838671875,0.5592734375,3.270984375,3.88133203125,2.18598828125,2.8867890625,5.04066015625,4.489625,8.3074609375,5.97430859375,10.22977734375,1.5139609375,6.85809765625
-3.96290625,-0.37441796875,-0.1924609375,-3.3250859375,-0.74795703125,1.77739453125,1.61777734375,7.83065234375,-5.518046875,-0.625546875,2.91856640625,2.024046875,-2.7061171875,-0.70558984375,2.94314453125,-1.62503515625,4.9413125,-0.8961328125,-0.5397265625,1.547984375,0.41733203125,0.17798828125,1.9127890625,3.72566015625,2.344625,4.4804609375,4.75530859375,10.27277734375,0.992960937500001,5.74909765625
-6.29990625,-2.80841796875,-2.4314609375,-5.3010859375,-0.95495703125,1.01939453125,0.37677734375,5.00365234375,-4.813046875,-1.294546875,1.50456640625,-1.338953125,-3.8651171875,-2.31658984375,1.97214453125,-4.01603515625,-0.6706875,-3.3661328125,-2.2137265625,-0.212015625,-3.19766796875,-2.52901171875,-0.1162109375,1.69766015625,-0.107375,-0.1065390625,2.40530859375,8.53477734375,-0.5560390625,4.22809765625
-7.42090625,-4.53041796875,-4.0474609375,-6.5130859375,-1.87895703125,0.0173945312500003,-0.63522265625,2.14465234375,-5.144046875,-2.244546875,0.28856640625,-4.516953125,-5.9901171875,-4.31158984375,0.69214453125,-5.84003515625,-5.8026875,-6.5811328125,-4.2997265625,-1.668015625,-5.81166796875,-5.46601171875,-2.9682109375,-0.73933984375,-2.086375,-3.5625390625,-0.62569140625,5.34977734375,-2.8840390625,2.60209765625
-7.10490625,-5.10241796875,-4.6234609375,-6.6060859375,-3.61695703125,-1.23860546875,-1.11822265625,0.32865234375,-6.808046875,-3.599546875,-0.62543359375,-6.624953125,-8.1651171875,-6.40058984375,-0.78885546875,-6.64803515625,-9.1546875,-9.6711328125,-6.4217265625,-2.550015625,-6.61966796875,-7.80901171875,-6.0102109375,-3.11233984375,-2.994375,-4.5845390625,-3.66469140625,1.51177734375,-5.4850390625,1.21009765625
-5.73490625,-4.55441796875,-4.1794609375,-5.5750859375,-5.87395703125,-2.62160546875,-1.01722265625,0.10665234375,-9.561046875,-5.304546875,-1.20843359375,-7.175953125,-9.5011171875,-8.17458984375,-2.27785546875,-6.35303515625,-10.2096875,-11.8071328125,-8.1817265625,-2.833015625,-5.58766796875,-8.98401171875,-8.5662109375,-5.02133984375,-2.762375,-3.0625390625,-6.12169140625,-2.07622265625,-7.8320390625,0.24209765625
-4.04790625,-3.33841796875,-3.1134609375,-3.7410859375,-8.03695703125,-3.84360546875,-0.53522265625,1.33565234375,-12.632046875,-7.077546875,-1.50243359375,-6.289953125,-9.6501171875,-9.24958984375,-3.53585546875,-5.28203515625,-9.2396875,-12.5751328125,-9.2847265625,-2.725015625,-3.39466796875,-9.07301171875,-10.2042109375,-6.25233984375,-1.845375,0.0544609375,-7.67169140625,-4.73422265625,-9.5580390625,-0.33390234375
-2.67990625,-2.01941796875,-1.9294609375,-1.4870859375,-9.33295703125,-4.43460546875,0.0507773437500001,3.44265234375,-14.917046875,-8.403546875,-1.54243359375,-4.566953125,-8.8461171875,-9.32158984375,-4.26985546875,-3.99703515625,-6.9296875,-12.0001328125,-9.5387265625,-2.480015625,-0.99266796875,-8.57201171875,-10.7682109375,-6.73133984375,-0.877375,3.3964609375,-8.23669140625,-6.12522265625,-10.4910390625,-0.68090234375
-1.79890625,-0.94441796875,-0.9354609375,0.9849140625,-9.05995703125,-3.88260546875,0.58077734375,5.78965234375,-15.333046875,-8.643546875,-1.29143359375,-2.717953125,-7.5121171875,-8.17958984375,-4.15185546875,-3.00303515625,-3.9376875,-10.2931328125,-8.7837265625,-2.195015625,0.88933203125,-7.80301171875,-10.2282109375,-6.40433984375,-0.267375,5.8274609375,-7.83369140625,-6.20022265625,-10.5720390625,-0.92090234375
-1.09090625,-0.12141796875,-0.1404609375,3.6629140625,-6.88795703125,-1.94560546875,1.02577734375,7.87265234375,-13.269046875,-7.318546875,-0.67843359375,-1.239953125,-5.8601171875,-5.79058984375,-2.96685546875,-2.54103515625,-0.7336875,-7.6401328125,-6.9287265625,-1.778015625,1.93533203125,-6.53901171875,-8.5812109375,-5.22733984375,-0.0313750000000002,6.7104609375,-6.50869140625,-5.12222265625,-9.8120390625,-1.05290234375
-0.0999062499999999,0.64958203125,0.6155390625,6.5159140625,-3.13895703125,1.08939453125,1.40377734375,9.35565234375,-8.944046875,-4.445546875,0.27556640625,-0.292953125,-3.8171171875,-2.43558984375,-0.81785546875,-2.58903515625,2.2463125,-4.2421328125,-4.1017265625,-1.106015625,2.10133203125,-4.21501171875,-5.9462109375,-3.29433984375,0.063625,5.8164609375,-4.40269140625,-3.27722265625,-8.3470390625,-1.01490234375
1.35309375,1.54258203125,1.4405390625,9.2869140625,1.17704296875,4.43139453125,1.72577734375,10.05565234375,-3.463046875,-0.692546875,1.37756640625,0.225046875,-1.3031171875,1.22841015625,1.78614453125,-2.95603515625,4.4723125,-0.4881328125,-0.7747265625,-0.200015625,1.41833203125,-0.49501171875,-2.6882109375,-0.92833984375,0.241625,3.2314609375,-1.84269140625,-1.26422265625,-6.4910390625,-0.79990234375
2.97409375,2.54658203125,2.2775390625,11.4559140625,4.71204296875,7.09039453125,2.00777734375,9.95665234375,1.556953125,2.833453125,2.33556640625,0.560046875,1.4188828125,4.33941015625,4.09514453125,-3.37403515625,5.5093125,2.9738671875,2.3252734375,0.760984375,0.0183320312499998,4.20298828125,0.5807890625,1.37866015625,0.611625,-0.5195390625,0.70030859375,0.28877734375,-4.6700390625,-0.47490234375
4.16909375,3.45658203125,2.9645390625,12.4329140625,6.35504296875,8.29239453125,2.28077734375,9.23065234375,4.633953125,5.046453125,2.92456640625,0.966046875,3.6068828125,6.13041015625,5.44614453125,-3.54903515625,5.3783125,5.3558671875,4.4812734375,1.578984375,-1.70466796875,8.58698828125,3.1687890625,3.17166015625,1.201625,-4.3605390625,2.77530859375,1.00477734375,-3.2550390625,-0.11790234375
