"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
1.47774609375,-0.97583984375,-3.5843515625,6.39226953125,2.305828125,2.31059765625,-7.03342578125,1.96734375,8.68644140625,-0.0527343749999999,-2.1810234375,-2.2947265625,6.50447265625,2.72001953125,2.83026171875,-6.611078125,-3.96655078125,4.080234375,3.32327734375,-1.36829296875,-4.9010390625,5.43046484375,8.093078125,3.74162109375,-0.96105859375,-2.73428515625,1.63775390625,3.07854296875,3.070578125,2.69428125
0.0187460937499999,-2.61883984375,-6.2603515625,6.02926953125,3.344828125,3.40359765625,-5.99742578125,1.12534375,10.10444140625,0.656265625,-1.2460234375,-1.9377265625,3.16047265625,3.73401953125,3.46726171875,-5.839078125,-5.11855078125,4.761234375,2.91027734375,-1.53529296875,-5.3060390625,5.36546484375,7.380078125,2.96462109375,-1.44005859375,-2.74928515625,-0.23224609375,1.73954296875,0.927578125,1.37928125
-1.37825390625,-4.07683984375,-8.2543515625,5.86826953125,4.065828125,4.08759765625,-4.97942578125,0.53434375,10.69444140625,1.016265625,-0.3390234375,-1.6567265625,-0.12952734375,4.02701953125,3.73426171875,-5.237078125,-6.18355078125,4.431234375,2.04027734375,-1.89529296875,-5.8200390625,5.05946484375,6.091078125,1.63262109375,-2.23305859375,-3.25128515625,-2.64024609375,0.13754296875,-1.329421875,-0.12571875
-2.70025390625,-5.35583984375,-9.6103515625,5.86526953125,4.329828125,4.30759765625,-3.99342578125,0.18234375,10.28644140625,0.974265625,0.4449765625,-1.4967265625,-2.97352734375,3.48301953125,3.53326171875,-4.839078125,-6.83655078125,3.031234375,0.67727734375,-2.49629296875,-6.3850390625,4.50646484375,4.212078125,-0.30337890625,-3.30405859375,-4.21528515625,-5.46424609375,-1.66345703125,-3.642421875,-1.80671875
-3.92325390625,-6.49983984375,-10.5593515625,5.89526953125,4.063828125,4.08159765625,-3.10942578125,-0.0306562500000001,8.92744140625,0.557265625,0.9669765625,-1.5097265625,-4.89252734375,2.21201953125,2.86426171875,-4.662078125,-6.72855078125,0.865234375,-1.04272265625,-3.35129296875,-6.9040390625,3.77346484375,1.944078125,-2.68037890625,-4.51305859375,-5.43028515625,-8.33924609375,-3.49145703125,-5.865421875,-3.56671875
-4.99425390625,-7.54583984375,-11.3373515625,5.82826953125,3.294828125,3.46559765625,-2.47842578125,-0.23165625,6.86544140625,-0.172734375,1.0739765625,-1.7457265625,-5.57252734375,0.49801953125,1.81126171875,-4.744078125,-5.76955078125,-1.530765625,-2.87372265625,-4.43929296875,-7.2950390625,2.95746484375,-0.380921875,-5.17837890625,-5.69005859375,-6.58928515625,-10.81424609375,-5.13245703125,-7.797421875,-5.25471875
-5.90025390625,-8.54083984375,-12.1133515625,5.58426953125,2.131828125,2.51159765625,-2.31442578125,-0.54865625,4.49144140625,-1.171734375,0.6159765625,-2.2557265625,-5.01852734375,-1.30698046875,0.49626171875,-5.166078125,-4.29755078125,-3.584765625,-4.55672265625,-5.71329296875,-7.5580390625,2.16446484375,-2.403921875,-7.42537890625,-6.71705859375,-7.43428515625,-12.53024609375,-6.40845703125,-9.257421875,-6.71871875
-6.78325390625,-9.60783984375,-13.0763515625,5.13526953125,0.703828125,1.23959765625,-2.83242578125,-1.11965625,2.23044140625,-2.424734375,-0.5230234375,-3.0887265625,-3.52852734375,-2.88598046875,-0.96173828125,-6.034078125,-2.97155078125,-4.877765625,-5.90572265625,-7.09629296875,-7.7670390625,1.49646484375,-3.842921875,-9.11637890625,-7.55305859375,-7.85728515625,-13.32624609375,-7.19545703125,-10.129421875,-7.84871875
-7.94325390625,-10.94283984375,-14.4833515625,4.47226953125,-0.859171875,-0.35440234375,-4.14942578125,-2.07765625,0.43844140625,-3.886734375,-2.3470234375,-4.2407265625,-1.54652734375,-4.01398046875,-2.43473828125,-7.398078125,-2.42855078125,-5.229765625,-6.80872265625,-8.46929296875,-8.0020390625,1.04646484375,-4.533921875,-10.07337890625,-8.20305859375,-7.91628515625,-13.22724609375,-7.41445703125,-10.370421875,-8.58471875
-9.61425390625,-12.66283984375,-16.5093515625,3.60126953125,-2.390171875,-2.17840234375,-6.13642578125,-3.45265625,-0.65655859375,-5.403734375,-4.6600234375,-5.5877265625,0.46447265625,-4.57198046875,-3.75673828125,-9.146078125,-2.92055078125,-4.702765625,-7.18472265625,-9.65529296875,-8.2820390625,0.885464843749999,-4.433921875,-10.23337890625,-8.64605859375,-7.75928515625,-12.36924609375,-7.01345703125,-9.980421875,-8.87971875
-11.64825390625,-14.58883984375,-18.9423515625,2.58226953125,-3.603171875,-3.92340234375,-8.34242578125,-5.04565625,-0.93355859375,-6.664734375,-7.0240234375,-6.8337265625,2.11047265625,-4.51798046875,-4.68673828125,-10.942078125,-4.17455078125,-3.531765625,-6.94672265625,-10.41329296875,-8.5250390625,1.04346484375,-3.605921875,-9.60337890625,-8.77905859375,-7.52228515625,-10.90724609375,-5.98145703125,-8.982421875,-8.66271875
