"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-0.9966328125,-7.0763359375,-6.842921875,8.67919140625,-8.17566015625,-15.74749609375,-6.0874140625,-6.6473046875,-4.16174609375,-7.3191875,-12.525265625,-14.070984375,13.0555703125,-15.141265625,-18.22209765625,-10.583515625,-8.2596875,-4.64538671875,-11.93479296875,-16.6073046875,-12.1430703125,0.0290312500000001,-8.377109375,-6.27426953125,-14.623578125,-6.3224609375,-5.9684375,-4.92582421875,1.15908984375,2.65398046875
2.1823671875,-6.1893359375,-6.145921875,12.97719140625,-7.13066015625,-14.27649609375,-5.2874140625,-2.3873046875,-4.60874609375,-5.5181875,-11.547265625,-11.944984375,12.4915703125,-13.245265625,-16.69709765625,-10.047515625,-8.2156875,-3.79038671875,-11.40279296875,-17.0813046875,-11.7200703125,1.02203125,-8.085109375,-7.10026953125,-15.131578125,-5.8494609375,-6.1514375,-3.39782421875,2.71308984375,3.79698046875
3.8803671875,-5.3813359375,-5.775921875,15.99019140625,-6.31466015625,-12.83749609375,-4.3794140625,0.1426953125,-4.54674609375,-4.1971875,-10.264265625,-10.299984375,11.4165703125,-12.282265625,-15.52709765625,-9.489515625,-7.7766875,-3.69738671875,-11.00379296875,-17.2293046875,-11.4140703125,1.42703125,-7.811109375,-8.11126953125,-15.509578125,-5.5184609375,-6.7504375,-2.35082421875,3.22808984375,3.56598046875
4.0963671875,-4.8233359375,-5.757921875,17.25719140625,-5.80566015625,-11.62449609375,-3.5774140625,0.7506953125,-4.12074609375,-3.5351875,-8.910265625,-9.235984375,9.8055703125,-12.287265625,-14.84009765625,-9.025515625,-6.9836875,-4.37638671875,-10.85079296875,-17.1203046875,-11.2590703125,1.16503125,-7.651109375,-9.32726953125,-15.937578125,-5.4104609375,-7.7934375,-1.88982421875,2.65208984375,1.91798046875
3.3963671875,-4.5913359375,-5.888921875,16.82119140625,-5.55066015625,-10.77449609375,-3.0734140625,-0.0993046875000001,-3.57374609375,-3.4941875,-7.788265625,-8.654984375,7.9095703125,-12.884265625,-14.57409765625,-8.687515625,-5.9346875,-5.48338671875,-10.90179296875,-16.8133046875,-11.1480703125,0.43903125,-7.622109375,-10.54026953125,-16.516578125,-5.4494609375,-9.0074375,-1.90182421875,1.43408984375,-0.579019531249999
2.6663671875,-4.5273359375,-5.754921875,15.33119140625,-5.33766015625,-10.23049609375,-2.8534140625,-1.4303046875,-3.02374609375,-3.7501875,-7.028265625,-8.245984375,6.2535703125,-13.416265625,-14.41509765625,-8.295515625,-4.6706875,-6.41138671875,-10.87079296875,-16.2003046875,-10.7960703125,-0.27196875,-7.552109375,-11.26526953125,-17.036578125,-5.3284609375,-9.7994375,-2.02282421875,0.431089843749999,-2.89301953125
2.7043671875,-4.3043359375,-4.931921875,13.75819140625,-4.88166015625,-9.75749609375,-2.6884140625,-2.2033046875,-2.38874609375,-3.8371875,-6.516265625,-7.611984375,5.4755703125,-13.230265625,-13.91709765625,-7.523515625,-3.1646875,-6.55738671875,-10.34979296875,-15.0393046875,-9.8880703125,-0.39196875,-7.147109375,-10.94526953125,-17.017578125,-4.6354609375,-9.4904375,-1.81282421875,0.534089843749999,-3.97001953125
3.8663671875,-3.6463359375,-3.273921875,12.86019140625,-3.99866015625,-9.12149609375,-2.3124140625,-1.8183046875,-1.49874609375,-3.4171875,-6.033265625,-6.473984375,6.0375703125,-12.011265625,-12.75209765625,-6.160515625,-1.4506875,-5.64138671875,-9.10379296875,-13.1653046875,-8.3430703125,0.43703125,-6.221109375,-9.33426953125,-16.042578125,-3.1524609375,-7.7274375,-1.05282421875,2.14908984375,-3.28101953125
5.9253671875,-2.5443359375,-1.077921875,12.79719140625,-2.73666015625,-8.26149609375,-1.6434140625,-0.3903046875,-0.27974609375,-2.4911875,-5.467265625,-4.842984375,7.9445703125,-9.939265625,-10.93509765625,-4.333515625,0.2533125,-3.87738671875,-7.28579296875,-10.7203046875,-6.4830703125,2.11103125,-4.917109375,-6.78726953125,-14.118578125,-1.0874609375,-4.7944375,0.0421757812499999,4.90608984375,-1.13301953125
8.1843671875,-1.2813359375,0.990078125,13.14719140625,-1.36466015625,-7.33549609375,-0.8554140625,1.3616953125,1.13725390625,-1.3741875,-4.910265625,-3.023984375,10.6725703125,-7.587265625,-8.87309765625,-2.531515625,1.5563125,-1.88738671875,-5.40479296875,-8.1863046875,-4.9460703125,4.08703125,-3.711109375,-4.19226953125,-11.784578125,0.9215390625,-1.5774375,0.91017578125,7.80708984375,1.46098046875
