"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.81221875,2.31339453125,1.73919921875,-0.441734375,3.6893046875,3.947625,3.93969140625,2.1188359375,-1.124296875,3.37594140625,2.57387109375,2.7477265625,-0.205015625000001,0.68246875,4.15698046875,4.78987109375,8.08174609375,7.49431640625,1.58784375,-1.8955625,-0.38841796875,4.70990625,2.90202734375,2.988046875,2.769671875,-0.5936328125,1.792765625,6.83833984375,3.59790234375,0.42803125
3.06021875,3.35439453125,3.04519921875,1.785265625,6.7703046875,6.519625,2.64769140625,4.1698359375,3.409703125,4.24994140625,2.82687109375,1.2687265625,-0.899015625000001,-0.28753125,4.93998046875,5.18687109375,8.92074609375,7.71631640625,2.70184375,-1.1295625,0.22858203125,4.82490625,3.95902734375,3.492046875,3.103671875,-0.1546328125,3.142765625,8.22333984375,4.29890234375,1.22103125
4.52721875,4.20439453125,3.81419921875,3.134265625,7.9923046875,8.289625,2.03669140625,5.1458359375,5.977703125,5.32194140625,3.29287109375,0.3377265625,-1.723015625,-0.264531250000001,5.96498046875,6.00687109375,7.77374609375,7.95831640625,3.84284375,-0.0195625000000001,1.19258203125,4.45090625,4.64602734375,4.455046875,3.688671875,0.3133671875,4.139765625,8.83033984375,4.71290234375,1.80803125
5.18821875,4.70439453125,4.05819921875,3.564265625,7.3793046875,9.174625,2.08169140625,5.0888359375,6.379703125,6.54494140625,3.83987109375,-0.0942734375000001,-2.972015625,0.629468749999999,7.11998046875,7.13887109375,4.75174609375,8.22431640625,4.96384375,1.3654375,2.46558203125,3.73090625,4.98902734375,5.801046875,4.476671875,0.7663671875,4.759765625,8.71433984375,4.82290234375,2.15003125
5.17621875,4.69039453125,3.83319921875,3.208265625,5.4833046875,9.230625,2.40169140625,4.3268359375,4.897703125,7.69694140625,4.18587109375,-0.2872734375,-4.896015625,1.88446875,8.10898046875,8.23087109375,0.82274609375,8.46131640625,5.94484375,2.7674375,3.79958203125,3.01090625,5.10602734375,7.266046875,5.300671875,1.1153671875,5.082765625,8.19533984375,4.68690234375,2.26703125
4.62821875,4.05939453125,3.09619921875,2.211265625,3.0143046875,8.537625,2.42469140625,3.2608359375,2.132703125,8.39794140625,4.02587109375,-0.5502734375,-7.393015625,2.84346875,8.54398046875,8.80587109375,-2.51125390625,8.53331640625,6.61184375,3.8244375,4.79358203125,2.65590625,5.10902734375,8.505046875,5.926671875,1.2633671875,5.226765625,7.65833984375,4.38490234375,2.23103125
3.63821875,2.86539453125,1.77319921875,0.704265625,0.6123046875,7.211625,1.74869140625,2.2528359375,-1.107296875,8.27994140625,3.19387109375,-1.0242734375,-9.823015625,2.98846875,8.12398046875,8.48287109375,-3.78525390625,8.28531640625,6.80184375,4.2354375,5.06258203125,2.87890625,5.03102734375,9.227046875,6.150671875,1.1743671875,5.280765625,7.35133984375,3.98490234375,2.14703125
2.31821875,1.36239453125,-0.0398007812499999,-1.125734375,-1.2046953125,5.485625,0.44769140625,1.6038359375,-3.887296875,7.22094140625,1.79987109375,-1.5522734375,-11.212015625,2.16046875,6.81998046875,7.17787109375,-2.18325390625,7.64031640625,6.46084375,3.9204375,4.43758203125,3.63590625,4.83802734375,9.311046875,5.892671875,0.9223671875,5.282765625,7.30433984375,3.54890234375,2.13003125
0.86421875,-0.0626054687499999,-1.96780078125,-2.992734375,-2.0246953125,3.740625,-0.94330859375,1.5338359375,-5.361296875,5.49394140625,0.23287109375,-1.7672734375,-10.821015625,0.60946875,4.92998046875,5.18487109375,2.05374609375,6.67131640625,5.68584375,3.0724375,3.08258203125,4.63190625,4.49302734375,8.844046875,5.245671875,0.6623671875,5.237765625,7.38133984375,3.14290234375,2.27503125
-0.470781249999999,-1.05860546875,-3.45580078125,-4.560734375,-1.6126953125,2.388625,-1.77930859375,2.1058359375,-5.101296875,3.66394140625,-1.00412890625,-1.3602734375,-8.706015625,-1.15753125,2.94998046875,3.05787109375,7.65674609375,5.58931640625,4.67584375,2.0504375,1.44458203125,5.45390625,3.99702734375,8.056046875,4.431671875,0.5423671875,5.143765625,7.41333984375,2.83790234375,2.61103125
-1.49578125,-1.50760546875,-4.05180078125,-5.575734375,-0.0826953124999998,1.660625,-1.74430859375,3.1498359375,-3.359296875,2.26394140625,-1.57212890625,-0.3602734375,-5.817015625,-2.67853125,1.31798046875,1.35787109375,12.80474609375,4.63231640625,3.61184375,1.1734375,0.0685820312500003,5.75290625,3.38802734375,7.160046875,3.675671875,0.6173671875,4.982765625,7.30033984375,2.66790234375,3.05803125
-2.21378125,-1.60060546875,-3.70080078125,-5.984734375,1.9803046875,1.427625,-1.05830859375,4.2608359375,-1.037296875,1.46094140625,-1.49812890625,0.7927265625,-3.511015625,-3.80453125,0.18498046875,0.39387109375,15.82374609375,3.93331640625,2.52684375,0.5244375,-0.64441796875,5.39790625,2.69502734375,6.199046875,3.069671875,0.8013671875,4.682765625,7.01633984375,2.56690234375,3.41403125
-2.85478125,-1.73360546875,-2.84580078125,-5.988734375,3.6023046875,1.205625,-0.33530859375,4.8988359375,0.675703125,0.94494140625,-1.19012890625,1.4457265625,-2.824015625,-4.75153125,-0.64801953125,0.09987109375,15.83074609375,3.44331640625,1.28684375,-0.0885625000000001,-0.60541796875,4.49290625,1.89202734375,5.017046875,2.516671875,0.9003671875,4.111765625,6.56233984375,2.34390234375,3.40303125
-3.75478125,-2.30560546875,-2.21980078125,-5.955734375,3.7843046875,0.380625,-0.20930859375,4.6268359375,0.829703125,0.14394140625,-1.22212890625,1.1087265625,-3.992015625,-5.88953125,-1.57201953125,0.10487109375,13.08574609375,2.96231640625,-0.31015625,-0.9985625,-0.0584179687499997,3.28290625,0.91402734375,3.386046875,1.802671875,0.7103671875,3.122765625,5.90333984375,1.75790234375,2.80503125
-5.14478125,-3.52160546875,-2.43880078125,-6.210734375,1.9643046875,-1.451375,-0.98930859375,3.3608359375,-0.888296875,-1.39705859375,-2.04212890625,-0.2532734375,-6.458015625,-7.43553125,-2.91501953125,-0.0301289062499999,8.91774609375,2.27231640625,-2.36415625,-2.4515625,0.56158203125,2.03190625,-0.28097265625,1.211046875,0.734671875,0.1423671875,1.650765625,4.97633984375,0.65290234375,1.59003125
-6.99278125,-5.28860546875,-3.65580078125,-6.846734375,-1.6846953125,-4.240375,-2.57330859375,1.4638359375,-4.079296875,-3.71305859375,-3.73412890625,-2.2212734375,-9.256015625,-9.28253125,-4.73701953125,-0.56812890625,5.17674609375,1.30031640625,-4.74915625,-4.4325625,0.84158203125,0.94590625,-1.64497265625,-1.327953125,-0.715328125,-0.7086328125,-0.199234375,3.74233984375,-0.91709765625,-0.0139687500000001
-8.99178125,-7.24860546875,-5.50980078125,-7.666734375,-6.3046953125,-7.491375,-4.60130859375,-0.4221640625,-7.868296875,-6.37705859375,-5.97412890625,-4.1792734375,-11.465015625,-11.04253125,-6.77801953125,-1.47012890625,3.37174609375,0.205316406250001,-7.11715625,-6.6375625,0.57858203125,0.165906249999999,-3.01497265625,-3.780953125,-2.361328125,-1.5906328125,-2.132234375,2.28733984375,-2.66309765625,-1.59496875
-10.71178125,-8.91660546875,-7.34280078125,-8.304734375,-10.7156953125,-10.500375,-6.68030859375,-1.7191640625,-11.292296875,-8.70505859375,-8.16412890625,-5.6632734375,-12.513015625,-12.26253125,-8.58201953125,-2.45012890625,3.94074609375,-0.666683593749999,-9.01215625,-8.5995625,-0.15141796875,-0.208093750000001,-4.14097265625,-5.601953125,-3.866328125,-2.2176328125,-3.746234375,0.87233984375,-4.17509765625,-2.72496875
-11.78178125,-9.87460546875,-8.50780078125,-8.406734375,-13.8746953125,-12.652375,-8.48330859375,-2.1641640625,-13.592296875,-10.07805859375,-9.68912890625,-6.5452734375,-12.203015625,-12.63353125,-9.69301953125,-3.16012890625,6.14674609375,-0.951683593749999,-10.04315625,-9.8755625,-1.04441796875,-0.0880937500000005,-4.76797265625,-6.370953125,-4.875328125,-2.4026328125,-4.682234375,-0.12066015625,-5.09209765625,-3.15396875
-12.00678125,-9.91060546875,-8.60580078125,-7.781734375,-15.2026953125,-13.618375,-9.71430859375,-1.8451640625,-14.330296875,-10.19205859375,-10.15512890625,-6.9522734375,-10.591015625,-12.10053125,-9.83701953125,-3.37112890625,8.66274609375,-0.45268359375,-10.02115625,-10.2155625,-1.72341796875,0.57190625,-4.73097265625,-5.984953125,-5.179328125,-2.1396328125,-4.786234375,-0.35566015625,-5.26809765625,-2.92096875
-11.35078125,-9.04760546875,-7.61580078125,-6.483734375,-14.6676953125,-13.404375,-10.06030859375,-1.0551640625,-13.381296875,-9.12605859375,-9.52112890625,-7.0352734375,-7.858015625,-10.83553125,-9.01901953125,-3.05312890625,10.38174609375,0.74731640625,-9.03615625,-9.6375625,-1.93341796875,1.70890625,-4.04697265625,-4.703953125,-4.806328125,-1.6096328125,-4.188234375,0.26933984375,-4.83409765625,-2.33196875
-9.85878125,-7.46360546875,-5.88180078125,-4.799734375,-12.6226953125,-12.271375,-9.25330859375,-0.0991640624999999,-10.891296875,-7.23905859375,-8.05912890625,-6.7722734375,-4.332015625,-9.13953125,-7.50101953125,-2.34712890625,10.90674609375,2.31531640625,-7.41215625,-8.4015625,-1.67441796875,3.09390625,-2.93897265625,-3.043953125,-4.010328125,-1.1036328125,-3.259234375,1.51633984375,-4.14209765625,-1.82296875
-7.62078125,-5.40360546875,-3.94980078125,-3.138734375,-9.5426953125,-10.578375,-7.24630859375,0.8148359375,-7.254296875,-4.99105859375,-6.21112890625,-5.9772734375,-0.553015625,-7.34253125,-5.68701953125,-1.46612890625,10.50074609375,3.80431640625,-5.60115625,-6.8945625,-1.18841796875,4.35290625,-1.77397265625,-1.557953125,-3.156328125,-0.9136328125,-2.460234375,2.88933984375,-3.59609765625,-1.75996875
-4.83078125,-3.14760546875,-2.30980078125,-1.847734375,-5.8656953125,-8.655375,-4.39230859375,1.5858359375,-3.094296875,-2.79005859375,-4.43012890625,-4.5212734375,2.744984375,-5.75053125,-3.97901953125,-0.61812890625,9.68774609375,4.81831640625,-4.05115625,-5.4995625,-0.81641796875,5.08790625,-0.93297265625,-0.626953125,-2.566328125,-1.2026328125,-2.158234375,3.84933984375,-3.46309765625,-2.26196875
-1.90978125,-1.04060546875,-1.19880078125,-1.088734375,-2.0336953125,-6.772375,-1.44230859375,2.1398359375,0.801703125,-0.94205859375,-3.07312890625,-2.5892734375,4.862984375,-4.62753125,-2.68701953125,0.0138710937500002,8.82274609375,5.08931640625,-3.11115625,-4.4935625,-0.81141796875,5.02090625,-0.68797265625,-0.366953125,-2.408328125,-1.9476328125,-2.506234375,4.02433984375,-3.78009765625,-3.16296875
0.472218750000001,0.49539453125,-0.58780078125,-0.821734375000001,1.3653046875,-5.194375,0.70669140625,2.3498359375,3.641703125,0.33694140625,-2.36712890625,-0.7542734375,5.412984375,-4.18853125,-1.99701953125,0.24487109375,7.88274609375,4.47631640625,-2.98215625,-4.0265625,-1.22141796875,4.09190625,-1.13997265625,-0.673953125,-2.674328125,-2.9486328125,-3.414234375,3.33133984375,-4.39009765625,-4.10496875
1.61221875,1.06439453125,-0.30780078125,-0.880734375,3.6083046875,-4.211375,1.41269140625,2.0718359375,4.889703125,0.90994140625,-2.40712890625,0.2457265625,4.475984375,-4.53753125,-1.96701953125,-0.0901289062499999,6.60274609375,2.97231640625,-3.67515625,-4.1095625,-1.90041796875,2.48390625,-2.19997265625,-1.333953125,-3.236328125,-3.9336328125,-4.611234375,1.97833984375,-5.04809765625,-4.71196875
1.14621875,0.48939453125,-0.21780078125,-1.054734375,4.1023046875,-4.048375,0.59769140625,1.2878359375,4.497703125,0.75394140625,-3.15212890625,-0.1022734375,2.522984375,-5.58053125,-2.50701953125,-1.05712890625,4.82674609375,0.78531640625,-4.96615625,-4.6245625,-2.59741796875,0.617906249999999,-3.57597265625,-2.102953125,-3.912328125,-4.6506328125,-5.720234375,0.40133984375,-5.48509765625,-4.72896875
-0.712781249999999,-1.04560546875,-0.32280078125,-1.168734375,2.6923046875,-4.746375,-1.25030859375,0.1948359375,2.909703125,-0.02105859375,-4.44412890625,-1.7892734375,0.180984375,-6.99253125,-3.38301953125,-2.53812890625,2.81774609375,-1.61268359375,-6.41715625,-5.3495625,-3.09241796875,-0.93909375,-4.81097265625,-2.738953125,-4.540328125,-4.9586328125,-6.346234375,-0.844660156250001,-5.44409765625,-4.09796875
-3.27978125,-3.06060546875,-0.80480078125,-1.176734375,-0.2366953125,-6.136375,-3.38530859375,-0.8781640625,0.768703125,-1.21705859375,-6.06212890625,-4.3052734375,-2.031015625,-8.31753125,-4.31301953125,-4.25912890625,1.20874609375,-3.56468359375,-7.51615625,-6.0595625,-3.32441796875,-1.64509375,-5.42697265625,-3.036953125,-5.033328125,-4.8796328125,-6.208234375,-1.25666015625,-4.73809765625,-2.97296875
-5.80078125,-5.02460546875,-1.92580078125,-1.192734375,-3.9306953125,-7.929375,-5.18330859375,-1.6811640625,-1.454296875,-2.66305859375,-7.80712890625,-6.9222734375,-3.885015625,-9.19353125,-5.10801953125,-5.91612890625,0.592746093750001,-4.45468359375,-7.90515625,-6.6435625,-3.44941796875,-1.21209375,-5.14397265625,-2.904953125,-5.429328125,-4.6206328125,-5.264234375,-0.578660156250001,-3.34309765625,-1.69096875
-7.81178125,-6.60960546875,-3.82680078125,-1.412734375,-7.5546953125,-9.827375,-6.39030859375,-2.1761640625,-3.629296875,-4.29205859375,-9.54712890625,-9.0322734375,-5.442015625,-9.54953125,-5.75701953125,-7.31112890625,1.03174609375,-3.96968359375,-7.55815625,-7.1625625,-3.75941796875,0.25790625,-4.02997265625,-2.425953125,-5.883328125,-4.5166328125,-3.772234375,1.07933984375,-1.46209765625,-0.67296875
-9.23278125,-7.77560546875,-6.34480078125,-1.956734375,-10.4256953125,-11.584375,-7.11130859375,-2.4991640625,-5.807296875,-6.09605859375,-11.19912890625,-10.3232734375,-6.860015625,-9.63553125,-6.38201953125,-8.39612890625,1.90474609375,-2.25268359375,-6.79215625,-7.7735625,-4.51041796875,2.29890625,-2.48697265625,-1.849953125,-6.576328125,-4.8926328125,-2.194234375,3.29633984375,0.52190234375,-0.26996875
