"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
0.2756953125,-8.9534609375,-2.540921875,3.58865234375,5.808875,3.30102734375,7.8035703125,0.45225,5.0087265625,8.61653515625,-0.30555859375,-2.0608671875,-2.947515625,-2.4210859375,-2.32600390625,0.35996875,-9.86765625,3.40914453125,10.91306640625,-0.957671875,-0.20104296875,4.138953125,-1.269328125,2.34012890625,-4.16696875,-7.21878125,-9.58212890625,-3.19042578125,-5.06330859375,-6.69140234375
3.3866953125,-5.3004609375,-0.264921875,7.71565234375,2.438875,6.58702734375,3.6105703125,3.03525,7.5357265625,12.11553515625,0.24044140625,1.6791328125,-2.763515625,1.6049140625,2.22399609375,4.09896875,-7.47265625,5.83514453125,14.57206640625,2.456328125,2.08995703125,5.780953125,1.171671875,5.98512890625,-0.38596875,-3.52478125,-7.09012890625,-1.24242578125,-2.33730859375,-5.09540234375
5.2546953125,-2.9524609375,0.885078125,10.83165234375,0.144875,8.24502734375,1.2245703125,4.38225,7.7697265625,13.84353515625,0.34244140625,3.8181328125,-2.639515625,3.5999140625,4.58299609375,5.94396875,-6.12265625,7.08814453125,16.46306640625,4.035328125,3.18495703125,6.678953125,2.499671875,8.05512890625,1.50903125,-1.44578125,-6.07112890625,-0.31142578125,-1.07730859375,-4.39140234375
6.0046953125,-1.8894609375,1.101078125,12.59865234375,-0.781125,8.29502734375,0.6185703125,4.67925,6.0447265625,13.85553515625,-0.0335585937499996,4.4811328125,-2.044515625,3.6259140625,4.78099609375,5.92896875,-5.74665625,7.35214453125,16.56106640625,3.790328125,3.14695703125,6.948953125,2.855671875,8.57712890625,1.63103125,-0.90978125,-6.40012890625,-0.20542578125,-1.05030859375,-4.39640234375
6.1276953125,-1.8304609375,0.895078125,12.91465234375,-0.380125,7.28602734375,1.2615703125,4.50225,3.4697265625,12.73153515625,-0.78055859375,4.2721328125,-0.562515625,2.3649140625,3.49699609375,4.67696875,-5.92865625,7.13114453125,15.36006640625,2.304328125,2.43595703125,6.892953125,2.684671875,8.04212890625,0.69103125,-1.34578125,-7.47812890625,-0.41642578125,-1.54930859375,-4.62040234375
6.1216953125,-2.5374609375,0.754078125,11.89865234375,0.900875,5.95802734375,2.4565703125,4.45025,1.2427265625,11.18553515625,-1.72255859375,3.8761328125,1.625484375,0.6759140625,1.59499609375,2.99796875,-6.15165625,6.87414453125,13.55006640625,0.368328125,1.64695703125,6.745953125,2.386671875,7.06212890625,-0.44496875,-2.03278125,-8.58612890625,-0.45642578125,-1.84130859375,-4.57740234375
6.2116953125,-3.8804609375,0.899078125,9.82165234375,2.302875,4.87902734375,3.6155703125,4.81225,0.0557265624999999,9.72153515625,-2.72255859375,3.7241328125,3.755484375,-0.8150859375,-0.27300390625,1.50996875,-6.05365625,6.73314453125,11.69606640625,-1.374671875,1.23695703125,6.562953125,2.109671875,6.08312890625,-1.15596875,-2.42078125,-9.20112890625,-0.0814257812499997,-1.49030859375,-4.00840234375
6.3136953125,-5.6574609375,1.283078125,7.07965234375,3.052875,4.26902734375,4.3825703125,5.47925,-0.0682734375000003,8.53153515625,-3.72355859375,3.8941328125,5.001484375,-1.8760859375,-1.80100390625,0.47796875,-5.56965625,6.59914453125,10.11406640625,-2.599671875,1.37295703125,6.303953125,1.790671875,5.29412890625,-1.22796875,-2.27578125,-9.11912890625,0.71657421875,-0.412308593750001,-2.92340234375
6.1956953125,-7.4274609375,1.705078125,4.23765234375,2.758875,4.05202734375,4.6615703125,6.06825,0.4577265625,7.61453515625,-4.69855859375,4.1941328125,5.041484375,-2.5910859375,-2.94400390625,-0.13903125,-4.93565625,6.29614453125,8.90806640625,-3.268671875,1.92395703125,5.986953125,1.334671875,4.70712890625,-0.79996875,-1.67678125,-8.42312890625,1.83657421875,1.24569140625,-1.48640234375
5.6756953125,-8.5724609375,1.943078125,2.02465234375,1.637875,4.03302734375,4.5625703125,6.16625,1.1887265625,6.92853515625,-5.57555859375,4.3261328125,4.219484375,-3.1650859375,-3.76200390625,-0.54103125,-4.55565625,5.74114453125,8.07506640625,-3.508671875,2.54395703125,5.723953125,0.742671875,4.27512890625,-0.19196875,-0.92078125,-7.36712890625,3.16057421875,3.23769140625,0.0915976562500003
