"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-11.082015625,-1.9934609375,2.4568515625,-2.7014140625,-10.912953125,-5.04965625,-7.25693359375,-3.44862890625,4.985359375,-9.3943515625,-3.191765625,-13.381625,-6.54445703125,-8.5208046875,-6.5644609375,-4.5087734375,-1.985203125,-5.73003125,-3.96412109375,-2.28754296875,-0.59641015625,-3.5471875,-5.430484375,-1.835921875,-0.76837890625,0.68363671875,-2.279359375,-3.7324609375,-1.916015625,-8.0456796875
-10.587015625,-2.2724609375,0.1518515625,-1.2654140625,-9.763953125,-4.53065625,-6.14693359375,-1.51962890625,0.608359375,-10.0653515625,-3.177765625,-13.051625,-7.15045703125,-8.2228046875,-5.9944609375,-2.8357734375,-1.681203125,-5.51603125,-3.71412109375,-1.30254296875,1.24158984375,-3.1821875,-4.196484375,-0.547921875,0.41962109375,1.49763671875,-0.808359375,-2.9824609375,-0.793015625,-7.1156796875
-10.851015625,-2.5954609375,-2.3431484375,-1.0274140625,-7.812953125,-3.69065625,-4.47093359375,-0.53962890625,-0.853640625,-9.8233515625,-2.729765625,-11.475625,-8.19245703125,-6.8978046875,-5.1714609375,-1.4387734375,-0.915203125,-4.64803125,-2.78912109375,-0.18954296875,2.42758984375,-2.5601875,-2.546484375,0.889078125,1.60462109375,2.44363671875,0.812640625,-1.8854609375,0.660984375,-5.5356796875
-11.714015625,-2.7944609375,-4.8801484375,-1.7934140625,-5.482953125,-2.56165625,-2.36093359375,-0.55262890625,0.00335937499999961,-8.7843515625,-1.876765625,-9.015625,-9.39245703125,-4.8438046875,-4.1094609375,-0.3617734375,0.252796875,-3.20203125,-1.29512109375,0.96145703125,2.92258984375,-1.6531875,-0.628484375,2.395078125,2.72662109375,3.36163671875,2.427640625,-0.5094609375,2.356984375,-3.5566796875
-12.771015625,-2.6954609375,-7.1161484375,-2.8864140625,-3.541953125,-1.33665625,-0.30293359375,-1.33962890625,1.625359375,-7.4013515625,-0.845765625,-6.610625,-10.16645703125,-2.7638046875,-2.9544609375,0.3512265625,1.532796875,-1.51203125,0.38087890625,1.95745703125,2.84358984375,-0.5781875,1.183515625,3.775078125,3.66162109375,3.96763671875,3.714640625,0.8235390625,3.987984375,-1.7706796875
-13.653015625,-2.2894609375,-8.6951484375,-3.4914140625,-2.616953125,-0.28565625,1.05806640625,-2.58662890625,2.556359375,-6.2043515625,0.0482343750000001,-5.232625,-9.87845703125,-1.3258046875,-1.9184609375,0.6512265625,2.480796875,0.00496874999999997,1.77987890625,2.60345703125,2.39758984375,0.4068125,2.456515625,4.793078125,4.27462109375,4.00663671875,4.312640625,1.6405390625,5.129984375,-0.7886796875
-14.240015625,-1.8194609375,-9.4991484375,-3.0574140625,-2.823953125,0.36734375,1.24006640625,-4.05762890625,2.234359375,-5.5303515625,0.576234375,-5.361625,-8.15545703125,-0.836804687499999,-1.1754609375,0.5542265625,2.642796875,0.99996875,2.58587890625,2.81645703125,1.81558984375,0.9848125,2.890515625,5.278078125,4.48062109375,3.40463671875,3.996640625,1.5495390625,5.447984375,-0.912679687500001
-14.662015625,-1.7064609375,-9.7561484375,-1.5484140625,-3.738953125,0.53334375,0.20506640625,-5.65262890625,1.100359375,-5.4223515625,0.692234375,-6.799625,-5.13145703125,-1.1778046875,-0.7904609375,0.1782265625,1.723796875,1.27396875,2.72987890625,2.66445703125,1.29458984375,0.9168125,2.421515625,5.187078125,4.29162109375,2.32863671875,2.793640625,0.4645390625,4.861984375,-1.9876796875
-15.151015625,-2.3444609375,-9.9071484375,0.5645859375,-4.682953125,0.25334375,-1.62093359375,-7.36162890625,0.0713593749999997,-5.6973515625,0.490234375,-8.915625,-1.48845703125,-1.9928046875,-0.7324609375,-0.3017734375,-0.230203125,0.79696875,2.34587890625,2.28845703125,0.93358984375,0.1518125,1.209515625,4.602078125,3.77762109375,1.09963671875,0.969640625,-1.3344609375,3.567984375,-3.5466796875
-15.887015625,-3.8934609375,-10.3251484375,2.5275859375,-5.137953125,-0.37465625,-3.63193359375,-9.21562890625,-0.165640625,-6.1263515625,0.0872343750000002,-11.073625,1.77954296875,-2.9318046875,-0.9494609375,-0.7837734375,-2.743203125,-0.29903125,1.63587890625,1.78745703125,0.68958984375,-1.1301875,-0.458484375,3.673078125,3.00862109375,0.00663671875000003,-1.102359375,-3.3674609375,1.914984375,-5.1046796875
-16.910015625,-6.1864609375,-11.1401484375,3.6395859375,-5.005953125,-1.26065625,-5.37293359375,-11.24662890625,0.456359375,-6.5753515625,-0.476765625,-12.942625,3.77954296875,-3.8038046875,-1.4384609375,-1.3287734375,-5.018203125,-1.75103125,0.75687890625,1.16045703125,0.41858984375,-2.5841875,-2.264484375,2.553078125,2.01062109375,-0.82836328125,-3.084359375,-5.1914609375,0.228984375,-6.4046796875
-18.100015625,-8.7904609375,-12.2801484375,3.5535859375,-4.544953125,-2.33265625,-6.65193359375,-13.44962890625,1.503359375,-7.0233515625,-1.235765625,-14.509625,4.07754296875,-4.5568046875,-2.2264609375,-2.1047734375,-6.279203125,-3.20403125,-0.21012109375,0.33645703125,-0.0424101562500002,-3.7951875,-3.921484375,1.377078125,0.78662109375,-1.47636328125,-4.748359375,-6.5474609375,-1.256015625,-7.4466796875
