"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-6.0785703125,2.81951171875,-1.3410234375,-1.96193359375,-1.276375,1.62412109375,7.461609375,5.22579296875,-2.8428203125,4.91715234375,0.8706796875,1.79525390625,-2.952625,6.11388671875,1.11544140625,2.4181328125,20.1563203125,9.94929296875,3.882765625,3.05830078125,-1.20524609375,11.7728671875,16.1123515625,9.12072265625,4.52400390625,-3.3466171875,12.824578125,11.41630859375,-1.876734375,-5.0317734375
-4.3515703125,1.45351171875,1.3899765625,-0.159933593750001,-1.078375,1.95512109375,5.758609375,7.31279296875,-1.6278203125,3.88215234375,0.5846796875,0.45525390625,-0.145624999999999,6.70688671875,1.37044140625,3.0121328125,21.2533203125,10.37729296875,4.325765625,4.10830078125,1.21575390625,6.3288671875,16.9453515625,10.22472265625,6.28100390625,0.0523828125000003,12.295578125,4.82230859375,-2.433734375,-1.8207734375
-2.5015703125,0.47951171875,3.3099765625,1.40306640625,-0.446375,2.45412109375,4.619609375,7.66479296875,-0.2338203125,3.57415234375,0.6496796875,-0.36374609375,2.519375,7.41188671875,1.66244140625,3.3551328125,21.5053203125,10.55829296875,4.615765625,4.55630078125,2.93175390625,2.4338671875,17.0013515625,10.44672265625,7.70400390625,3.3753828125,11.540578125,0.69630859375,-2.273734375,1.4212265625
-0.6945703125,-0.0314882812499999,4.1449765625,2.78806640625,0.891625,3.19312109375,4.201609375,6.19779296875,1.2851796875,4.02515234375,1.0016796875,-0.71074609375,4.408375,8.16288671875,1.84944140625,3.3411328125,20.8973203125,10.26529296875,4.495765625,4.27330078125,3.78775390625,0.0218671874999998,15.9133515625,9.47372265625,8.50100390625,6.3713828125,10.167578125,-1.22469140625,-1.752734375,4.1582265625
0.7954296875,-0.12148828125,3.8269765625,4.05606640625,2.953625,4.13712109375,4.486609375,3.41979296875,2.7211796875,5.01915234375,1.4496796875,-0.82174609375,4.852375,8.82388671875,1.76044140625,2.9381328125,19.6103203125,9.31629296875,3.719765625,3.32530078125,3.79575390625,-1.4601328125,13.4843515625,7.25572265625,8.41900390625,8.6943828125,7.823578125,-2.01669140625,-1.521734375,5.7222265625
1.7274296875,0.0825117187500001,2.5189765625,5.16606640625,5.337625,5.09712109375,5.294609375,0.18979296875,3.7681796875,6.18515234375,1.7896796875,-0.98474609375,3.633375,9.24788671875,1.31544140625,2.2161328125,17.8143203125,7.70029296875,2.235765625,1.95930078125,3.08975390625,-2.6771328125,9.8313515625,4.08872265625,7.36500390625,9.9703828125,4.444578125,-2.90169140625,-2.171734375,5.6332265625
1.9824296875,0.43751171875,0.5829765625,5.98706640625,7.360625,5.82612109375,6.363609375,-2.61520703125,4.1851796875,7.17315234375,1.9146796875,-1.39274609375,1.246375,9.35488671875,0.616441406249999,1.3291328125,15.5553203125,5.65929296875,0.289765625,0.53630078125,1.88675390625,-4.0061328125,5.4543515625,0.590722656249999,5.48100390625,9.9103828125,0.401578125,-4.56069140625,-3.898734375,3.8932265625
1.5604296875,0.82451171875,-1.4870234375,6.38006640625,8.417625,6.15312109375,7.439609375,-4.39620703125,3.9461796875,7.77915234375,1.8636796875,-2.08674609375,-1.306625,9.17288671875,-0.0655585937500005,0.4671328125,12.8293203125,3.64429296875,-1.607234375,-0.56869921875,0.45375390625,-5.3251328125,1.1843515625,-2.44727734375,3.15600390625,8.4713828125,-3.531421875,-6.78169140625,-6.318734375,1.1192265625
0.5194296875,1.15651171875,-3.1580234375,6.27406640625,8.288625,6.06112109375,8.304609375,-4.97220703125,3.2601796875,7.99215234375,1.7706796875,-2.98474609375,-3.057625,8.82688671875,-0.42155859375,-0.2158671875,9.7603203125,2.16929296875,-2.860234375,-1.08169921875,-0.91024609375,-6.1011328125,-2.0336484375,-4.30027734375,0.944003906249999,5.9963828125,-6.396421875,-8.63669140625,-8.547734375,-1.5797734375
-1.0525703125,1.35051171875,-4.0060234375,5.70206640625,7.210625,5.66112109375,8.764609375,-4.53620703125,2.4181796875,7.92215234375,1.7436796875,-3.97674609375,-3.556625,8.46288671875,-0.28255859375,-0.6518671875,6.7013203125,1.61029296875,-3.050234375,-0.91269921875,-1.92724609375,-5.7501328125,-3.4526484375,-4.56227734375,-0.598996093750001,3.1613828125,-7.391421875,-9.06469140625,-9.572734375,-3.0147734375
-2.9975703125,1.30251171875,-3.8850234375,4.78106640625,5.691625,5.09112109375,8.648609375,-3.49620703125,1.6181796875,7.68015234375,1.7596796875,-4.99574609375,-2.973625,8.15888671875,0.273441406249999,-0.9088671875,4.1683203125,2.05929296875,-2.154234375,-0.20869921875,-2.46224609375,-4.0261328125,-2.8166484375,-3.31427734375,-1.16099609375,0.679382812500001,-6.237421875,-7.53569140625,-8.794734375,-2.5247734375
-5.0345703125,0.89951171875,-3.0500234375,3.67506640625,4.221625,4.41512109375,7.852609375,-2.31320703125,0.8821796875,7.27615234375,1.6266796875,-6.03874609375,-1.806625,7.87288671875,0.92444140625,-1.1908671875,2.5953203125,3.28729296875,-0.607234375,0.65230078125,-2.62724609375,-1.2221328125,-0.490648437500001,-1.15327734375,-0.862996093750001,-1.1316171875,-3.376421875,-4.41969140625,-6.458734375,-0.4727734375
-6.7775703125,0.0785117187500001,-2.1010234375,2.54806640625,3.032625,3.57412109375,6.402609375,-1.42320703125,0.1131796875,6.61215234375,1.0786796875,-7.13374609375,-0.483625,7.44988671875,1.22744140625,-1.7678671875,2.0903203125,4.83929296875,0.845765625,1.15130078125,-2.79724609375,1.9338671875,2.6433515625,0.995722656249999,-0.261996093750001,-2.5686171875,0.143578125,-0.84269140625,-3.651734375,1.7512265625
-7.8485703125,-1.08648828125,-1.7420234375,1.53806640625,2.032625,2.41112109375,4.489609375,-1.17920703125,-0.7538203125,5.56515234375,-0.0693203124999999,-8.25774609375,0.865375,6.71788671875,0.805441406249999,-2.8308671875,2.3783203125,6.19829296875,1.454765625,0.81830078125,-3.43224609375,4.6058671875,5.5123515625,2.23172265625,-0.0759960937500006,-4.3456171875,3.099578125,1.87030859375,-1.786734375,2.4052265625
-8.0565703125,-2.35748828125,-2.4190234375,0.751066406249999,0.944625,0.79612109375,2.449609375,-1.73920703125,-1.6318203125,4.11315234375,-1.7833203125,-9.26774609375,2.337375,5.59588671875,-0.470558593750001,-4.3398671875,2.9993203125,6.98429296875,0.806765625,-0.53769921875,-4.79824609375,6.2248671875,7.2693515625,2.07872265625,-0.777996093750001,-7.0646171875,4.663578125,2.87830859375,-1.799734375,0.4512265625
-7.4835703125,-3.38448828125,-4.0730234375,0.285066406249999,-0.437375,-1.21887890625,0.688609375000001,-2.94620703125,-2.2748203125,2.43015234375,-3.7893203125,-9.88374609375,3.998375,4.19888671875,-2.39755859375,-5.9668671875,3.6323203125,7.10629296875,-0.977234375,-2.67469921875,-6.73824609375,6.7398671875,7.6313515625,0.711722656249999,-2.28499609375,-10.7376171875,4.785578125,2.25330859375,-3.558734375,-3.6727734375
-6.4355703125,-3.82848828125,-6.1250234375,0.231066406249999,-2.049375,-3.32087890625,-0.439390625,-4.31820703125,-2.4008203125,0.869152343749999,-5.6633203125,-9.74974609375,5.617375,2.83888671875,-4.49155859375,-7.1818671875,4.3033203125,6.79229296875,-3.278234375,-4.95569921875,-8.70024609375,6.5988671875,6.9653515625,-1.11227734375,-3.97499609375,-14.6756171875,4.168578125,0.92330859375,-5.900734375,-8.1677734375
-5.2835703125,-3.49648828125,-7.7430234375,0.633066406249999,-3.533375,-5.02987890625,-0.755390625,-5.23520703125,-1.8718203125,-0.174847656250001,-6.9893203125,-8.58274609375,6.652375,1.93488671875,-6.17655859375,-7.4738671875,5.3253203125,6.46829296875,-5.239234375,-6.60069921875,-10.00724609375,6.4808671875,6.0573515625,-2.42127734375,-5.02799609375,-17.8316171875,3.839578125,0.16030859375,-7.296734375,-10.8587734375
-4.3205703125,-2.44248828125,-8.2170234375,1.42606640625,-4.401375,-5.90587890625,-0.319390625,-5.22920703125,-0.8088203125,-0.443847656250001,-7.5163203125,-6.35674609375,6.571375,1.83088671875,-7.01455859375,-6.5968671875,7.0163203125,6.53129296875,-6.138234375,-7.02269921875,-10.21824609375,6.9128671875,5.7043515625,-2.48727734375,-4.86399609375,-19.3356171875,4.577578125,0.89430859375,-6.707734375,-10.4137734375
-3.6985703125,-0.97248828125,-7.2790234375,2.40306640625,-4.281375,-5.78087890625,0.586609375000001,-4.20220703125,0.4411796875,0.0401523437499995,-7.2513203125,-3.41774609375,5.323375,2.63688671875,-6.86355859375,-4.7128671875,9.4073203125,7.14229296875,-5.672234375,-6.08569921875,-9.33524609375,7.9998671875,6.3433515625,-1.14027734375,-3.42099609375,-18.8966171875,6.525578125,3.24530859375,-4.119734375,-7.0347734375
-3.4345703125,0.44951171875,-5.1890234375,3.26906640625,-3.131375,-4.85187890625,1.579609375,-2.43920703125,1.4611796875,0.965152343749999,-6.4283203125,-0.43274609375,3.563375,4.16188671875,-5.90355859375,-2.3438671875,12.1393203125,8.18529296875,-4.023234375,-4.13269921875,-7.74124609375,9.3878671875,7.9013515625,1.21972265625,-1.12899609375,-16.8576171875,9.167578125,6.48230859375,-0.499734375,-2.2797734375
-3.4465703125,1.40451171875,-2.5750234375,3.75606640625,-1.310375,-3.60187890625,2.331609375,-0.43120703125,1.9471796875,1.86115234375,-5.3783203125,1.86525390625,2.394375,5.98188671875,-4.50955859375,-0.1488671875,14.6233203125,9.38529296875,-1.706234375,-1.79469921875,-5.95124609375,10.4398671875,9.9103515625,3.87572265625,1.35800390625,-13.9566171875,11.640578125,9.37230859375,2.705265625,1.7782265625
-3.5995703125,1.69351171875,-0.1350234375,3.73506640625,0.548625,-2.56787890625,2.685609375,1.36779296875,1.8201796875,2.30715234375,-4.3733203125,3.00025390625,2.732375,7.60888671875,-3.08755859375,1.3641328125,16.3243203125,10.51129296875,0.700765625,0.30330078125,-4.34124609375,10.5248671875,11.7723515625,6.13172265625,3.47300390625,-10.9606171875,13.162578125,10.73030859375,4.219265625,3.5272265625
-3.7505703125,1.40851171875,1.6239765625,3.25406640625,1.798625,-2.10987890625,2.686609375,2.70279296875,1.2311796875,2.10515234375,-3.5593203125,2.95525390625,4.745375,8.66388671875,-1.92455859375,2.0221328125,16.9893203125,11.48929296875,2.767765625,1.78030078125,-3.02324609375,9.3078671875,13.0223515625,7.56572265625,4.93900390625,-8.3996171875,13.337578125,9.93330859375,3.439265625,2.4632265625
-3.8015703125,0.83551171875,2.4809765625,2.47106640625,2.045625,-2.30187890625,2.500609375,3.51479296875,0.4491796875,1.33015234375,-2.9583203125,2.12725390625,7.721375,8.98088671875,-1.12555859375,2.0011328125,16.6573203125,12.37029296875,4.300765625,2.57530078125,-1.89124609375,6.9008671875,13.4663515625,8.11972265625,5.80000390625,-6.4656171875,12.256578125,7.20630859375,0.640265625000001,-0.6987734375
-3.7275703125,0.29551171875,2.4629765625,1.54206640625,1.291625,-2.97887890625,2.296609375,3.83179296875,-0.3018203125,0.27415234375,-2.5203203125,1.08625390625,10.460375,8.61088671875,-0.61655859375,1.6941328125,15.5173203125,13.19229296875,5.312765625,2.88230078125,-0.76324609375,3.8388671875,13.1873515625,8.03072265625,6.31800390625,-5.0676171875,10.389578125,3.54330859375,-3.160734375,-4.4037734375
-3.5765703125,0.0255117187500001,1.7569765625,0.561066406249999,-0.0713750000000002,-3.84487890625,2.166609375,3.67879296875,-0.9408203125,-0.66584765625,-2.1423203125,0.31125390625,11.886375,7.77188671875,-0.191558593750001,1.5281328125,13.8013203125,13.85029296875,5.949765625,3.01230078125,0.49775390625,0.8748671875,12.4433515625,7.68172265625,6.83400390625,-3.9546171875,8.377578125,0.28430859375,-6.581734375,-6.9117734375
-3.4475703125,0.11951171875,0.6519765625,-0.439933593750001,-1.388375,-4.57987890625,2.138609375,3.10779296875,-1.5118203125,-1.10984765625,-1.6833203125,0.0352539062500004,11.523375,6.75788671875,0.39944140625,1.8101328125,11.8093203125,14.06729296875,6.392765625,3.23730078125,1.92875390625,-1.2911328125,11.5423515625,7.42572265625,7.62300390625,-2.8436171875,6.778578125,-1.47469140625,-8.396734375,-7.0087734375
-3.4755703125,0.52651171875,-0.5170234375,-1.45393359375,-1.980375,-4.94187890625,2.202609375,2.24279296875,-2.0988203125,-0.831847656250001,-1.0233203125,0.21825390625,9.587375,5.81388671875,1.30744140625,2.5981328125,9.9783203125,13.50229296875,6.753765625,3.65830078125,3.45675390625,-2.2631328125,10.7323515625,7.41772265625,8.75900390625,-1.5586171875,5.848578125,-1.35669140625,-8.006734375,-4.5387734375
-3.8185703125,1.05151171875,-1.4610234375,-2.50993359375,-1.462375,-4.87487890625,2.289609375,1.25879296875,-2.7928203125,0.10715234375,-0.1783203125,0.582253906250001,6.697375,5.01188671875,2.44744140625,3.6541328125,8.8343203125,11.91429296875,6.987765625,4.11530078125,4.86975390625,-2.1011328125,10.1153515625,7.51472265625,10.02100390625,-0.153617187499999,5.430578125,0.13130859375,-5.706734375,-0.5357734375
-4.6105703125,1.39551171875,-2.0610234375,-3.68093359375,-0.0183750000000003,-4.59687890625,2.235609375,0.28179296875,-3.7058203125,1.30015234375,0.6196796875,0.703253906250001,3.464375,4.20788671875,3.45044140625,4.4831328125,8.7683203125,9.30329296875,6.884765625,4.22130078125,5.80975390625,-1.3011328125,9.6153515625,7.32372265625,10.89600390625,1.0183828125,5.041578125,1.82430859375,-2.602734375,3.1712265625
-5.8665703125,1.23551171875,-2.4380234375,-5.05393359375,1.596625,-4.52087890625,1.802609375,-0.67820703125,-4.9798203125,2.11515234375,0.9716796875,0.16825390625,0.244375,3.14288671875,3.79144140625,4.5041328125,9.7543203125,5.96929296875,6.179765625,3.55130078125,5.85975390625,-0.579132812500001,9.0463515625,6.40772265625,10.76100390625,1.3763828125,4.130578125,2.43730859375,-0.144734375,4.7452265625
-7.4095703125,0.35651171875,-2.8890234375,-6.63993359375,2.385625,-5.04087890625,0.806609375000001,-1.67320703125,-6.7118203125,1.97415234375,0.4986796875,-1.23674609375,-2.862625,1.65088671875,3.06044140625,3.3111328125,11.2113203125,2.44629296875,4.720765625,1.89130078125,4.72275390625,-0.5411328125,8.2293515625,4.56572265625,9.17300390625,0.3423828125,2.412578125,1.16430859375,0.506265625000001,3.1812265625
-8.8875703125,-1.21348828125,-3.6970234375,-8.30993359375,1.625625,-6.26987890625,-0.726390625,-2.72220703125,-8.8488203125,0.663152343749999,-0.8973203125,-3.38774609375,-5.821625,-0.16811328125,1.23544140625,0.8991328125,12.2043203125,-0.652707031249999,2.615765625,-0.57169921875,2.40975390625,-1.4271328125,7.1103515625,2.00372265625,6.13500390625,-2.3546171875,0.0595781249999998,-1.95369140625,-1.006734375,-1.2277734375
