"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
4.58177734375,7.595140625,13.50923046875,10.22294921875,25.762984375,16.68150390625,17.017125,12.01574609375,4.6718046875,12.39655859375,17.48272265625,8.01905859375,-8.15319140625,8.84883984375,13.46228125,7.6678046875,6.32452734375,0.78066015625,7.7888984375,10.37926171875,2.78314453125,-13.25945703125,11.06954296875,5.09368359375,-2.94456640625,-3.987828125,-15.01933984375,-12.1406796875,-23.43425390625,-16.07025390625
2.61177734375,5.560140625,12.60223046875,5.25294921875,16.156984375,10.28250390625,9.052125,9.38074609375,5.6118046875,6.52055859375,9.33172265625,7.17005859375,-6.68019140625,5.38383984375,6.58028125,3.7238046875,5.85552734375,0.55466015625,2.3368984375,5.22226171875,1.35414453125,-11.07945703125,8.30154296875,0.70168359375,-1.56056640625,-0.305828125,-13.76033984375,-9.1526796875,-17.74825390625,-9.50725390625
-0.18422265625,1.894140625,8.77823046875,1.04594921875,5.983984375,2.23450390625,0.662125,5.65774609375,2.6578046875,-1.19044140625,0.86372265625,4.76405859375,-6.53819140625,0.11283984375,-1.09871875,-0.6011953125,5.20052734375,-0.950339843750001,-3.4101015625,0.53826171875,0.67114453125,-9.79545703125,5.36754296875,-2.87031640625,0.10643359375,2.486171875,-11.51233984375,-6.4516796875,-12.12725390625,-3.19125390625
-3.34322265625,-2.620859375,2.61723046875,-1.84505078125,-3.693015625,-6.32349609375,-7.173875,1.36774609375,-3.3171953125,-9.53744140625,-6.81327734375,1.33605859375,-7.33319140625,-5.85616015625,-8.42571875,-4.4931953125,4.43152734375,-3.02933984375,-8.4741015625,-2.89273828125,1.07314453125,-8.89745703125,3.10754296875,-4.76331640625,2.38943359375,4.361171875,-7.98633984375,-3.7526796875,-6.57325390625,2.70074609375
-5.99222265625,-6.557859375,-4.18376953125,-2.88605078125,-11.202015625,-13.34449609375,-12.988875,-2.47725390625,-9.8881953125,-16.39044140625,-12.15327734375,-2.00594140625,-8.18419140625,-10.57216015625,-13.70971875,-6.8781953125,3.69852734375,-4.40833984375,-11.5761015625,-4.31373828125,2.65514453125,-7.54245703125,2.54054296875,-4.28731640625,5.45243359375,5.412171875,-3.30633984375,-0.713679687500001,-1.24625390625,7.84974609375
-7.30622265625,-8.717859375,-9.70176953125,-1.82805078125,-15.123015625,-16.99349609375,-15.626875,-4.89125390625,-14.4131953125,-19.85344140625,-14.02727734375,-4.23694140625,-8.22719140625,-12.35616015625,-15.67071875,-7.0771953125,3.13852734375,-4.00533984375,-11.8881015625,-3.47773828125,5.13514453125,-5.09545703125,4.21854296875,-1.40031640625,9.05743359375,5.640171875,1.91766015625,2.7793203125,3.47274609375,11.80774609375
-6.93822265625,-8.748859375,-12.59076953125,1.03994921875,-15.153015625,-16.65649609375,-14.956875,-5.37325390625,-15.3861953125,-19.30544140625,-12.41827734375,-4.91794140625,-7.02819140625,-10.73016015625,-14.15871875,-5.2151953125,2.83452734375,-1.55333984375,-9.5401015625,-0.85773828125,7.87314453125,-1.50845703125,7.85554296875,3.15468359375,12.58243359375,4.874171875,6.80166015625,6.5303203125,7.14174609375,14.15874609375
-5.21122265625,-7.227859375,-12.45476953125,4.84394921875,-12.384015625,-13.27749609375,-12.028875,-4.10925390625,-13.0701953125,-15.72044140625,-8.54227734375,-4.30594140625,-4.75519140625,-6.67416015625,-10.27471875,-2.1971953125,2.80352734375,2.23766015625,-5.6151015625,2.49126171875,10.06514453125,2.66754296875,12.41454296875,8.10168359375,15.24643359375,2.841171875,10.53266015625,10.1473203125,9.46474609375,14.69274609375
-2.99822265625,-5.248859375,-9.78776953125,8.35394921875,-8.780015625,-8.87249609375,-8.568875,-1.87925390625,-9.1641953125,-11.19044140625,-4.32127734375,-3.11494140625,-2.07919140625,-2.13116015625,-5.90371875,0.6868046875,2.99552734375,6.02066015625,-1.6951015625,5.32126171875,10.99414453125,6.52454296875,16.53254296875,12.07468359375,16.36743359375,-0.678828125000001,12.62266015625,13.1833203125,10.38074609375,13.47374609375
-1.32722265625,-3.757859375,-5.61876953125,10.42594921875,-6.200015625,-5.55949609375,-6.172875,0.29674609375,-5.7861953125,-7.92744140625,-1.52427734375,-2.09394140625,0.132808593749999,0.922839843749999,-2.90371875,2.3038046875,3.29452734375,8.45466015625,0.7988984375,6.62626171875,10.26314453125,9.16654296875,19.04654296875,14.04868359375,15.55343359375,-5.679828125,12.94466015625,15.2183203125,9.97474609375,10.76174609375
