"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-49.580203125,-54.13059765625,-55.46873046875,-50.2771328125,-48.07504296875,-57.52342578125,-48.874046875,-37.2125546875,-47.36057421875,-50.31980859375,-54.70493359375,-43.2409140625,-45.5601171875,-44.06191015625,-48.0310703125,-47.18979296875,-42.2986171875,-38.93721484375,-44.24205859375,-48.18840625,-43.32418359375,-41.61359375,-40.37452734375,-46.98101171875,-46.14692578125,-58.5627578125,-47.21271875,-50.91077734375,-47.87680859375,-43.09991796875
-26.079203125,-28.25059765625,-32.46073046875,-31.4791328125,-23.91004296875,-32.55242578125,-28.679046875,-16.9435546875,-25.52957421875,-26.92180859375,-30.27293359375,-21.6109140625,-19.4741171875,-19.55991015625,-22.6160703125,-21.06179296875,-15.0936171875,-13.15321484375,-18.46305859375,-20.99440625,-17.46118359375,-16.23959375,-14.74652734375,-18.64501171875,-18.41392578125,-31.1857578125,-18.77371875,-24.84877734375,-21.72780859375,-18.08091796875
-13.488203125,-14.55259765625,-20.48973046875,-20.8471328125,-11.05904296875,-19.51842578125,-18.189046875,-6.2875546875,-13.69557421875,-14.65980859375,-17.25193359375,-11.5029140625,-5.0881171875,-6.08491015625,-8.8080703125,-7.26379296875,-0.777617187500002,1.12778515625,-4.44605859375,-6.04440625,-3.86518359375,-1.70059375,-0.888527343749999,-3.11301171875,-3.78392578125001,-16.7767578125,-3.60371875,-10.63577734375,-7.97680859375,-5.75791796875
-11.197203125,-12.22459765625,-18.74673046875,-17.7971328125,-8.88204296875,-17.47842578125,-16.486046875,-4.4675546875,-11.18357421875,-12.77480859375,-14.68393359375,-11.5419140625,-1.5951171875,-2.93991015625,-5.8510703125,-4.87479296875,1.3973828125,4.55978515625,-1.50205859375,-2.64640625,-1.71118359375,2.55240625,1.96247265625,0.206988281250002,-1.55492578125,-14.5657578125,-1.06171875,-7.54477734375,-5.86580859375,-5.22991796875
-15.557203125,-17.05459765625,-23.35973046875,-19.5491328125,-13.57404296875,-22.12442578125,-19.917046875,-7.9905546875,-14.57557421875,-17.43380859375,-18.47993359375,-17.1169140625,-4.9541171875,-6.46191015625,-9.8530703125,-9.53879296875,-4.1436171875,0.905785156249999,-5.73705859375,-6.76940625,-6.71018359375,-0.0705937500000005,-2.18452734375,-4.57101171875,-7.36492578125,-20.1037578125,-6.80771875,-11.57677734375,-11.15480859375,-11.95591796875
-22.252203125,-24.17759765625,-29.94473046875,-22.9981328125,-20.61504296875,-28.57542578125,-24.451046875,-12.9195546875,-19.94457421875,-24.24380859375,-24.16193359375,-23.3519140625,-10.5661171875,-12.49391015625,-16.4140703125,-16.31279296875,-12.1106171875,-5.47821484375,-12.65905859375,-13.73140625,-13.87918359375,-5.63159375,-8.72952734375,-12.53201171875,-16.01992578125,-28.0977578125,-15.62871875,-18.09177734375,-18.87180859375,-20.64091796875
-27.862203125,-29.87859765625,-35.23873046875,-25.8141328125,-26.42304296875,-33.22942578125,-27.188046875,-16.4095546875,-24.26057421875,-29.88280859375,-28.54893359375,-26.8889140625,-15.0051171875,-17.89691015625,-22.2650703125,-21.55579296875,-18.3516171875,-11.23921484375,-18.84105859375,-19.96140625,-19.41418359375,-11.08659375,-14.20752734375,-19.79801171875,-23.43892578125,-34.3947578125,-23.40871875,-23.54377734375,-25.19880859375,-27.25691796875
-30.452203125,-32.20159765625,-37.56273046875,-26.7521328125,-28.96604296875,-34.35242578125,-26.804046875,-17.2405546875,-25.84357421875,-32.60480859375,-30.16393359375,-26.3009140625,-16.5171171875,-20.94991015625,-25.6870703125,-23.50279296875,-20.6576171875,-14.50121484375,-22.41905859375,-23.51740625,-21.35918359375,-14.65859375,-16.83652734375,-24.18001171875,-27.36692578125,-36.7387578125,-27.86271875,-26.03577734375,-28.13280859375,-29.78891796875
-29.723203125,-30.98859765625,-36.77273046875,-25.7151328125,-27.91704296875,-32.05642578125,-23.533046875,-15.7595546875,-24.49857421875,-32.24780859375,-29.07993359375,-21.9749140625,-14.9661171875,-21.34991015625,-26.4480703125,-22.21579296875,-18.8626171875,-14.89921484375,-23.09505859375,-24.07440625,-19.64818359375,-15.86459375,-16.51752734375,-25.25901171875,-27.45192578125,-34.8897578125,-28.64071875,-25.34977734375,-27.53580859375,-28.27691796875
-26.838203125,-27.57459765625,-33.94073046875,-23.6211328125,-24.43504296875,-27.87242578125,-18.809046875,-13.3735546875,-21.36457421875,-29.92080859375,-26.50193359375,-15.7349140625,-11.4801171875,-19.97291015625,-25.4770703125,-19.13579296875,-14.4246171875,-13.35821484375,-21.85605859375,-22.59640625,-15.72018359375,-15.35559375,-14.48552734375,-24.06801171875,-24.90292578125,-30.2727578125,-26.95371875,-22.63777734375,-24.74680859375,-24.35591796875
