"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
-6.1613671875,-8.3396796875,-14.46846484375,-10.25301171875,2.4947421875,-2.0069921875,-8.519921875,-3.7070625,-4.26217578125,-0.994269531250001,-6.5332421875,-0.51318359375,2.2861953125,-0.59370703125,-2.7591328125,-5.381453125,-3.99078125,7.115390625,1.9533984375,-6.10938671875,-3.47658984375,7.43059765625,7.45859765625,5.174125,-4.59469140625,1.05748828125,6.25048828125,6.40394140625,9.53508984375,9.5066953125
-4.8963671875,-6.6336796875,-14.37746484375,-9.03401171875,4.4777421875,0.2820078125,-7.145921875,-4.4320625,3.21482421875,-0.933269531250001,-5.0632421875,-0.72118359375,1.9851953125,-0.27370703125,-2.8121328125,-3.475453125,-5.04078125,6.264390625,1.5453984375,-7.39238671875,-4.29758984375,5.02859765625,5.76059765625,3.354125,-6.32069140625,-1.70951171875,3.83248828125,2.86894140625,6.95508984375,7.0276953125
-3.8403671875,-5.2186796875,-14.72246484375,-7.95701171875,5.6707421875,1.7860078125,-5.977921875,-4.7380625,7.32182421875,-0.88126953125,-4.3502421875,-1.06918359375,1.4941953125,-0.28270703125,-3.0821328125,-1.885453125,-5.70078125,5.654390625,1.2443984375,-8.00038671875,-5.00358984375,2.94059765625,4.62559765625,2.229125,-7.32669140625,-3.87251171875,1.93748828125,0.27594140625,4.69808984375,4.4756953125
-2.9643671875,-4.0866796875,-15.19746484375,-6.93701171875,5.9457421875,2.3940078125,-5.065921875,-4.4810625,8.27882421875,-0.86326953125,-4.3562421875,-1.42318359375,0.8261953125,-0.56770703125,-3.5731328125,-0.563453124999999,-5.76178125,5.273390625,1.1133984375,-7.79838671875,-5.38658984375,1.24559765625,4.08759765625,1.920125,-7.47969140625,-5.22751171875,0.78948828125,-1.09305859375,2.94508984375,2.2006953125
-2.2153671875,-3.2066796875,-15.30746484375,-5.86801171875,5.3597421875,2.1860078125,-4.476921875,-3.6350625,7.27882421875,-0.96326953125,-4.8282421875,-1.57618359375,0.1111953125,-0.99970703125,-4.2591328125,0.553546875000001,-5.09278125,5.049390625,1.1423984375,-6.87838671875,-5.22758984375,-0.00740234375000004,4.02759765625,2.340125,-6.84069140625,-5.65551171875,0.52848828125,-1.16205859375,1.89508984375,0.7096953125
-1.6103671875,-2.6146796875,-14.71846484375,-4.74201171875,4.0877421875,1.3570078125,-4.316921875,-2.3430625,5.70382421875,-1.34026953125,-5.4872421875,-1.38518359375,-0.4308046875,-1.48270703125,-5.1321328125,1.420546875,-3.72178125,4.919390625,1.2003984375,-5.56238671875,-4.43858984375,-0.76740234375,4.24859765625,3.215125,-5.62369140625,-5.13951171875,1.13948828125,-0.08405859375,1.72108984375,0.4336953125
-1.2353671875,-2.4116796875,-13.49746484375,-3.66501171875,2.3747421875,0.1470078125,-4.684921875,-0.9020625,4.56682421875,-2.18226953125,-6.1672421875,-0.88118359375,-0.5908046875,-1.99270703125,-6.2041328125,1.875546875,-1.89778125,4.874390625,1.0593984375,-4.30738671875,-3.17658984375,-0.97840234375,4.55959765625,4.172125,-4.15569140625,-3.84151171875,2.41348828125,1.78894140625,2.46908984375,1.4806953125
-1.1703671875,-2.6626796875,-12.04846484375,-2.78601171875,0.5187421875,-1.1999921875,-5.589921875,0.3219375,4.30182421875,-3.59326953125,-6.8412421875,-0.29218359375,-0.2558046875,-2.54470703125,-7.4471328125,1.738546875,-0.0507812499999996,4.952390625,0.5023984375,-3.56038671875,-1.82658984375,-0.62140234375,4.80459765625,4.849125,-2.80969140625,-2.13151171875,3.95748828125,3.95294140625,3.95908984375,3.5086953125
-1.3983671875,-3.2886796875,-10.81946484375,-2.18701171875,-1.1422578125,-2.4639921875,-6.885921875,1.0309375,4.81182421875,-5.49526953125,-7.5402421875,0.0748164062499996,0.5421953125,-3.13570703125,-8.7401328125,0.939546875,1.32321875,5.192390625,-0.5606015625,-3.60638671875,-0.85658984375,0.22159765625,4.86359765625,5.001125,-1.92669140625,-0.51651171875,5.30748828125,5.84494140625,5.76908984375,5.8116953125
-1.7743671875,-4.0226796875,-10.01546484375,-1.82901171875,-2.2892578125,-3.4529921875,-8.296921875,1.1019375,5.67582421875,-7.60326953125,-8.2632421875,-0.0151835937500002,1.6591953125,-3.71370703125,-9.8871328125,-0.438453124999999,1.84221875,5.569390625,-2.0346015625,-4.48638671875,-0.62258984375,1.31259765625,4.62959765625,4.546125,-1.73769140625,0.53748828125,6.06548828125,6.95294140625,7.33408984375,7.5806953125
